,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, D.C.,Washington,Banned in DC,Bad Brains,spotify:track:0YnP5BtP6lTwQV8gLOzaov,54,1982,0.0936,0.719,9,-12.042,0,0.0397,0.000692,0.815,0.096,0.633,77.999,audio_features,0YnP5BtP6lTwQV8gLOzaov,spotify:track:0YnP5BtP6lTwQV8gLOzaov,https://api.spotify.com/v1/tracks/0YnP5BtP6lTwQV8gLOzaov,https://api.spotify.com/v1/audio-analysis/0YnP5BtP6lTwQV8gLOzaov,132787,4
1,1, D.C.,Washington,The Bourgeois Blues,Lead Belly,spotify:track:4rhaDfV9y5UvGZ67BT8U35,18,2015-02-24,0.613,0.318,9,-12.123,1,0.127,0.971,0.0118,0.387,0.82,130.395,audio_features,4rhaDfV9y5UvGZ67BT8U35,spotify:track:4rhaDfV9y5UvGZ67BT8U35,https://api.spotify.com/v1/tracks/4rhaDfV9y5UvGZ67BT8U35,https://api.spotify.com/v1/audio-analysis/4rhaDfV9y5UvGZ67BT8U35,138107,4
2,2, D.C.,Washington,Chocolate City,Parliament,spotify:track:0tkokbqEygQIxlQ8oap3KN,31,1975-03-12,0.795,0.509,9,-8.135,0,0.0999,0.398,2.71e-05,0.0815,0.833,109.339,audio_features,0tkokbqEygQIxlQ8oap3KN,spotify:track:0tkokbqEygQIxlQ8oap3KN,https://api.spotify.com/v1/tracks/0tkokbqEygQIxlQ8oap3KN,https://api.spotify.com/v1/audio-analysis/0tkokbqEygQIxlQ8oap3KN,336427,4
3,3, D.C.,Washington,The Community of Hope,PJ Harvey,spotify:track:1qggxZUZnOMQicN0bevfoh,24,2016-04-15,0.61,0.879,9,-7.908,1,0.0444,0.63,0.0,0.229,0.634,132.913,audio_features,1qggxZUZnOMQicN0bevfoh,spotify:track:1qggxZUZnOMQicN0bevfoh,https://api.spotify.com/v1/tracks/1qggxZUZnOMQicN0bevfoh,https://api.spotify.com/v1/audio-analysis/1qggxZUZnOMQicN0bevfoh,143573,4
4,4, D.C.,Washington,The District Sleeps Alone Tonight,The Postal Service,spotify:track:4BdsOyHhIOCKTDIPNKY8HT,17,2011-01-31,0.441,0.391,9,-8.685,0,0.0347,0.561,7.24e-06,0.078,0.124,136.328,audio_features,4BdsOyHhIOCKTDIPNKY8HT,spotify:track:4BdsOyHhIOCKTDIPNKY8HT,https://api.spotify.com/v1/tracks/4BdsOyHhIOCKTDIPNKY8HT,https://api.spotify.com/v1/audio-analysis/4BdsOyHhIOCKTDIPNKY8HT,188467,3
5,5, D.C.,Washington,Drop the Bomb,Trouble Funk,spotify:track:2BpcJqEHjmBucyxH7Snw8Q,21,2014-12-19,0.655,0.795,5,-12.296,1,0.0509,0.0528,0.0389,0.185,0.875,106.357,audio_features,2BpcJqEHjmBucyxH7Snw8Q,spotify:track:2BpcJqEHjmBucyxH7Snw8Q,https://api.spotify.com/v1/tracks/2BpcJqEHjmBucyxH7Snw8Q,https://api.spotify.com/v1/audio-analysis/2BpcJqEHjmBucyxH7Snw8Q,318747,4
6,6, D.C.,Washington,"Washington, D.C.",The Magnetic Fields,spotify:track:3Qa8X1dC8Tgs4QtGobmvCU,27,1999-09-14,0.487,0.56,7,-5.882,1,0.135,0.86,1.01e-06,0.322,0.861,94.929,audio_features,3Qa8X1dC8Tgs4QtGobmvCU,spotify:track:3Qa8X1dC8Tgs4QtGobmvCU,https://api.spotify.com/v1/tracks/3Qa8X1dC8Tgs4QtGobmvCU,https://api.spotify.com/v1/audio-analysis/3Qa8X1dC8Tgs4QtGobmvCU,113173,4
7,7, D.C.,Washington,The Washington Post March,John Philip Sousa,spotify:track:63RYoY070aZ8ceRMEiprBU,33,1994,0.532,0.227,0,-17.659,1,0.0327,0.762,0.947,0.165,0.253,120.011,audio_features,63RYoY070aZ8ceRMEiprBU,spotify:track:63RYoY070aZ8ceRMEiprBU,https://api.spotify.com/v1/tracks/63RYoY070aZ8ceRMEiprBU,https://api.spotify.com/v1/audio-analysis/63RYoY070aZ8ceRMEiprBU,156267,4
8,8, D.C.,Washington,Fifteenth and T,Swingin' Utters,spotify:track:4nCZLNJ1wi9GV0YUOPx3VF,20,1996-09-10,0.466,0.953,11,-6.814,0,0.0533,0.00242,0.00104,0.25,0.708,107.861,audio_features,4nCZLNJ1wi9GV0YUOPx3VF,spotify:track:4nCZLNJ1wi9GV0YUOPx3VF,https://api.spotify.com/v1/tracks/4nCZLNJ1wi9GV0YUOPx3VF,https://api.spotify.com/v1/audio-analysis/4nCZLNJ1wi9GV0YUOPx3VF,133533,4
9,9, D.C.,Washington,And the Washington Monument Blinks Goodnight,Q And Not U,spotify:track:69ZKztOVKEJDGc4lbiT96a,21,2000,0.369,0.63,2,-7.918,1,0.0486,0.00073,0.626,0.128,0.627,120.702,audio_features,69ZKztOVKEJDGc4lbiT96a,spotify:track:69ZKztOVKEJDGc4lbiT96a,https://api.spotify.com/v1/tracks/69ZKztOVKEJDGc4lbiT96a,https://api.spotify.com/v1/audio-analysis/69ZKztOVKEJDGc4lbiT96a,141840,4
