,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Florida,Fort Lauderdale,Fort Lauderdale Chamber of Commerce,Elvis Presley,spotify:track:2Mp8l8gam0wRVnbZQDHLg5,19,1965-03-01,0.69,0.215,2.0,-15.494,1.0,0.0467,0.787,0.0,0.206,0.904,114.561,audio_features,2Mp8l8gam0wRVnbZQDHLg5,spotify:track:2Mp8l8gam0wRVnbZQDHLg5,https://api.spotify.com/v1/tracks/2Mp8l8gam0wRVnbZQDHLg5,https://api.spotify.com/v1/audio-analysis/2Mp8l8gam0wRVnbZQDHLg5,90707.0,4.0,
1,1, Florida,Fort Lauderdale,All Signs Point to Lauderdale,A Day to Remember,spotify:track:15qf0H31MChhqKr2zvejla,65,2011-10-01,0.42,0.983,10.0,-3.437,1.0,0.113,0.000263,0.0,0.114,0.513,149.958,audio_features,15qf0H31MChhqKr2zvejla,spotify:track:15qf0H31MChhqKr2zvejla,https://api.spotify.com/v1/tracks/15qf0H31MChhqKr2zvejla,https://api.spotify.com/v1/audio-analysis/15qf0H31MChhqKr2zvejla,197200.0,4.0,
2,2, Florida,Gainesville,City of Gainesville,Less Than Jake,spotify:track:3kjKE5qMHv79J8TYKYwLiK,19,2008-06-24,0.729,0.711,3.0,-6.604,1.0,0.029,0.321,0.000161,0.121,0.955,102.522,audio_features,3kjKE5qMHv79J8TYKYwLiK,spotify:track:3kjKE5qMHv79J8TYKYwLiK,https://api.spotify.com/v1/tracks/3kjKE5qMHv79J8TYKYwLiK,https://api.spotify.com/v1/audio-analysis/3kjKE5qMHv79J8TYKYwLiK,113853.0,4.0,
3,3, Florida,Gainesville,Gainesville,Tom Petty,spotify:track:3zrFI5zwOOrW2QURRPJeh8,46,2018-09-20,0.662,0.702,11.0,-6.06,0.0,0.0281,0.000893,0.00422,0.559,0.782,115.388,audio_features,3zrFI5zwOOrW2QURRPJeh8,spotify:track:3zrFI5zwOOrW2QURRPJeh8,https://api.spotify.com/v1/tracks/3zrFI5zwOOrW2QURRPJeh8,https://api.spotify.com/v1/audio-analysis/3zrFI5zwOOrW2QURRPJeh8,245253.0,4.0,
4,4, Florida,Gainesville,Gainesville Rock City,Less Than Jake,spotify:track:715BWutkWTksYf1pHAUYGp,43,2012-10-09,0.452,0.968,9.0,-3.827,1.0,0.105,0.00436,0.000401,0.286,0.508,103.846,audio_features,715BWutkWTksYf1pHAUYGp,spotify:track:715BWutkWTksYf1pHAUYGp,https://api.spotify.com/v1/tracks/715BWutkWTksYf1pHAUYGp,https://api.spotify.com/v1/audio-analysis/715BWutkWTksYf1pHAUYGp,187600.0,4.0,
5,5, Florida,Jacksonville,Indigo Flow,Limp Bizkit,spotify:track:1XkTsmGEThbTQRQpB5byLU,34,1997-01-01,0.486,0.737,2.0,-8.184,1.0,0.314,0.0134,0.00157,0.46,0.343,106.752,audio_features,1XkTsmGEThbTQRQpB5byLU,spotify:track:1XkTsmGEThbTQRQpB5byLU,https://api.spotify.com/v1/tracks/1XkTsmGEThbTQRQpB5byLU,https://api.spotify.com/v1/audio-analysis/1XkTsmGEThbTQRQpB5byLU,143333.0,4.0,
6,6, Florida,Jacksonville,Ocean Avenue,Yellowcard,spotify:track:23oxJmDc1V9uLUSmN2LIvx,73,2003-01-01,0.486,0.904,6.0,-3.751,0.0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,audio_features,23oxJmDc1V9uLUSmN2LIvx,spotify:track:23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/tracks/23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,198267.0,4.0,
7,7, Florida,Jacksonville,The South's Gonna Do It,The Charlie Daniels Band,spotify:track:7HRqpMkcCVVhmKme8bScvl,56,1973,0.452,0.712,9.0,-9.69,1.0,0.0556,0.519,1.55e-06,0.189,0.844,164.132,audio_features,7HRqpMkcCVVhmKme8bScvl,spotify:track:7HRqpMkcCVVhmKme8bScvl,https://api.spotify.com/v1/tracks/7HRqpMkcCVVhmKme8bScvl,https://api.spotify.com/v1/audio-analysis/7HRqpMkcCVVhmKme8bScvl,237427.0,4.0,
8,8, Florida,Panama City,Guitar Man,Jerry Reed,spotify:track:2miE4JKvNNsRaDFvre019k,37,1967,0.615,0.926,6.0,-6.91,1.0,0.0641,0.831,1.24e-05,0.122,0.844,104.088,audio_features,2miE4JKvNNsRaDFvre019k,spotify:track:2miE4JKvNNsRaDFvre019k,https://api.spotify.com/v1/tracks/2miE4JKvNNsRaDFvre019k,https://api.spotify.com/v1/audio-analysis/2miE4JKvNNsRaDFvre019k,147360.0,4.0,
9,9, Florida,Pensacola,Pensacola,Deerhunter,spotify:track:7LhiUhwLeAR3zB4577WXgY,26,2013-05-06,0.475,0.836,2.0,-5.348,1.0,0.0301,0.384,0.0132,0.101,0.813,102.298,audio_features,7LhiUhwLeAR3zB4577WXgY,spotify:track:7LhiUhwLeAR3zB4577WXgY,https://api.spotify.com/v1/tracks/7LhiUhwLeAR3zB4577WXgY,https://api.spotify.com/v1/audio-analysis/7LhiUhwLeAR3zB4577WXgY,240024.0,4.0,
