,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Georgia,Doraville,Doraville,Atlanta Rhythm Section,spotify:track:7bzo4nqa4nDzwpnkDcigbt,20,2001,0.438,0.803,2.0,-6.024,1.0,0.0363,0.00173,6.34e-05,0.141,0.5,155.008,audio_features,7bzo4nqa4nDzwpnkDcigbt,spotify:track:7bzo4nqa4nDzwpnkDcigbt,https://api.spotify.com/v1/tracks/7bzo4nqa4nDzwpnkDcigbt,https://api.spotify.com/v1/audio-analysis/7bzo4nqa4nDzwpnkDcigbt,217130.0,4.0,
1,1, Georgia,Savannah,Savannah,Relient K,spotify:track:5xJII9WBtF4YwKeTsymO6P,43,2009-10-05,0.702,0.695,1.0,-6.152,1.0,0.0352,0.143,3.22e-05,0.115,0.554,107.915,audio_features,5xJII9WBtF4YwKeTsymO6P,spotify:track:5xJII9WBtF4YwKeTsymO6P,https://api.spotify.com/v1/tracks/5xJII9WBtF4YwKeTsymO6P,https://api.spotify.com/v1/audio-analysis/5xJII9WBtF4YwKeTsymO6P,256720.0,4.0,
2,2, Georgia,Savannah,West Savannah,Outkast,spotify:track:5yTQ7Vy6EwKwB64Vho90LI,45,1998-09-29,0.8,0.558,0.0,-6.565,1.0,0.432,0.0314,0.0,0.586,0.47,85.047,audio_features,5yTQ7Vy6EwKwB64Vho90LI,spotify:track:5yTQ7Vy6EwKwB64Vho90LI,https://api.spotify.com/v1/tracks/5yTQ7Vy6EwKwB64Vho90LI,https://api.spotify.com/v1/audio-analysis/5yTQ7Vy6EwKwB64Vho90LI,246280.0,4.0,
3,3, Georgia,Savannah,Gump,Weird Al Yankovic,spotify:track:3PVfuCu2tfkDbtlCIL5R3m,38,1996-12-31,0.544,0.792,6.0,-6.981,1.0,0.0381,0.0127,1.83e-06,0.305,0.949,144.316,audio_features,3PVfuCu2tfkDbtlCIL5R3m,spotify:track:3PVfuCu2tfkDbtlCIL5R3m,https://api.spotify.com/v1/tracks/3PVfuCu2tfkDbtlCIL5R3m,https://api.spotify.com/v1/audio-analysis/3PVfuCu2tfkDbtlCIL5R3m,130427.0,4.0,
4,4, Georgia,Savannah,Hard Hearted Hannah (The Vamp of Savannah),,error,error,error,,,,,,,,,,,,,,,,,,,
5,5, Georgia,Savannah,Savannah Nights,Tom Johnston,spotify:track:7Guvd0oJuLKQQp4lXx5Ike,11,1979-09-07,0.808,0.701,1.0,-10.915,0.0,0.0345,0.157,0.0653,0.0312,0.976,118.47,audio_features,7Guvd0oJuLKQQp4lXx5Ike,spotify:track:7Guvd0oJuLKQQp4lXx5Ike,https://api.spotify.com/v1/tracks/7Guvd0oJuLKQQp4lXx5Ike,https://api.spotify.com/v1/audio-analysis/7Guvd0oJuLKQQp4lXx5Ike,244160.0,4.0,
6,6, Georgia,Statesboro,Statesboro Blues,The Allman Brothers Band,spotify:track:1BnfAYVesByA18sA9EAGiI,50,1971-07-01,0.488,0.721,2.0,-9.141,1.0,0.0617,0.309,0.0482,0.437,0.786,125.94,audio_features,1BnfAYVesByA18sA9EAGiI,spotify:track:1BnfAYVesByA18sA9EAGiI,https://api.spotify.com/v1/tracks/1BnfAYVesByA18sA9EAGiI,https://api.spotify.com/v1/audio-analysis/1BnfAYVesByA18sA9EAGiI,259444.0,4.0,
7,7, Georgia,Atlanta,Preachin' the Blues,Bessie Smith,spotify:track:1h0wyCVd12PDSd6CLoGaVL,11,1923,0.703,0.185,8.0,-8.325,1.0,0.0441,0.993,0.00209,0.22,0.491,104.916,audio_features,1h0wyCVd12PDSd6CLoGaVL,spotify:track:1h0wyCVd12PDSd6CLoGaVL,https://api.spotify.com/v1/tracks/1h0wyCVd12PDSd6CLoGaVL,https://api.spotify.com/v1/audio-analysis/1h0wyCVd12PDSd6CLoGaVL,171027.0,4.0,
8,8, Georgia,Atlanta,"Atlanta, G.A.",", pop/big band song written  Sunny Skylar and Artie Shaftel 1945",spotify:track:7qjrtF2MnDCmyTQhhUFIoy,28,2007-12-11,0.404,0.684,4.0,-7.67,1.0,0.0385,0.194,0.00284,0.973,0.299,138.985,audio_features,7qjrtF2MnDCmyTQhhUFIoy,spotify:track:7qjrtF2MnDCmyTQhhUFIoy,https://api.spotify.com/v1/tracks/7qjrtF2MnDCmyTQhhUFIoy,https://api.spotify.com/v1/audio-analysis/7qjrtF2MnDCmyTQhhUFIoy,361467.0,4.0,
9,9, Georgia,Atlanta,Hot 'Lanta,"(instrumental)  The Allman Brothers, from At Fillmore East 1971",spotify:track:2RC8MNbpvyunKFvsU7ANNB,37,1972-02-12,0.18,0.463,2.0,-14.566,1.0,0.0399,0.292,0.818,0.846,0.357,69.923,audio_features,2RC8MNbpvyunKFvsU7ANNB,spotify:track:2RC8MNbpvyunKFvsU7ANNB,https://api.spotify.com/v1/tracks/2RC8MNbpvyunKFvsU7ANNB,https://api.spotify.com/v1/audio-analysis/2RC8MNbpvyunKFvsU7ANNB,351627.0,3.0,
