,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Louisiana,Baton Rouge,Calling Baton Rouge,Garth Brooks,spotify:track:0cC6tjzidyUPRnPBrQK39L,0,2020-04-16,0.774,0.427,2.0,-10.605,1.0,0.11,0.738,0.941,0.115,0.359,102.011,audio_features,0cC6tjzidyUPRnPBrQK39L,spotify:track:0cC6tjzidyUPRnPBrQK39L,https://api.spotify.com/v1/tracks/0cC6tjzidyUPRnPBrQK39L,https://api.spotify.com/v1/audio-analysis/0cC6tjzidyUPRnPBrQK39L,162000.0,4.0,
1,1, Louisiana,Bossier City,Bossier City,the Turnpike Troubadours,spotify:track:2qRGnY4zSNBu4tTql3pEnX,45,2015-09-18,0.284,0.9,7.0,-2.9,1.0,0.0687,0.192,0.00172,0.207,0.712,176.738,audio_features,2qRGnY4zSNBu4tTql3pEnX,spotify:track:2qRGnY4zSNBu4tTql3pEnX,https://api.spotify.com/v1/tracks/2qRGnY4zSNBu4tTql3pEnX,https://api.spotify.com/v1/audio-analysis/2qRGnY4zSNBu4tTql3pEnX,198427.0,4.0,
2,2, Louisiana,Thibodaux,Amos Moses,Jerry Reed,spotify:track:7zVZF0OgDJkFJohnlKwEpa,55,1970-12-01,0.738,0.723,2.0,-10.356,1.0,0.0728,0.4,0.00134,0.0166,0.95,105.541,audio_features,7zVZF0OgDJkFJohnlKwEpa,spotify:track:7zVZF0OgDJkFJohnlKwEpa,https://api.spotify.com/v1/tracks/7zVZF0OgDJkFJohnlKwEpa,https://api.spotify.com/v1/audio-analysis/7zVZF0OgDJkFJohnlKwEpa,139227.0,4.0,
3,3, Louisiana,New Orleans,1220 Lyons Street,Idris Muhammad,error,error,error,,,,,,,,,,,,,,,,,,,
4,4, Louisiana,New Orleans,35th Street Blues,Jelly Roll Morton,spotify:track:7zDc1jDfnIhMACYZhNujen,0,1994,0.633,0.231,7.0,-17.83,1.0,0.0642,0.98,0.835,0.0936,0.819,142.718,audio_features,7zDc1jDfnIhMACYZhNujen,spotify:track:7zDc1jDfnIhMACYZhNujen,https://api.spotify.com/v1/tracks/7zDc1jDfnIhMACYZhNujen,https://api.spotify.com/v1/audio-analysis/7zDc1jDfnIhMACYZhNujen,152182.0,4.0,
5,5, Louisiana,New Orleans,912 Greens,Ramblin' Jack Elliot,spotify:track:7jgJ7mcMaW4Bt7RUpRPRYn,19,1968,0.449,0.218,10.0,-15.033,1.0,0.0323,0.78,0.617,0.11,0.432,105.44,audio_features,7jgJ7mcMaW4Bt7RUpRPRYn,spotify:track:7jgJ7mcMaW4Bt7RUpRPRYn,https://api.spotify.com/v1/tracks/7jgJ7mcMaW4Bt7RUpRPRYn,https://api.spotify.com/v1/audio-analysis/7jgJ7mcMaW4Bt7RUpRPRYn,443533.0,4.0,
6,6, Louisiana,New Orleans,A Little Lovin',Neil Sedaka,spotify:track:6hH1zhrIjx9oc5DO7PCku3,0,2000-04-13,0.673,0.467,6.0,-8.477,1.0,0.0291,0.777,1.45e-05,0.0934,0.841,140.044,audio_features,6hH1zhrIjx9oc5DO7PCku3,spotify:track:6hH1zhrIjx9oc5DO7PCku3,https://api.spotify.com/v1/tracks/6hH1zhrIjx9oc5DO7PCku3,https://api.spotify.com/v1/audio-analysis/6hH1zhrIjx9oc5DO7PCku3,241307.0,4.0,
7,7, Louisiana,New Orleans,A Nueva Orleans (A New Orleans),Adriano Celentano,error,error,error,,,,,,,,,,,,,,,,,,,
8,8, Louisiana,New Orleans,After The Mardi Gras,Al Anderson (NRBQ),error,error,error,,,,,,,,,,,,,,,,,,,
9,9, Louisiana,New Orleans,Ain't No City Like New Orleans,Earl King,error,error,error,,,,,,,,,,,,,,,,,,,
10,10, Louisiana,New Orleans,Ain't Nothin' Like It (Mad Mad Mardi Gras),AJ Loria,error,error,error,,,,,,,,,,,,,,,,,,,
11,11, Louisiana,New Orleans,Alexis,The James Gang,spotify:track:7KIh5ZCGnp0ts82i6r8AXZ,5,2018-03-02,0.501,0.382,0.0,-18.814,1.0,0.0401,0.184,0.0389,0.0632,0.903,76.889,audio_features,7KIh5ZCGnp0ts82i6r8AXZ,spotify:track:7KIh5ZCGnp0ts82i6r8AXZ,https://api.spotify.com/v1/tracks/7KIh5ZCGnp0ts82i6r8AXZ,https://api.spotify.com/v1/audio-analysis/7KIh5ZCGnp0ts82i6r8AXZ,309160.0,4.0,
12,12, Louisiana,New Orleans,Algiers Bounce,Bob Wallis Storyville Jazzmen,spotify:track:38LtNZdFcBKUGlFovmoVta,0,2002-01-01,0.678,0.635,3.0,-8.853,1.0,0.152,0.517,0.819,0.0557,0.914,128.851,audio_features,38LtNZdFcBKUGlFovmoVta,spotify:track:38LtNZdFcBKUGlFovmoVta,https://api.spotify.com/v1/tracks/38LtNZdFcBKUGlFovmoVta,https://api.spotify.com/v1/audio-analysis/38LtNZdFcBKUGlFovmoVta,123627.0,4.0,
13,13, Louisiana,New Orleans,Algiers Stomp,Mills Blue Rhythm Band,spotify:track:6ez9qxKv2GvidHMMqXQIKO,3,2007-06-04,0.803,0.327,10.0,-11.347,1.0,0.0664,0.958,0.416,0.0624,0.954,113.477,audio_features,6ez9qxKv2GvidHMMqXQIKO,spotify:track:6ez9qxKv2GvidHMMqXQIKO,https://api.spotify.com/v1/tracks/6ez9qxKv2GvidHMMqXQIKO,https://api.spotify.com/v1/audio-analysis/6ez9qxKv2GvidHMMqXQIKO,184667.0,4.0,
14,14, Louisiana,New Orleans,Algiers Strut,Kid Thomas Valentine,spotify:track:1jnvoR2XbYTWqpN0p1v6CW,0,1998-10-31,0.519,0.467,11.0,-12.805,0.0,0.155,0.465,0.444,0.761,0.414,115.187,audio_features,1jnvoR2XbYTWqpN0p1v6CW,spotify:track:1jnvoR2XbYTWqpN0p1v6CW,https://api.spotify.com/v1/tracks/1jnvoR2XbYTWqpN0p1v6CW,https://api.spotify.com/v1/audio-analysis/1jnvoR2XbYTWqpN0p1v6CW,321960.0,4.0,
15,15, Louisiana,New Orleans,Alive and Kickin',Fats Domino,error,error,error,,,,,,,,,,,,,,,,,,,
16,16, Louisiana,New Orleans,All I Need,Mat Kearney,spotify:track:3V1ONR206j8JhIhMm8Wkv6,44,2006,0.367,0.235,1.0,-11.186,1.0,0.0288,0.591,0.00142,0.141,0.181,77.058,audio_features,3V1ONR206j8JhIhMm8Wkv6,spotify:track:3V1ONR206j8JhIhMm8Wkv6,https://api.spotify.com/v1/tracks/3V1ONR206j8JhIhMm8Wkv6,https://api.spotify.com/v1/audio-analysis/3V1ONR206j8JhIhMm8Wkv6,267640.0,4.0,
17,17, Louisiana,New Orleans,All On A Mardi Gras Day,Wild Magnolias,spotify:track:63xHSdcmRBNmOP6B50onKI,25,1999-01-01,0.737,0.721,5.0,-9.554,0.0,0.138,0.0324,0.000578,0.174,0.657,115.721,audio_features,63xHSdcmRBNmOP6B50onKI,spotify:track:63xHSdcmRBNmOP6B50onKI,https://api.spotify.com/v1/tracks/63xHSdcmRBNmOP6B50onKI,https://api.spotify.com/v1/audio-analysis/63xHSdcmRBNmOP6B50onKI,216307.0,4.0,
18,18, Louisiana,New Orleans,Allen Toussaint,Christopher Marsceill aka Reverend Chris,spotify:track:4Os2wACIZMRBRNJYA5GP3Y,6,2012-08-01,0.708,0.286,10.0,-14.767,1.0,0.0596,0.758,0.0,0.14,0.847,144.802,audio_features,4Os2wACIZMRBRNJYA5GP3Y,spotify:track:4Os2wACIZMRBRNJYA5GP3Y,https://api.spotify.com/v1/tracks/4Os2wACIZMRBRNJYA5GP3Y,https://api.spotify.com/v1/audio-analysis/4Os2wACIZMRBRNJYA5GP3Y,133987.0,4.0,
19,19, Louisiana,New Orleans,Alone In New Orleans,Frances Wayne,error,error,error,,,,,,,,,,,,,,,,,,,
20,20, Louisiana,New Orleans,Along The Pontchartrain,Tony Carey,error,error,error,,,,,,,,,,,,,,,,,,,
21,21, Louisiana,New Orleans,Amos Moses',Jerry Reed,spotify:track:7zVZF0OgDJkFJohnlKwEpa,55,1970-12-01,0.738,0.723,2.0,-10.356,1.0,0.0728,0.4,0.00134,0.0166,0.95,105.541,audio_features,7zVZF0OgDJkFJohnlKwEpa,spotify:track:7zVZF0OgDJkFJohnlKwEpa,https://api.spotify.com/v1/tracks/7zVZF0OgDJkFJohnlKwEpa,https://api.spotify.com/v1/audio-analysis/7zVZF0OgDJkFJohnlKwEpa,139227.0,4.0,
22,22, Louisiana,New Orleans,Annie New Orleans,Elf,spotify:track:1WNiSqHBHnRGxPTSoHJdCd,17,1974-04-15,0.45,0.795,4.0,-10.053,1.0,0.038,0.0325,1.16e-06,0.232,0.517,127.093,audio_features,1WNiSqHBHnRGxPTSoHJdCd,spotify:track:1WNiSqHBHnRGxPTSoHJdCd,https://api.spotify.com/v1/tracks/1WNiSqHBHnRGxPTSoHJdCd,https://api.spotify.com/v1/audio-analysis/1WNiSqHBHnRGxPTSoHJdCd,180467.0,4.0,
23,23, Louisiana,New Orleans,Another Murder In New Orleans,Bob Rush,spotify:track:5hOWYFEZMoOCgheMNoeuUj,20,2014-04-15,0.559,0.718,9.0,-6.157,0.0,0.052,0.213,0.0306,0.6,0.565,89.996,audio_features,5hOWYFEZMoOCgheMNoeuUj,spotify:track:5hOWYFEZMoOCgheMNoeuUj,https://api.spotify.com/v1/tracks/5hOWYFEZMoOCgheMNoeuUj,https://api.spotify.com/v1/audio-analysis/5hOWYFEZMoOCgheMNoeuUj,297149.0,4.0,
24,24, Louisiana,New Orleans,Apache Rose Peacock,the Red Hot Chili Peppers,spotify:track:4zCSQO7F8z4Jc6C3cWlCcB,22,2014-12-12,0.513,0.729,9.0,-9.924,1.0,0.11,0.00267,1.31e-06,0.0513,0.892,183.965,audio_features,4zCSQO7F8z4Jc6C3cWlCcB,spotify:track:4zCSQO7F8z4Jc6C3cWlCcB,https://api.spotify.com/v1/tracks/4zCSQO7F8z4Jc6C3cWlCcB,https://api.spotify.com/v1/audio-analysis/4zCSQO7F8z4Jc6C3cWlCcB,281840.0,4.0,
25,25, Louisiana,New Orleans,Appointment In New Orleans,Tiziana Ghiglioni,spotify:track:442o5BUiqua5O7glsIusBz,0,1995-12-31,0.45,0.479,10.0,-9.203,0.0,0.0366,0.89,0.000505,0.137,0.368,82.724,audio_features,442o5BUiqua5O7glsIusBz,spotify:track:442o5BUiqua5O7glsIusBz,https://api.spotify.com/v1/tracks/442o5BUiqua5O7glsIusBz,https://api.spotify.com/v1/audio-analysis/442o5BUiqua5O7glsIusBz,314667.0,4.0,
26,26, Louisiana,New Orleans,Arc of Bar,Japandroids,spotify:track:5vFTAPdHXvmNX63tTJdYc6,28,2020-06-26,0.397,0.941,9.0,-6.074,1.0,0.0607,0.00587,1.08e-05,0.901,0.131,94.985,audio_features,5vFTAPdHXvmNX63tTJdYc6,spotify:track:5vFTAPdHXvmNX63tTJdYc6,https://api.spotify.com/v1/tracks/5vFTAPdHXvmNX63tTJdYc6,https://api.spotify.com/v1/audio-analysis/5vFTAPdHXvmNX63tTJdYc6,495238.0,4.0,
27,27, Louisiana,New Orleans,Astoria Strut,Jones & Collins Astoria Hot Eight,spotify:track:0Rp812wDr45IW8df0UnMNr,4,1995-12-12,0.613,0.356,7.0,-13.665,0.0,0.0547,0.876,0.488,0.0941,0.839,107.132,audio_features,0Rp812wDr45IW8df0UnMNr,spotify:track:0Rp812wDr45IW8df0UnMNr,https://api.spotify.com/v1/tracks/0Rp812wDr45IW8df0UnMNr,https://api.spotify.com/v1/audio-analysis/0Rp812wDr45IW8df0UnMNr,152560.0,4.0,
28,28, Louisiana,New Orleans,At The Mardi Gras,Beatrice Lillie,spotify:track:0cX35C4sbP7vs2jKjtXz7a,0,2013-07-01,0.729,0.196,2.0,-13.587,1.0,0.305,0.99,0.00219,0.214,0.568,92.491,audio_features,0cX35C4sbP7vs2jKjtXz7a,spotify:track:0cX35C4sbP7vs2jKjtXz7a,https://api.spotify.com/v1/tracks/0cX35C4sbP7vs2jKjtXz7a,https://api.spotify.com/v1/audio-analysis/0cX35C4sbP7vs2jKjtXz7a,183205.0,3.0,
29,29, Louisiana,New Orleans,At The Mardi Gras,The Dynamics,spotify:track:6pPB7jaM9UWW7MOz6HgtVd,9,2009-11-17,0.49,0.766,0.0,-7.73,1.0,0.0889,0.822,0.508,0.425,0.478,128.677,audio_features,6pPB7jaM9UWW7MOz6HgtVd,spotify:track:6pPB7jaM9UWW7MOz6HgtVd,https://api.spotify.com/v1/tracks/6pPB7jaM9UWW7MOz6HgtVd,https://api.spotify.com/v1/audio-analysis/6pPB7jaM9UWW7MOz6HgtVd,153627.0,4.0,
30,30, Louisiana,New Orleans,At The Mardi Gras,"Huey ""Piano"" Smith & Curley Moore",spotify:track:3Ur9CSuUIyaSH4DW2454zt,3,1995-01-01,0.608,0.516,2.0,-15.183,0.0,0.0397,0.731,0.82,0.118,0.854,140.825,audio_features,3Ur9CSuUIyaSH4DW2454zt,spotify:track:3Ur9CSuUIyaSH4DW2454zt,https://api.spotify.com/v1/tracks/3Ur9CSuUIyaSH4DW2454zt,https://api.spotify.com/v1/audio-analysis/3Ur9CSuUIyaSH4DW2454zt,315493.0,4.0,
31,31, Louisiana,New Orleans,At The Mardi Gras Parade,Ray Anthony,error,error,error,,,,,,,,,,,,,,,,,,,
