,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Maryland,Aberdeen,I-95,Fountains of Wayne,spotify:track:2mxVcdcGIBCVjBtIgOa42q,26,2007-01-01,0.476,0.601,2,-6.468,1,0.0275,0.108,0.0,0.346,0.33,78.958,audio_features,2mxVcdcGIBCVjBtIgOa42q,spotify:track:2mxVcdcGIBCVjBtIgOa42q,https://api.spotify.com/v1/tracks/2mxVcdcGIBCVjBtIgOa42q,https://api.spotify.com/v1/audio-analysis/2mxVcdcGIBCVjBtIgOa42q,188267,4
1,1, Maryland,Baltimore,Baltimore,The Extra Lens,spotify:track:4DV2vb4QducqcRu1hB5qat,44,2020-02-21,0.451,0.891,9,-3.963,0,0.0698,0.000406,0.0,0.0918,0.545,176.868,audio_features,4DV2vb4QducqcRu1hB5qat,spotify:track:4DV2vb4QducqcRu1hB5qat,https://api.spotify.com/v1/tracks/4DV2vb4QducqcRu1hB5qat,https://api.spotify.com/v1/audio-analysis/4DV2vb4QducqcRu1hB5qat,207500,4
2,2, Maryland,Baltimore,Baltimore,Lyle Lovett,spotify:track:3cPPSqS1lN6LO18LVOxeTA,17,1992-03-31,0.394,0.0351,4,-20.514,0,0.123,0.784,1.05e-06,0.0942,0.226,175.073,audio_features,3cPPSqS1lN6LO18LVOxeTA,spotify:track:3cPPSqS1lN6LO18LVOxeTA,https://api.spotify.com/v1/tracks/3cPPSqS1lN6LO18LVOxeTA,https://api.spotify.com/v1/audio-analysis/3cPPSqS1lN6LO18LVOxeTA,293173,4
3,3, Maryland,Baltimore,Baltimore,Mal Blum,spotify:track:5ryhQOjYXpX0rHfr4XlYJB,34,2010-06-20,0.753,0.202,7,-9.283,1,0.175,0.842,0.0,0.112,0.751,163.925,audio_features,5ryhQOjYXpX0rHfr4XlYJB,spotify:track:5ryhQOjYXpX0rHfr4XlYJB,https://api.spotify.com/v1/tracks/5ryhQOjYXpX0rHfr4XlYJB,https://api.spotify.com/v1/audio-analysis/5ryhQOjYXpX0rHfr4XlYJB,278893,4
4,4, Maryland,Baltimore,Baltimore,Prince,spotify:track:2dp2JM92DMNoEwzdIpe7KO,32,2015-12-12,0.688,0.706,4,-4.286,0,0.0613,0.112,0.00056,0.654,0.724,120.238,audio_features,2dp2JM92DMNoEwzdIpe7KO,spotify:track:2dp2JM92DMNoEwzdIpe7KO,https://api.spotify.com/v1/tracks/2dp2JM92DMNoEwzdIpe7KO,https://api.spotify.com/v1/audio-analysis/2dp2JM92DMNoEwzdIpe7KO,273960,4
5,5, Maryland,Baltimore,Baltimore,"Randy Newman, Nina Simone",spotify:track:5Qurmyhb9LOjd0ZkzqufQ8,33,1977-09-23,0.488,0.411,7,-15.896,1,0.0255,0.719,0.0628,0.0688,0.584,105.446,audio_features,5Qurmyhb9LOjd0ZkzqufQ8,spotify:track:5Qurmyhb9LOjd0ZkzqufQ8,https://api.spotify.com/v1/tracks/5Qurmyhb9LOjd0ZkzqufQ8,https://api.spotify.com/v1/audio-analysis/5Qurmyhb9LOjd0ZkzqufQ8,245600,4
6,6, Maryland,Baltimore,Baltimore,Sonny James,spotify:track:2LJXjPIez0NA2nzMXsx55M,11,2006-01-01,0.67,0.444,10,-14.418,1,0.0401,0.67,3.45e-05,0.224,0.813,85.846,audio_features,2LJXjPIez0NA2nzMXsx55M,spotify:track:2LJXjPIez0NA2nzMXsx55M,https://api.spotify.com/v1/tracks/2LJXjPIez0NA2nzMXsx55M,https://api.spotify.com/v1/audio-analysis/2LJXjPIez0NA2nzMXsx55M,149267,4
7,7, Maryland,Baltimore,Baltimore's Fireflies,Woodkid,spotify:track:3QBdVIlkKnc6SGPpwyg3zm,41,2013-01-01,0.202,0.374,4,-8.25,0,0.0311,0.983,0.709,0.0952,0.139,174.196,audio_features,3QBdVIlkKnc6SGPpwyg3zm,spotify:track:3QBdVIlkKnc6SGPpwyg3zm,https://api.spotify.com/v1/tracks/3QBdVIlkKnc6SGPpwyg3zm,https://api.spotify.com/v1/audio-analysis/3QBdVIlkKnc6SGPpwyg3zm,247400,4
8,8, Maryland,Baltimore,Barefoot in Baltimore,Strawberry Alarm Clock,spotify:track:7gxeDaqGLT33dkWSTAEOue,17,1968-01-01,0.682,0.566,7,-11.186,1,0.0353,0.457,2.89e-06,0.0812,0.681,119.615,audio_features,7gxeDaqGLT33dkWSTAEOue,spotify:track:7gxeDaqGLT33dkWSTAEOue,https://api.spotify.com/v1/tracks/7gxeDaqGLT33dkWSTAEOue,https://api.spotify.com/v1/audio-analysis/7gxeDaqGLT33dkWSTAEOue,142293,4
9,9, Maryland,Baltimore,Blue Skies Over Dundalk,Mary Prankster,spotify:track:1CbjJGSK1rL5OdW2gupOuB,7,2002-01-01,0.498,0.816,7,-4.569,1,0.0403,0.293,0.0,0.171,0.807,113.078,audio_features,1CbjJGSK1rL5OdW2gupOuB,spotify:track:1CbjJGSK1rL5OdW2gupOuB,https://api.spotify.com/v1/tracks/1CbjJGSK1rL5OdW2gupOuB,https://api.spotify.com/v1/audio-analysis/1CbjJGSK1rL5OdW2gupOuB,89253,4
