,Unnamed: 0,state,city,song,artist,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Massachusetts,Boston,528,Nervous Eaters,error,error,error,,,,,,,,,,,,,,,,,,,
1,1, Massachusetts,Boston,All Kindsa Girls,Real Kids,spotify:track:2IeIZdO1wwTpzCIIZa6Uh2,31,1977,,0.259,0.72,7.0,-15.311,1.0,0.0594,0.00311,0.777,0.116,0.696,173.465,audio_features,2IeIZdO1wwTpzCIIZa6Uh2,spotify:track:2IeIZdO1wwTpzCIIZa6Uh2,https://api.spotify.com/v1/tracks/2IeIZdO1wwTpzCIIZa6Uh2,https://api.spotify.com/v1/audio-analysis/2IeIZdO1wwTpzCIIZa6Uh2,218560.0,4.0
2,2, Massachusetts,Boston,"Allston, Mass",The Allstonians,spotify:track:1rh7VKJVPqagvY2hzZcvn2,2,1995,,0.637,0.707,2.0,-15.625,0.0,0.0587,0.305,0.000125,0.973,0.921,166.754,audio_features,1rh7VKJVPqagvY2hzZcvn2,spotify:track:1rh7VKJVPqagvY2hzZcvn2,https://api.spotify.com/v1/tracks/1rh7VKJVPqagvY2hzZcvn2,https://api.spotify.com/v1/audio-analysis/1rh7VKJVPqagvY2hzZcvn2,177200.0,4.0
3,3, Massachusetts,Boston,The Allston Beat,The Allstonians,spotify:track:79inP8plbHn51FhoGIH5U1,6,1996-01-01,,0.887,0.45,10.0,-14.418,1.0,0.0809,0.0926,0.00411,0.061,0.966,138.398,audio_features,79inP8plbHn51FhoGIH5U1,spotify:track:79inP8plbHn51FhoGIH5U1,https://api.spotify.com/v1/tracks/79inP8plbHn51FhoGIH5U1,https://api.spotify.com/v1/audio-analysis/79inP8plbHn51FhoGIH5U1,177493.0,4.0
4,4, Massachusetts,Boston,An Open Letter to Boston,Mark Lind & The Unloved,spotify:track:4GYouxWAUlv5fo2u1eowLz,3,2008-06-24,,0.44,0.943,8.0,-3.066,1.0,0.109,0.0107,0.0,0.0991,0.803,78.705,audio_features,4GYouxWAUlv5fo2u1eowLz,spotify:track:4GYouxWAUlv5fo2u1eowLz,https://api.spotify.com/v1/tracks/4GYouxWAUlv5fo2u1eowLz,https://api.spotify.com/v1/audio-analysis/4GYouxWAUlv5fo2u1eowLz,183773.0,4.0
5,5, Massachusetts,Boston,As We Walk to Fenway Park in Boston Town,Jonathan Richman,error,error,error,,,,,,,,,,,,,,,,,,,
6,6, Massachusetts,Boston,Back Bay Shuffle,Artie Shaw,spotify:track:1ACsZPUFGE1lN5FzcQOw03,19,2005-06-28,,0.61,0.45,5.0,-10.034,1.0,0.228,0.903,0.668,0.331,0.73,197.027,audio_features,1ACsZPUFGE1lN5FzcQOw03,spotify:track:1ACsZPUFGE1lN5FzcQOw03,https://api.spotify.com/v1/tracks/1ACsZPUFGE1lN5FzcQOw03,https://api.spotify.com/v1/audio-analysis/1ACsZPUFGE1lN5FzcQOw03,194200.0,4.0
7,7, Massachusetts,Boston,Back to Boston,The Rosebuds,spotify:track:4CBVm2BPtvvQXmGZ1GI6Px,12,2003-10-07,,0.528,0.778,2.0,-5.909,1.0,0.0302,0.0221,0.0357,0.22,0.46,142.634,audio_features,4CBVm2BPtvvQXmGZ1GI6Px,spotify:track:4CBVm2BPtvvQXmGZ1GI6Px,https://api.spotify.com/v1/tracks/4CBVm2BPtvvQXmGZ1GI6Px,https://api.spotify.com/v1/audio-analysis/4CBVm2BPtvvQXmGZ1GI6Px,147773.0,4.0
8,8, Massachusetts,Boston,Bank of Boston Beauty Queen,The Dresden Dolls,spotify:track:1yfmbZN0tL65vZuSfNzV9w,13,2003-05-27,,0.55,0.279,7.0,-9.764,0.0,0.102,0.678,0.0,0.136,0.249,97.931,audio_features,1yfmbZN0tL65vZuSfNzV9w,spotify:track:1yfmbZN0tL65vZuSfNzV9w,https://api.spotify.com/v1/tracks/1yfmbZN0tL65vZuSfNzV9w,https://api.spotify.com/v1/audio-analysis/1yfmbZN0tL65vZuSfNzV9w,342067.0,4.0
9,9, Massachusetts,Boston,Beantown,John Cena,spotify:track:5I7ligsi6C2pwu5YgNHWdT,20,2005-05-10,,0.778,0.795,7.0,-6.518,1.0,0.0808,0.062,0.00291,0.29,0.729,96.011,audio_features,5I7ligsi6C2pwu5YgNHWdT,spotify:track:5I7ligsi6C2pwu5YgNHWdT,https://api.spotify.com/v1/tracks/5I7ligsi6C2pwu5YgNHWdT,https://api.spotify.com/v1/audio-analysis/5I7ligsi6C2pwu5YgNHWdT,227627.0,4.0
10,10, Massachusetts,Boston,Bigger Things in Mind,Westbound Train,error,error,error,,,,,,,,,,,,,,,,,,,
11,11, Massachusetts,Boston,Bill Lee,"(Boston Red Sox pitcher, 1969–1978)  Warren Zevon",spotify:track:024xjVutLFgK3gInQCJxGj,37,1998-01-01,,0.388,0.819,0.0,-9.349,1.0,0.103,0.71,0.0,0.106,0.709,174.261,audio_features,024xjVutLFgK3gInQCJxGj,spotify:track:024xjVutLFgK3gInQCJxGj,https://api.spotify.com/v1/tracks/024xjVutLFgK3gInQCJxGj,https://api.spotify.com/v1/audio-analysis/024xjVutLFgK3gInQCJxGj,149705.0,4.0
