,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Michigan,Ann Arbor,I Want to Go Back to Michigan,"Anonymous, popularized  University of Michigan Men's Glee Club[41]",spotify:track:4PMROxZKMSueBS4CnQgLD9,13,1948-07-08,0.419,0.139,0.0,-16.858,1.0,0.0392,0.969,4.95e-06,0.356,0.584,130.733,audio_features,4PMROxZKMSueBS4CnQgLD9,spotify:track:4PMROxZKMSueBS4CnQgLD9,https://api.spotify.com/v1/tracks/4PMROxZKMSueBS4CnQgLD9,https://api.spotify.com/v1/audio-analysis/4PMROxZKMSueBS4CnQgLD9,155733.0,4.0,
1,1, Michigan,Ann Arbor,Last Parade on Ann Street,Chris Bathgate,error,error,error,,,,,,,,,,,,,,,,,,,
2,2, Michigan,Bad Axe,"Bad Axe, Michigan",Air Traffic Controller[42],error,error,error,,,,,,,,,,,,,,,,,,,
3,3, Michigan,Flint,Flint (For the Unemployed and Underpaid),Sufjan Stevens,spotify:track:4oWTPL6ihHK1JNwDcJ94z4,42,2003-07-01,0.417,0.0715,5.0,-17.39,1.0,0.0446,0.968,0.0132,0.11,0.172,123.119,audio_features,4oWTPL6ihHK1JNwDcJ94z4,spotify:track:4oWTPL6ihHK1JNwDcJ94z4,https://api.spotify.com/v1/tracks/4oWTPL6ihHK1JNwDcJ94z4,https://api.spotify.com/v1/audio-analysis/4oWTPL6ihHK1JNwDcJ94z4,223893.0,4.0,
4,4, Michigan,Holland,Holland,Sufjan Stevens,spotify:track:3pujvaVvZRu8VO5LZvxAXq,41,2003-07-01,0.572,0.181,3.0,-15.893,0.0,0.0312,0.914,0.00894,0.109,0.207,115.446,audio_features,3pujvaVvZRu8VO5LZvxAXq,spotify:track:3pujvaVvZRu8VO5LZvxAXq,https://api.spotify.com/v1/tracks/3pujvaVvZRu8VO5LZvxAXq,https://api.spotify.com/v1/audio-analysis/3pujvaVvZRu8VO5LZvxAXq,206373.0,3.0,
5,5, Michigan,Kalamazoo,I've Got A Gal In Kalamazoo,the Glenn Miller Orchestra,spotify:track:1sCHUdWaR3dMGXM70ISUzm,25,2016-09-02,0.66,0.319,2.0,-13.418,0.0,0.0387,0.551,0.0,0.368,0.638,77.449,audio_features,1sCHUdWaR3dMGXM70ISUzm,spotify:track:1sCHUdWaR3dMGXM70ISUzm,https://api.spotify.com/v1/tracks/1sCHUdWaR3dMGXM70ISUzm,https://api.spotify.com/v1/audio-analysis/1sCHUdWaR3dMGXM70ISUzm,167213.0,4.0,
6,6, Michigan,Kalamazoo,Gotta Get Away,The Black Keys,spotify:track:0zo4T5c5VV42554ySEc5J6,53,2014-05-09,0.475,0.836,4.0,-5.446,1.0,0.0529,0.0175,0.0,0.104,0.723,123.144,audio_features,0zo4T5c5VV42554ySEc5J6,spotify:track:0zo4T5c5VV42554ySEc5J6,https://api.spotify.com/v1/tracks/0zo4T5c5VV42554ySEc5J6,https://api.spotify.com/v1/audio-analysis/0zo4T5c5VV42554ySEc5J6,180173.0,4.0,
7,7, Michigan,Kalamazoo,Kalamazoo,Primus,spotify:track:0n3qQAR9kYNLDHV06vO3dD,34,1998-01-01,0.674,0.751,0.0,-9.957,1.0,0.0989,0.198,0.00192,0.169,0.621,96.095,audio_features,0n3qQAR9kYNLDHV06vO3dD,spotify:track:0n3qQAR9kYNLDHV06vO3dD,https://api.spotify.com/v1/tracks/0n3qQAR9kYNLDHV06vO3dD,https://api.spotify.com/v1/audio-analysis/0n3qQAR9kYNLDHV06vO3dD,211133.0,4.0,
8,8, Michigan,Kalamazoo,Kalamazoo,Ben Folds,spotify:track:2lU773XecFRiTbzTOap0ZM,8,2004-08-31,0.468,0.537,7.0,-7.774,1.0,0.0458,0.384,1.63e-05,0.109,0.301,125.408,audio_features,2lU773XecFRiTbzTOap0ZM,spotify:track:2lU773XecFRiTbzTOap0ZM,https://api.spotify.com/v1/tracks/2lU773XecFRiTbzTOap0ZM,https://api.spotify.com/v1/audio-analysis/2lU773XecFRiTbzTOap0ZM,264427.0,4.0,
9,9, Michigan,Muskegon,They Also Mourn Who Do Not Wear Black,Sufjan Stevens,spotify:track:2m4anM7iZzhnVWSOKHaNvc,30,2003-07-01,0.499,0.768,11.0,-9.318,0.0,0.0442,0.773,0.934,0.324,0.366,95.981,audio_features,2m4anM7iZzhnVWSOKHaNvc,spotify:track:2m4anM7iZzhnVWSOKHaNvc,https://api.spotify.com/v1/tracks/2m4anM7iZzhnVWSOKHaNvc,https://api.spotify.com/v1/audio-analysis/2m4anM7iZzhnVWSOKHaNvc,381373.0,5.0,
10,10, Michigan,Saginaw,America,Simon & Garfunkel,spotify:track:6dfhF1BDGmhM69fnCb6wSC,66,1968-04-03,0.259,0.241,2.0,-15.955,1.0,0.042,0.554,6.62e-06,0.0849,0.275,178.453,audio_features,6dfhF1BDGmhM69fnCb6wSC,spotify:track:6dfhF1BDGmhM69fnCb6wSC,https://api.spotify.com/v1/tracks/6dfhF1BDGmhM69fnCb6wSC,https://api.spotify.com/v1/audio-analysis/6dfhF1BDGmhM69fnCb6wSC,215293.0,3.0,
11,11, Michigan,Saginaw,"Saginaw, Michigan",Lefty Frizzell,spotify:track:6kGTegnkVO7NQuu5DFXRSw,40,1959,0.579,0.307,10.0,-13.899,1.0,0.0381,0.858,0.000757,0.156,0.74,145.168,audio_features,6kGTegnkVO7NQuu5DFXRSw,spotify:track:6kGTegnkVO7NQuu5DFXRSw,https://api.spotify.com/v1/tracks/6kGTegnkVO7NQuu5DFXRSw,https://api.spotify.com/v1/audio-analysis/6kGTegnkVO7NQuu5DFXRSw,186973.0,3.0,
