,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Minnesota,Minneapolis,Always Coming Back Home to You,Atmosphere,spotify:track:1jMXKqBBJxZzIrrpc0acxu,35,2003-09-23,0.706,0.885,8.0,-4.064,0.0,0.535,0.135,0.0,0.182,0.242,86.977,audio_features,1jMXKqBBJxZzIrrpc0acxu,spotify:track:1jMXKqBBJxZzIrrpc0acxu,https://api.spotify.com/v1/tracks/1jMXKqBBJxZzIrrpc0acxu,https://api.spotify.com/v1/audio-analysis/1jMXKqBBJxZzIrrpc0acxu,551040.0,4.0,
1,1, Minnesota,Minneapolis,Christmas Card From a Hooker in Minneapolis,Tom Waits,spotify:track:6BRg8FpfpKUbXeE4Jv7U5u,39,1978-09-05,0.515,0.146,6.0,-13.922,1.0,0.0442,0.93,6.21e-05,0.128,0.205,111.638,audio_features,6BRg8FpfpKUbXeE4Jv7U5u,spotify:track:6BRg8FpfpKUbXeE4Jv7U5u,https://api.spotify.com/v1/tracks/6BRg8FpfpKUbXeE4Jv7U5u,https://api.spotify.com/v1/audio-analysis/6BRg8FpfpKUbXeE4Jv7U5u,272983.0,4.0,
2,2, Minnesota,Minneapolis,Lake Street is for Lovers,Lifter Puller,spotify:track:1oOAMNRgXgqNf0QI7jV2WA,10,2009-12-01,0.645,0.671,6.0,-11.68,0.0,0.0563,0.132,0.00902,0.195,0.895,137.051,audio_features,1oOAMNRgXgqNf0QI7jV2WA,spotify:track:1oOAMNRgXgqNf0QI7jV2WA,https://api.spotify.com/v1/tracks/1oOAMNRgXgqNf0QI7jV2WA,https://api.spotify.com/v1/audio-analysis/1oOAMNRgXgqNf0QI7jV2WA,64733.0,4.0,
3,3, Minnesota,Minneapolis,Little Green Apples,sung  O.C. Smith,spotify:track:2iNWbCFroEzA8u0lwEvnBH,46,1995-12-22,0.519,0.131,0.0,-21.288,1.0,0.0501,0.848,0.0591,0.139,0.496,103.183,audio_features,2iNWbCFroEzA8u0lwEvnBH,spotify:track:2iNWbCFroEzA8u0lwEvnBH,https://api.spotify.com/v1/tracks/2iNWbCFroEzA8u0lwEvnBH,https://api.spotify.com/v1/audio-analysis/2iNWbCFroEzA8u0lwEvnBH,159827.0,4.0,
4,4, Minnesota,Minneapolis,Mall of America,Desaparecidos,spotify:track:1rKP36gLAkkDwZ750A6Qxj,26,2002-02-11,0.251,0.958,9.0,-6.846,0.0,0.158,0.000162,0.181,0.11,0.328,160.261,audio_features,1rKP36gLAkkDwZ750A6Qxj,spotify:track:1rKP36gLAkkDwZ750A6Qxj,https://api.spotify.com/v1/tracks/1rKP36gLAkkDwZ750A6Qxj,https://api.spotify.com/v1/audio-analysis/1rKP36gLAkkDwZ750A6Qxj,161707.0,4.0,
5,5, Minnesota,Minneapolis,Minneapolis,that dog,spotify:track:3vZR5moYtrBx2fBoH1rHYa,31,1997-01-01,0.443,0.844,7.0,-7.325,1.0,0.0407,0.000279,0.0459,0.157,0.313,138.97,audio_features,3vZR5moYtrBx2fBoH1rHYa,spotify:track:3vZR5moYtrBx2fBoH1rHYa,https://api.spotify.com/v1/tracks/3vZR5moYtrBx2fBoH1rHYa,https://api.spotify.com/v1/audio-analysis/3vZR5moYtrBx2fBoH1rHYa,230227.0,4.0,
6,6, Minnesota,Minneapolis,Minneapolis,Lucinda Williams,spotify:track:5kx0E28zYJm7QdqYhWi4XB,23,2003-01-01,0.423,0.183,7.0,-11.091,1.0,0.0265,0.8,5.91e-05,0.118,0.197,89.85,audio_features,5kx0E28zYJm7QdqYhWi4XB,spotify:track:5kx0E28zYJm7QdqYhWi4XB,https://api.spotify.com/v1/tracks/5kx0E28zYJm7QdqYhWi4XB,https://api.spotify.com/v1/audio-analysis/5kx0E28zYJm7QdqYhWi4XB,248133.0,3.0,
7,7, Minnesota,Minneapolis,Minneapolis,Bill Janovitz,spotify:track:0J5lOSINPm7t6lRmc1VEmE,1,2002,0.637,0.409,4.0,-9.516,1.0,0.025,0.541,0.0,0.07,0.226,108.4,audio_features,0J5lOSINPm7t6lRmc1VEmE,spotify:track:0J5lOSINPm7t6lRmc1VEmE,https://api.spotify.com/v1/tracks/0J5lOSINPm7t6lRmc1VEmE,https://api.spotify.com/v1/audio-analysis/0J5lOSINPm7t6lRmc1VEmE,246773.0,4.0,
8,8, Minnesota,Minneapolis,MPLS Song,Pinhead Gunpowder,spotify:track:13rWKMRsy6nSjmuESjm1Ev,12,1994-06-17,0.386,0.893,4.0,-4.353,1.0,0.06,0.125,0.0,0.0759,0.671,90.689,audio_features,13rWKMRsy6nSjmuESjm1Ev,spotify:track:13rWKMRsy6nSjmuESjm1Ev,https://api.spotify.com/v1/tracks/13rWKMRsy6nSjmuESjm1Ev,https://api.spotify.com/v1/audio-analysis/13rWKMRsy6nSjmuESjm1Ev,141735.0,4.0,
9,9, Minnesota,Minneapolis,Ninth and Hennepin,Tom Waits,error,error,error,,,,,,,,,,,,,,,,,,,
