,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Missouri,Kansas City,18th Avenue (Kansas City Nightmare),Cat Stevens,spotify:track:3csz2AsrqHwPRsFulsVfwx,26,1972-01-01,0.365,0.443,7.0,-11.361,1.0,0.0381,0.76,0.0374,0.0682,0.212,78.184,audio_features,3csz2AsrqHwPRsFulsVfwx,spotify:track:3csz2AsrqHwPRsFulsVfwx,https://api.spotify.com/v1/tracks/3csz2AsrqHwPRsFulsVfwx,https://api.spotify.com/v1/audio-analysis/3csz2AsrqHwPRsFulsVfwx,261827.0,4.0,
1,1, Missouri,Kansas City,Blues from Kansas City,Jay McShann,spotify:track:0Q6cIWT3uFJxzSdF8x5iul,0,2013-11-19,0.605,0.372,0.0,-16.788,1.0,0.045,0.917,0.88,0.179,0.608,125.471,audio_features,0Q6cIWT3uFJxzSdF8x5iul,spotify:track:0Q6cIWT3uFJxzSdF8x5iul,https://api.spotify.com/v1/tracks/0Q6cIWT3uFJxzSdF8x5iul,https://api.spotify.com/v1/audio-analysis/0Q6cIWT3uFJxzSdF8x5iul,328067.0,4.0,
2,2, Missouri,Kansas City,K.C. Blues,Charlie Parker,spotify:track:3Of3Dsw2VJTPZfC4mjVJk3,21,1958-01-01,0.643,0.293,0.0,-11.741,1.0,0.0427,0.834,0.000171,0.247,0.573,119.37,audio_features,3Of3Dsw2VJTPZfC4mjVJk3,spotify:track:3Of3Dsw2VJTPZfC4mjVJk3,https://api.spotify.com/v1/tracks/3Of3Dsw2VJTPZfC4mjVJk3,https://api.spotify.com/v1/audio-analysis/3Of3Dsw2VJTPZfC4mjVJk3,204653.0,4.0,
3,3, Missouri,Kansas City,Kansas City,Okkervil River,spotify:track:3FogLCtqS2ryHNQNAKsDkC,21,2002-01-22,0.37,0.493,2.0,-5.651,1.0,0.0337,0.258,0.000186,0.0929,0.403,120.783,audio_features,3FogLCtqS2ryHNQNAKsDkC,spotify:track:3FogLCtqS2ryHNQNAKsDkC,https://api.spotify.com/v1/tracks/3FogLCtqS2ryHNQNAKsDkC,https://api.spotify.com/v1/audio-analysis/3FogLCtqS2ryHNQNAKsDkC,346400.0,3.0,
4,4, Missouri,Kansas City,Kansas City,The New Basement Tapes,spotify:track:2JTBNz8VZx7i38pcPROWuz,56,2014-08-19,0.54,0.62,0.0,-8.147,1.0,0.0415,0.115,0.0123,0.12,0.354,163.762,audio_features,2JTBNz8VZx7i38pcPROWuz,spotify:track:2JTBNz8VZx7i38pcPROWuz,https://api.spotify.com/v1/tracks/2JTBNz8VZx7i38pcPROWuz,https://api.spotify.com/v1/audio-analysis/2JTBNz8VZx7i38pcPROWuz,244427.0,4.0,
5,5, Missouri,Kansas City,Kansas City,", from the musical Oklahoma!",spotify:track:3xHn53QjxQ6SPTcRysc60B,0,2017-11-30,0.442,0.455,8.0,-14.227,1.0,0.28,0.485,1.15e-05,0.0378,0.502,86.696,audio_features,3xHn53QjxQ6SPTcRysc60B,spotify:track:3xHn53QjxQ6SPTcRysc60B,https://api.spotify.com/v1/tracks/3xHn53QjxQ6SPTcRysc60B,https://api.spotify.com/v1/audio-analysis/3xHn53QjxQ6SPTcRysc60B,274907.0,4.0,
6,6, Missouri,Kansas City,Kansas City,", performed  Wilbert Harrison",spotify:track:6gyQLLvvwNl3Ksxj0jgz6S,0,2015-09-22,0.749,0.492,1.0,-12.255,1.0,0.063,0.0944,0.731,0.0893,0.98,116.747,audio_features,6gyQLLvvwNl3Ksxj0jgz6S,spotify:track:6gyQLLvvwNl3Ksxj0jgz6S,https://api.spotify.com/v1/tracks/6gyQLLvvwNl3Ksxj0jgz6S,https://api.spotify.com/v1/audio-analysis/6gyQLLvvwNl3Ksxj0jgz6S,149013.0,4.0,
7,7, Missouri,Kansas City,Kansas City,Sneaky Sound System,spotify:track:7GpPm7pd4x52tLWSvh9hAD,29,2008-01-01,0.595,0.964,0.0,-3.521,1.0,0.0948,0.000911,0.0,0.125,0.714,129.973,audio_features,7GpPm7pd4x52tLWSvh9hAD,spotify:track:7GpPm7pd4x52tLWSvh9hAD,https://api.spotify.com/v1/tracks/7GpPm7pd4x52tLWSvh9hAD,https://api.spotify.com/v1/audio-analysis/7GpPm7pd4x52tLWSvh9hAD,236333.0,4.0,
8,8, Missouri,Kansas City,Kansas City Bomber,Phil Ochs,spotify:track:1mUkqg65AjCm9ec8qboMKf,2,1988-01-01,0.594,0.585,7.0,-11.425,0.0,0.036,0.031,0.0,0.273,0.731,96.197,audio_features,1mUkqg65AjCm9ec8qboMKf,spotify:track:1mUkqg65AjCm9ec8qboMKf,https://api.spotify.com/v1/tracks/1mUkqg65AjCm9ec8qboMKf,https://api.spotify.com/v1/audio-analysis/1mUkqg65AjCm9ec8qboMKf,146933.0,4.0,
9,9, Missouri,Kansas City,Kansas City Kitty,Walter Donaldson,error,error,error,,,,,,,,,,,,,,,,,,,
