,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Nevada,Las Vegas,Alone in Vegas,Pusha T,spotify:track:0LV0q6Jo81ijFl5ulGvqWf,40,2011-11-08,0.488,0.784,1,-3.381,1,0.175,0.00233,0.0,0.201,0.321,78.1,audio_features,0LV0q6Jo81ijFl5ulGvqWf,spotify:track:0LV0q6Jo81ijFl5ulGvqWf,https://api.spotify.com/v1/tracks/0LV0q6Jo81ijFl5ulGvqWf,https://api.spotify.com/v1/audio-analysis/0LV0q6Jo81ijFl5ulGvqWf,271520,4
1,1, Nevada,Las Vegas,Checkout Time In Vegas,Drive-By Truckers,spotify:track:6l0FVrsRq73HCbPWVVOhOw,17,2008-01-22,0.553,0.259,7,-12.52,1,0.0406,0.831,0.000633,0.124,0.109,144.24,audio_features,6l0FVrsRq73HCbPWVVOhOw,spotify:track:6l0FVrsRq73HCbPWVVOhOw,https://api.spotify.com/v1/tracks/6l0FVrsRq73HCbPWVVOhOw,https://api.spotify.com/v1/audio-analysis/6l0FVrsRq73HCbPWVVOhOw,161907,4
2,2, Nevada,Las Vegas,Gone Country,Alan Jackson,spotify:track:1A0I5aiVZRwecRlbQcweBh,63,1989,0.681,0.719,7,-5.918,1,0.0248,0.131,1.65e-06,0.113,0.637,125.729,audio_features,1A0I5aiVZRwecRlbQcweBh,spotify:track:1A0I5aiVZRwecRlbQcweBh,https://api.spotify.com/v1/tracks/1A0I5aiVZRwecRlbQcweBh,https://api.spotify.com/v1/audio-analysis/1A0I5aiVZRwecRlbQcweBh,259893,4
3,3, Nevada,Las Vegas,Heaven or Las Vegas,Cocteau Twins,spotify:track:1bwXRScnt3k6vSyVqcKyNj,59,1990-09-17,0.215,0.801,7,-5.46,1,0.0379,8.84e-05,0.00725,0.0808,0.401,180.09,audio_features,1bwXRScnt3k6vSyVqcKyNj,spotify:track:1bwXRScnt3k6vSyVqcKyNj,https://api.spotify.com/v1/tracks/1bwXRScnt3k6vSyVqcKyNj,https://api.spotify.com/v1/audio-analysis/1bwXRScnt3k6vSyVqcKyNj,298400,4
4,4, Nevada,Las Vegas,Las Vegas Nights,Verona Grove,spotify:track:79xQjdC6Tsmsjlfc41AIuR,3,2009-10-20,0.441,0.893,6,-4.606,0,0.0452,0.00482,0.0,0.0697,0.858,175.999,audio_features,79xQjdC6Tsmsjlfc41AIuR,spotify:track:79xQjdC6Tsmsjlfc41AIuR,https://api.spotify.com/v1/tracks/79xQjdC6Tsmsjlfc41AIuR,https://api.spotify.com/v1/audio-analysis/79xQjdC6Tsmsjlfc41AIuR,239067,4
5,5, Nevada,Las Vegas,Leaving Las Vegas,Sheryl Crow,spotify:track:6MWJy3DXI0Je49FW3gDpLp,41,1993-08-03,0.675,0.548,2,-9.922,1,0.0351,0.103,3.5e-05,0.0528,0.851,80.842,audio_features,6MWJy3DXI0Je49FW3gDpLp,spotify:track:6MWJy3DXI0Je49FW3gDpLp,https://api.spotify.com/v1/tracks/6MWJy3DXI0Je49FW3gDpLp,https://api.spotify.com/v1/audio-analysis/6MWJy3DXI0Je49FW3gDpLp,309200,4
6,6, Nevada,Las Vegas,Let's Go To Vegas,Faith Hill,spotify:track:39HccIrICWp9EBD8MunAUW,42,1995-08-18,0.587,0.736,7,-6.815,1,0.0381,0.321,0.0,0.0313,0.969,176.993,audio_features,39HccIrICWp9EBD8MunAUW,spotify:track:39HccIrICWp9EBD8MunAUW,https://api.spotify.com/v1/tracks/39HccIrICWp9EBD8MunAUW,https://api.spotify.com/v1/audio-analysis/39HccIrICWp9EBD8MunAUW,191707,4
7,7, Nevada,Las Vegas,Vegas,Sara Bareilles,spotify:track:1NcGrbn2dbx6VQOPQeKhjl,38,2007-07-03,0.629,0.603,1,-5.85,1,0.0305,0.00881,0.0,0.182,0.6,80.051,audio_features,1NcGrbn2dbx6VQOPQeKhjl,spotify:track:1NcGrbn2dbx6VQOPQeKhjl,https://api.spotify.com/v1/tracks/1NcGrbn2dbx6VQOPQeKhjl,https://api.spotify.com/v1/audio-analysis/1NcGrbn2dbx6VQOPQeKhjl,247493,4
8,8, Nevada,Las Vegas,Pretty Vegas,INXS,spotify:track:37oEm1l0NL6Ud2ccgsdgND,45,2005-11-29,0.624,0.922,5,-4.536,0,0.0604,0.00121,2.46e-05,0.0785,0.676,141.968,audio_features,37oEm1l0NL6Ud2ccgsdgND,spotify:track:37oEm1l0NL6Ud2ccgsdgND,https://api.spotify.com/v1/tracks/37oEm1l0NL6Ud2ccgsdgND,https://api.spotify.com/v1/audio-analysis/37oEm1l0NL6Ud2ccgsdgND,205413,4
9,9, Nevada,Las Vegas,Pyramids,Frank Ocean,spotify:track:4QhWbupniDd44EDtnh2bFJ,64,2012-07-10,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,audio_features,4QhWbupniDd44EDtnh2bFJ,spotify:track:4QhWbupniDd44EDtnh2bFJ,https://api.spotify.com/v1/tracks/4QhWbupniDd44EDtnh2bFJ,https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ,592920,4
