,Unnamed: 0,Unnamed: 0.1,state,city,song,artist,uris,popularity,date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,0.0, New Mexico,Albuquerque,Albuquerque,Neil Young,spotify:track:6nsxXdOAjeosqcGGsmPjnN,35,1975-06-01,,,,,,,,,,,,,,,,,,,,0.461,0.307,2.0,-14.34,1.0,0.0266,0.287,0.0371,0.108,0.225,134.965,audio_features,6nsxXdOAjeosqcGGsmPjnN,spotify:track:6nsxXdOAjeosqcGGsmPjnN,https://api.spotify.com/v1/tracks/6nsxXdOAjeosqcGGsmPjnN,https://api.spotify.com/v1/audio-analysis/6nsxXdOAjeosqcGGsmPjnN,241176.0,4.0,
1,1,1.0, New Mexico,Albuquerque,Albuquerque,Sons of the Desert,spotify:track:4qtUVRGt8R28Ie7QI5Vn5O,9,2000-01-01,,,,,,,,,,,,,,,,,,,,0.456,0.663,6.0,-5.959,0.0,0.0252,0.00464,3.97e-05,0.235,0.496,171.935,audio_features,4qtUVRGt8R28Ie7QI5Vn5O,spotify:track:4qtUVRGt8R28Ie7QI5Vn5O,https://api.spotify.com/v1/tracks/4qtUVRGt8R28Ie7QI5Vn5O,https://api.spotify.com/v1/audio-analysis/4qtUVRGt8R28Ie7QI5Vn5O,199560.0,4.0,
2,2,2.0, New Mexico,Albuquerque,Albuquerque,"""Weird"" Al Yankovic",spotify:track:2Ec0liSMY2h4XORHyzKCmY,39,1999-06-29,,,,,,,,,,,,,,,,,,,,0.618,0.768,10.0,-9.881,1.0,0.32,0.0826,0.0,0.0907,0.62,186.599,audio_features,2Ec0liSMY2h4XORHyzKCmY,spotify:track:2Ec0liSMY2h4XORHyzKCmY,https://api.spotify.com/v1/tracks/2Ec0liSMY2h4XORHyzKCmY,https://api.spotify.com/v1/audio-analysis/2Ec0liSMY2h4XORHyzKCmY,682947.0,4.0,
3,3,3.0, New Mexico,Albuquerque,Blue Bedroom,To Keith,spotify:track:0elXsqvn9hJOoEB7Vr4wsv,22,1999-01-01,,,,,,,,,,,,,,,,,,,,0.717,0.646,4.0,-7.996,1.0,0.0288,0.0308,0.000888,0.101,0.537,120.578,audio_features,0elXsqvn9hJOoEB7Vr4wsv,spotify:track:0elXsqvn9hJOoEB7Vr4wsv,https://api.spotify.com/v1/tracks/0elXsqvn9hJOoEB7Vr4wsv,https://api.spotify.com/v1/audio-analysis/0elXsqvn9hJOoEB7Vr4wsv,210160.0,4.0,
4,4,4.0, New Mexico,Albuquerque,Bring Em Out,T.I.,spotify:track:3CcvahnsiArpTHYQEWV2Au,63,2004-11-28,,,,,,,,,,,,,,,,,,,,0.759,0.891,11.0,-2.983,1.0,0.257,0.0298,0.0,0.141,0.587,98.579,audio_features,3CcvahnsiArpTHYQEWV2Au,spotify:track:3CcvahnsiArpTHYQEWV2Au,https://api.spotify.com/v1/tracks/3CcvahnsiArpTHYQEWV2Au,https://api.spotify.com/v1/audio-analysis/3CcvahnsiArpTHYQEWV2Au,216707.0,4.0,
5,5,5.0, New Mexico,Albuquerque,By the Time I Get to Phoenix,"Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers",spotify:track:0Wp69ItpnYe4jyxekLdLnT,22,1968-11,,,,,,,,,,,,,,,,,,,,0.272,0.0859,1.0,-24.018,1.0,0.0335,0.902,0.0101,0.119,0.229,136.725,audio_features,0Wp69ItpnYe4jyxekLdLnT,spotify:track:0Wp69ItpnYe4jyxekLdLnT,https://api.spotify.com/v1/tracks/0Wp69ItpnYe4jyxekLdLnT,https://api.spotify.com/v1/audio-analysis/0Wp69ItpnYe4jyxekLdLnT,234560.0,4.0,
6,6,6.0, New Mexico,Albuquerque,Cowboy Movie,David Cros,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF,45,1971-02-22,,,,,,,,,,,,,,,,,,,,0.325,0.629,2.0,-12.499,1.0,0.0614,0.00607,1.83e-05,0.136,0.512,80.898,audio_features,5ZoI4tXPZzcN7PIVmxO7kF,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF,https://api.spotify.com/v1/tracks/5ZoI4tXPZzcN7PIVmxO7kF,https://api.spotify.com/v1/audio-analysis/5ZoI4tXPZzcN7PIVmxO7kF,491400.0,4.0,
7,7,7.0, New Mexico,Albuquerque,Get Your Kicks on Route 66,Perry Como,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0, New Mexico,Albuquerque,I Hope Your Whole Life Sux,Blackbear,spotify:track:4uVslVnCNW0wkBxUmtqeVn,54,2017-11-27,,,,,,,,,,,,,,,,,,,,0.699,0.645,1.0,-5.862,0.0,0.199,0.27,0.0,0.0686,0.696,133.942,audio_features,4uVslVnCNW0wkBxUmtqeVn,spotify:track:4uVslVnCNW0wkBxUmtqeVn,https://api.spotify.com/v1/tracks/4uVslVnCNW0wkBxUmtqeVn,https://api.spotify.com/v1/audio-analysis/4uVslVnCNW0wkBxUmtqeVn,179186.0,4.0,
9,9,9.0, New Mexico,Albuquerque,Make it Clap,Busta Rhymes,spotify:track:6NM525U7IB4Zhpn8d921uX,47,2002-11-26,,,,,,,,,,,,,,,,,,,,0.736,0.741,1.0,-4.458,0.0,0.392,0.0691,0.0,0.053,0.95,121.328,audio_features,6NM525U7IB4Zhpn8d921uX,spotify:track:6NM525U7IB4Zhpn8d921uX,https://api.spotify.com/v1/tracks/6NM525U7IB4Zhpn8d921uX,https://api.spotify.com/v1/audio-analysis/6NM525U7IB4Zhpn8d921uX,243040.0,5.0,
