,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, New York,Buffalo,Broadway,The Goo Goo Dolls,spotify:track:0RZuCBV900eNA2FXCQ3uUM,50,1998-09-11,0.527,0.878,11.0,-5.704,1.0,0.0424,0.000555,0.0,0.0852,0.757,132.791,audio_features,0RZuCBV900eNA2FXCQ3uUM,spotify:track:0RZuCBV900eNA2FXCQ3uUM,https://api.spotify.com/v1/tracks/0RZuCBV900eNA2FXCQ3uUM,https://api.spotify.com/v1/audio-analysis/0RZuCBV900eNA2FXCQ3uUM,238533.0,4.0,
1,1, New York,Buffalo,Shuffle Off to Buffalo,The Stolen Sweets,spotify:track:3ol2v58i0bAfaNWejGXsYL,8,2006-06-01,0.719,0.168,5.0,-14.715,0.0,0.0589,0.902,0.000705,0.11,0.702,119.688,audio_features,3ol2v58i0bAfaNWejGXsYL,spotify:track:3ol2v58i0bAfaNWejGXsYL,https://api.spotify.com/v1/tracks/3ol2v58i0bAfaNWejGXsYL,https://api.spotify.com/v1/audio-analysis/3ol2v58i0bAfaNWejGXsYL,186587.0,4.0,
2,2, New York,Buffalo,Ladies Night in Buffalo,David Lee Roth,error,error,error,,,,,,,,,,,,,,,,,,,
3,3, New York,Buffalo,Rock and Roll Girls  John Fogerty,,error,error,error,,,,,,,,,,,,,,,,,,,
4,4, New York,New York City,11:11,Rufus Wainwright,spotify:track:7Jh7ybOQABcxRGFNMuULQX,24,2003-09-23,0.327,0.477,4.0,-8.168,1.0,0.0316,0.512,0.000286,0.121,0.248,201.271,audio_features,7Jh7ybOQABcxRGFNMuULQX,spotify:track:7Jh7ybOQABcxRGFNMuULQX,https://api.spotify.com/v1/tracks/7Jh7ybOQABcxRGFNMuULQX,https://api.spotify.com/v1/audio-analysis/7Jh7ybOQABcxRGFNMuULQX,267533.0,4.0,
5,5, New York,New York City,11:35,Aesop Rock,spotify:track:0v8Maqj1SaQfUdKS4TRU61,22,2003-09-23,0.662,0.615,4.0,-8.809,1.0,0.652,0.387,0.0,0.28,0.829,110.054,audio_features,0v8Maqj1SaQfUdKS4TRU61,spotify:track:0v8Maqj1SaQfUdKS4TRU61,https://api.spotify.com/v1/tracks/0v8Maqj1SaQfUdKS4TRU61,https://api.spotify.com/v1/audio-analysis/0v8Maqj1SaQfUdKS4TRU61,263667.0,4.0,
6,6, New York,New York City,11th Street,Ravens & Chimes,spotify:track:0wFNV4SuNbsMFTjSJ3mpBd,21,2004-09-21,0.459,0.809,7.0,-6.24,1.0,0.0386,0.282,0.0,0.988,0.471,119.125,audio_features,0wFNV4SuNbsMFTjSJ3mpBd,spotify:track:0wFNV4SuNbsMFTjSJ3mpBd,https://api.spotify.com/v1/tracks/0wFNV4SuNbsMFTjSJ3mpBd,https://api.spotify.com/v1/audio-analysis/0wFNV4SuNbsMFTjSJ3mpBd,356533.0,4.0,
7,7, New York,New York City,11th Street Kids,Hanoi Rocks,spotify:track:0ypDf4WSaOLQNjePr5JRAS,10,1981-01-01,0.279,0.915,2.0,-9.539,1.0,0.126,0.0184,1.17e-05,0.711,0.481,158.227,audio_features,0ypDf4WSaOLQNjePr5JRAS,spotify:track:0ypDf4WSaOLQNjePr5JRAS,https://api.spotify.com/v1/tracks/0ypDf4WSaOLQNjePr5JRAS,https://api.spotify.com/v1/audio-analysis/0ypDf4WSaOLQNjePr5JRAS,240760.0,4.0,
8,8, New York,New York City,100 South of Broadway,Philadelphia Society,error,error,error,,,,,,,,,,,,,,,,,,,
9,9, New York,New York City,105th & Park,"Kenny ""Dope"" Gonzalez",error,error,error,,,,,,,,,,,,,,,,,,,
10,10, New York,New York City,110th Street and Fifth Avenue,Tito Puente,error,error,error,,,,,,,,,,,,,,,,,,,
11,11, New York,New York City,110th Street Rhumba,Dana Suesse,spotify:track:0GzOfAKfnjdYGDWflaOSuq,1,2009-10-27,0.263,0.168,4.0,-21.729,1.0,0.0365,0.993,0.859,0.0985,0.311,65.022,audio_features,0GzOfAKfnjdYGDWflaOSuq,spotify:track:0GzOfAKfnjdYGDWflaOSuq,https://api.spotify.com/v1/tracks/0GzOfAKfnjdYGDWflaOSuq,https://api.spotify.com/v1/audio-analysis/0GzOfAKfnjdYGDWflaOSuq,137000.0,3.0,
12,12, New York,New York City,116th and Lenox,Jackie McLean,spotify:track:6HBjHaqFFpz8dIf6kDmcG8,5,1960-03-28,0.619,0.301,5.0,-13.63,0.0,0.0368,0.844,0.00111,0.111,0.36,73.271,audio_features,6HBjHaqFFpz8dIf6kDmcG8,spotify:track:6HBjHaqFFpz8dIf6kDmcG8,https://api.spotify.com/v1/tracks/6HBjHaqFFpz8dIf6kDmcG8,https://api.spotify.com/v1/audio-analysis/6HBjHaqFFpz8dIf6kDmcG8,361600.0,4.0,
13,13, New York,New York City,12th Street,Thick As Thieves,error,error,error,,,,,,,,,,,,,,,,,,,
14,14, New York,New York City,121 Bank Street,George Russell,spotify:track:7CrSnEB4DYf9pxhEfke0Nv,0,1960-01-01,0.441,0.4,5.0,-14.341,0.0,0.0486,0.318,0.00706,0.339,0.627,108.203,audio_features,7CrSnEB4DYf9pxhEfke0Nv,spotify:track:7CrSnEB4DYf9pxhEfke0Nv,https://api.spotify.com/v1/tracks/7CrSnEB4DYf9pxhEfke0Nv,https://api.spotify.com/v1/audio-analysis/7CrSnEB4DYf9pxhEfke0Nv,358640.0,4.0,
15,15, New York,New York City,124 East 107th Street,William OrtizAlvarado,error,error,error,,,,,,,,,,,,,,,,,,,
16,16, New York,New York City,125th St. And 7th Ave.,Richard Holmes (organist),spotify:track:5ulO1dLlpiWObjlBhPlBCW,2,1975-01-01,0.661,0.646,0.0,-12.737,0.0,0.126,0.436,0.846,0.472,0.91,116.666,audio_features,5ulO1dLlpiWObjlBhPlBCW,spotify:track:5ulO1dLlpiWObjlBhPlBCW,https://api.spotify.com/v1/tracks/5ulO1dLlpiWObjlBhPlBCW,https://api.spotify.com/v1/audio-analysis/5ulO1dLlpiWObjlBhPlBCW,222354.0,4.0,
17,17, New York,New York City,125th Street Congress,Weather Report,spotify:track:7qJkuqvDhyD20D1JCK2Aqy,16,1973,0.639,0.851,5.0,-6.895,0.0,0.0499,0.0259,0.659,0.287,0.785,98.948,audio_features,7qJkuqvDhyD20D1JCK2Aqy,spotify:track:7qJkuqvDhyD20D1JCK2Aqy,https://api.spotify.com/v1/tracks/7qJkuqvDhyD20D1JCK2Aqy,https://api.spotify.com/v1/audio-analysis/7qJkuqvDhyD20D1JCK2Aqy,732733.0,4.0,
18,18, New York,New York City,125th Street Paradise Bowling Alley,Chris Gantry,error,error,error,,,,,,,,,,,,,,,,,,,
19,19, New York,New York City,125th Street Shuffle,Jah Thomas,spotify:track:0CMzfjfWBZn80ZVdIwfisQ,0,2004-08-26,0.803,0.613,1.0,-6.945,0.0,0.0642,0.0412,0.944,0.084,0.908,92.087,audio_features,0CMzfjfWBZn80ZVdIwfisQ,spotify:track:0CMzfjfWBZn80ZVdIwfisQ,https://api.spotify.com/v1/tracks/0CMzfjfWBZn80ZVdIwfisQ,https://api.spotify.com/v1/audio-analysis/0CMzfjfWBZn80ZVdIwfisQ,232027.0,4.0,
20,20, New York,New York City,1254 New York,Robert Leroux,error,error,error,,,,,,,,,,,,,,,,,,,
21,21, New York,New York City,127th Street March,Jonah Jones Quartet,error,error,error,,,,,,,,,,,,,,,,,,,
22,22, New York,New York City,13 I 73 5:356:14:03 PM NYC,La Monte Young,error,error,error,,,,,,,,,,,,,,,,,,,
23,23, New York,New York City,The 135th Street Theme,Zachary Breaux,error,error,error,,,,,,,,,,,,,,,,,,,
24,24, New York,New York City,1394 St. Johns Place,Dean Fraser,error,error,error,,,,,,,,,,,,,,,,,,,
25,25, New York,New York City,13000 Taxi Cabs In NYC,DJ Vitamix,error,error,error,,,,,,,,,,,,,,,,,,,
26,26, New York,New York City,14th Street,Rufus Wainwright,spotify:track:6m7RPmtcYfM1Zhytjn3ICL,34,2003-09-23,0.489,0.777,8.0,-5.229,1.0,0.0452,0.344,2.51e-05,0.245,0.247,119.062,audio_features,6m7RPmtcYfM1Zhytjn3ICL,spotify:track:6m7RPmtcYfM1Zhytjn3ICL,https://api.spotify.com/v1/tracks/6m7RPmtcYfM1Zhytjn3ICL,https://api.spotify.com/v1/audio-analysis/6m7RPmtcYfM1Zhytjn3ICL,284293.0,3.0,
27,27, New York,New York City,14th Street Beat,Sylvain Sylvain,spotify:track:77ldo6YOfzP0ipASe9aY9W,7,1979-01-01,0.446,0.983,0.0,-3.917,1.0,0.0557,0.00558,0.0,0.357,0.65,122.804,audio_features,77ldo6YOfzP0ipASe9aY9W,spotify:track:77ldo6YOfzP0ipASe9aY9W,https://api.spotify.com/v1/tracks/77ldo6YOfzP0ipASe9aY9W,https://api.spotify.com/v1/audio-analysis/77ldo6YOfzP0ipASe9aY9W,192467.0,4.0,
28,28, New York,New York City,14th Street Blues,Leon Redbone,spotify:track:5QhPCsNXbayTwLydvYF4EX,5,1990,0.454,0.0614,2.0,-23.629,0.0,0.039,0.989,0.754,0.113,0.411,91.029,audio_features,5QhPCsNXbayTwLydvYF4EX,spotify:track:5QhPCsNXbayTwLydvYF4EX,https://api.spotify.com/v1/tracks/5QhPCsNXbayTwLydvYF4EX,https://api.spotify.com/v1/audio-analysis/5QhPCsNXbayTwLydvYF4EX,173707.0,4.0,
29,29, New York,New York City,14th Street Break,Beastie Boys,error,error,error,,,,,,,,,,,,,,,,,,,
30,30, New York,New York City,133rd Street Boogie,Sammy Price,spotify:track:0hn1EeasjGa9dKhMlhQeJz,0,2008-01-01,0.483,0.423,10.0,-14.106,1.0,0.028,0.987,0.939,0.163,0.955,94.563,audio_features,0hn1EeasjGa9dKhMlhQeJz,spotify:track:0hn1EeasjGa9dKhMlhQeJz,https://api.spotify.com/v1/tracks/0hn1EeasjGa9dKhMlhQeJz,https://api.spotify.com/v1/audio-analysis/0hn1EeasjGa9dKhMlhQeJz,143804.0,4.0,
31,31, New York,New York City,153rd Street Theme,Larry Willis,spotify:track:2hCDSEBTusu2HJ9JhxkjFP,13,1973-01-01,0.541,0.527,5.0,-11.233,0.0,0.0321,0.718,0.855,0.086,0.757,168.384,audio_features,2hCDSEBTusu2HJ9JhxkjFP,spotify:track:2hCDSEBTusu2HJ9JhxkjFP,https://api.spotify.com/v1/tracks/2hCDSEBTusu2HJ9JhxkjFP,https://api.spotify.com/v1/audio-analysis/2hCDSEBTusu2HJ9JhxkjFP,408533.0,4.0,
32,32, New York,New York City,1617 Broadway,(from the musical Mr. Wonderful),spotify:track:3uTplHsUcp49ZtB2etPSdO,0,1956-01-01,0.587,0.48,7.0,-7.906,1.0,0.275,0.756,3.38e-06,0.49,0.706,152.584,audio_features,3uTplHsUcp49ZtB2etPSdO,spotify:track:3uTplHsUcp49ZtB2etPSdO,https://api.spotify.com/v1/tracks/3uTplHsUcp49ZtB2etPSdO,https://api.spotify.com/v1/audio-analysis/3uTplHsUcp49ZtB2etPSdO,152227.0,4.0,
33,33, New York,New York City,1650 Broadway Medley,Carole King,spotify:track:52r0WLqyI0JVBw2S3XRN9w,29,2014-04-01,0.575,0.824,1.0,-4.2,1.0,0.0771,0.533,5.57e-06,0.588,0.95,153.083,audio_features,52r0WLqyI0JVBw2S3XRN9w,spotify:track:52r0WLqyI0JVBw2S3XRN9w,https://api.spotify.com/v1/tracks/52r0WLqyI0JVBw2S3XRN9w,https://api.spotify.com/v1/audio-analysis/52r0WLqyI0JVBw2S3XRN9w,120227.0,4.0,
34,34, New York,New York City,1664 Park Avenue,Janice Robinson,error,error,error,,,,,,,,,,,,,,,,,,,
35,35, New York,New York City,17th Street,Gil ScottHeron,spotify:track:4eQ0WUt1cpH9vzYflp17u8,0,1991-01-01,0.364,0.0428,1.0,-26.458,0.0,0.0547,0.993,0.915,0.109,0.041,66.754,audio_features,4eQ0WUt1cpH9vzYflp17u8,spotify:track:4eQ0WUt1cpH9vzYflp17u8,https://api.spotify.com/v1/tracks/4eQ0WUt1cpH9vzYflp17u8,https://api.spotify.com/v1/audio-analysis/4eQ0WUt1cpH9vzYflp17u8,156093.0,3.0,
36,36, New York,New York City,1926,V; (covered  Thalia Zedek),spotify:track:0mbtCzple9oQX3f6DPPXED,0,1926-07-01,0.669,0.201,5.0,-13.124,1.0,0.0347,0.994,0.881,0.0834,0.646,105.017,audio_features,0mbtCzple9oQX3f6DPPXED,spotify:track:0mbtCzple9oQX3f6DPPXED,https://api.spotify.com/v1/tracks/0mbtCzple9oQX3f6DPPXED,https://api.spotify.com/v1/audio-analysis/0mbtCzple9oQX3f6DPPXED,199040.0,4.0,
37,37, New York,New York City,1train,A$AP Rocky,spotify:track:1eLU27PPFxBhbp1CBjPh9J,64,2013,0.489,0.878,2.0,-3.36,1.0,0.368,0.351,0.0,0.698,0.775,81.497,audio_features,1eLU27PPFxBhbp1CBjPh9J,spotify:track:1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/tracks/1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/audio-analysis/1eLU27PPFxBhbp1CBjPh9J,372173.0,4.0,
38,38, New York,New York City,2 Train,Mario (American singer),spotify:track:4Yq7dvLJSGknylCmnWjI3t,21,2002-07-22,0.61,0.651,4.0,-8.816,0.0,0.0763,0.0846,0.0,0.148,0.337,147.928,audio_features,4Yq7dvLJSGknylCmnWjI3t,spotify:track:4Yq7dvLJSGknylCmnWjI3t,https://api.spotify.com/v1/tracks/4Yq7dvLJSGknylCmnWjI3t,https://api.spotify.com/v1/audio-analysis/4Yq7dvLJSGknylCmnWjI3t,243640.0,4.0,
