,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Ohio,Akron,Downtown (Akron),The Pretenders,spotify:track:5Tgw8sksXTMJH3dRQ9aP7y,14,2008-09-23,0.631,0.726,2.0,-11.275,1.0,0.0611,0.011,0.0223,0.124,0.637,115.142,audio_features,5Tgw8sksXTMJH3dRQ9aP7y,spotify:track:5Tgw8sksXTMJH3dRQ9aP7y,https://api.spotify.com/v1/tracks/5Tgw8sksXTMJH3dRQ9aP7y,https://api.spotify.com/v1/audio-analysis/5Tgw8sksXTMJH3dRQ9aP7y,163093.0,4.0,
1,1, Ohio,Akron,My City Was Gone,The Pretenders,spotify:track:168afNpNQ4YTff7VSih55v,39,2008-09-23,0.761,0.77,9.0,-6.685,1.0,0.0247,0.162,0.501,0.416,0.941,107.723,audio_features,168afNpNQ4YTff7VSih55v,spotify:track:168afNpNQ4YTff7VSih55v,https://api.spotify.com/v1/tracks/168afNpNQ4YTff7VSih55v,https://api.spotify.com/v1/audio-analysis/168afNpNQ4YTff7VSih55v,267187.0,4.0,
2,2, Ohio,Cincinnati,Comin' to Your City,Big & Rich,spotify:track:56EYmR9IrFKKYdygcKXrvH,48,2005-11-15,0.559,0.944,9.0,-1.422,0.0,0.085,0.258,0.0,0.165,0.66,99.027,audio_features,56EYmR9IrFKKYdygcKXrvH,spotify:track:56EYmR9IrFKKYdygcKXrvH,https://api.spotify.com/v1/tracks/56EYmR9IrFKKYdygcKXrvH,https://api.spotify.com/v1/audio-analysis/56EYmR9IrFKKYdygcKXrvH,207133.0,4.0,
3,3, Ohio,Cincinnati,Fins,Jimmy Buffett,spotify:track:4h0gZ422QxBRdTV14u0P8y,54,1985-01-01,0.661,0.645,4.0,-13.52,1.0,0.0487,0.00895,0.0,0.0362,0.93,136.693,audio_features,4h0gZ422QxBRdTV14u0P8y,spotify:track:4h0gZ422QxBRdTV14u0P8y,https://api.spotify.com/v1/tracks/4h0gZ422QxBRdTV14u0P8y,https://api.spotify.com/v1/audio-analysis/4h0gZ422QxBRdTV14u0P8y,204640.0,4.0,
4,4, Ohio,Cincinnati,"Jesus, Take the Wheel",Carrie Underwood,spotify:track:3lec3CzDPAxsZokPph5w87,61,2005-11-14,0.359,0.518,2.0,-3.537,1.0,0.0302,0.665,0.0,0.106,0.135,76.572,audio_features,3lec3CzDPAxsZokPph5w87,spotify:track:3lec3CzDPAxsZokPph5w87,https://api.spotify.com/v1/tracks/3lec3CzDPAxsZokPph5w87,https://api.spotify.com/v1/audio-analysis/3lec3CzDPAxsZokPph5w87,226493.0,4.0,
5,5, Ohio,Cincinnati,Lights of Cincinnati,Scott Walker,error,error,error,,,,,,,,,,,,,,,,,,,
6,6, Ohio,Cleveland,Anything But Mine,Kenny Chesney,spotify:track:36mCPzCbnDVSfvh5KHGutc,49,2009-05-19,0.501,0.496,4.0,-9.469,1.0,0.0317,0.0337,0.0,0.0655,0.364,148.06,audio_features,36mCPzCbnDVSfvh5KHGutc,spotify:track:36mCPzCbnDVSfvh5KHGutc,https://api.spotify.com/v1/tracks/36mCPzCbnDVSfvh5KHGutc,https://api.spotify.com/v1/audio-analysis/36mCPzCbnDVSfvh5KHGutc,324920.0,4.0,
7,7, Ohio,Cleveland,Burn On,Randy Newman,spotify:track:4eVrvgT94P8WukADoh6E2P,29,1972-05-01,0.465,0.113,11.0,-14.244,1.0,0.0353,0.965,0.0013,0.174,0.218,117.132,audio_features,4eVrvgT94P8WukADoh6E2P,spotify:track:4eVrvgT94P8WukADoh6E2P,https://api.spotify.com/v1/tracks/4eVrvgT94P8WukADoh6E2P,https://api.spotify.com/v1/audio-analysis/4eVrvgT94P8WukADoh6E2P,153400.0,4.0,
8,8, Ohio,Cleveland,Christmas in Cleveland,The Raveonettes,spotify:track:34rgy1acmu97CNh5hi2ShG,1,2008-11-25,0.0974,0.624,9.0,-7.459,1.0,0.0468,0.00819,0.00305,0.0396,0.177,159.639,audio_features,34rgy1acmu97CNh5hi2ShG,spotify:track:34rgy1acmu97CNh5hi2ShG,https://api.spotify.com/v1/tracks/34rgy1acmu97CNh5hi2ShG,https://api.spotify.com/v1/audio-analysis/34rgy1acmu97CNh5hi2ShG,304118.0,4.0,
9,9, Ohio,Cleveland,Cleveland,Jewel,spotify:track:1RiEHOeP2cdapypg39IMBr,19,2001-10-30,0.467,0.716,10.0,-7.3,1.0,0.0368,0.00325,0.000655,0.136,0.372,171.706,audio_features,1RiEHOeP2cdapypg39IMBr,spotify:track:1RiEHOeP2cdapypg39IMBr,https://api.spotify.com/v1/tracks/1RiEHOeP2cdapypg39IMBr,https://api.spotify.com/v1/audio-analysis/1RiEHOeP2cdapypg39IMBr,250227.0,4.0,
