,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Oklahoma,Muskogee,Okie from Muskogee,Merle Haggard,spotify:track:1uuqRaSJAiQ6VB8BWblXWJ,53,1995-01-01,0.684,0.416,4.0,-12.967,1.0,0.0536,0.462,0.0,0.384,0.738,142.385,audio_features,1uuqRaSJAiQ6VB8BWblXWJ,spotify:track:1uuqRaSJAiQ6VB8BWblXWJ,https://api.spotify.com/v1/tracks/1uuqRaSJAiQ6VB8BWblXWJ,https://api.spotify.com/v1/audio-analysis/1uuqRaSJAiQ6VB8BWblXWJ,160138.0,4.0,
1,1, Oklahoma,Tulsa,200 More Miles,Cowboy Junkies,spotify:track:4JNpq7GnALN0YpkASCGkzo,26,1988-11-01,0.185,0.111,0.0,-21.192,1.0,0.0344,0.799,0.00824,0.112,0.131,71.445,audio_features,4JNpq7GnALN0YpkASCGkzo,spotify:track:4JNpq7GnALN0YpkASCGkzo,https://api.spotify.com/v1/tracks/4JNpq7GnALN0YpkASCGkzo,https://api.spotify.com/v1/audio-analysis/4JNpq7GnALN0YpkASCGkzo,329800.0,4.0,
2,2, Oklahoma,Tulsa,Almost to Tulsa,Buddy Charleton,error,error,error,,,,,,,,,,,,,,,,,,,
3,3, Oklahoma,Tulsa,Convoy,C.W. McCall,spotify:track:6dGWq08LXuIw6T2oUeHECh,60,1990-01-01,0.68,0.543,5.0,-14.876,1.0,0.141,0.857,0.000116,0.0881,0.796,111.62,audio_features,6dGWq08LXuIw6T2oUeHECh,spotify:track:6dGWq08LXuIw6T2oUeHECh,https://api.spotify.com/v1/tracks/6dGWq08LXuIw6T2oUeHECh,https://api.spotify.com/v1/audio-analysis/6dGWq08LXuIw6T2oUeHECh,230600.0,4.0,
4,4, Oklahoma,Tulsa,Don't Let the Sun Set on You in Tulsa,Waylon Jennings,error,error,error,,,,,,,,,,,,,,,,,,,
5,5, Oklahoma,Tulsa,Don't Make Me Come to Tulsa,Wade Hayes,spotify:track:60tcahoglu9NKNoYpO6292,15,1995,0.764,0.595,4.0,-8.819,1.0,0.0398,0.142,3.91e-06,0.19,0.566,116.282,audio_features,60tcahoglu9NKNoYpO6292,spotify:track:60tcahoglu9NKNoYpO6292,https://api.spotify.com/v1/tracks/60tcahoglu9NKNoYpO6292,https://api.spotify.com/v1/audio-analysis/60tcahoglu9NKNoYpO6292,212200.0,4.0,
6,6, Oklahoma,Tulsa,Easton and Main,the Turnpike Troubadours,spotify:track:2KYQ3NrpKTATXq0v1XtHoP,47,2015-09-18,0.485,0.784,7.0,-3.397,1.0,0.0329,0.232,0.024,0.134,0.621,127.789,audio_features,2KYQ3NrpKTATXq0v1XtHoP,spotify:track:2KYQ3NrpKTATXq0v1XtHoP,https://api.spotify.com/v1/tracks/2KYQ3NrpKTATXq0v1XtHoP,https://api.spotify.com/v1/audio-analysis/2KYQ3NrpKTATXq0v1XtHoP,237627.0,4.0,
7,7, Oklahoma,Tulsa,Halfway to Tulsa,Larry Sparks,spotify:track:1oXc0wxsUUzAcCZhpiTkJk,0,2011-10-30,0.501,0.0979,5.0,-15.433,1.0,0.0357,0.655,3.44e-05,0.182,0.457,113.793,audio_features,1oXc0wxsUUzAcCZhpiTkJk,spotify:track:1oXc0wxsUUzAcCZhpiTkJk,https://api.spotify.com/v1/tracks/1oXc0wxsUUzAcCZhpiTkJk,https://api.spotify.com/v1/audio-analysis/1oXc0wxsUUzAcCZhpiTkJk,196800.0,3.0,
8,8, Oklahoma,Tulsa,Home Sweet Oklahoma,Leon Russell,spotify:track:27ftja8mfOMK9rWCwqj7Qr,25,1971,0.41,0.383,5.0,-13.18,1.0,0.0346,0.652,0.000519,0.191,0.445,75.722,audio_features,27ftja8mfOMK9rWCwqj7Qr,spotify:track:27ftja8mfOMK9rWCwqj7Qr,https://api.spotify.com/v1/tracks/27ftja8mfOMK9rWCwqj7Qr,https://api.spotify.com/v1/audio-analysis/27ftja8mfOMK9rWCwqj7Qr,207760.0,4.0,
9,9, Oklahoma,Tulsa,Last Trip to Tulsa,Neil Young,spotify:track:5DuqkaZP6rr7R9WeKxYAnM,28,1969-01-22,0.52,0.201,2.0,-14.648,1.0,0.0542,0.741,3.56e-05,0.0893,0.132,130.11,audio_features,5DuqkaZP6rr7R9WeKxYAnM,spotify:track:5DuqkaZP6rr7R9WeKxYAnM,https://api.spotify.com/v1/tracks/5DuqkaZP6rr7R9WeKxYAnM,https://api.spotify.com/v1/audio-analysis/5DuqkaZP6rr7R9WeKxYAnM,566973.0,4.0,
10,10, Oklahoma,Tulsa,Prisoner of the Highway,Ronnie Milsap,spotify:track:0waChYPfitPtFhFRFxtv50,47,1984-04-01,0.733,0.636,0.0,-7.835,1.0,0.0264,0.22,5.95e-06,0.0753,0.868,92.531,audio_features,0waChYPfitPtFhFRFxtv50,spotify:track:0waChYPfitPtFhFRFxtv50,https://api.spotify.com/v1/tracks/0waChYPfitPtFhFRFxtv50,https://api.spotify.com/v1/audio-analysis/0waChYPfitPtFhFRFxtv50,253133.0,4.0,
11,11, Oklahoma,Tulsa,Take Me Back to Oklahoma,Chub Checker,spotify:track:0P7HVOq6iJhg5WxFiFmZxs,3,1994,0.417,0.3,7.0,-15.118,1.0,0.0326,0.0551,0.00327,0.143,0.307,113.304,audio_features,0P7HVOq6iJhg5WxFiFmZxs,spotify:track:0P7HVOq6iJhg5WxFiFmZxs,https://api.spotify.com/v1/tracks/0P7HVOq6iJhg5WxFiFmZxs,https://api.spotify.com/v1/audio-analysis/0P7HVOq6iJhg5WxFiFmZxs,464253.0,3.0,
12,12, Oklahoma,Tulsa,Take Me Back to Oklahoma,Henson Cargill,spotify:track:2J3gTXYfsIOnJMB6cgp8mt,6,1988,0.784,0.341,9.0,-11.911,1.0,0.0309,0.591,0.00576,0.0705,0.595,76.952,audio_features,2J3gTXYfsIOnJMB6cgp8mt,spotify:track:2J3gTXYfsIOnJMB6cgp8mt,https://api.spotify.com/v1/tracks/2J3gTXYfsIOnJMB6cgp8mt,https://api.spotify.com/v1/audio-analysis/2J3gTXYfsIOnJMB6cgp8mt,242313.0,4.0,
13,13, Oklahoma,Tulsa,Take Me Back to Tulsa,Bob Wills,spotify:track:74zBjPCZ1juar6yeglInYv,36,1960-01-01,0.731,0.555,2.0,-8.365,1.0,0.175,0.477,1.04e-05,0.326,0.961,136.342,audio_features,74zBjPCZ1juar6yeglInYv,spotify:track:74zBjPCZ1juar6yeglInYv,https://api.spotify.com/v1/tracks/74zBjPCZ1juar6yeglInYv,https://api.spotify.com/v1/audio-analysis/74zBjPCZ1juar6yeglInYv,154920.0,4.0,
14,14, Oklahoma,Tulsa,Tampa to Tulsa,The Jayhawks[53],spotify:track:13oA6zf1ulzKDBpf1NFAWY,28,2003-01-01,0.575,0.223,4.0,-11.12,0.0,0.0271,0.685,1.78e-05,0.149,0.292,82.882,audio_features,13oA6zf1ulzKDBpf1NFAWY,spotify:track:13oA6zf1ulzKDBpf1NFAWY,https://api.spotify.com/v1/tracks/13oA6zf1ulzKDBpf1NFAWY,https://api.spotify.com/v1/audio-analysis/13oA6zf1ulzKDBpf1NFAWY,241040.0,4.0,
15,15, Oklahoma,Tulsa,Tell Me Something Bad About Tulsa,Merle Haggard,spotify:track:4RzmLd77OM3nIksqC767qD,7,1986-03-13,0.636,0.279,2.0,-12.1,1.0,0.0305,0.615,3e-05,0.124,0.217,127.668,audio_features,4RzmLd77OM3nIksqC767qD,spotify:track:4RzmLd77OM3nIksqC767qD,https://api.spotify.com/v1/tracks/4RzmLd77OM3nIksqC767qD,https://api.spotify.com/v1/audio-analysis/4RzmLd77OM3nIksqC767qD,195133.0,4.0,
16,16, Oklahoma,Tulsa,The Day That She Left Tulsa,Wade Hayes,spotify:track:0QMmEcLfSWcfkuy5SS0IIj,31,1998-01-21,0.473,0.431,8.0,-9.399,1.0,0.0288,0.0203,6.62e-05,0.311,0.106,68.28,audio_features,0QMmEcLfSWcfkuy5SS0IIj,spotify:track:0QMmEcLfSWcfkuy5SS0IIj,https://api.spotify.com/v1/tracks/0QMmEcLfSWcfkuy5SS0IIj,https://api.spotify.com/v1/audio-analysis/0QMmEcLfSWcfkuy5SS0IIj,213067.0,4.0,
17,17, Oklahoma,Tulsa,The Heart of Rock & Roll,Huey Lewis and the News,spotify:track:715sEYWkafd4xvl87dwZgu,57,2013-01-01,0.594,0.756,10.0,-8.82,1.0,0.0379,0.0316,0.000102,0.222,0.956,143.301,audio_features,715sEYWkafd4xvl87dwZgu,spotify:track:715sEYWkafd4xvl87dwZgu,https://api.spotify.com/v1/tracks/715sEYWkafd4xvl87dwZgu,https://api.spotify.com/v1/audio-analysis/715sEYWkafd4xvl87dwZgu,304920.0,4.0,
18,18, Oklahoma,Tulsa,The Tulsa Shuffle,The Tractors,spotify:track:0FOWeHq8x4rlU37O2ujQIr,30,1994,0.702,0.741,2.0,-7.098,1.0,0.0327,0.0933,0.000717,0.154,0.603,119.881,audio_features,0FOWeHq8x4rlU37O2ujQIr,spotify:track:0FOWeHq8x4rlU37O2ujQIr,https://api.spotify.com/v1/tracks/0FOWeHq8x4rlU37O2ujQIr,https://api.spotify.com/v1/audio-analysis/0FOWeHq8x4rlU37O2ujQIr,233600.0,4.0,
19,19, Oklahoma,Tulsa,Tulsa,Rufus Wainwright,spotify:track:0LZWVdDqeH2nM9HtFXwk1d,12,2007-01-01,0.258,0.393,3.0,-8.819,0.0,0.0368,0.766,0.0,0.0701,0.353,102.395,audio_features,0LZWVdDqeH2nM9HtFXwk1d,spotify:track:0LZWVdDqeH2nM9HtFXwk1d,https://api.spotify.com/v1/tracks/0LZWVdDqeH2nM9HtFXwk1d,https://api.spotify.com/v1/audio-analysis/0LZWVdDqeH2nM9HtFXwk1d,138133.0,4.0,
20,20, Oklahoma,Tulsa,Tulsa,"Wayne ""The Train"" Hancock",spotify:track:4xxiTCxUijoFMYy9el26Pv,16,2006-10-10,0.652,0.595,1.0,-4.327,0.0,0.0307,0.784,0.000483,0.112,0.873,107.615,audio_features,4xxiTCxUijoFMYy9el26Pv,spotify:track:4xxiTCxUijoFMYy9el26Pv,https://api.spotify.com/v1/tracks/4xxiTCxUijoFMYy9el26Pv,https://api.spotify.com/v1/audio-analysis/4xxiTCxUijoFMYy9el26Pv,244333.0,4.0,
21,21, Oklahoma,Tulsa,Tulsa,Waylon Jennings,spotify:track:29XDDOcKtVf91fP2zypqMj,21,2006-09-26,0.623,0.424,9.0,-12.02,1.0,0.0263,0.573,0.00313,0.0978,0.652,111.186,audio_features,29XDDOcKtVf91fP2zypqMj,spotify:track:29XDDOcKtVf91fP2zypqMj,https://api.spotify.com/v1/tracks/29XDDOcKtVf91fP2zypqMj,https://api.spotify.com/v1/audio-analysis/29XDDOcKtVf91fP2zypqMj,185227.0,4.0,
22,22, Oklahoma,Tulsa,Tulsa Ba,Dave Stogner,spotify:track:0wuLnnx3yAT4W0k7F4zyzQ,0,2007-09-21,0.754,0.494,1.0,-13.631,1.0,0.126,0.993,0.335,0.242,0.863,97.948,audio_features,0wuLnnx3yAT4W0k7F4zyzQ,spotify:track:0wuLnnx3yAT4W0k7F4zyzQ,https://api.spotify.com/v1/tracks/0wuLnnx3yAT4W0k7F4zyzQ,https://api.spotify.com/v1/audio-analysis/0wuLnnx3yAT4W0k7F4zyzQ,146413.0,4.0,
23,23, Oklahoma,Tulsa,Tulsa County,The Byrds,spotify:track:1I2NQdDt1ys37x9xOMj1ux,16,1969-11-10,0.584,0.385,4.0,-10.398,1.0,0.0282,0.594,0.000876,0.0656,0.721,113.84,audio_features,1I2NQdDt1ys37x9xOMj1ux,spotify:track:1I2NQdDt1ys37x9xOMj1ux,https://api.spotify.com/v1/tracks/1I2NQdDt1ys37x9xOMj1ux,https://api.spotify.com/v1/audio-analysis/1I2NQdDt1ys37x9xOMj1ux,168800.0,4.0,
24,24, Oklahoma,Tulsa,Tulsa Girl,Dwight Twilley,error,error,error,,,,,,,,,,,,,,,,,,,
25,25, Oklahoma,Tulsa,Tulsa Queen,Emmylou Harris,spotify:track:7ki4WQW2R2fVlXVr3K0gKE,36,1977,0.483,0.376,4.0,-12.935,1.0,0.029,0.0334,0.036,0.154,0.403,117.277,audio_features,7ki4WQW2R2fVlXVr3K0gKE,spotify:track:7ki4WQW2R2fVlXVr3K0gKE,https://api.spotify.com/v1/tracks/7ki4WQW2R2fVlXVr3K0gKE,https://api.spotify.com/v1/audio-analysis/7ki4WQW2R2fVlXVr3K0gKE,286680.0,4.0,
26,26, Oklahoma,Tulsa,Tulsa Sounds Like Trouble to Me,Shawn Camp,spotify:track:15eyWC2Whw22S2SgZYrN4S,3,2006-03-21,0.404,0.883,7.0,-7.954,1.0,0.076,0.0505,0.000778,0.263,0.858,186.676,audio_features,15eyWC2Whw22S2SgZYrN4S,spotify:track:15eyWC2Whw22S2SgZYrN4S,https://api.spotify.com/v1/tracks/15eyWC2Whw22S2SgZYrN4S,https://api.spotify.com/v1/audio-analysis/15eyWC2Whw22S2SgZYrN4S,214787.0,4.0,
27,27, Oklahoma,Tulsa,Tulsa Straight Ahead,Jimmy Hall,error,error,error,,,,,,,,,,,,,,,,,,,
28,28, Oklahoma,Tulsa,Tulsa Telephone Book,Tom T. Hall,spotify:track:7EwsutSwZzwkFz3XIcvML2,25,1971-01-01,0.588,0.49,6.0,-10.09,1.0,0.0342,0.869,0.0,0.174,0.926,152.095,audio_features,7EwsutSwZzwkFz3XIcvML2,spotify:track:7EwsutSwZzwkFz3XIcvML2,https://api.spotify.com/v1/tracks/7EwsutSwZzwkFz3XIcvML2,https://api.spotify.com/v1/audio-analysis/7EwsutSwZzwkFz3XIcvML2,143667.0,4.0,
29,29, Oklahoma,Tulsa,Tulsa Time,Don Williams,spotify:track:0cThXovxrvU68JuzYUXhJT,59,1978-08-23,0.916,0.57,4.0,-13.011,1.0,0.0334,0.458,0.000721,0.0595,0.957,104.415,audio_features,0cThXovxrvU68JuzYUXhJT,spotify:track:0cThXovxrvU68JuzYUXhJT,https://api.spotify.com/v1/tracks/0cThXovxrvU68JuzYUXhJT,https://api.spotify.com/v1/audio-analysis/0cThXovxrvU68JuzYUXhJT,195347.0,4.0,
30,30, Oklahoma,Tulsa,Tulsa Turnaround,Kenny Rogers,spotify:track:7F2NNATh81twZuSgPcgZ10,25,1979-10-10,0.493,0.596,11.0,-12.023,0.0,0.114,0.134,6.78e-06,0.067,0.788,158.908,audio_features,7F2NNATh81twZuSgPcgZ10,spotify:track:7F2NNATh81twZuSgPcgZ10,https://api.spotify.com/v1/tracks/7F2NNATh81twZuSgPcgZ10,https://api.spotify.com/v1/audio-analysis/7F2NNATh81twZuSgPcgZ10,172027.0,4.0,
31,31, Oklahoma,Tulsa,24 Hours From Tulsa,Gene Pitney,spotify:track:5daJNHhXBesrifRSNrHb7k,31,2005,0.557,0.451,7.0,-12.27,1.0,0.0339,0.481,0.0,0.339,0.82,78.984,audio_features,5daJNHhXBesrifRSNrHb7k,spotify:track:5daJNHhXBesrifRSNrHb7k,https://api.spotify.com/v1/tracks/5daJNHhXBesrifRSNrHb7k,https://api.spotify.com/v1/audio-analysis/5daJNHhXBesrifRSNrHb7k,179267.0,4.0,
32,32, Oklahoma,Tulsa,You're the Reason God Made Oklahoma,David Frizzell & Shelly West,spotify:track:5gHhcWYDdRd6i3t9KfPy3Z,4,2011-05-24,0.563,0.417,9.0,-9.273,1.0,0.0272,0.421,0.0,0.174,0.299,99.276,audio_features,5gHhcWYDdRd6i3t9KfPy3Z,spotify:track:5gHhcWYDdRd6i3t9KfPy3Z,https://api.spotify.com/v1/tracks/5gHhcWYDdRd6i3t9KfPy3Z,https://api.spotify.com/v1/audio-analysis/5gHhcWYDdRd6i3t9KfPy3Z,194609.0,4.0,
