,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Oregon,Eugene,Eugene,Sufjan Stevens,spotify:track:161iDrAGFqkzeXSaxworBs,54,2015-03-31,0.555,0.12,11.0,-24.043,1.0,0.0433,0.973,0.303,0.285,0.672,84.293,audio_features,161iDrAGFqkzeXSaxworBs,spotify:track:161iDrAGFqkzeXSaxworBs,https://api.spotify.com/v1/tracks/161iDrAGFqkzeXSaxworBs,https://api.spotify.com/v1/audio-analysis/161iDrAGFqkzeXSaxworBs,146893.0,4.0,
1,1, Oregon,Eugene,"Eugene, Oregon",Dolly Parton,spotify:track:1ajtsjAhOHBQwxkbamy2Ty,15,2009-10-30,0.557,0.723,2.0,-9.799,1.0,0.0359,0.399,0.0,0.0512,0.964,151.491,audio_features,1ajtsjAhOHBQwxkbamy2Ty,spotify:track:1ajtsjAhOHBQwxkbamy2Ty,https://api.spotify.com/v1/tracks/1ajtsjAhOHBQwxkbamy2Ty,https://api.spotify.com/v1/audio-analysis/1ajtsjAhOHBQwxkbamy2Ty,173680.0,4.0,
2,2, Oregon,Portland,Portland's Burning,Defiance,spotify:track:3kbRWDbITSu3iHQv5vOU3b,3,2009-05-21,0.279,0.955,0.0,-4.515,1.0,0.0646,0.000317,1.12e-05,0.0658,0.476,163.513,audio_features,3kbRWDbITSu3iHQv5vOU3b,spotify:track:3kbRWDbITSu3iHQv5vOU3b,https://api.spotify.com/v1/tracks/3kbRWDbITSu3iHQv5vOU3b,https://api.spotify.com/v1/audio-analysis/3kbRWDbITSu3iHQv5vOU3b,127867.0,4.0,
3,3, Oregon,Portland,Dream of the 90's,Carrie Brownstein and Fred Armisen,spotify:track:6IQiEEiCIJb86ydfRd0Vzr,21,2014-09-20,0.674,0.793,8.0,-3.772,1.0,0.0342,0.655,0.0,0.107,0.721,119.983,audio_features,6IQiEEiCIJb86ydfRd0Vzr,spotify:track:6IQiEEiCIJb86ydfRd0Vzr,https://api.spotify.com/v1/tracks/6IQiEEiCIJb86ydfRd0Vzr,https://api.spotify.com/v1/audio-analysis/6IQiEEiCIJb86ydfRd0Vzr,193040.0,4.0,
4,4, Oregon,Portland,Alameda,Elliott Smith [1],spotify:track:3c1EHob1Rp5p1P37YERSr6,41,1997-02-25,0.596,0.417,3.0,-12.042,1.0,0.0294,0.436,0.04,0.0882,0.333,78.481,audio_features,3c1EHob1Rp5p1P37YERSr6,spotify:track:3c1EHob1Rp5p1P37YERSr6,https://api.spotify.com/v1/tracks/3c1EHob1Rp5p1P37YERSr6,https://api.spotify.com/v1/audio-analysis/3c1EHob1Rp5p1P37YERSr6,223400.0,4.0,
5,5, Oregon,Portland,By the Banks of the Old Willamette,[2],error,error,error,,,,,,,,,,,,,,,,,,,
6,6, Oregon,Portland,City of Roses,"Esperanza Spalding; refers to her childhood days spent in her hometown and the nickname of Portland, Oregon [3][4]",spotify:track:0In7P4fo3YYwMHdjmCXMru,23,2012-01-01,0.63,0.349,5.0,-13.904,1.0,0.0517,0.568,0.000364,0.0929,0.541,98.342,audio_features,0In7P4fo3YYwMHdjmCXMru,spotify:track:0In7P4fo3YYwMHdjmCXMru,https://api.spotify.com/v1/tracks/0In7P4fo3YYwMHdjmCXMru,https://api.spotify.com/v1/audio-analysis/0In7P4fo3YYwMHdjmCXMru,275333.0,4.0,
7,7, Oregon,Portland,Everyone Knows Everyone,The Helio Sequence [5],spotify:track:6K7tjNCgESLOmi8qIgFB2B,17,2004-06-08,0.457,0.716,6.0,-6.28,0.0,0.0306,0.024,0.1,0.11,0.427,95.019,audio_features,6K7tjNCgESLOmi8qIgFB2B,spotify:track:6K7tjNCgESLOmi8qIgFB2B,https://api.spotify.com/v1/tracks/6K7tjNCgESLOmi8qIgFB2B,https://api.spotify.com/v1/audio-analysis/6K7tjNCgESLOmi8qIgFB2B,216680.0,4.0,
8,8, Oregon,Portland,I Will Buy You a New Life,Everclear [3],spotify:track:0EhAxHA9Zs8N7nIhZeSHD7,0,2013-11-23,0.651,0.409,7.0,-14.975,1.0,0.0389,0.000292,0.809,0.131,0.336,84.475,audio_features,0EhAxHA9Zs8N7nIhZeSHD7,spotify:track:0EhAxHA9Zs8N7nIhZeSHD7,https://api.spotify.com/v1/tracks/0EhAxHA9Zs8N7nIhZeSHD7,https://api.spotify.com/v1/audio-analysis/0EhAxHA9Zs8N7nIhZeSHD7,244930.0,4.0,
9,9, Oregon,Portland,Light Rail Coyote,Sleater Kinney [1],spotify:track:3GyHbAEdy1Hf7t8jRmufpI,22,2002,0.201,0.957,11.0,-2.871,1.0,0.0914,0.0148,0.00307,0.371,0.529,170.205,audio_features,3GyHbAEdy1Hf7t8jRmufpI,spotify:track:3GyHbAEdy1Hf7t8jRmufpI,https://api.spotify.com/v1/tracks/3GyHbAEdy1Hf7t8jRmufpI,https://api.spotify.com/v1/audio-analysis/3GyHbAEdy1Hf7t8jRmufpI,188627.0,4.0,
