,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Pennsylvania,Allentown,Allentown,Billy Joel,spotify:track:59xhCcRskqyMtKzdvLZDfV,53,1982-06-23,0.69,0.837,7.0,-8.312,1.0,0.0289,0.127,7.2e-06,0.102,0.967,113.817,audio_features,59xhCcRskqyMtKzdvLZDfV,spotify:track:59xhCcRskqyMtKzdvLZDfV,https://api.spotify.com/v1/tracks/59xhCcRskqyMtKzdvLZDfV,https://api.spotify.com/v1/audio-analysis/59xhCcRskqyMtKzdvLZDfV,230160.0,4.0,
1,1, Pennsylvania,Allentown,Allentown Jail,Kingston Trio,spotify:track:1LIQZwJmz3ByvUYd5RkQhE,1,1995-08-12,0.723,0.356,1.0,-12.408,0.0,0.0283,0.764,0.0,0.106,0.799,108.857,audio_features,1LIQZwJmz3ByvUYd5RkQhE,spotify:track:1LIQZwJmz3ByvUYd5RkQhE,https://api.spotify.com/v1/tracks/1LIQZwJmz3ByvUYd5RkQhE,https://api.spotify.com/v1/audio-analysis/1LIQZwJmz3ByvUYd5RkQhE,149307.0,4.0,
2,2, Pennsylvania,Philadelphia,I-76,G. Love & Special Sauce,spotify:track:40c4Zo0r2HH9aKDgEsbsVA,34,1997-10-20,0.643,0.713,11.0,-6.716,0.0,0.215,0.138,0.0,0.565,0.492,103.942,audio_features,40c4Zo0r2HH9aKDgEsbsVA,spotify:track:40c4Zo0r2HH9aKDgEsbsVA,https://api.spotify.com/v1/tracks/40c4Zo0r2HH9aKDgEsbsVA,https://api.spotify.com/v1/audio-analysis/40c4Zo0r2HH9aKDgEsbsVA,225640.0,4.0,
3,3, Pennsylvania,Philadelphia,Bury me in Philly,Dave Hause,spotify:track:5HvPdjcmTVrb0t8EXQjy4T,29,2017-02-03,0.624,0.843,9.0,-7.448,1.0,0.0428,0.00202,0.0,0.1,0.648,111.02,audio_features,5HvPdjcmTVrb0t8EXQjy4T,spotify:track:5HvPdjcmTVrb0t8EXQjy4T,https://api.spotify.com/v1/tracks/5HvPdjcmTVrb0t8EXQjy4T,https://api.spotify.com/v1/audio-analysis/5HvPdjcmTVrb0t8EXQjy4T,193773.0,4.0,
4,4, Pennsylvania,Philadelphia,Freedom of '76,Ween,spotify:track:7zNOt8sNIYHD3iZYp6irr7,43,1994,0.751,0.198,4.0,-14.337,1.0,0.0374,0.626,0.0,0.284,0.43,91.27,audio_features,7zNOt8sNIYHD3iZYp6irr7,spotify:track:7zNOt8sNIYHD3iZYp6irr7,https://api.spotify.com/v1/tracks/7zNOt8sNIYHD3iZYp6irr7,https://api.spotify.com/v1/audio-analysis/7zNOt8sNIYHD3iZYp6irr7,170667.0,4.0,
5,5, Pennsylvania,Philadelphia,Fall in Philadelphia,Hall & Oates,spotify:track:0FjK2W2zpKcg47i9pIdEEy,16,2020-07-31,0.377,0.335,8.0,-13.951,1.0,0.0341,0.824,0.0,0.254,0.541,152.122,audio_features,0FjK2W2zpKcg47i9pIdEEy,spotify:track:0FjK2W2zpKcg47i9pIdEEy,https://api.spotify.com/v1/tracks/0FjK2W2zpKcg47i9pIdEEy,https://api.spotify.com/v1/audio-analysis/0FjK2W2zpKcg47i9pIdEEy,166429.0,4.0,
6,6, Pennsylvania,Philadelphia,Goode Philadelphia,Peter Cincotti,error,error,error,,,,,,,,,,,,,,,,,,,
7,7, Pennsylvania,Philadelphia,Is This America,Skyhooks,error,error,error,,,,,,,,,,,,,,,,,,,
8,8, Pennsylvania,Philadelphia,Lancaster Avenue Blues,Mischief Brew,spotify:track:2jPpW2CASWTbPHEnDrb6DU,15,2015-06-09,0.436,0.861,2.0,-5.936,0.0,0.0416,0.00418,0.0,0.28,0.647,124.285,audio_features,2jPpW2CASWTbPHEnDrb6DU,spotify:track:2jPpW2CASWTbPHEnDrb6DU,https://api.spotify.com/v1/tracks/2jPpW2CASWTbPHEnDrb6DU,https://api.spotify.com/v1/audio-analysis/2jPpW2CASWTbPHEnDrb6DU,320293.0,4.0,
9,9, Pennsylvania,Philadelphia,Miss Philadelphia,Musiq Soulchild,error,error,error,,,,,,,,,,,,,,,,,,,
