,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Tennessee,Chattanooga,The Chattanooga Shoot Shoot,Darren Hanlon,spotify:track:4JkfKSqbMtUsO4iWEiPCzz,1,2015-03-24,0.693,0.749,4.0,-7.187,1.0,0.0493,0.158,0.0,0.123,0.917,112.297,audio_features,4JkfKSqbMtUsO4iWEiPCzz,spotify:track:4JkfKSqbMtUsO4iWEiPCzz,https://api.spotify.com/v1/tracks/4JkfKSqbMtUsO4iWEiPCzz,https://api.spotify.com/v1/audio-analysis/4JkfKSqbMtUsO4iWEiPCzz,390680.0,4.0,
1,1, Tennessee,Chattanooga,Chattanooga Sugar Babe,Johnny Cash,spotify:track:5UZX9KB0fMzaQ50tbk0oJb,26,2003-01-01,0.61,0.456,7.0,-10.593,1.0,0.031,0.938,0.002,0.113,0.79,104.175,audio_features,5UZX9KB0fMzaQ50tbk0oJb,spotify:track:5UZX9KB0fMzaQ50tbk0oJb,https://api.spotify.com/v1/tracks/5UZX9KB0fMzaQ50tbk0oJb,https://api.spotify.com/v1/audio-analysis/5UZX9KB0fMzaQ50tbk0oJb,196960.0,4.0,
2,2, Tennessee,Chattanooga,Chattanooga Choo Choo,"The Andrews Sisters, Glenn Miller",spotify:track:5yNglG2EXkdIN3O5id4iFt,23,1996-01-01,0.799,0.24,10.0,-11.497,1.0,0.092,0.975,0.0,0.0932,0.758,74.332,audio_features,5yNglG2EXkdIN3O5id4iFt,spotify:track:5yNglG2EXkdIN3O5id4iFt,https://api.spotify.com/v1/tracks/5yNglG2EXkdIN3O5id4iFt,https://api.spotify.com/v1/audio-analysis/5yNglG2EXkdIN3O5id4iFt,171067.0,4.0,
3,3, Tennessee,Knoxville,Knoxville Girl,Nick Cave,error,error,error,,,,,,,,,,,,,,,,,,,
4,4, Tennessee,Knoxville,Knoxville Courthouse,Hank Williams Jr.,spotify:track:0RJRuXJiiYMnUPhtxgZRAV,24,1984,0.666,0.474,2.0,-15.803,1.0,0.0401,0.0438,4.43e-05,0.0683,0.63,79.207,audio_features,0RJRuXJiiYMnUPhtxgZRAV,spotify:track:0RJRuXJiiYMnUPhtxgZRAV,https://api.spotify.com/v1/tracks/0RJRuXJiiYMnUPhtxgZRAV,https://api.spotify.com/v1/audio-analysis/0RJRuXJiiYMnUPhtxgZRAV,221840.0,4.0,
5,5, Tennessee,Memphis,Black Velvet,Alannah Myles,spotify:track:1KU5EHSz04JhGg3rReGJ0N,71,1989-03-14,0.754,0.366,8.0,-10.07,1.0,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,1KU5EHSz04JhGg3rReGJ0N,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,287440.0,4.0,
6,6, Tennessee,Memphis,Candyman,Grateful Dead,spotify:track:4FJ0051ukEptZAhP01ExGV,42,1970-06-01,0.332,0.423,0.0,-12.102,1.0,0.0384,0.261,0.00014,0.0716,0.519,236.799,audio_features,4FJ0051ukEptZAhP01ExGV,spotify:track:4FJ0051ukEptZAhP01ExGV,https://api.spotify.com/v1/tracks/4FJ0051ukEptZAhP01ExGV,https://api.spotify.com/v1/audio-analysis/4FJ0051ukEptZAhP01ExGV,373970.0,3.0,
7,7, Tennessee,Memphis,Considering A Move To Memphis,The Colorblind James Experience,spotify:track:3DhVcVD7xeK8epGemeGA0M,16,1987-01-06,0.688,0.605,11.0,-13.847,0.0,0.0553,0.203,0.00075,0.314,0.633,128.731,audio_features,3DhVcVD7xeK8epGemeGA0M,spotify:track:3DhVcVD7xeK8epGemeGA0M,https://api.spotify.com/v1/tracks/3DhVcVD7xeK8epGemeGA0M,https://api.spotify.com/v1/audio-analysis/3DhVcVD7xeK8epGemeGA0M,405000.0,4.0,
8,8, Tennessee,Memphis,Crazed Country Rebel,Hank Williams III,spotify:track:3pPirtTb893uRSatvGmy4v,49,2006-02-28,0.667,0.901,9.0,-4.244,1.0,0.0356,0.293,0.000159,0.328,0.965,144.006,audio_features,3pPirtTb893uRSatvGmy4v,spotify:track:3pPirtTb893uRSatvGmy4v,https://api.spotify.com/v1/tracks/3pPirtTb893uRSatvGmy4v,https://api.spotify.com/v1/audio-analysis/3pPirtTb893uRSatvGmy4v,187880.0,4.0,
9,9, Tennessee,Memphis,Graceland,Paul Simon,spotify:track:51KKQAgYFoJHgVIuJWHdHb,67,1986-08-12,0.732,0.705,9.0,-9.271,1.0,0.0349,0.626,0.00068,0.0813,0.848,117.925,audio_features,51KKQAgYFoJHgVIuJWHdHb,spotify:track:51KKQAgYFoJHgVIuJWHdHb,https://api.spotify.com/v1/tracks/51KKQAgYFoJHgVIuJWHdHb,https://api.spotify.com/v1/audio-analysis/51KKQAgYFoJHgVIuJWHdHb,291200.0,4.0,
