,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Texas,Amarillo,Amarillo,Gorillaz,spotify:track:6wmcBujtfEfVQr5kQPk7ZE,45,2010,0.623,0.701,0.0,-7.09,1.0,0.0378,0.13,0.311,0.11,0.721,131.944,audio_features,6wmcBujtfEfVQr5kQPk7ZE,spotify:track:6wmcBujtfEfVQr5kQPk7ZE,https://api.spotify.com/v1/tracks/6wmcBujtfEfVQr5kQPk7ZE,https://api.spotify.com/v1/audio-analysis/6wmcBujtfEfVQr5kQPk7ZE,204467.0,4.0,
1,1, Texas,Amarillo,Amarillo,Emmylou Harris,spotify:track:6IhmShGqk3bTwOtMEyT8t6,24,1975,0.662,0.732,10.0,-8.983,1.0,0.0379,0.278,0.000313,0.0976,0.956,123.168,audio_features,6IhmShGqk3bTwOtMEyT8t6,spotify:track:6IhmShGqk3bTwOtMEyT8t6,https://api.spotify.com/v1/tracks/6IhmShGqk3bTwOtMEyT8t6,https://api.spotify.com/v1/audio-analysis/6IhmShGqk3bTwOtMEyT8t6,181093.0,4.0,
2,2, Texas,Amarillo,Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,60,2005-07-26,0.491,0.776,2.0,-3.887,1.0,0.0393,0.314,0.0,0.146,0.428,154.988,audio_features,0axUHkhMMY0YSC1jFBVWqv,spotify:track:0axUHkhMMY0YSC1jFBVWqv,https://api.spotify.com/v1/tracks/0axUHkhMMY0YSC1jFBVWqv,https://api.spotify.com/v1/audio-analysis/0axUHkhMMY0YSC1jFBVWqv,202547.0,4.0,
3,3, Texas,Amarillo,If Hollywood Don't Need You (Honey I Still Do),Don Williams,spotify:track:6qRYfAO5O4z9ZDOlA59rjw,0,2010-11-19,0.515,0.274,0.0,-17.895,1.0,0.0319,0.0651,0.491,0.261,0.439,72.49,audio_features,6qRYfAO5O4z9ZDOlA59rjw,spotify:track:6qRYfAO5O4z9ZDOlA59rjw,https://api.spotify.com/v1/tracks/6qRYfAO5O4z9ZDOlA59rjw,https://api.spotify.com/v1/audio-analysis/6qRYfAO5O4z9ZDOlA59rjw,190905.0,4.0,
4,4, Texas,Amarillo,Is This the Way to Amarillo,Neil Sedaka and Howard Greenfield,spotify:track:0YdTTdHzXAGHHo6W3ZDYPm,14,2012-01-01,0.557,0.831,9.0,-6.804,1.0,0.0665,0.851,2e-05,0.964,0.549,138.0,audio_features,0YdTTdHzXAGHHo6W3ZDYPm,spotify:track:0YdTTdHzXAGHHo6W3ZDYPm,https://api.spotify.com/v1/tracks/0YdTTdHzXAGHHo6W3ZDYPm,https://api.spotify.com/v1/audio-analysis/0YdTTdHzXAGHHo6W3ZDYPm,303307.0,4.0,
5,5, Texas,Austin,Amy's Back In Austin,Little Texas,spotify:track:03F9hwZMmzYxUyOSqwC2Bk,36,1994-09-16,0.628,0.747,7.0,-7.394,1.0,0.0299,0.0675,0.0,0.106,0.754,116.685,audio_features,03F9hwZMmzYxUyOSqwC2Bk,spotify:track:03F9hwZMmzYxUyOSqwC2Bk,https://api.spotify.com/v1/tracks/03F9hwZMmzYxUyOSqwC2Bk,https://api.spotify.com/v1/audio-analysis/03F9hwZMmzYxUyOSqwC2Bk,276067.0,4.0,
6,6, Texas,Austin,Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,63,2001-07-31,0.605,0.609,7.0,-7.063,1.0,0.0278,0.188,0.0,0.0982,0.275,119.914,audio_features,2WQAknZHrJAEQOFXe0F44P,spotify:track:2WQAknZHrJAEQOFXe0F44P,https://api.spotify.com/v1/tracks/2WQAknZHrJAEQOFXe0F44P,https://api.spotify.com/v1/audio-analysis/2WQAknZHrJAEQOFXe0F44P,230333.0,4.0,
7,7, Texas,Austin,Austin in My Sights,The Bluescasters,spotify:track:5BUutiodaKSRQokkSo9lVE,4,2005-01-01,0.607,0.811,9.0,-4.496,1.0,0.0357,0.477,3.92e-05,0.211,0.58,148.313,audio_features,5BUutiodaKSRQokkSo9lVE,spotify:track:5BUutiodaKSRQokkSo9lVE,https://api.spotify.com/v1/tracks/5BUutiodaKSRQokkSo9lVE,https://api.spotify.com/v1/audio-analysis/5BUutiodaKSRQokkSo9lVE,295413.0,4.0,
8,8, Texas,Austin,Austin to Ashes,the Turnpike Troubadours,error,error,error,,,,,,,,,,,,,,,,,,,
9,9, Texas,Beaumont,Beaumont,Hayes Carll,spotify:track:64c0o7We5e7rete26iTZS1,46,2008,0.688,0.436,0.0,-8.793,0.0,0.0269,0.486,1.72e-06,0.104,0.521,89.983,audio_features,64c0o7We5e7rete26iTZS1,spotify:track:64c0o7We5e7rete26iTZS1,https://api.spotify.com/v1/tracks/64c0o7We5e7rete26iTZS1,https://api.spotify.com/v1/audio-analysis/64c0o7We5e7rete26iTZS1,207133.0,4.0,
10,10, Texas,Beaumont,"Pretty Little Lady From Beaumont, Texas",George Jones,spotify:track:4cxLCVoNCjrMoaWhI1Ca4R,9,1989-02-28,0.58,0.373,7.0,-15.005,1.0,0.0368,0.484,0.0,0.53,0.883,146.572,audio_features,4cxLCVoNCjrMoaWhI1Ca4R,spotify:track:4cxLCVoNCjrMoaWhI1Ca4R,https://api.spotify.com/v1/tracks/4cxLCVoNCjrMoaWhI1Ca4R,https://api.spotify.com/v1/audio-analysis/4cxLCVoNCjrMoaWhI1Ca4R,154960.0,4.0,
11,11, Texas,Beaumont,The Night's Too Long,Patty Loveless,spotify:track:274bEaJJYO3QSRQoFXY4OC,11,1990-01-01,0.662,0.311,10.0,-14.603,1.0,0.0314,0.206,0.0,0.246,0.401,127.457,audio_features,274bEaJJYO3QSRQoFXY4OC,spotify:track:274bEaJJYO3QSRQoFXY4OC,https://api.spotify.com/v1/tracks/274bEaJJYO3QSRQoFXY4OC,https://api.spotify.com/v1/audio-analysis/274bEaJJYO3QSRQoFXY4OC,238427.0,4.0,
12,12, Texas,Brownsville,It's All Here in Brownsville,The Mountain Goats,spotify:track:3KxgLIxBqDwGgNN1knH4Xp,16,1997-06-05,0.53,0.404,3.0,-11.547,1.0,0.0308,0.654,0.00188,0.0854,0.916,133.63,audio_features,3KxgLIxBqDwGgNN1knH4Xp,spotify:track:3KxgLIxBqDwGgNN1knH4Xp,https://api.spotify.com/v1/tracks/3KxgLIxBqDwGgNN1knH4Xp,https://api.spotify.com/v1/audio-analysis/3KxgLIxBqDwGgNN1knH4Xp,113093.0,4.0,
13,13, Texas,Dallas,Big D,from The Most Happy Fella,spotify:track:2evXGSoy9RQUvdtYWGFq0f,7,1962,0.488,0.642,3.0,-13.469,1.0,0.654,0.598,0.0,0.794,0.603,125.58,audio_features,2evXGSoy9RQUvdtYWGFq0f,spotify:track:2evXGSoy9RQUvdtYWGFq0f,https://api.spotify.com/v1/tracks/2evXGSoy9RQUvdtYWGFq0f,https://api.spotify.com/v1/audio-analysis/2evXGSoy9RQUvdtYWGFq0f,339440.0,4.0,
14,14, Texas,Dallas,Dallas,Alan Jackson,spotify:track:6IX9AJCSNoYfnp3kw1wU7K,47,2015-11-06,0.656,0.597,9.0,-7.756,1.0,0.0299,0.0508,0.000944,0.12,0.669,154.52,audio_features,6IX9AJCSNoYfnp3kw1wU7K,spotify:track:6IX9AJCSNoYfnp3kw1wU7K,https://api.spotify.com/v1/tracks/6IX9AJCSNoYfnp3kw1wU7K,https://api.spotify.com/v1/audio-analysis/6IX9AJCSNoYfnp3kw1wU7K,164000.0,4.0,
15,15, Texas,Dallas,Dallas,The Flatlanders,spotify:track:72ZCJnJ62wQCGc1OExu2E2,35,2012-08-08,0.553,0.378,4.0,-8.363,1.0,0.033,0.514,0.0,0.0928,0.374,114.904,audio_features,72ZCJnJ62wQCGc1OExu2E2,spotify:track:72ZCJnJ62wQCGc1OExu2E2,https://api.spotify.com/v1/tracks/72ZCJnJ62wQCGc1OExu2E2,https://api.spotify.com/v1/audio-analysis/72ZCJnJ62wQCGc1OExu2E2,181613.0,4.0,
16,16, Texas,Dallas,Dallas,Holly McNarland,spotify:track:5eisckZNCewlWSBMMJNR4E,4,2002-01-01,0.493,0.659,11.0,-6.622,0.0,0.028,0.122,0.0776,0.216,0.567,77.995,audio_features,5eisckZNCewlWSBMMJNR4E,spotify:track:5eisckZNCewlWSBMMJNR4E,https://api.spotify.com/v1/tracks/5eisckZNCewlWSBMMJNR4E,https://api.spotify.com/v1/audio-analysis/5eisckZNCewlWSBMMJNR4E,281640.0,4.0,
17,17, Texas,Dallas,Dallas,Silver Jews,spotify:track:2oMrFxXxxpqSpMldwEeU8g,32,1996-10-01,0.651,0.494,9.0,-11.555,0.0,0.0298,0.337,0.12,0.104,0.546,122.913,audio_features,2oMrFxXxxpqSpMldwEeU8g,spotify:track:2oMrFxXxxpqSpMldwEeU8g,https://api.spotify.com/v1/tracks/2oMrFxXxxpqSpMldwEeU8g,https://api.spotify.com/v1/audio-analysis/2oMrFxXxxpqSpMldwEeU8g,253973.0,4.0,
18,18, Texas,Dallas,Dallas,Johnny Winter,spotify:track:7MaOSiOEtfY7dF2TEjmDTG,26,1969,0.689,0.482,0.0,-8.632,1.0,0.0332,0.889,0.124,0.35,0.787,108.892,audio_features,7MaOSiOEtfY7dF2TEjmDTG,spotify:track:7MaOSiOEtfY7dF2TEjmDTG,https://api.spotify.com/v1/tracks/7MaOSiOEtfY7dF2TEjmDTG,https://api.spotify.com/v1/audio-analysis/7MaOSiOEtfY7dF2TEjmDTG,165533.0,4.0,
19,19, Texas,Dallas,Dallas 1pm,Saxon,spotify:track:5LbSYBg95bl4Yup6CWCRay,37,1980,0.575,0.721,3.0,-9.419,0.0,0.028,0.000153,0.732,0.0959,0.47,132.17,audio_features,5LbSYBg95bl4Yup6CWCRay,spotify:track:5LbSYBg95bl4Yup6CWCRay,https://api.spotify.com/v1/tracks/5LbSYBg95bl4Yup6CWCRay,https://api.spotify.com/v1/audio-analysis/5LbSYBg95bl4Yup6CWCRay,389736.0,4.0,
