,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Virginia,Arlington,Arlandria,Foo Fighters,spotify:track:5TOYgNohZAFEPOtnchPhZS,58,2011-04-12,0.632,0.734,9.0,-5.179,1.0,0.0375,0.000128,1.05e-05,0.337,0.645,116.336,audio_features,5TOYgNohZAFEPOtnchPhZS,spotify:track:5TOYgNohZAFEPOtnchPhZS,https://api.spotify.com/v1/tracks/5TOYgNohZAFEPOtnchPhZS,https://api.spotify.com/v1/audio-analysis/5TOYgNohZAFEPOtnchPhZS,267560.0,4.0,
1,1, Virginia,Arlington,Arlington,Trace Adkins,spotify:track:1IdQeHmLig1Flat8nHkGo4,48,2005-01-01,0.43,0.448,10.0,-7.345,1.0,0.0349,0.627,9.07e-06,0.136,0.343,76.755,audio_features,1IdQeHmLig1Flat8nHkGo4,spotify:track:1IdQeHmLig1Flat8nHkGo4,https://api.spotify.com/v1/tracks/1IdQeHmLig1Flat8nHkGo4,https://api.spotify.com/v1/audio-analysis/1IdQeHmLig1Flat8nHkGo4,247333.0,3.0,
2,2, Virginia,Richmond,Gib,Pat McGee Band,spotify:track:5U1zjremtPeAjeg2vKYGP0,8,2000-03-31,0.601,0.841,9.0,-6.71,1.0,0.0302,0.0059,0.00131,0.0605,0.564,91.905,audio_features,5U1zjremtPeAjeg2vKYGP0,spotify:track:5U1zjremtPeAjeg2vKYGP0,https://api.spotify.com/v1/tracks/5U1zjremtPeAjeg2vKYGP0,https://api.spotify.com/v1/audio-analysis/5U1zjremtPeAjeg2vKYGP0,252333.0,4.0,
3,3, Virginia,Richmond,James River,Cracker and Camper Van Beethoven[46],spotify:track:7JoKKSChwpj0zPa9t0QwHe,13,1998,0.527,0.107,0.0,-16.774,1.0,0.036,0.898,0.0823,0.116,0.0396,57.981,audio_features,7JoKKSChwpj0zPa9t0QwHe,spotify:track:7JoKKSChwpj0zPa9t0QwHe,https://api.spotify.com/v1/tracks/7JoKKSChwpj0zPa9t0QwHe,https://api.spotify.com/v1/audio-analysis/7JoKKSChwpj0zPa9t0QwHe,303293.0,4.0,
4,4, Virginia,Richmond,James River Blues,Old Crow Medicine Show,spotify:track:1P0bLakvCH8evi0dIXjbLD,37,2006-08-29,0.683,0.492,5.0,-8.098,1.0,0.0263,0.299,0.00249,0.149,0.585,98.917,audio_features,1P0bLakvCH8evi0dIXjbLD,spotify:track:1P0bLakvCH8evi0dIXjbLD,https://api.spotify.com/v1/tracks/1P0bLakvCH8evi0dIXjbLD,https://api.spotify.com/v1/audio-analysis/1P0bLakvCH8evi0dIXjbLD,186720.0,4.0,
5,5, Virginia,Richmond,Modern Day Bonnie and Clyde,Travis Tritt,spotify:track:58rdbCe3SBJuJeWEJa8Htm,60,2000-10-01,0.647,0.874,9.0,-5.075,0.0,0.0337,0.101,1.79e-05,0.277,0.918,89.727,audio_features,58rdbCe3SBJuJeWEJa8Htm,spotify:track:58rdbCe3SBJuJeWEJa8Htm,https://api.spotify.com/v1/tracks/58rdbCe3SBJuJeWEJa8Htm,https://api.spotify.com/v1/audio-analysis/58rdbCe3SBJuJeWEJa8Htm,284173.0,4.0,
6,6, Virginia,Richmond,Richmond is a Hard Road,"(Union Civil War song based on ""Jordan is a Hard Road to Travel""  Dan Emmett)",spotify:track:425SpXfrrDxvbvTUjQXwTI,15,2013-05-11,0.584,0.52,2.0,-7.697,1.0,0.0393,0.882,0.00016,0.202,0.782,97.225,audio_features,425SpXfrrDxvbvTUjQXwTI,spotify:track:425SpXfrrDxvbvTUjQXwTI,https://api.spotify.com/v1/tracks/425SpXfrrDxvbvTUjQXwTI,https://api.spotify.com/v1/audio-analysis/425SpXfrrDxvbvTUjQXwTI,264920.0,4.0,
7,7, Virginia,Richmond,Scuffle Town,Avail[47],error,error,error,,,,,,,,,,,,,,,,,,,
8,8, Virginia,Richmond,The Carolinian,Chatham County Line[48],spotify:track:2RtFVEfT3TRZsfaektnvtI,31,2008-03-04,0.564,0.614,4.0,-7.347,1.0,0.0251,0.392,0.000142,0.157,0.613,98.349,audio_features,2RtFVEfT3TRZsfaektnvtI,spotify:track:2RtFVEfT3TRZsfaektnvtI,https://api.spotify.com/v1/tracks/2RtFVEfT3TRZsfaektnvtI,https://api.spotify.com/v1/audio-analysis/2RtFVEfT3TRZsfaektnvtI,239427.0,4.0,
9,9, Virginia,Richmond,The Night They Drove Old Dixie Down,The Band,spotify:track:2x0supcZhd6NEH1nem9DnR,65,1969-09-22,0.507,0.493,0.0,-8.786,1.0,0.0327,0.453,0.0,0.241,0.467,127.671,audio_features,2x0supcZhd6NEH1nem9DnR,spotify:track:2x0supcZhd6NEH1nem9DnR,https://api.spotify.com/v1/tracks/2x0supcZhd6NEH1nem9DnR,https://api.spotify.com/v1/audio-analysis/2x0supcZhd6NEH1nem9DnR,213267.0,4.0,
10,10, Virginia,Richmond,Virginia Is For Lovers,Mat Kearney,error,error,error,,,,,,,,,,,,,,,,,,,
11,11, Virginia,Richmond,We Are Marching On To Richmond,"a.k.a. ""Our knapsacks sling"" (Union Civil War song) words and music  E.W. Locke[49][50][51][52]",spotify:track:4vm7K7UZMthppcTjWynLyq,8,1990-01-01,0.834,0.529,9.0,-12.23,1.0,0.035,0.778,1.23e-06,0.32,0.83,109.507,audio_features,4vm7K7UZMthppcTjWynLyq,spotify:track:4vm7K7UZMthppcTjWynLyq,https://api.spotify.com/v1/tracks/4vm7K7UZMthppcTjWynLyq,https://api.spotify.com/v1/audio-analysis/4vm7K7UZMthppcTjWynLyq,196053.0,4.0,
