song_city,song_state,song_artist,song_name
Connecticut,Connecticut,Gilberto Gil,Pela Internet
Connecticut,Connecticut,Gilberto Gil,Pela Internet [Ao Vivo No YouTube Space]
Connecticut,Connecticut,Eminem,Ken Kaniff (Skit) [The Slim Shady LP]
Connecticut,Connecticut,Michael Feinstein,Connecticut
Connecticut,Connecticut,Ben Folds,Kylie from Connecticut
Connecticut,Connecticut,Cyndi Lauper,The Wives Are in Connecticut
Connecticut,Connecticut,Carly Simon,The Wives Are in Connecticut
Connecticut,Connecticut,Glambat,Cole Gate (Demo)
Connecticut,Connecticut,Allan Sherman,When I Was a Lad
Connecticut,Connecticut,William Daniels,"But, Mr. Adams"
Connecticut,Connecticut,Coheed and Cambria,The Camper Velourium II: Backend of Forever
Connecticut,Connecticut,Jared Morris,Salinger (feat. Rx139)
Connecticut,Connecticut,Missing Joe,Countdown
Connecticut,Connecticut,Chris Webby,Best In The Burbs
Connecticut,Connecticut,Eminem,Cum on Everybody
Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still
Connecticut,Connecticut,André Previn,I Like the Likes of You
Connecticut,Connecticut,Vic Damone,I Like the Likes of You
Connecticut,Connecticut,Liza Minnelli,I Like the Likes of You
Connecticut,Connecticut,Nicki Minaj,Beez In The Trap
Connecticut,Connecticut,Snoop Dogg,What's Ya Point
Connecticut,Connecticut,Wu-Tang Clan,Incarcerated Scarfaces
Connecticut,Connecticut,Jason Derulo,Be Careful
Connecticut,Connecticut,LL Cool J,Fa Ha
Connecticut,Connecticut,Digital Underground,Doowutchyalike [Radio Mix]
Connecticut,Connecticut,Digital Underground,Doowutchyalike
Connecticut,Connecticut,B.o.B,The Elephant
Connecticut,Connecticut,Allan Sherman,Holiday for States
Connecticut,Connecticut,Dick Haymes,I Like the Likes of You
Connecticut,Connecticut,Tony Scott,I Like the Likes of You
Connecticut,Connecticut,Busta Rhymes,Everybody Rise Again
Connecticut,Connecticut,Nas,Take It In Blood
Connecticut,Connecticut,Nas,Take It in Blood
Connecticut,Connecticut,Redman,What U Lookin' 4
Connecticut,Connecticut,Ian Hunter,All American Alien Boy [Clean Album Version; Version]
Connecticut,Connecticut,Game,Mr. Potato Head
Connecticut,Connecticut,Snoop Dogg,Checkmate
Connecticut,Connecticut,Gucci Mane,More
Connecticut,Connecticut,Naughty by Nature,The Shivers
Connecticut,Connecticut,Eydie Gorme,I Like the Likes of You
Connecticut,Connecticut,Grant Green,I Like the Likes of You
Connecticut,Connecticut,Gang Starr,The Place Where We Dwell
Connecticut,Connecticut,Bobby Short,I Like the Likes of You
Connecticut,Connecticut,Bobby Short,I Like the Likes of You [From Ziegfield Follies of 1934]
Connecticut,Connecticut,Clark Kent,Finest Ones
Connecticut,Connecticut,Little Feat,Blue Jean Blues
Connecticut,Connecticut,Kool Keith,Black Elvis
Connecticut,Connecticut,Mabel Mercer,I Like the Likes of You
Connecticut,Connecticut,Natalie Merchant,Indian Names
Connecticut,Connecticut,They Might Be Giants,Too Tall Girl
Connecticut,Connecticut,Jadakiss,Checkmate
Connecticut,Connecticut,Mac Miller,Put It On
Connecticut,Connecticut,Fred Hersch,I Like the Likes of You
Connecticut,Connecticut,Raekwon,Forecast
Connecticut,Connecticut,Armand Van Helden,Blakpeoplez
