song_city,song_state,song_artist,song_name
Georgia,Georgia,Jamie Foxx,Georgia
Georgia,Georgia,Field Mob,Georgia
Georgia,Georgia,Lil Wayne,Georgia... Bush
Georgia,Georgia,Count Basie,Sweet Georgia Brown [DVD]
Georgia,Georgia,The Coasters,Sweet Georgia Brown
Georgia,Georgia,Matt Monro,Georgia on My Mind
Georgia,Georgia,Blind Willie McTell,Georgia Rag
Georgia,Georgia,Louie Bellson,Sweet Georgia Brown
Georgia,Georgia,Ray Charles,Georgia on My Mind
Georgia,Georgia,Têtes Raides,Georgia
Georgia,Georgia,Pearl Bailey,Sweet Georgia Brown
Georgia,Georgia,Maxine Sullivan,Sweet Georgia Brown
Georgia,Georgia,Lil Wayne,Outro
Georgia,Georgia,Alberta Hunter,Sweet Georgia Brown
Georgia,Georgia,Big K.R.I.T.,Miss Georgia Fornia
Georgia,Georgia,Georgia Bill,Georgia Rag
Georgia,Georgia,Louis Armstrong,Georgia Grind
Georgia,Georgia,Louis Armstrong,Georgia on My Mind
Georgia,Georgia,Frankie Laine,Georgia on My Mind
Georgia,Georgia,Dean Martin,Georgia on My Mind
Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia
Georgia,Georgia,Glenn Miller,Georgia on My Mind
Georgia,Georgia,Michael Bolton,Georgia on My Mind
Georgia,Georgia,Kasey Chambers,Georgia Brown
Georgia,Georgia,Anita O'Day,Sweet Georgia Brown
Georgia,Georgia,Mel Tormé,Sweet Georgia Brown
Georgia,Georgia,Nat King Cole,Sweet Georgia Brown
Georgia,Georgia,Willie Nelson,Georgia on My Mind
Georgia,Georgia,Louis Armstrong,Sweet Georgia Brown
Georgia,Georgia,James Brown,Georgia on My Mind
Georgia,Georgia,Drama,Outro
Georgia,Georgia,Ray Charles,Sweet Georgia Brown
Georgia,Georgia,Jackie Gleason,Sweet Georgia Brown [Previously Unreleased Track; Bonus Track]
Georgia,Georgia,Johnny Mercer,Sweet Georgia Brown
Georgia,Georgia,The Mills Brothers,Sweet Georgia Brown
Georgia,Georgia,"Bing Crosby, Isham Jones",Sweet Georgia Brown
Georgia,Georgia,Bing Crosby,Sweet Georgia Brown
Georgia,Georgia,"Bing Crosby, Paul Whiteman, Paul Whiteman & His Orchestra",Sweet Georgia Brown
Georgia,Georgia,Lou Rawls,Georgia on My Mind
Georgia,Georgia,Cole Porter,Sweet Georgia Brown
Georgia,Georgia,Eddy Arnold,Georgia on My Mind
Georgia,Georgia,Frank Sinatra,Sweet Georgia Brown
Georgia,Georgia,Billie Holiday,Georgia on My Mind
Georgia,Georgia,Hoagy Carmichael,Georgia On My Mind
Georgia,Georgia,Elmer Bernstein,Sweet Georgia Brown
Georgia,Georgia,Brenda Lee,Georgia On My Mind
Georgia,Georgia,Ella Fitzgerald,Georgia on My Mind
Georgia,Georgia,Billy Vaughn,Sweet Georgia Brown
Georgia,Georgia,Bad Company,"Oh, Atlanta"
Georgia,Georgia,Charley Pride,Georgia Keeps Pulling on My Ring
Georgia,Georgia,J.J. Cale,Heads in Georgia
Georgia,Georgia,Roberta Flack,Sweet Georgia Brown
Georgia,Georgia,Brittany Howard,Georgia
Georgia,Georgia,Tanya Tucker,Blood Red and Goin' Down
Georgia,Georgia,Tanya Tucker,Blood Red and Going Down
Georgia,Georgia,Ethel Waters,Sweet Georgia Brown
Georgia,Georgia,Bing Crosby,Georgia on My Mind
Georgia,Georgia,Steve Winwood,Georgia on My Mind
Georgia,Georgia,Billy Eckstine,Sweet Georgia Brown
Georgia,Georgia,Malcolm Lockyer,Georgia On My Mind
Georgia,Georgia,Conway Twitty,Georgia Keeps Pulling on My Ring
Georgia,Georgia,The Band,Georgia on My Mind
Georgia,Georgia,Diahann Carroll,Sweet Georgia Brown
Georgia,Georgia,Peggy Lee,Georgia on My Mind
Georgia,Georgia,Jerry Lee Lewis,Sweet Georgia Brown
Georgia,Georgia,Dukes of Dixieland,Sweet Georgia Brown
Georgia,Georgia,Garth Brooks,Midnight Train to Georgia
Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia [Live]
Georgia,Georgia,Annie Lennox,Georgia On My Mind
Georgia,Georgia,The Nields,Georgia O
Georgia,Georgia,Jools Holland,Georgia on My Mind
Georgia,Georgia,Gladys Knight & the Pips,Midnight Train To Georgia
Georgia,Georgia,Gladys Knight & the Pips,Midnight Train To Georgia [Single Version]
Georgia,Georgia,Steve Tyrell,Georgia on My Mind
Georgia,Georgia,Elton John,Georgia
Georgia,Georgia,Alison Krauss,"Oh, Atlanta"
Georgia,Georgia,Crystal Gayle,Georgia on My Mind
Georgia,Georgia,Lynyrd Skynyrd,Georgia Peaches
Georgia,Georgia,Sophie B. Hawkins,Georgia
Georgia,Georgia,Nancy Sinatra,Sweet Georgia Brown
Georgia,Georgia,The Beatles,Sweet Georgia Brown
Georgia,Georgia,Queen Latifah,Georgia Rose
Georgia,Georgia,Indigo Girls,Midnight Train to Georgia
Georgia,Georgia,Tiggs Da Author,Georgia
Georgia,Georgia,Egert Milder,Georgia (On My Mind)
Georgia,Georgia,Boz Scaggs,Georgia
Georgia,Georgia,George Melly,Georgia on My Mind
Georgia,Georgia,Ernie K-Doe,Tell Me
Georgia,Georgia,Pete Best,Sweet Georgia Brown
Georgia,Georgia,Jim Croce,Walkin' Back to Georgia
Georgia,Georgia,Frankie Trumbauer,Georgia on My Mind
Georgia,Georgia,Shenandoah,The Moon over Georgia
Georgia,Georgia,Trisha Yearwood,Georgia Rain
Georgia,Georgia,夏韶声,Georgia On My Mind
Georgia,Georgia,Dick Haymes,Georgia on My Mind
Georgia,Georgia,The Four Knights,Georgia on My Mind
Georgia,Georgia,Van Morrison,Georgia on My Mind
Georgia,Georgia,Miranda Lambert,What About Georgia?
Georgia,Georgia,Joan Baez,San Francisco Mabel Joy
Georgia,Georgia,Doug Stone,Georgia on My Mind
Georgia,Georgia,Josh Kelley,20 Miles to Georgia
Georgia,Georgia,John Denver,San Francisco Mabel Joy
Georgia,Georgia,Mel Tillis,Guide Me Home My Georgia Moon
Georgia,Georgia,Gentle Giant,Sweet Georgia Brown [Breakdown in Brussels]
Georgia,Georgia,G. Love & Special Sauce,Georgia Brown
Georgia,Georgia,Pavement,Unseen Power of the Picket Fence
Georgia,Georgia,Nanci Griffith,Going Back to Georgia
Georgia,Georgia,Jason Aldean,Talk About Georgia
Georgia,Georgia,David Allan Coe,San Francisco Mabel Joy
Georgia,Georgia,David Allan Coe,San Francisco Mable Joy
Georgia,Georgia,Lynn Anderson,Midnight Train to Georgia
Georgia,Georgia,Phil Vassar,Athens Grease
