song_city,song_state,song_artist,song_name
Idaho,Idaho,The B-52's,Private Idaho
Idaho,Idaho,"Pato Fu, Giramundo",Private Idaho [Ao Vivo]
Idaho,Idaho,Josh Ritter,Idaho
Idaho,Idaho,Eddy Arnold,Idaho
Idaho,Idaho,Rednex,Get the Truck Loaded
Idaho,Idaho,Gorillaz,Idaho
Idaho,Idaho,Train,Idaho
Idaho,Idaho,Nerina Pallot,Idaho
Idaho,Idaho,Feeder,Idaho
Idaho,Idaho,Félix Dyotte,Stop Idaho
Idaho,Idaho,Bryan Lanning,Idaho
Idaho,Idaho,Hannah Fury,Idaho
Idaho,Idaho,Dick Haymes,Idaho
Idaho,Idaho,June Christy,Idaho
Idaho,Idaho,Benny Goodman,Idaho
Idaho,Idaho,John Linnell,Idaho
Idaho,Idaho,Brenn Hill,Lady Idaho
Idaho,Idaho,Merle Haggard,Amber Waves of Grain
Idaho,Idaho,Foo Fighters,Danny Says
Idaho,Idaho,Grant Lee Buffalo,Halloween
Idaho,Idaho,Benny Goodman & His Orchestra,Idaho
Boise,Idaho,The Refreshments,Interstate
Boise,Idaho,Audio Push,Planet Earth Is Live
Boise,Idaho,Lynyrd Skynyrd,What's Your Name
Boise,Idaho,Lynyrd Skynyrd,What's Your Name?
Boise,Idaho,Weird Al Yankovic,Couch Potato
Boise,Idaho,Lynyrd Skynyrd,What's Your Name [Live; Previously Unreleased Track]
Boise,Idaho,Lynyrd Skynyrd,What's Your Name [Live at the Selland Arena]
Boise,Idaho,Lynyrd Skynyrd,"What's Your Name [Live (1987/Reunion Arena, Dallas)]"
Boise,Idaho,Lynyrd Skynyrd,T for Texas
Boise,Idaho,Bobby Bare,New York City Snow
Boise,Idaho,Lil Wayne,The Real Her
Boise,Idaho,Logic,Thank You
Boise,Idaho,Storm Large,Under You
Boise,Idaho,Goldmine,Heartbreak Suzie
Boise,Idaho,Wale,88
Boise,Idaho,E-40,Lieutenant Roast a Botch
Boise,Idaho,Sublime,"April 29, 1992 (Miami)"
Boise,Idaho,Harry Chapin,W*O*L*D
Boise,Idaho,Harry Chapin,WOLD
Boise,Idaho,Eartha Kitt,Cha Cha Heels
Boise,Idaho,Margaret Becker,Feel It All
Boise,Idaho,Margaret Becker,Steps of Faith
Boise,Idaho,Richie Havens,WOLD
Boise,Idaho,Cold War Kids,"God, Make Up Your Mind"
Boise,Idaho,Molly Hatchet,Gypsy Trail
Boise,Idaho,Deacon Blue,James Joyce Soles
Boise,Idaho,Animaniacs,Wakko's America
Boise,Idaho,The Click,Mr. Flamboyant
Boise,Idaho,Bowling for Soup,I Can't Stand L.A.
Boise,Idaho,The Reverend Horton Heat,That's Showbiz
Boise,Idaho,Christine McVie,Bad Journey
Boise,Idaho,Faster Pussycat,Tattoo
Boise,Idaho,Bloodhound Gang,Going Nowhere Slow
Boise,Idaho,Savoy Brown,Everybody Says They Want It
Boise,Idaho,Theory of a Deadman,What's Your Name [Bonus Track]
Boise,Idaho,Marc Drouin,Case 48
Boise,Idaho,Kids Learning Tube ,50 States Of America
Boise,Idaho,Mahéli,Bulles d'eau
Boise,Idaho,The Poppy Family,I Thought of You Again
Boise,Idaho,The Fiery Furnaces,Oh Sweet Woods
Boise,Idaho,MC Lars,UK Visa Versa
Boise,Idaho,Good Riddance,Boise
Boise,Idaho,mewithoutYou,Rainbow Signs
Boise,Idaho,Renald Francoeur,Tour The States
Boise,Idaho,Latin Quarter,Modern Times
Boise,Idaho,SNFU,The King of Skin
Boise,Idaho,Rexx Life Raj,The Light
Boise,Idaho,MyChildren MyBride,The Endless
Boise,Idaho,John Huss Moderate Combo,Suburbilly
Boise,Idaho,mewithoutYou,"New Wine, New Skins"
Boise,Idaho,Anodajay,My Man
Boise,Idaho,Gilles Vigneault,Les arpilles
Meridian,Idaho,The Tragically Hip,At The Hundredth Meridian
Meridian,Idaho,ザ・ベルズ,Meridian High School
Meridian,Idaho,Emmylou Harris,Red Dirt Girl
Meridian,Idaho,Kaia Kater,Meridian Ground
Meridian,Idaho,Emmylou Harris,Red Dirt Girl [DVD]
Meridian,Idaho,Elton John,Jimmie Rodgers' Dream
Meridian,Idaho,Lamb of God,Terminally Unique
Meridian,Idaho,Jimmy Buffett,The Pascagoula Run
Meridian,Idaho,Sirenia,Meridian
Meridian,Idaho,Wiley,Lucid
Meridian,Idaho,"Skepta, Suspect, Shailan",Stay With It
Meridian,Idaho,Lemnisc8,Aeonial Odyssey
Meridian,Idaho,King Virtue's Classroom,Compass and Continents (Anchor Chant)
Meridian,Idaho,Edan,Promised Land
Meridian,Idaho,The Notorious B.I.G.,#! *@ You Tonight
Meridian,Idaho,The Notorious B.I.G.,Lovin' You Tonight
Meridian,Idaho,Wu-Tang Clan,Severe Punishment
Meridian,Idaho,The Notorious B.I.G.,Unfoolish [Remix]
Meridian,Idaho,Elton John,There's No Tomorrow
Meridian,Idaho,Bing Crosby,Bye Bye Baby
Meridian,Idaho,Irv Gotti,Unfoolish
Meridian,Idaho,Spike Jones,Bye Bye Baby [From Gentlemen Prefer Blondes]
Meridian,Idaho,Ashanti,Unfoolish
Meridian,Idaho,Tom T. Hall,More About John Henry
Meridian,Idaho,Mandy Patinkin,There Won't Be Trumpets
Meridian,Idaho,Marilyn Monroe,Bye Bye Baby
Meridian,Idaho,Al Stewart,A Man for All Seasons
Meridian,Idaho,Marilyn Monroe,Bye Bye Baby [From Gentlemen Prefer Blondes]
Meridian,Idaho,Jane Russell,"Bye Bye Baby [From Gentlemen Prefer Blondes, 1953]"
Meridian,Idaho,Fabolous,Call Me
Meridian,Idaho,Ronnie Aldrich,Call Me
Meridian,Idaho,Marilyn Monroe,Bye Bye Baby [Marilyn's TV Debut]
Meridian,Idaho,Marilyn Monroe,Bye Bye Baby [DVD]
Meridian,Idaho,Third Eye Blind,Turn Me On
Meridian,Idaho,Cradle of Filth,Amor E Morte
Meridian,Idaho,Aesop Rock,One Brick
Meridian,Idaho,Aesop Rock,6b Panorama
Meridian,Idaho,"Ntelabi, Teephlow, Kelvin Black",Ɛnyε Mea
Meridian,Idaho,Jedi Mind Tricks,Chinese Water Torture
Meridian,Idaho,Diamond,Speak Ya Peace
Meridian,Idaho,The Opus,Take Me to the Basement
Meridian,Idaho,The Foreign Exchange,Nic's Groove [Remixes Blend]
Meridian,Idaho,Aesop Rock,Home Again
Meridian,Idaho,Skepta,Same Shit Different Day
Meridian,Idaho,Skepta,Look Out
Meridian,Idaho,Skepta,Badman in Tivoli
Meridian,Idaho,Skepta,Jumpy [Remix]
Meridian,Idaho,Skepta,Sin City
Meridian,Idaho,Sons of the Never Wrong,Place
Meridian,Idaho,Sticky Fingaz,My Dogz Iz My Gunz
Meridian,Idaho,Cormega,Three
Meridian,Idaho,Eidolon,Coma Nation
Meridian,Idaho,Absu,Apzu
Meridian,Idaho,Meridian Dan,German Whip
Meridian,Idaho,Benzino,X-Tra Hot
Meridian,Idaho,Cascada,German Whip
Meridian,Idaho,"JME, Grim Sickers",Kane
Meridian,Idaho,Deeds of Flesh,The Endurance
Meridian,Idaho,"Meridian Dan, Big H, JME",German Whip
Meridian,Idaho,Brave Saint Saturn,Starling
Meridian,Idaho,Celo & Abdi,Das ist erst der Anfang
Meridian,Idaho,Chris Webby,Passport
Meridian,Idaho,"JME, Merky Ace",Live
Nampa,Idaho,Lil Yachty,So Many People
Nampa,Idaho,Natanael Cano,El de la Codeína
Nampa,Idaho,"Gera MX, Neto Peña, Tabernario",Corona de Rosas
Idaho Falls,Idaho,Sonny James,Don't Cut Timber on a Windy Day
Idaho Falls,Idaho,John Prine,Taking a Walk
Idaho Falls,Idaho,Built to Spill,Twin Falls
Idaho Falls,Idaho,Lard,Peeling Back the Foreskin of Liberty
Idaho Falls,Idaho,Saint Etienne,Wood Cabin
Idaho Falls,Idaho,Nerina Pallot,Idaho
Idaho Falls,Idaho,The Refreshments,Interstate
Idaho Falls,Idaho,Diana Ross & the Supremes,He's My Sunny Boy
Idaho Falls,Idaho,The Supremes,He's My Sunny Boy
Idaho Falls,Idaho,Eminem,Speedom (WWC2)
Idaho Falls,Idaho,Logic,Thank You
Idaho Falls,Idaho,Kacey Musgraves,My House
Idaho Falls,Idaho,Murs,Road Is My Religion
Idaho Falls,Idaho,Young MC,Got More Rhymes
Idaho Falls,Idaho,The Click,Mr. Flamboyant
Idaho Falls,Idaho,Animaniacs,Wakko's America
