song_city,song_state,song_artist,song_name
Illinois,Illinois,Skip James,Illinois Blues
Illinois,Illinois,Frank Zappa,The Illinois Enema Bandit [Incomplete Take]
Illinois,Illinois,Brett Eldredge,Illinois
Illinois,Illinois,Alvin Youngblood Hart,Illinois Blues
Illinois,Illinois,Dan Fogelberg,Illinois
Illinois,Illinois,Wesley Willis,Illinois State Police
Illinois,Illinois,Vermont,"These Dudes, They Got a Band"
Illinois,Illinois,John Hartford,Long Hot Summer Days
Illinois,Illinois,Old 97's,"Champaign, Illinois"
Illinois,Illinois,Lupe Fiasco,Made In The USA
Illinois,Illinois,REO Speedwagon,Ballad of the Illinois Opry
Illinois,Illinois,Luke Combs,Blue Collar Boys
Illinois,Illinois,Lil B,Cowboy Riding Horses in Illinois
Illinois,Illinois,Sara Watkins,Long Hot Summer Days
Illinois,Illinois,Andrew Bird,First Song
Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door
Illinois,Illinois,The Doobie Brothers,Long Train Runnin'
Illinois,Illinois,Doris Day,Just Blew in from the Windy City
Illinois,Illinois,Perry Como,Route 66
Illinois,Illinois,Richie Havens,Long Train Running
Illinois,Illinois,Logic,Thank You
Illinois,Illinois,Jim Croce,"Box, No. 10"
Illinois,Illinois,Jim Croce,Box #10
Illinois,Illinois,Mary Chapin Carpenter,John Doe No. 24
Illinois,Illinois,"Rich Homie Quan, Rocko",Driveway
Illinois,Illinois,Haddie Jane,Windy City Boy
Illinois,Illinois,ชาตรี ศรีชล,จดหมายจากผัวฝรั่ง
Illinois,Illinois,Slobberbone,"Springfield, IL"
Illinois,Illinois,Creedence Clearwater Revival,Looking out My Back Door
Illinois,Illinois,Creedence Clearwater Revival,Looking' Out My Back Door
Illinois,Illinois,The Lumineers,Sleep On The Floor
Illinois,Illinois,Clem Snide,I Got High
Illinois,Illinois,Stray Cats,Looking out My Back Door
Illinois,Illinois,Gretchen Wilson,Pocahontas Proud
Illinois,Illinois,John Fogerty,Lookin' Out My Back Door
Illinois,Illinois,Brett Eldredge,Paris Illinois
Illinois,Illinois,Sufjan Stevens,The Henney Buggy Band
Illinois,Illinois,Car Seat Headrest,Beach Life-In-Death
Illinois,Illinois,Jody Miller,Lookin' Out My Back Door
Illinois,Illinois,Tracks,Long Train Runnin'
Illinois,Illinois,Children of Bodom,Lookin' Out My Back Door
Illinois,Illinois,Hookslide,Long Train Running
Illinois,Illinois,Creedence Clearwater Revisited,Lookin' Out My Back Door
Illinois,Illinois,Michel Jonasz,MISS MOLLY
Illinois,Illinois,Brian Cline,Long Train Runnin
Illinois,Illinois,Elvis Presley,Jailhouse Rock
Illinois,Illinois,Jerry Lee Lewis,Jailhouse Rock
Illinois,Illinois,B.B. King,It's My Own Fault
Illinois,Illinois,Elvis Presley,Jailhouse Rock: Don't Be Cruel
Illinois,Illinois,Alabama,Roll On (Eighteen Wheeler)
Illinois,Illinois,Willie Nelson,City of New Orleans
Illinois,Illinois,Willie Nelson,City Of New Orleans
Illinois,Illinois,John Mellencamp,Rooty Toot Toot
Illinois,Illinois,John Mellencamp,Jailhouse Rock
Illinois,Illinois,Bob Dylan,Slow Train
Illinois,Illinois,John Denver,City of New Orleans
Illinois,Illinois,Johnny Cash,My Cowboy's Last Ride
Illinois,Illinois,Johnny Cash,City of New Orleans
Illinois,Illinois,Judy Collins,City of New Orleans
Illinois,Illinois,Elvis Presley,Jailhouse Rock [Movie Version]
Illinois,Illinois,Toby Keith,I Ain't Already There
Illinois,Illinois,Johnny Cash,Nobody Cared [Live]
Illinois,Illinois,Toby Keith,Drive It on Home
Illinois,Illinois,"Bobby ""Blue"" Bland",It's My Own Fault
Illinois,Illinois,Arlo Guthrie,City of New Orleans
Illinois,Illinois,Da Brat,Party Continues [Video Version]
Illinois,Illinois,Master P,There Dey Go
Illinois,Illinois,Etta James,Don't Let My Baby Ride
Illinois,Illinois,Hank Snow,City of New Orleans
Illinois,Illinois,Conway Twitty,Jailhouse Rock
Illinois,Illinois,Johnny Cash,City of New Orleans [Live]
Illinois,Illinois,Merle Haggard,Jailhouse Rock
Illinois,Illinois,Los Tigres del Norte,El Mojado Acaudalado
Illinois,Illinois,Los Tigres del Norte,Mojado Acaudalado [Acustico]
Illinois,Illinois,Master P,How Ya Do Dat
Illinois,Illinois,Leiber & Stoller,Jailhouse Rock
Illinois,Illinois,Queen,Jailhouse Rock
Illinois,Illinois,Joan Baez,Day After Tomorrow
Illinois,Illinois,Diana Ross & the Supremes,He's My Sunny Boy
Illinois,Illinois,R. Kelly,When a Woman's Fed Up
Illinois,Illinois,The Supremes,He's My Sunny Boy
Illinois,Illinois,Toby Keith,Hope on the Rocks
Illinois,Illinois,Doris Day,The Deadwood Stage (Whip Crack-Away)
Illinois,Illinois,Jimmy Buffett,Life Is Just a Tire Swing
Illinois,Illinois,Bone Thugs-N-Harmony,C-Town
Illinois,Illinois,Ice Cube,Jack N the Box
Illinois,Illinois,Destiny's Child,Apple Pie À La Mode
Illinois,Illinois,Van Morrison,Goin' To Chicago
Illinois,Illinois,Vigon Bamy Jay,Long Train Runnin'
Illinois,Illinois,Family Tree,Long Train Runnin'
Illinois,Illinois,Justin Adams,Long Train Runnin'
Illinois,Illinois,Brian Chiu,Long Train Runnin'
Illinois,Illinois,D.C. & Co.,Long Train Runnin'
Illinois,Illinois,Garth Hudson,Haul Away Joe
Illinois,Illinois,Elton John,Bite Your Lip (Get Up and Dance!)
Illinois,Illinois,Destiny's Child,Spread a Little Love on Christmas Day
Illinois,Illinois,Usher,In My Life Forever
Illinois,Illinois,B.B. King,It's My Own Fault Baby
Illinois,Illinois,Carl Perkins,Jailhouse Rock
Illinois,Illinois,101 Strings Orchestra,Jailhouse Rock
Illinois,Illinois,Willie Nelson,The City of New Orleans
Illinois,Illinois,Ludacris,The Potion
Illinois,Illinois,Ludacris,Pimpin' All Over the World
Illinois,Illinois,Robbie Robertson,The Right Mistake
Illinois,Illinois,Ludacris,"Pimpin' All Over the World [12"" Version Edited]"
