song_city,song_state,song_artist,song_name
Kansas,Kansas,Van Morrison,The Eternal Kansas City
Kansas,Kansas,Tech N9ne,Kansas City
Kansas,Kansas,The Wolfgang Press,Kansas
Kansas,Kansas,Paul McCartney,Kansas City
Kansas,Kansas,Frank Zappa,It Can't Happen Here
Kansas,Kansas,John Denver,Matthew [Alternate Version; Previously Unreleased Track; Bonus Track]
Kansas,Kansas,Tech N9ne,Kansas City King
Kansas,Kansas,Chris Barber,Kansas City
Kansas,Kansas,Muddy Waters,Kansas City
Kansas,Kansas,The New Basement Tapes,Six Months In Kasas City (Liberty Street)
Kansas,Kansas,Jimmy Reed,Kansas City
Kansas,Kansas,Lightnin' Slim,Kansas City
Kansas,Kansas,Buck Owens,The Kansas City Song
Kansas,Kansas,Brenda Lee,Kansas City
Kansas,Kansas,Albert King,Kansas City
Kansas,Kansas,The Everly Brothers,Kansas City
Kansas,Kansas,Louis Prima,Kansas City
Kansas,Kansas,Tom Jones,Kansas City
Kansas,Kansas,Big Country,We're Not in Kansas
Kansas,Kansas,Trini Lopez,Kansas City
Kansas,Kansas,Peggy Lee,Kansas City
Kansas,Kansas,"Sammy Davis, Jr.",Kansas City
Kansas,Kansas,Jimmy Witherspoon,Kansas City
Kansas,Kansas,Big Joe Turner,Kansas City on My Mind
Kansas,Kansas,Memphis Slim,Kansas City
Kansas,Kansas,Julie London,Kansas City
Kansas,Kansas,Merle Haggard,Kansas City
Kansas,Kansas,Por Phyre,Kansas City Wolves
Kansas,Kansas,Willie Nelson,Kansas City
Kansas,Kansas,Roy Clark,Kansas City
Kansas,Kansas,Big Joe Turner,Kansas City
Kansas,Kansas,Chris Connor,Kansas City
Kansas,Kansas,George Jones,Kansas City
Kansas,Kansas,Mark Murphy,Kansas City
Kansas,Kansas,Lou Rawls,Kansas City
Kansas,Kansas,Roy Drusky,Kansas City
Kansas,Kansas,Steve Lawrence,Kansas City
Kansas,Kansas,Gerry Mulligan,Kansas City
Kansas,Kansas,Fred Eaglesmith,Kansas
Kansas,Kansas,Wanda Jackson,Kansas City
Kansas,Kansas,James Brown,Kansas City ['75]
Kansas,Kansas,Bill Haley,Kansas City
Kansas,Kansas,James Brown,Kansas City
Kansas,Kansas,Fats Domino,Kansas City
Kansas,Kansas,Jan & Dean,Kansas City
Kansas,Kansas,Joe Williams,Kansas City
Kansas,Kansas,Keely Smith,Kansas City
Kansas,Kansas,Tech N9ne,It's Alive
Kansas,Kansas,Wilbert Harrison,Kansas City
Kansas,Kansas,Frank Zappa,"Help, I'm a Rock"
Kansas,Kansas,Frank Sinatra,Sunflower
Kansas,Kansas,Little Richard,Kansas City
Kansas,Kansas,Sneaky Sound System,Kansas City
Kansas,Kansas,The Les Humphries Singers,Kansas City
Kansas,Kansas,Little Willie Littlefield,Kansas City
Kansas,Kansas,Kacey Musgraves,Kansas City Star
Kansas,Kansas,Ann-Margret,Kansas City
Kansas,Kansas,Aaron Lines,She Called Me Kansas
Kansas,Kansas,The Shangri-Las,Train from Kansas City
Kansas,Kansas,Les Humphries,Mexico
Kansas,Kansas,Les Humphries,Kansas City
Kansas,Kansas,Sybersound,Kansas City
Kansas,Kansas,Roger Miller,Kansas City Star
Kansas,Kansas,Orville Peck,Kansas (Remembers Me Now)
Kansas,Kansas,Wilbert Harris,Kansas City
Kansas,Kansas,Irwin Goodman,Meidan Tasavalta
Kansas,Kansas,Dean Martin,Sunflower
Kansas,Kansas,Melissa Etheridge,Kansas City
Kansas,Kansas,Neko Case,The Train from Kansas City
Kansas,Kansas,Janis Joplin,K.C. Blues
Kansas,Kansas,Connie Conway,Kansas State Line
