song_city,song_state,song_artist,song_name
Louisiana,Louisiana,George Strait,Down Louisiana Way
Louisiana,Louisiana,Dave Matthews Band,Louisiana Bayou
Louisiana,Louisiana,Dave Matthews,Louisiana Bayou
Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
Louisiana,Louisiana,Conway Twitty,"Louisiana Woman, Mississippi Man"
Louisiana,Louisiana,New Riders of the Purple Sage,Louisiana Lady
Louisiana,Louisiana,Alabama,Louisiana Moon
Louisiana,Louisiana,Diane Schuur,Louisiana Sunday Afternoon
Louisiana,Louisiana,Chuck Berry,Oh Louisiana
Louisiana,Louisiana,Charlie Daniels,Sweet Louisiana
Louisiana,Louisiana,Johnny Cash,Louisiana Man [Previously Unreleased Track]
Louisiana,Louisiana,The Seekers,Louisiana Man
Louisiana,Louisiana,Doug Kershaw,Louisiana Man
Louisiana,Louisiana,Bobbie Gentry,Louisiana Man
Louisiana,Louisiana,Jerry Reed,Amos Moses
Louisiana,Louisiana,Martina McBride,"Louisiana Woman, Mississippi Man"
Louisiana,Louisiana,Donovan,Lazy Daze
Louisiana,Louisiana,Willie Nelson,Louisiana
Louisiana,Louisiana,Porter Wagoner,Louisiana Saturday Night
Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain [2018 Remaster]
Louisiana,Louisiana,Tom Petty,Louisiana Rain
Louisiana,Louisiana,Randy Newman,Louisiana 1927
Louisiana,Louisiana,Connie Smith,Louisiana Man
Louisiana,Louisiana,Aaron Neville,Louisiana Christmas Day
Louisiana,Louisiana,Aaron Neville,Louisiana 1927
Louisiana,Louisiana,George Jones,Louisiana Mama
Louisiana,Louisiana,"Hank Williams, Jr.",Amos Moses
Louisiana,Louisiana,Conway Twitty,Amos Moses
Louisiana,Louisiana,Neville Brothers,Louisiana 1927
Louisiana,Louisiana,Sammy Kershaw,Louisiana Hot Sauce
Louisiana,Louisiana,Delbert McClinton,Heartbreak Radio
Louisiana,Louisiana,Gene Pitney,Louisiana Mama
Louisiana,Louisiana,Delbert McClinton,Going Back to Louisiana
Louisiana,Louisiana,Marcia Ball,Louisiana 1927
Louisiana,Louisiana,The Church,Louisiana
Louisiana,Louisiana,Creedence Clearwater Revival,Cotton Fields
Louisiana,Louisiana,Rodney Crowell,Leaving Louisiana in the Broad Daylight
Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain
Louisiana,Louisiana,Rick Nelson ,Louisiana Man
Louisiana,Louisiana,Harry Belafonte,Cotton Fields [Live]
Louisiana,Louisiana,Joe Dassin,Louisiana
Louisiana,Louisiana,Dave Dudley,Louisiana Saturday Night
Louisiana,Louisiana,Steven Tyler,Sweet Louisiana
Louisiana,Louisiana,Primus,Amos Moses
Louisiana,Louisiana,Lou Rawls,Cotton Fields
Louisiana,Louisiana,Martin Simpson,Louisiana 1927
Louisiana,Louisiana,Eddy Arnold,Cotton Fields
Louisiana,Louisiana,Hurricane Chris,New Fashion
Louisiana,Louisiana,Tim Russ,Louisiana 1927
Louisiana,Louisiana,Dr. Bekken,Louisiana 1927
Louisiana,Louisiana,Waylon Jennings,Louisiana Women
Louisiana,Louisiana,The Beach Boys,Cotton Fields (The Cotton Song)
Louisiana,Louisiana,Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)
Louisiana,Louisiana,Bill Haley,Cotton Fields
Louisiana,Louisiana,Randy Houser,Evangeline
Louisiana,Louisiana,Emmylou Harris,Leaving Louisiana in the Broad Daylight
Louisiana,Louisiana,The Oak Ridge Boys,Leaving Louisiana in the Broad Daylight
Louisiana,Louisiana,Johnny Cash,My Cowboy's Last Ride
Louisiana,Louisiana,Don Williams,Louisiana Saturday Night
Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band) [Live]
Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band)
Louisiana,Louisiana,Litfiba,Louisiana
Louisiana,Louisiana,Kyle Park,Louisiana Boy
Louisiana,Louisiana,Gary Brown,Louisiana 1927
Louisiana,Louisiana,Dave Holt,Louisiana 1927
Louisiana,Louisiana,Connie Guy,Louisiana 1927
Louisiana,Louisiana,Kenny Sara,Louisiana 1927
Louisiana,Louisiana,Cross Canadian Ragweed,Amos Moses
Louisiana,Louisiana,OK Go,Louisiana Land
Louisiana,Louisiana,The Manhattan Transfer,Rosianna
Louisiana,Louisiana,Steve Earle,Telephone Road
Louisiana,Louisiana,Leadbelly,Cotton Fields
Louisiana,Louisiana,Marie Osmond,Louisiana Bayou
Louisiana,Louisiana,Jerry Garcia,Mississippi Moon
Louisiana,Louisiana,Radney Foster,Louisiana Blue
Louisiana,Louisiana,Scatman John,Everybody Jam!
Louisiana,Louisiana,Black Oak Arkansas,Flying Horse of Louisiana
Louisiana,Louisiana,David Kersh,Louisiana Country Mile
Louisiana,Louisiana,Hank Williams III,Louisiana Stripes
Louisiana,Louisiana,Ani DiFranco,J
Louisiana,Louisiana,Foghat,Louisiana Blues
Louisiana,Louisiana,Buck Owens,Louisiana Man
Louisiana,Louisiana,The Beach Boys,Cotton Fields (The Cotton Song) [45 Version]
Louisiana,Louisiana,The Beach Boys,Cotton Fields
Louisiana,Louisiana,Harry Belafonte,Cotton Fields
Louisiana,Louisiana,Charley Pride,Louisiana Man
Louisiana,Louisiana,The Beach Boys,Cottonfields (The Cotton Song)
Louisiana,Louisiana,Keith Sykes,It Don't Matter
Louisiana,Louisiana,Garth Brooks,Amos Moses
Louisiana,Louisiana,Jimmy Buffett,L' Air de la Louisiane
Louisiana,Louisiana,Boxcar Willie,Louisiana Saturday Night
Louisiana,Louisiana,Virginia Coalition,Atchafalaya
Louisiana,Louisiana,Jerry Jeff Walker,It Don't Matter
Louisiana,Louisiana,Porter Wagoner,Where the Old Red River Flows
Louisiana,Louisiana,Conway Twitty,Lovin' What Your Lovin' Does to Me
Louisiana,Louisiana,Wayne Hancock,Louisiana Blues
Louisiana,Louisiana,Dierks Bentley,The South
Louisiana,Louisiana,Lucinda Williams,Lake Charles
Louisiana,Louisiana,Trent Willmon,Louisiana Rain
Louisiana,Louisiana,Webb Wilder,Lousiana Hannah
Louisiana,Louisiana,The Hollies,Louisiana Man
Louisiana,Louisiana,Lucinda Williams,Lake Charles [DVD]
Louisiana,Louisiana,Savoy Brown,Louisiana Blues [Live]
Louisiana,Louisiana,Mel McDaniel,Louisiana Saturday Night
Louisiana,Louisiana,Savoy Brown,Louisiana Blues
Louisiana,Louisiana,The Countdown Kids,Polly Wolly Doodle
Louisiana,Louisiana,T. Graham Brown,Louisiana Saturday Night
Louisiana,Louisiana,Easton Corbin,Tulsa Texas
Louisiana,Louisiana,Marianne Faithfull,Prologue
Louisiana,Louisiana,Marianne Faithfull,Epilogue
Louisiana,Louisiana,Arthur Schwartz,Louisiana Hayride
Louisiana,Louisiana,The Felice Brothers,Katie Dear
Louisiana,Louisiana,The Band of Heathens,Hurricane
Louisiana,Louisiana,Jim Reeves,Billy Bayou
Louisiana,Louisiana,Roger Miller,Billy Bayou
Louisiana,Louisiana,The Animals,Louisiana Blues
Louisiana,Louisiana,Bobby Bare,Marie Laveau
Louisiana,Louisiana,Chuck Berry,Right Off Rampart Street
Louisiana,Louisiana,Muddy Waters,Louisiana Blues
Louisiana,Louisiana,Skip James,If You Haven't Any Hay Get on Down the Road
Louisiana,Louisiana,Charlie Daniels,Talk to Me Fiddle
Louisiana,Louisiana,Muddy Waters,Got My Mojo Working
Louisiana,Louisiana,Elvis Presley,Promised Land
Louisiana,Louisiana,Paul Simon,That Was Your Mother
Louisiana,Louisiana,Elvis Presley,New Orleans
Louisiana,Louisiana,Lightnin' Hopkins,I Asked the Bossman
Louisiana,Louisiana,Muddy Waters,I've Got My Mojo Working
Louisiana,Louisiana,Waylon Jennings,Mississippi Woman
Louisiana,Louisiana,Bill Anderson,Billy Bayou
Louisiana,Louisiana,Jim Reeves,Billy Bayou [Live]
Louisiana,Louisiana,"Howlin' Wolf, Muddy Waters",I've Got My Mojo Working [At Newport]
Louisiana,Louisiana,Howlin' Wolf,Got My Mojo Working
Louisiana,Louisiana,Lightnin' Hopkins,Mojo Hand
Louisiana,Louisiana,Tom Jones,The Things That Matter Most to Me
Louisiana,Louisiana,Charley Pride,Billy Bayou
Louisiana,Louisiana,Bill Monroe,Cotton Fields
Louisiana,Louisiana,Bob Dylan,West Texas
Louisiana,Louisiana,The Byrds,Oh! Susannah
Louisiana,Louisiana,Muddy Waters,I Got My Mojo Working
Louisiana,Louisiana,Kris Kristofferson,Smokey Put the Sweat on Me
Louisiana,Louisiana,Etta James,Got My Mojo Working
Louisiana,Louisiana,Adele,If It Hadn't Been For Love
Louisiana,Louisiana,Blake Shelton,Honey Bee
Louisiana,Louisiana,Alan Jackson,"Mexico, Tequila and Me"
Louisiana,Louisiana,B.B. King,You Are My Sunshine [DVD]
Louisiana,Louisiana,Louis Jordan,Got My Mo-Jo Working
Louisiana,Louisiana,James Cotton,Got My Mojo Working
Louisiana,Louisiana,Jim Reeves,Billy Bayou [Previously Unreleased Track]
Louisiana,Louisiana,Louis Jordan,Got My Mojo Working
Louisiana,Louisiana,Kitty Wells,Billy Bayou
Louisiana,Louisiana,Waylon Jennings,Gonna Write a Letter
Louisiana,Louisiana,Hoagy Carmichael,riverboat shuffle
Louisiana,Louisiana,B.B. King,Got My Mojo Working
Louisiana,Louisiana,Charlie Daniels,Ragin' Cajun
Louisiana,Louisiana,Chuck Berry,Got My Mojo Working
Louisiana,Louisiana,The Highwaymen,Cotton Fields
Louisiana,Louisiana,The Band,Long Distance Operator
Louisiana,Louisiana,Alexis Korner,I Got My Mojo Working
Louisiana,Louisiana,Gino Vannelli,Mardi Gras
Louisiana,Louisiana,B.B. King,I Got My Mojo Working
Louisiana,Louisiana,The Byrds,"Oh, Susannah"
Louisiana,Louisiana,Ferlin Husky,Cotton Fields
Louisiana,Louisiana,UB40,Tyler
