song_city,song_state,song_artist,song_name
Minnesota,Minnesota,Young Thug,Minnesota
Minnesota,Minnesota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota
Minnesota,Minnesota,Dr. Demento,The Biggest Ball of Twine in Minnesota
Minnesota,Minnesota,Frank Zappa,It Can't Happen Here
Minnesota,Minnesota,Kidz Bop Kids,Truth Hurts
Minnesota,Minnesota,"Lizzo, DaBaby",Truth Hurts [DaBaby Remix]
Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock"
Minnesota,Minnesota,Lizzo,Truth Hurts
Minnesota,Minnesota,Saint Asonia,Leaving Minnesota
Minnesota,Minnesota,The Push Stars,Minnesota
Minnesota,Minnesota,Atmosphere,Jason
Minnesota,Minnesota,The Dresden Dolls,Shores of California
Minnesota,Minnesota,Kid Dakota,Ten Thousand Lakes
Minnesota,Minnesota,Trisha Yearwood,On a Bus to St. Cloud
Minnesota,Minnesota,Andre Nickatina,Bakin' Soda in Minnesota
Minnesota,Minnesota,Migos,Payola
Minnesota,Minnesota,Hole,Drown Soda
Minnesota,Minnesota,"Raekwon, Ghostface Killah",Outta Town Shit
Minnesota,Minnesota,NOFX,Seeing Double at the Triple Rock
Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had
Minnesota,Minnesota,Del Reeves,The Philadelphia Fillies
Minnesota,Minnesota,Atmosphere,Onemosphere
Minnesota,Minnesota,Trampled by Turtles,The Darkness and the Light
Minnesota,Minnesota,Triple J,Seeing Double at the Triple Rock
Minnesota,Minnesota,Unlinked Artist,On a Bus to St. Cloud
Minnesota,Minnesota,Sadat X,Game's Sober
Minnesota,Minnesota,The Complex Dialect,Radar
Minnesota,Minnesota,Devendra Banhart,Lagoon
Minnesota,Minnesota,BlocBoy JB,Turnt Up
Minnesota,Minnesota,Jimmy LaFave,On a Bus to St. Cloud
Minnesota,Minnesota,Wiser Time,Unreasonable Force [Radio Version]
Minnesota,Minnesota,Kartky,CTRL Z (minnesota)
Minnesota,Minnesota,Shania Twain,Rock This Country!
Minnesota,Minnesota,Alabama,The Fans [Previously Unreleased Track]
Minnesota,Minnesota,Johnny Cash,Big River
Minnesota,Minnesota,Hank Snow,I've Been Everywhere [Live]
Minnesota,Minnesota,Charlie Daniels,"Then, Now and Until the End"
Minnesota,Minnesota,Johnny Cash,Big River [Live]
Minnesota,Minnesota,Roy Acuff,Wabash Cannonball
