song_city,song_state,song_artist,song_name
Missouri,Missouri,Eddy Arnold,Missouri
Missouri,Missouri,The Kingston Trio,Across the Wide Missouri
Missouri,Missouri,Eddy Arnold,Across the Wide Missouri
Missouri,Missouri,Pete Seeger,Shenandoah
Missouri,Missouri,Bananarama,Aie-A-Mwana
Missouri,Missouri,Judy Garland,Shenandoah
Missouri,Missouri,Bob Dylan,Shenandoah
Missouri,Missouri,Low,Missouri
Missouri,Missouri,Jimmy Dean,Shenandoah
Missouri,Missouri,David Allan Coe,Shenandoah
Missouri,Missouri,EL VY,"Happiness, Missouri"
Missouri,Missouri,James Last,Shenandoah
Missouri,Missouri,Harry Belafonte,Shenandoah
Missouri,Missouri,The Statler Brothers,Shenandoah
Missouri,Missouri,Bruce Springsteen,Shenandoah
Missouri,Missouri,Bruce Springsteen,Shenandoah [PCM Stereo]
Missouri,Missouri,Arlo Guthrie,Shenandoah
Missouri,Missouri,Zella Day,The Outlaw Josey Wales
Missouri,Missouri,Rhonda Vincent,Missouri Moon
Missouri,Missouri,Sammy Kaye,Walkin' to Missouri
Missouri,Missouri,Eminem,Groundhog Day [Bonus Track]
Missouri,Missouri,Johnny Mathis,Shenandoah
Missouri,Missouri,Ray Price,Across the Wide Missouri
Missouri,Missouri,Cry Cry Cry,Cold Missouri Waters
Missouri,Missouri,Ringo Starr,Missouri Loves Company
Missouri,Missouri,Bananarama,Aie a Mwana
Missouri,Missouri,Tech N9ne,On Our Way to L.A.
Missouri,Missouri,"Ceza, Tech N9ne",Dark Places
Missouri,Missouri,Melissa Etheridge,Stranger Road
Missouri,Missouri,Jefferson,Shenandoah (Intro Del Tema Gur Millis Morag)
Missouri,Missouri,Daniel Rodriguez,"Shenandoah, folk song"
Missouri,Missouri,Connie Conway,Kansas State Line
Missouri,Missouri,Peter Hollens,Shenandoah
Missouri,Missouri,Chuck Berry,Route 66
Missouri,Missouri,Depeche Mode,Route 66
Missouri,Missouri,The Manhattan Transfer,Route 66
Missouri,Missouri,The Rolling Stones,Route 66
Missouri,Missouri,Rosemary Clooney,Route 66
Missouri,Missouri,Mel Tormé,Route 66
Missouri,Missouri,Rosemary Clooney,You Came a Long Way from St. Louis/You Can Take the Boy Out of the ...
Missouri,Missouri,Perry Como,Route 66
Missouri,Missouri,Perry Como,You Came a Long Way from St. Louis
Missouri,Missouri,Perry Como,Delaware
Missouri,Missouri,Eddy Arnold,Missouri Waltz
Missouri,Missouri,Bobby Bare,Able Bodied Man
Missouri,Missouri,Charley Pride,Able Bodied Man
Missouri,Missouri,Johnny Cash,Missouri Waltz [Previously Unreleased Track]
Missouri,Missouri,The Browns,Shenandoah
Missouri,Missouri,John Mayer,Route 66
Missouri,Missouri,Bing Crosby,Missouri Waltz
Missouri,Missouri,Tom Jones,You Came a Long Way from St. Louis
Missouri,Missouri,Michael Johnson,Chicken Road
Missouri,Missouri,Hayley Westenra,Shenandoah
Missouri,Missouri,Garth Brooks,Tacoma
Missouri,Missouri,Asleep at the Wheel,Route 66
Missouri,Missouri,Asleep at the Wheel,(Get Your Kicks On) Route 66
Missouri,Missouri,Asleep at the Wheel,Route 66 (Get Your Kicks On)
Missouri,Missouri,June Christy,You Came a Long Way From St. Louis
Missouri,Missouri,Asleep at the Wheel,Get Your Kicks on Route 66
Missouri,Missouri,许嘉凌,Shenandoah
Missouri,Missouri,Mark Lehnhoff,When I Was Younger
Missouri,Missouri,Asleep at the Wheel,Route 66 [DVD; Live]
Missouri,Missouri,Bo Diddley,Route 66
Missouri,Missouri,Glenn Frey,Route 66
Missouri,Missouri,Mind Funk,Sugar Ain't So Sweet
Missouri,Missouri,Faryl Smith,"Shenandoah, folk song"
Missouri,Missouri,Asleep at the Wheel,Route 66 [Live]
Missouri,Missouri,Warren Zevon,Frank and Jesse James
Missouri,Missouri,Warren Zevon,Frank And Jesse James [Solo Piano Demo; Previously Unreleased Track; Version]
Missouri,Missouri,Roger McGuinn,Shenandoah
