song_city,song_state,song_artist,song_name
Nebraska,Nebraska,Bowling for Soup,(Ready or Not) Omaha Nebraska
Nebraska,Nebraska,The Morrie Morrison Orchestra ,N-E-B-R-A-S-K-A
Nebraska,Nebraska,Lady Gaga,Yoü And I
Nebraska,Nebraska,Lady Gaga,Yoü and I [Wild Beasts Remix]
Nebraska,Nebraska,Lady Gaga,Yoü and I
Nebraska,Nebraska,Lady Gaga,Yoü and I [Danny Verde Club Mix]
Nebraska,Nebraska,Glee,You and I/You and I
Nebraska,Nebraska,moe.,Nebraska
Nebraska,Nebraska,Anvil,Nabbed In Nebraska
Nebraska,Nebraska,Bee Gees,Road to Alaska
Nebraska,Nebraska,Pierre Perret,Olga
Nebraska,Nebraska,Sawyer Brown,The Nebraska Song
Nebraska,Nebraska,American Supermodel,Walking Nebraska
Nebraska,Nebraska,Alma Cogan,Never Do A Tango With An Eskimo
Nebraska,Nebraska,The Nields,Nebraska
Nebraska,Nebraska,Bruce Springsteen,Wild Billy's Circus Story
Nebraska,Nebraska,Damien Jurado,Dear Thomas Wolfe
Nebraska,Nebraska,Josh Rouse,Dressed Up Like Nebraska
Nebraska,Nebraska,The Cash Brothers,Nebraska
Nebraska,Nebraska,Richard Marx,Hazard
Nebraska,Nebraska,The Decemberists,Calamity Song
Nebraska,Nebraska,Kimbra,Settle Down
Nebraska,Nebraska,Richard Marx,Hazard [Live]
Nebraska,Nebraska,Kane's River,Cole Younger
Nebraska,Nebraska,"Richard Desjardins, Richard Desjardins",Langlois
Nebraska,Nebraska,Bruce Springsteen,Nebraska
Nebraska,Nebraska,Waylon Jennings,Omaha
Nebraska,Nebraska,Woody Guthrie,The Great Dust Storm (Dust Storm Disaster)
Nebraska,Nebraska,Hank Snow,I've Been Everywhere [Live]
Nebraska,Nebraska,Bob Seger,Get Out of Denver
Nebraska,Nebraska,Rich Mullins,Calling out Your Name [DVD; Bonus Track]
Nebraska,Nebraska,Rich Mullins,Calling out Your Name
Nebraska,Nebraska,David Houston,My Elusive Dreams
Nebraska,Nebraska,Woody Guthrie,Dust Storm Disaster
Nebraska,Nebraska,Tammy Wynette,My Elusive Dreams
Nebraska,Nebraska,Marty Robbins,Prairie Fire
Nebraska,Nebraska,Bing Crosby,Sioux City Sue
Nebraska,Nebraska,Charlie Rich,On My Knees
Nebraska,Nebraska,Master P,There Dey Go
Nebraska,Nebraska,Quincy Jones,Back on the Block
Nebraska,Nebraska,George Jones,My Elusive Dreams
Nebraska,Nebraska,Johnny Mathis,"Ace in the Hole [From ""Let's Face It! ""]"
Nebraska,Nebraska,Joan Baez,Rexroth's Daughter
Nebraska,Nebraska,Willie Nelson,Sioux City Sue
