song_state,song_artist,song_name
New York,Nas,Streets of New York (City Life) [[Remix]]
New York,Dion,Where It Started At (NY)
New York,Alicia Keys,Streets of New York (City Life)
New York,Raekwon,New York
New York,AZ,New York
New York,Curtis Stigers,New York Is Rockin'
New York,Bernard Lavilliers,Rock City
New York,Raekwon,New York!!
New York,AZ,New York [Remix]
New York,Troy Ave,New York City
New York,Busta Rhymes,New York Shit
New York,Yellowman,Come Get everything
New York,glee cast,"I Love New York/New York, New York"
New York,U2,New York
New York,U2,Pop Muzik [Pop Mart Mix]
New York,Taylor Swift,Welcome To New York
New York,Barrington Levy,Stress Ya
New York,Cat Stevens,New York Times
New York,Alicia Keys,Streets of New York (City Life) [DVD]
New York,AC/DC,Safe in New York City
New York,Prince,All the Critics Love U in New York
New York,John Lennon,New York City
New York,"Troy Ave, Statik Selektah, Meyhem Lauren, Ag Da Coroner, Push!",Big City of Dreams
New York,Shirley Bassey,"New York, New York"
New York,Shirley Bassey,"New York Medley: New York, New York/New York, New York"
New York,Pharrell Williams,Stress Ya
New York,Nina Hagen,New York New York
New York,glee cast,Empire State Of Mind
New York,Jay-Z,Empire State of Mind
New York,Kiss,New York Groove
New York,Ace Frehley,New York Groove
New York,M-Boogie,"New York, New York"
New York,Fat Joe,New York
New York,Grandmaster Flash,"New York, New York"
New York,Nas,The Don
New York,Robin Thicke,Living in New York City
New York,Andrew W.K.,I Love NYC
New York,Serge Gainsbourg,New York USA
New York,Serge Gainsbourg,New York - U.S.A.
New York,Jim's Big Ego,Punk Junkies from New York
New York,Don Henley,New York Minute
New York,Lil Jon,Crunk Juice
New York,50 Cent,New York Times [Bonus Track]
New York,'Les Paul's',New York City
New York,Frank Sinatra,"New York, New York [On The Town]"
New York,Debbie Harry,"New York, New York"
New York,José José,"New York, New York"
New York,Debbie Harry,"New York, New York [Single Version]"
New York,Debbie Harry,"New York, New York [Armand Van Helden Dub]"
New York,Alicia Keys,"Empire State Of Mind, Pt. 2: Broken Down"
New York,Ray Conniff,"New York, New York"
New York,Mel Tormé,"New York, New York"
New York,Bodyrockers,New York City Girl
New York,Mos Def,This Means You
New York,Tha Dogg Pound,"New York, New York"
New York,Desiigner,LA to NY
New York,Frank Sinatra,"Theme From New York, New York"
New York,Frank Sinatra,"Theme from New York, New York"
New York,101 Strings Orchestra,"Theme from New York, New York"
New York,Ella Fitzgerald,Autumn in New York
New York,Sarah Vaughan,Autumn in New York
New York,Louis Armstrong,Autumn in New York
New York,Jo Stafford,Autumn in New York
New York,The Doobie Brothers,8th Avenue Shuffle
New York,Black Box,Native New Yorker
New York,"Alicia Keys, Nancy McClean",New York City Girl
New York,Johnny Mathis,Autumn in New York
New York,Boney M.,New York City
New York,Rosemary Clooney,Autumn in New York
New York,Liza Minnelli,"New York, New York"
New York,Fear,New York's Alright If You Like Saxophones
New York,Steve Lawrence,"New York, New York"
New York,Paul Mauriat,"New York, New York"
New York,Nas,"N.Y. State of Mind, Pt. 2"
New York,Liza Minnelli,New York New York
New York,Max,Still New York
New York,Charles Trénet,Grand-maman c'est New York
New York,Helen Merrill,Autumn in New York
New York,Paul Weston,Autumn in New York
New York,Arthur Prysock,Autumn in New York
New York,Eagles,New York Minute
New York,Sarah Vaughan,Autumn New York {From Thumbs Up}
New York,Peggy Lee,Autumn in New York
New York,"Harry Connick, Jr.",Autumn in New York
New York,Michael Bolton,New York New York
New York,Joe Pass,'Tis Autumn
New York,Jimmy Reed,Going to New York
New York,Gordon Lightfoot,Cold Hands from New York
New York,Public Enemy,A Letter to the New York Post
New York,Boogie Down Productions,100 Guns
New York,Barry Manilow,New York City Rhythm
New York,Gazoline,New York
New York,The Strokes,New York City Cops
New York,Radio Elvis,New York
New York,Gang Starr,New York Strait Talk
New York,Lenny Kravitz,New York City
