song_city,song_state,song_artist,song_name
North Carolina,North Carolina,Gene Vincent,North Carolina Line
North Carolina,North Carolina,Alison Krauss,Carolina Moon
North Carolina,North Carolina,Dean Martin,Just a Little Bit South of North Carolina
North Carolina,North Carolina,Petey Pablo,Raise Up
North Carolina,North Carolina,James Taylor,Raised Up Family
North Carolina,North Carolina,Anita O'Day,Just a Little Bit South of North Carolina
North Carolina,North Carolina,James Brown,Night Train
North Carolina,North Carolina,The Carter Family,East Virginia Blues
North Carolina,North Carolina,Pete Seeger,East Virginia Blues
North Carolina,North Carolina,The Stanley Brothers,East Virginia Blues
North Carolina,North Carolina,Gene Krupa,Just a Little Bit South of North Carolina
North Carolina,North Carolina,The Weavers,Born in East Virginia
North Carolina,North Carolina,Ralph Stanley,East Virginia Blues
North Carolina,North Carolina,The Stanley Brothers,Story of the Lawson Family
North Carolina,North Carolina,Townes Van Zandt,Blue Ridge Mtns. (Smoky Version) [Sky Blue Version]
North Carolina,North Carolina,Logic,Thank You
North Carolina,North Carolina,Black Sheep,L A S M
North Carolina,North Carolina,Pete Seeger,East Virginia
North Carolina,North Carolina,James Brown,Night Train [Live]
North Carolina,North Carolina,The Everly Brothers,"Oh, I'd Like to Go Away"
North Carolina,North Carolina,James Brown & His Famous Flames,Night Train [Bonus Track]
North Carolina,North Carolina,Gene Krupa & His Orchestra,Just a Little Bit South of North Carolina
North Carolina,North Carolina,TQ,Did You Miss Me
North Carolina,North Carolina,Magnetic Fields,All My Little Words
North Carolina,North Carolina,Balsam Range,East Virginia Blues
North Carolina,North Carolina,Jimmy Castor,Potential
North Carolina,North Carolina,Damien Jurado,East Virginia
North Carolina,North Carolina,Bloodhound Gang,Three Point One Four
North Carolina,North Carolina,Son Volt,Methamphetamine
North Carolina,North Carolina,Clap Your Hands Say Yeah,Yankee Go Home
North Carolina,North Carolina,The Philosopher Kings,Everyone'll Let You Down
North Carolina,North Carolina,Yaggfu Front,Black Liquid
North Carolina,North Carolina,Master P,How Ya Do Dat
North Carolina,North Carolina,N.E.R.D.,Don't Don't Do It!
North Carolina,North Carolina,Tony Rice,Carolina Star
North Carolina,North Carolina,Claudia Church,Home in My Heart (North Carolina)
North Carolina,North Carolina,Allan Sherman,Holiday for States
North Carolina,North Carolina,DJ Khaled,We Takin' Over
North Carolina,North Carolina,Fat Joe,We Takin' Over
North Carolina,North Carolina,Fleetwood Mac,Hypnotized
North Carolina,North Carolina,Funkadelic,"Mommy, What's a Funkadelic?"
North Carolina,North Carolina,Merle Haggard,Mixed Up Mess of a Heart
North Carolina,North Carolina,Waylon Jennings,White Lightning
North Carolina,North Carolina,George Jones,Revenooer Man
North Carolina,North Carolina,Waylon Jennings,White Lightnin'
North Carolina,North Carolina,George Jones,White Lightnin'
North Carolina,North Carolina,Joan Baez,East Virginia
North Carolina,North Carolina,Redman,Rockafella
North Carolina,North Carolina,Alan Jackson,Revenooer Man
North Carolina,North Carolina,Bing Crosby,Clementine
North Carolina,North Carolina,Johnny Cash,From Sea to Shining Sea [Bonus Track]
North Carolina,North Carolina,The Statler Brothers,Woman Without a Home
North Carolina,North Carolina,Bobby Darin,Clementine
North Carolina,North Carolina,Flatt & Scruggs,That Happy Night
North Carolina,North Carolina,Jay-Z,Universal Soldier
North Carolina,North Carolina,The Statler Brothers,I Wish I Could Be
North Carolina,North Carolina,The Kingston Trio,Brown Mountain Light
North Carolina,North Carolina,Burl Ives,Clementine
North Carolina,North Carolina,Game,Crenshaw/80s and Cocaine
North Carolina,North Carolina,Drake,10 Bands
North Carolina,North Carolina,George Jones,White Lightning
North Carolina,North Carolina,Garth Brooks,White Lightnin'
North Carolina,North Carolina,Master P,Murder
