song_city,song_state,song_artist,song_name
Northern Mariana Islands,Northern Mariana Islands,Kenny Chesney,Every Heart
Northern Mariana Islands,Northern Mariana Islands,Al Stewart,Murmansk Run/Ellis Island
Northern Mariana Islands,Northern Mariana Islands,Owl City,Madeline Island
Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,Where I Belong
Northern Mariana Islands,Northern Mariana Islands,"Curren$y, Rick Ross, Harry Fraud",Mugello Red
Northern Mariana Islands,Northern Mariana Islands,Busta Rhymes,Live It Up
Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls
Northern Mariana Islands,Northern Mariana Islands,Rosanne Cash,Modern Blue
Northern Mariana Islands,Northern Mariana Islands,George Fox,Clearly Canadian
Northern Mariana Islands,Northern Mariana Islands,Logic,Thank You
Northern Mariana Islands,Northern Mariana Islands,Zac Brown Band,2 Places at 1 Time
Northern Mariana Islands,Northern Mariana Islands,Kids Learning Tube ,7 Continents
Northern Mariana Islands,Northern Mariana Islands,Brian Wilson,California Girls
Northern Mariana Islands,Northern Mariana Islands,Mystic Circle,Isenstein
Northern Mariana Islands,Northern Mariana Islands,Ozark Mountain Daredevils,Southern Cross
Northern Mariana Islands,Northern Mariana Islands,Stompin' Tom Connors,"Canada Day, Up Canada Way"
Northern Mariana Islands,Northern Mariana Islands,David Lee Roth,California Girls
Northern Mariana Islands,Northern Mariana Islands,De La Soul,Am I Worth You?
Northern Mariana Islands,Northern Mariana Islands,"Martin Luther King, Jr.",I Have a Dream
Northern Mariana Islands,Northern Mariana Islands,Faded Paper Figures,North by North
Northern Mariana Islands,Northern Mariana Islands,The Move,California Girls
Northern Mariana Islands,Northern Mariana Islands,West Indian Girl,Northern Sky
Northern Mariana Islands,Northern Mariana Islands,Nancy Sinatra,California Girls
Northern Mariana Islands,Northern Mariana Islands,Bal-Sagoth,Blood Slakes the Sand at the Circus Maximus
Northern Mariana Islands,Northern Mariana Islands,Cass McCombs,The Great Pixley Train Robbery
Northern Mariana Islands,Northern Mariana Islands,Tony Yayo,I'm So High
Northern Mariana Islands,Northern Mariana Islands,"The Alchemist, Action Bronson, Big Body Bes",Brother Jedidiah
Northern Mariana Islands,Northern Mariana Islands,Tindersticks,Marbles
Northern Mariana Islands,Northern Mariana Islands,Jimmy LaFave,When the Tears Fall
Northern Mariana Islands,Northern Mariana Islands,Wolfstone,Wild and the Free
Northern Mariana Islands,Northern Mariana Islands,Northern State,A Thousand Words
Northern Mariana Islands,Northern Mariana Islands,Rolling Blackouts Coastal Fever,The  Cool Change
Northern Mariana Islands,Northern Mariana Islands,Jon Bellion,Cautionary Tales
Northern Mariana Islands,Northern Mariana Islands,Kamelot,Expedition
Northern Mariana Islands,Northern Mariana Islands,TNT,Abbasanta
Northern Mariana Islands,Northern Mariana Islands,Dave,Revenge
Northern Mariana Islands,Northern Mariana Islands,Carpathian Forest,The Pale Mist Hovers Towards the Nightly Shores
Northern Mariana Islands,Northern Mariana Islands,Skrewdriver,Shove the Dove
Northern Mariana Islands,Northern Mariana Islands,Justin Rutledge,Be a Man
Tinian,Northern Mariana Islands,Deacon Blue,He Looks Like Spencer Tracy Now
Rota,Northern Mariana Islands,Marc Anthony,La  Copa Rota
Rota,Northern Mariana Islands,Enrique Iglesias,El Muro
Rota,Northern Mariana Islands,Vicente Fernández,Como Amante O Como Hermano
Rota,Northern Mariana Islands,José Feliciano,La Copa Rota
Rota,Northern Mariana Islands,"Demet Akalın, Erdem Kınay",Rota
Rota,Northern Mariana Islands,Ricardo Arjona,Iluso
Rota,Northern Mariana Islands,Intocable,Con Mis Alas Rotas
Rota,Northern Mariana Islands,Soda Stereo,Danza Rota
Rota,Northern Mariana Islands,Fey,Como un Ángel
Rota,Northern Mariana Islands,Luan Santana,Ignore
Rota,Northern Mariana Islands,Arcángel,Memoria Rota
Rota,Northern Mariana Islands,Jencarlos Canela,Irreparable
Rota,Northern Mariana Islands,Myke Towers,Relación Rota
Rota,Northern Mariana Islands,Generacion 12,Hay Poder
Rota,Northern Mariana Islands,Rita Lee,2001
Rota,Northern Mariana Islands,Catupecu Machu,En Los Sueños
Rota,Northern Mariana Islands,"Andrés Calamaro, Bunbury",Copa rota
Rota,Northern Mariana Islands,"Roy Paci, Colle der Fomento",Polvere
Rota,Northern Mariana Islands,Fuego,TRAPPERZ A Mafia Da Sicilia
Rota,Northern Mariana Islands,MC Paulin da Capital,Vt Tá na Bota
Rota,Northern Mariana Islands,Duelo,Para Sobrevivir
Rota,Northern Mariana Islands,Catupecu Machu,En los Sueños
Rota,Northern Mariana Islands,Pablo Alborán,Idiota
Rota,Northern Mariana Islands,Reik,Nada
Rota,Northern Mariana Islands,Miel San Marcos,Dios Poderoso
Rota,Northern Mariana Islands,Maiara & Maraisa,GPS
Rota,Northern Mariana Islands,"Taburete, Kitai",Kill Bill
Rota,Northern Mariana Islands,Rubén Blades,Encrucijada
Rota,Northern Mariana Islands,Buju Banton,Gold Spoon
Rota,Northern Mariana Islands,Victor Manuelle,Apiádate de Mí
Rota,Northern Mariana Islands,Joan Sebastían,La Derrota
Rota,Northern Mariana Islands,Vicente Fernández,La Derrota
Rota,Northern Mariana Islands,Oscar Martinez,La Copa Rota
Rota,Northern Mariana Islands,"Anand Bakshi, Shabbir Kumar",Bul Bul Ye Desh Paraya Hai
Rota,Northern Mariana Islands,Carlos Cuevas,La Copa Rota
Rota,Northern Mariana Islands,Victor Manuelle,Apiádate de Mi
Rota,Northern Mariana Islands,Miguel Bosé,Tic Tac
Rota,Northern Mariana Islands,"Melissa Robles, Cristian Castro, Jesus Navarro",La Malquerida
Rota,Northern Mariana Islands,"Asha Bhosle, Asad Bhopali",Meri Jaan Pyar Karo
Rota,Northern Mariana Islands,Luis Miguel,Mi Humilde Oración [My Grown Up Christmas List]
Rota,Northern Mariana Islands,"Vicente Fernández, Alejandro Fernández, Alex Fernández",La Dinastía Fernández (La Derrota / Volver Volver)
Rota,Northern Mariana Islands,Plumbo,Pokerkongen
Rota,Northern Mariana Islands,Hidra,Cennetten Cehenneme
Rota,Northern Mariana Islands,Érika Minetti,Pxllas
Rota,Northern Mariana Islands,"Kulwant Jani, Shabbir Kumar",Dharam Yudh Dharam Yudh
Rota,Northern Mariana Islands,"Rahat Fateh Ali Khan, Richa Sharma, Kumaar",Jag Soona Soona Lage
Rota,Northern Mariana Islands,José Alfredo Jiménez,Cuatro Copas
Rota,Northern Mariana Islands,"Antonio Aguilar, José Alfredo Jiménez",Cuatro Copas
Rota,Northern Mariana Islands,Thalía,Desolvidandote
Rota,Northern Mariana Islands,Azucar Moreno,Lujuria
Rota,Northern Mariana Islands,"Vishal Dadlani, Sunidhi Chauhan",Khushboo Churati
Rota,Northern Mariana Islands,Ha*Ash,Sé Que Te Vas
Rota,Northern Mariana Islands,Os Mutantes,Dois Mil E Um
Rota,Northern Mariana Islands,Bronco,Cuatro Lagrimas
Rota,Northern Mariana Islands,Los Polifaceticos,Cuatro Lagrimas
Rota,Northern Mariana Islands,Kalimba,Estrellas Rotas
Rota,Northern Mariana Islands,Estelares,Alas Rotas
Rota,Northern Mariana Islands,Canção e Louvor,Calmaria
Rota,Northern Mariana Islands,Canção e Louvor,Calmaria [Playback]
Rota,Northern Mariana Islands,Pixote,Mande Um Sinal / Ele E Ela
Rota,Northern Mariana Islands,Ana Emilia,Astronauta
Rota,Northern Mariana Islands,Pixote,Ele E Ela
Rota,Northern Mariana Islands,La Gusana Ciega,Baby Rota
Rota,Northern Mariana Islands,David DeMaría,Precisamente Ahora
Rota,Northern Mariana Islands,Cristiano Araújo,Blackout
Rota,Northern Mariana Islands,Soraya,Vuelve Junto a Mí
Rota,Northern Mariana Islands,Mon Laferte,El Cristal
Rota,Northern Mariana Islands,"Vishal Dadlani, Shaan",Kaash
Rota,Northern Mariana Islands,Porta,Enmarcando Recuerdos
