song_city,song_state,song_artist,song_name
Ohio,Ohio,The Ohio Players,O-H-I-O
Ohio,Ohio,Connie Smith,"Cincinnati, Ohio"
Ohio,Ohio,Bill Anderson,Cincinnati Ohio
Ohio,Ohio,"Neil Young, Crosby, Stills, Nash & Young",Ohio
Ohio,Ohio,Neil Young,Ohio
Ohio,Ohio,Jack Greene,Cincinnati Ohio
Ohio,Ohio,John Hiatt,All the Lilacs in Ohio
Ohio,Ohio,Sleepy John Estes,You Shouldn't Do That
Ohio,Ohio,Pretenders,My City Was Gone
Ohio,Ohio,Pretenders,My City Was Gone [DVD]
Ohio,Ohio,Pretenders,Message of Love
Ohio,Ohio,The Low Anthem,To Ohio
Ohio,Ohio,Frankie Laine,My Ohio Home
Ohio,Ohio,Over the Rhine,Ohio
Ohio,Ohio,Bill Anderson,Talk to Me Ohio
Ohio,Ohio,Phil Ochs,Boy in Ohio
Ohio,Ohio,Mott the Hoople,Ohio
Ohio,Ohio,Andrew McMahon In the Wilderness,Ohio
Ohio,Ohio,Bing Crosby,Ohio [From Wonderful Town]
Ohio,Ohio,Hawkwind,You Shouldn't Do That
Ohio,Ohio,Future,Everything A Dope Boy Ever Wanted
Ohio,Ohio,"Jake Paul, Chance Sutton, Anthony Trujillo",Ohio Fried Chicken
Ohio,Ohio,Johnny Cash,The Banks of the Ohio
Ohio,Ohio,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track]
Ohio,Ohio,The Oak Ridge Boys,Gonna Take a Lot of River
Ohio,Ohio,Nik Turner,You Sholdn't Do That [DVD]
Ohio,Ohio,Joan Baez,Banks of the Ohio
Ohio,Ohio,Dolly Parton,Banks of the Ohio
Ohio,Ohio,Jamie Lawson,Cold in Ohio
Ohio,Ohio,Limbeck,In Ohio on Some Steps
Ohio,Ohio,Super Furry Animals,Ohio Heat
Ohio,Ohio,Neversink,No Sun in Ohio
Ohio,Ohio,Joan Baez,The Banks of the Ohio
Ohio,Ohio,Peter Bradley Adams,Ohio
Ohio,Ohio,Anna Kendrick,A Summer in Ohio
Ohio,Ohio,The National,Bloodbuzz Ohio
Ohio,Ohio,Relient K,Mrs. Hippopotamuses'
Ohio,Ohio,Bow Wow,Off the Glass
Ohio,Ohio,Elvis Costello,Toledo
Ohio,Ohio,Olivia Newton-John,Banks of the Ohio
Ohio,Ohio,Loretta Lynn,Van Lear Rose
Ohio,Ohio,Miranda Lambert,Look at Miss Ohio
Ohio,Ohio,John Denver,Toledo
Ohio,Ohio,Copywrite,Fire It Up
Ohio,Ohio,Burt Bacharach,Toledo
Ohio,Ohio,Dwight Yoakam,South of Cincinnati
Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati [Live; Previously Unreleased Track; Live]
Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati
Ohio,Ohio,The Tragically Hip,Chagrin Falls
Ohio,Ohio,Jim Croce,Country Girl
