song_city,song_state,song_artist,song_name
Oklahoma,Oklahoma,Van Zant,Oklahoma
Oklahoma,Oklahoma,Pete Seeger,My Oklahoma Home (It Blowed Away) [Previously Unreleased Track]
Oklahoma,Oklahoma,Keb' Mo',Oklahoma
Oklahoma,Oklahoma,Charley Pride,Oklahoma Morning
Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline
Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home
Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home [PCM Stereo]
Oklahoma,Oklahoma,Roger Miller,Oklahoma Woman
Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Nights
Oklahoma,Oklahoma,Blake Shelton,Oklahoma Christmas
Oklahoma,Oklahoma,Chris LeDoux,Ballad of Will Rogers
Oklahoma,Oklahoma,Cross Canadian Ragweed,In Oklahoma
Oklahoma,Oklahoma,The Notorious Cherry Bombs,Oklahoma Dust
Oklahoma,Oklahoma,Vince Gill,Oklahoma Swing
Oklahoma,Oklahoma,Reba McEntire,Oklahoma Swing
Oklahoma,Oklahoma,Hank Thompson,Oklahoma Hills
Oklahoma,Oklahoma,Kay Starr,Oklahoma Hills
Oklahoma,Oklahoma,Waylon Jennings,Oklahoma Sunshine
Oklahoma,Oklahoma,Jim Reeves,Oklahoma Hills
Oklahoma,Oklahoma,Don Williams,Where the Arkansas River Leaves Oklahoma
Oklahoma,Oklahoma,Country Joe McDonald,Oklahoma Hills
Oklahoma,Oklahoma,Cher,Never Been to Spain
Oklahoma,Oklahoma,Carrie Underwood,I Ain't in Checotah Anymore
Oklahoma,Oklahoma,John Raitt,Oklahoma! (Overture) [From Oklahoma!]
Oklahoma,Oklahoma,Chris LeDoux,Oklahoma Joe
Oklahoma,Oklahoma,John Raitt,Oklahoma! [Bonus Track]
Oklahoma,Oklahoma,Heino,Beim Alten Bill in Oklahoma
Oklahoma,Oklahoma,Three Dog Night,Never Been to Spain
Oklahoma,Oklahoma,David Frizzell,You're the Reason God Made Oklahoma
Oklahoma,Oklahoma,Frizzell & West,You're the Reason God Made Oklahoma
Oklahoma,Oklahoma,Shirley Jones,Oklahoma
Oklahoma,Oklahoma,Shirley Jones,Oklahoma!
Oklahoma,Oklahoma,Gordon MacRae,"Oklahoma (from ""Oklahoma!"") [From Oklahoma!]"
Oklahoma,Oklahoma,Ike & Tina Turner,Never Been To Spain
Oklahoma,Oklahoma,Woody Guthrie,Pretty Boy Floyd
Oklahoma,Oklahoma,The Byrds,Pretty Boy Floyd [Live]
Oklahoma,Oklahoma,Arlo Guthrie,Pretty Boy Floyd
Oklahoma,Oklahoma,The Byrds,Pretty Boy Floyd
Oklahoma,Oklahoma,Bob Dylan,Pretty Boy Floyd
Oklahoma,Oklahoma,The Kinks,Oklahoma U.S.A.
Oklahoma,Oklahoma,Joan Baez,Pretty Boy Floyd
Oklahoma,Oklahoma,Saliva,Here with You
Oklahoma,Oklahoma,Jason Aldean,Fly Over States
Oklahoma,Oklahoma,Kane,Oklahoma State of Mind
Oklahoma,Oklahoma,Stephen Hunley,Oklahoma
Oklahoma,Oklahoma,American Aquarium,Work Conquers All
Oklahoma,Oklahoma,Rascal Flatts,Oklahoma-Texas Line
Oklahoma,Oklahoma,The Monkees,Oklahoma Backroom Dancer
Oklahoma,Oklahoma,Blake Shelton,Good Ole Boys
Oklahoma,Oklahoma,Reba McEntire,San Antonio Rose
Oklahoma,Oklahoma,Eli Young Band,Oklahoma Girl
Oklahoma,Oklahoma,Sutton Foster,Oklahoma [Bonus Track]
Oklahoma,Oklahoma,Ramblin' Jack Elliott,Pretty Boy Floyd
Oklahoma,Oklahoma,Pete Townshend,Jools and Jim
Oklahoma,Oklahoma,Trace Adkins,She's Still There
Oklahoma,Oklahoma,Jim Croce,Wear Out the Turnpike
Oklahoma,Oklahoma,Jack Elliott,Pretty Boy Floyd
Oklahoma,Oklahoma,Trace Adkins,When I Stop Loving You
Oklahoma,Oklahoma,The Tractors,The Tulsa Shuffle
Oklahoma,Oklahoma,The Call,Oklahoma
Oklahoma,Oklahoma,Clay Walker,Boogie Till the Cows Come Home
Oklahoma,Oklahoma,Steve Earle,Billy Austin
Oklahoma,Oklahoma,Moe Bandy,She's Got That Oklahoma Look
Oklahoma,Oklahoma,"Robert Earl Keen, Jr.",Shades of Gray
Oklahoma,Oklahoma,Luke Combs,Nothing Like You
Oklahoma,Oklahoma,Bill Miller,Tumbleweed
Oklahoma,Oklahoma,The Dresden Dolls,Shores of California
Oklahoma,Oklahoma,Yo La Tengo,"Oklahoma, U.S.A."
Oklahoma,Oklahoma,Unlinked Artist,"Oklahoma (from ""Oklahoma!"")"
Oklahoma,Oklahoma,Cisco Houston,Pretty Boy Floyd
Oklahoma,Oklahoma,The Blue Dogs,Never Been to Spain
Oklahoma,Oklahoma,"Robert Earl Keen, Jr.",Shades of Gray [DVD]
Oklahoma,Oklahoma,Chuck Berry,Route 66
Oklahoma,Oklahoma,Elvis Presley,Never Been to Spain [Master; Live; Previously Unreleased Track]
Oklahoma,Oklahoma,Woody Guthrie,Dust Pneumonia Blues
Oklahoma,Oklahoma,Woody Guthrie,Do-Re-Mi
Oklahoma,Oklahoma,Kris Kristofferson,Good Christian Soldier
Oklahoma,Oklahoma,Waylon Jennings,Never Been to Spain
