song_city,song_state,song_artist,song_name
Oregon,Oregon,Sleepover,Oregon
Oregon,Oregon,Woody Guthrie,End of the Line
Oregon,Oregon,Loretta Lynn,Portland Oregon
Oregon,Oregon,Loretta Lynn,"Portland, Oregon"
Oregon,Oregon,Michael Hurley,The Portland Water
Oregon,Oregon,Steely Dan,Don't Take Me Alive
Oregon,Oregon,Neal Casal,The Portland Water
Oregon,Oregon,Al Stewart,Katherine of Oregon
Oregon,Oregon,Alxndr Sounds,More Again
Oregon,Oregon,Maybe_grady,Mount Hood
Oregon,Oregon,Someone Still Loves You Boris Yeltsin,Oregon Girl
Oregon,Oregon,Cowboy Junkies,Oregon Hill
Oregon,Oregon,Perry Como,Delaware
Oregon,Oregon,Vanessa Paradis,Que fait la vie?
Oregon,Oregon,Herbert Grönemeyer,Commander
Oregon,Oregon,Grant Lee Buffalo,Hyperion and Sunset
Oregon,Oregon,Van Morrison,Almost Independence Day
Oregon,Oregon,John Linnell,Oregon
Oregon,Oregon,YACHT,Shangri-La
Oregon,Oregon,Said the Whale,Cascadia
Oregon,Oregon,Mat Kearney,Nothing Left to Lose
Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version; Bonus Track]
Oregon,Oregon,Dead Kennedys,Night of the Living Rednecks
Oregon,Oregon,Rebelution,Inhale Exhale
Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version]
Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon"
Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon [Solo; Multimedia Track]"
Oregon,Oregon,Martin Weller,Rainmaker
Oregon,Oregon,Paul Wright,Flip-Flops
Oregon,Oregon,Paul Wright,South Beach
Oregon,Oregon,Hanalei,Better Days
Oregon,Oregon,Earlimart,A Goodbye
Oregon,Oregon,Galactic Cowboys,Oregon
Oregon,Oregon,RZA,Protect Ya Neck
Oregon,Oregon,Wu-Tang Clan,Protect Ya Neck
Oregon,Oregon,Tony! Toni! Toné!,The Blues
Oregon,Oregon,The Yardbirds,Psycho Daisies
Oregon,Oregon,Woody Guthrie,Pastures of Plenty
Oregon,Oregon,Woody Guthrie,Grand Coulee Dam
Oregon,Oregon,Ol' Dirty Bastard,Protect Ya Neck
Oregon,Oregon,Bob Dylan,The Grand Coulee Dam
Oregon,Oregon,Jerry Jeff Walker,I Keep Changin'
Oregon,Oregon,The Kingston Trio,Pastures of Plenty
Oregon,Oregon,Johnny Cash,From Sea to Shining Sea [Bonus Track]
Oregon,Oregon,Johnny Cash,Lumberjack
Oregon,Oregon,Ludacris,Hip Hop Quotables
Oregon,Oregon,Grateful Dead,Pride of Cucamonga
Oregon,Oregon,Willie Nelson,Lumberjack
