song_city,song_state,song_artist,song_name
Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania"
Pennsylvania,Pennsylvania,X-Patriate: Alan J. Lipman,Pennsylvania Avenue
Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Enoch Light Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania"
Pennsylvania,Pennsylvania,Guy Mitchell,Pittsburgh Pennsylvania
Pennsylvania,Pennsylvania,Benny Goodman,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The New 101 Strings Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Tommy Dorsey,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The Muppets,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Count Basie,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Bud Freeman,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Ted Heath Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Brian Setzer,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Heart,Pennsylvania
Pennsylvania,Pennsylvania,Teresa Brewer,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Status Quo,Pennsylvania Blues Tonight
Pennsylvania,Pennsylvania,Everclear,Pennsylvania Is...
Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home For the Holidays
Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Olivia Newton-John,Home for the Holidays
Pennsylvania,Pennsylvania,Randy Travis,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Unlinked Artist,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Perry Como,There's No Place Like Home for the Holidays
Pennsylvania,Pennsylvania,Perry Como,"Home For the Holidays, (There's No Place Like)"
Pennsylvania,Pennsylvania,Jerry Gray,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The Band of the Black Watch,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Johnny Mathis,Home for the Holidays
Pennsylvania,Pennsylvania,Tex Beneke,Pennsylvania 6-5000 [Previously Unreleased Track]
Pennsylvania,Pennsylvania,The Modernaires,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The Brian Setzer Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,BBC Big Band,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Harry Chapin,"30,000 Pounds of Bananas"
Pennsylvania,Pennsylvania,BBC Big Band Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Heptet,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The BBC Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,DMP Big Band,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Royal Air Force Squadronaires,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Swing the Mood,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Bigband Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Cyndi Lauper,Home for the Holidays
Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania Polka
Pennsylvania,Pennsylvania,Cal Pozo,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The Band of the Royal Air Force College,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,United States Air Force Concert Band,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Sid Lawrence Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Don Lusher,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Michael Maxwell & His Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Jos Beeren,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Klaus Wunderlich,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Gary Lawrence,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,The Spitfire Band,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Bobby Morganstein,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Mina,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Starlite Orchestra,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Randy Scott,Pennsylvania 6-5000
Pennsylvania,Pennsylvania,Tribute Allstar Bands,Pennsylvania 6-5000 [From Glenn Miller Story]
Pennsylvania,Pennsylvania,Juan Pablo Torres,Pennsylvania 6-500
Pennsylvania,Pennsylvania,Mac Miller,PA Nights
Pennsylvania,Pennsylvania,Mindless Self Indulgence,Mastermind
Pennsylvania,Pennsylvania,Sheryl Crow,Woman In The White House
Pennsylvania,Pennsylvania,Peggy Seeger,John Riley
Pennsylvania,Pennsylvania,Robert Goulet,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Jim Nabors,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Barry Manilow,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,An Albatross,PA Inferno
Pennsylvania,Pennsylvania,Garth Brooks,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,David Allan Coe,"Heavenly Father, Holy Mother"
Pennsylvania,Pennsylvania,Jerry Vale,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Zachariah Baker & His Guitar Orchestra,Trapped in Pennsylvania
Pennsylvania,Pennsylvania,William Daniels,"But, Mr. Adams"
Pennsylvania,Pennsylvania,Bobby Vee,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,The Lennon Sisters,(There's No Place Like) Home for the Holidays
Pennsylvania,Pennsylvania,Cella Dwellas,Advance to Boardwalk
Pennsylvania,Pennsylvania,Bloodhound Gang,Pennsylvania [Snippet]
Pennsylvania,Pennsylvania,Akinyele,Messin' with My Cru
Pennsylvania,Pennsylvania,Stick Martin,"Intercourse, PA"
Pennsylvania,Pennsylvania,Escondido,Bad Without You
Pennsylvania,Pennsylvania,Renald Francoeur,Tour The States
Pennsylvania,Pennsylvania,Glenn Miller,Chattanooga Choo Choo
