song_city,song_state,song_artist,song_name
Puerto Rico,Puerto Rico,Rubén Blades,Almost Like Praying
Puerto Rico,Puerto Rico,Frankie Cutlass,Puerto Rico
Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico
Puerto Rico,Puerto Rico,Don Omar,Perreando [Mix]
Puerto Rico,Puerto Rico,Elvis Crespo,Verano del 19
Puerto Rico,Puerto Rico,José Feliciano,Born in Puerto Rico
Puerto Rico,Puerto Rico,Cristian Castro,Puerto Rico
Puerto Rico,Puerto Rico,Daddy Yankee,Medley Oh Ah
Puerto Rico,Puerto Rico,Don Omar,Perreando [Remix]
Puerto Rico,Puerto Rico,Tego Calderón,Conexion Puerto Rico
Puerto Rico,Puerto Rico,La Sonora Matancera,La Isla del Encanto
Puerto Rico,Puerto Rico,Wyclef Jean,Coqui
Puerto Rico,Puerto Rico,Kevin Gates,83 Babies
Puerto Rico,Puerto Rico,Jerry Rivera,Puerto Rico
Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera
Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Salsa]
Puerto Rico,Puerto Rico,Calle 13,La Crema
Puerto Rico,Puerto Rico,N'Klabe,La Salsa de Puerto Rico
Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum
Puerto Rico,Puerto Rico,"Ivy Queen, De la Ghetto, Zion, Lennox, Pj Sin Suela, Lucecita Benitez",A Forgotten Spot (Olvidado)
Puerto Rico,Puerto Rico,Marc Anthony,Preciosa
Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa Le Gustó
Puerto Rico,Puerto Rico,Big Punisher,100%
Puerto Rico,Puerto Rico,Frankie Ruiz,Puerto Rico
Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico
Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico [DVD; Live; Version]
Puerto Rico,Puerto Rico,Jennifer Lopez,Gotta Be There
Puerto Rico,Puerto Rico,Cosculluela,Sigo Rico
Puerto Rico,Puerto Rico,Akon,Bring It On
Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa
Puerto Rico,Puerto Rico,Kamil Show,Puerto Rico
Puerto Rico,Puerto Rico,Shy'm,Puerto Rico
Puerto Rico,Puerto Rico,"Mozart La Para, DCS, Juan Magán",Soy un Don
Puerto Rico,Puerto Rico,Obie Bermúdez,La Más Bella
Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó
Puerto Rico,Puerto Rico,Eve,What Y'all Want [Remix; Bonus Track; Mix]
Puerto Rico,Puerto Rico,Eve,What Y'all Want
Puerto Rico,Puerto Rico,Fero47,Puerto Rico
Puerto Rico,Puerto Rico,Pedro Capó,Calma [Remix]
Puerto Rico,Puerto Rico,PnB Rock,Beast Mode
Puerto Rico,Puerto Rico,The Lonely Island,Where Brooklyn At? [Interlude]
Puerto Rico,Puerto Rico,Blondie,Puerto Rico
Puerto Rico,Puerto Rico,Ricardo Arjona,Noticero
Puerto Rico,Puerto Rico,Beenie Man,Belly Danza
Puerto Rico,Puerto Rico,Tego Calderón,Dominicana
Puerto Rico,Puerto Rico,"Alicia Keys, Pedro Capó, Farruko",Calma [Alicia Remix]
Puerto Rico,Puerto Rico,Gallego,Soy De La Calle
Puerto Rico,Puerto Rico,Marc Anthony,Está Rico
Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Arabic]
Puerto Rico,Puerto Rico,Jowell,Un Nuevo Amanecer (Terremoto En Puerto Rico)
Puerto Rico,Puerto Rico,Nickodemus,Mi Swing Es Tropical
Puerto Rico,Puerto Rico,Eve,What Ya Want
Puerto Rico,Puerto Rico,Andy Montañez,Hay Que Comer
Puerto Rico,Puerto Rico,Little Feat,Time Loves a Hero
Puerto Rico,Puerto Rico,Jazze Pha,Caliente
Puerto Rico,Puerto Rico,"Wyclef Jean, Naughty Boy, Rak-Su",Dimelo [X Factor Recording]
Puerto Rico,Puerto Rico,Angel Canales,Lejos De Ti
Puerto Rico,Puerto Rico,Kevin Gates,No More
Puerto Rico,Puerto Rico,Unlinked Artist,Dominicana
Puerto Rico,Puerto Rico,Johnny Bliss,Preciosa
Puerto Rico,Puerto Rico,Arcángel,P FKN R
Puerto Rico,Puerto Rico,French Montana,Puerto Rico
Puerto Rico,Puerto Rico,Kafu Banton,Playa
Puerto Rico,Puerto Rico,Quantic & Nickodemus,Mi Swing Es Tropical
Puerto Rico,Puerto Rico,"Kay One, Leon Machère, Tilly",Portofino
Puerto Rico,Puerto Rico,Willie Colón,Ah-Ah/O-No
Puerto Rico,Puerto Rico,Domingo Quiñones,Paraiso de Dulzura
Puerto Rico,Puerto Rico,Blake Shelton,Georgia in a Jug
Puerto Rico,Puerto Rico,Calle 13,Pi-Di-Di-Di
Puerto Rico,Puerto Rico,J Balvin,Blanco
Puerto Rico,Puerto Rico,Rachel Griffin,Such a Fool
Puerto Rico,Puerto Rico,Jowell & Randy,Mala Costumbre
Puerto Rico,Puerto Rico,Tempo Alomar,Mi Swing Es Tropical
Puerto Rico,Puerto Rico,Gilberto Santa Rosa,Isla del Encanto
Puerto Rico,Puerto Rico,Kidz Bop Kids,Calma
Puerto Rico,Puerto Rico,"KRS-One, Mexicano 777",Balumbalang
Puerto Rico,Puerto Rico,Cuban Link,Scandalous
Puerto Rico,Puerto Rico,"Reykon, Victor Manuelle",Mala [Salsa Remix]
Puerto Rico,Puerto Rico,Nonpoint,Orgullo
Puerto Rico,Puerto Rico,Victor Manuelle,Me Quedé Puyú
Puerto Rico,Puerto Rico,"Nicky Jam, Maluma, J Balvin, Ozuna",X [Remix]
Puerto Rico,Puerto Rico,"Tito El Bambino, Pitbull, El Alfa",Imagínate
Puerto Rico,Puerto Rico,Leonard Bernstein,America
Puerto Rico,Puerto Rico,Original Broadway Cast,America
Puerto Rico,Puerto Rico,Tony Touch,Esa Loca
Puerto Rico,Puerto Rico,Daddy Yankee,Jefe
Puerto Rico,Puerto Rico,Daddy Yankee,Po'encima
Puerto Rico,Puerto Rico,J. Balvin,Están Pa' Mí
Puerto Rico,Puerto Rico,Don Omar,Scandalous
Puerto Rico,Puerto Rico,"Arcángel, Cosculluela",Chavos pal Banco
Puerto Rico,Puerto Rico,Vanilla Skeye,All Over the World
Puerto Rico,Puerto Rico,Beenie Man,Flow Natural
Puerto Rico,Puerto Rico,"Alkilados, Farruko",El Orgullo [Remix]
