song_city,song_state,song_artist,song_name
Rhode Island,Rhode Island,Foals,Total Life Forever
Rhode Island,Rhode Island,Ike & Tina Turner,Sweet Rhode Island Red
Rhode Island,Rhode Island,The Monkees,Calico Girlfriend Samba [CD Bonus; Previously Unreleased Track]
Rhode Island,Rhode Island,Mandy Patinkin,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Michael Feinstein,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Dick Haymes,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Blossom Dearie,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Blossom Dearie,Rhode Island is Famous For You
Rhode Island,Rhode Island,Wesla Whitfield,Rhode Island Is Famous for You
Rhode Island,Rhode Island,The Innocence Mission,Rhode Island
Rhode Island,Rhode Island,Erin McKeown,Rhode Island Is Famous for You
Rhode Island,Rhode Island,"Jack Haley, Sr.",Rhode Island Is Famous For You
Rhode Island,Rhode Island,Buddy Clark,Rhode Island Is Famous For You
Rhode Island,Rhode Island,Joe Cohn,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Patrick Williams,Rhode Island Is Famous For You
Rhode Island,Rhode Island,David Silverman,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Lil B,Rhode Island
Rhode Island,Rhode Island,Charles Holden,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Annette Sanders,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Buddy Clark,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Lascivious Biddies,Rhode Island Is Famous for You A.K.A. Coney Island
Rhode Island,Rhode Island,Nancy LaMott,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Russ Lorenson,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Robert Clary,Rhode Island Is Famous for You [From Inside USA]
Rhode Island,Rhode Island,Janet Planet,Rhode Island Is Famous for You
Rhode Island,Rhode Island,Clockwork,Rhode Island is Famous For You
