song_city,song_state,song_artist,song_name
South Carolina,South Carolina,Josh Turner,South Carolina Low Country
South Carolina,South Carolina,Dean Martin,Just a Little Bit South of North Carolina
South Carolina,South Carolina,Maclaren Brennan,South Carolina
South Carolina,South Carolina,Anita O'Day,Just a Little Bit South of North Carolina
South Carolina,South Carolina,Ray LaMontagne,Strong Enough
South Carolina,South Carolina,Gene Krupa,Just a Little Bit South of North Carolina
South Carolina,South Carolina,Archers of Loaf,South Carolina
South Carolina,South Carolina,Poco,Crazy Eyes
South Carolina,South Carolina,John Linnell,South Carolina
South Carolina,South Carolina,Tennis,South Carolina
South Carolina,South Carolina,Jimmy Buffett,Honey Do
South Carolina,South Carolina,Kenny Rogers,Harder Cards
South Carolina,South Carolina,Joe Strummer,Slant Six
South Carolina,South Carolina,Gene Krupa & His Orchestra,Just a Little Bit South of North Carolina
South Carolina,South Carolina,Collin Raye,Harder Cards
South Carolina,South Carolina,Vic Chesnutt,Bug
South Carolina,South Carolina,Logic,Thank You
South Carolina,South Carolina,Stretch Armstrong,For the Record
South Carolina,South Carolina,Her Space Holiday,From South Carolina
South Carolina,South Carolina,Petey Pablo,Raise Up
South Carolina,South Carolina,Master P,How Ya Do Dat
South Carolina,South Carolina,N.E.R.D.,Don't Don't Do It!
South Carolina,South Carolina,Master P,Murder
South Carolina,South Carolina,DJ Khaled,We Takin' Over
South Carolina,South Carolina,Fat Joe,We Takin' Over
South Carolina,South Carolina,Allan Sherman,Holiday for States
South Carolina,South Carolina,The Byrds,Hickory Wind
South Carolina,South Carolina,Tom Petty,Louisiana Rain
South Carolina,South Carolina,Baddazis,If You (With All)
South Carolina,South Carolina,Toby Keith,"Nights I Can't Remember, Friends I'll Never Forget"
South Carolina,South Carolina,Emmylou Harris,Hickory Wind
South Carolina,South Carolina,Cab Calloway & His Orchestra,Reefer Man
South Carolina,South Carolina,Blake Shelton,Same Old Song
South Carolina,South Carolina,Joan Baez,Hickory Wind
South Carolina,South Carolina,Elvis Costello,Sulphur To Sugarcane
South Carolina,South Carolina,Future,Good Dope
South Carolina,South Carolina,Ghostface Killah,Run [Remix]
South Carolina,South Carolina,Jason Aldean,She's Country
South Carolina,South Carolina,Jason Aldean,Talk About Georgia
South Carolina,South Carolina,Busta Rhymes,Everybody Rise Again
South Carolina,South Carolina,LL Cool J,American Girl
South Carolina,South Carolina,Talking Heads,I Get Wild/Wild Gravity
South Carolina,South Carolina,Bonnie Raitt,Used to Rule the World
South Carolina,South Carolina,Dierks Bentley,The South
South Carolina,South Carolina,Kool Keith,Clifton
South Carolina,South Carolina,Bill Anderson,Deck of Cards
South Carolina,South Carolina,Justin Moore,Sunshine Babies
South Carolina,South Carolina,Frank Zappa,Porn Wars Deluxe
South Carolina,South Carolina,"Martin Luther King, Jr.",I Have a Dream
South Carolina,South Carolina,Gram Parsons,Hickory Wind
South Carolina,South Carolina,Bonnie Tyler,Louisiana Rain
South Carolina,South Carolina,Raekwon,Forecast
South Carolina,South Carolina,Lupe Fiasco,Valleys
South Carolina,South Carolina,Redman,Down South Funk
South Carolina,South Carolina,The Beautiful South,This Old Skin
South Carolina,South Carolina,John Hiatt,Take It Down
South Carolina,South Carolina,Dave Dudley,Fireball Rolled a Seven
South Carolina,South Carolina,Primus,The Last Superpower aka Rapscallion
South Carolina,South Carolina,Randy Newman,Only a Girl
South Carolina,South Carolina,Pato Banton,Go Pato
South Carolina,South Carolina,Kevin Gates,Difficult
South Carolina,South Carolina,UGK,Ridin' Dirty
South Carolina,South Carolina,Scarface,Ridin' Dirty
South Carolina,South Carolina,Cat Power,Song for Bobby
South Carolina,South Carolina,Joe Nichols,We All Go Home
South Carolina,South Carolina,Cat Power,Song To Bobby
South Carolina,South Carolina,Bill Anderson,Concrete
South Carolina,South Carolina,Sammy Hagar,Shag
South Carolina,South Carolina,The Decemberists,My Mother Was a Chinese Trapeze Artist
South Carolina,South Carolina,John Prine,Slow Boat to China
South Carolina,South Carolina,Animaniacs,Wakko's America
South Carolina,South Carolina,Josh Turner,Introduction by Michael Buffer
South Carolina,South Carolina,Lin-Manuel Miranda,Yorktown (The World Turned Upside Down)
South Carolina,South Carolina,Young MC,Pick Up the Pace
South Carolina,South Carolina,Drive-By Truckers,Greenville To Baton Rouge
South Carolina,South Carolina,Gram Parsons,Cash on the Barrelhead/Hickory Wind [Live]
South Carolina,South Carolina,Bonnie Tyler,Louisiana Rain [2018 Remaster]
South Carolina,South Carolina,The Blue Dogs,Carolina Heartache
South Carolina,South Carolina,Ying Yang Twins,Twurkulator
South Carolina,South Carolina,Big Audio Dynamite,Esquerita
South Carolina,South Carolina,Iron & Wine,Sundown (Back in the Briars)
South Carolina,South Carolina,Iron & Wine,Caught in the Briars
South Carolina,South Carolina,Steve Hackett,How Can I?
South Carolina,South Carolina,T-Pain,One Way
South Carolina,South Carolina,Saliva,Southern Girls
South Carolina,South Carolina,Bone Crusher,Lock & Load
South Carolina,South Carolina,Trick Daddy,Bass
South Carolina,South Carolina,Kids Learning Tube ,50 States Of America
