song_city,song_state,song_artist,song_name
Tennessee,Tennessee,Don Gibson,Tennessee Stud
Tennessee,Tennessee,The Nitty Gritty Dirt Band,Tennessee
Tennessee,Tennessee,Arlo Guthrie,Tennessee Stud
Tennessee,Tennessee,Grateful Dead,Tennessee Jed
Tennessee,Tennessee,Ramblin' Jack Elliott,Tennessee Stud
Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
Tennessee,Tennessee,Country Joe McDonald,Tennessee Stud
Tennessee,Tennessee,Johnny Cash,Tennessee Stud
Tennessee,Tennessee,Joe Ely,Tennessee's Not the State I'm In
Tennessee,Tennessee,Billy Eckstine,The Tennessee Rock 'N' Roll
Tennessee,Tennessee,Porter Wagoner,Tennessee Stud
Tennessee,Tennessee,Jason Aldean,Tennessee River
Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee
Tennessee,Tennessee,Bill Monroe,Tennessee
Tennessee,Tennessee,Michael Martin Murphey,Tennessee Stud
Tennessee,Tennessee,Carl Perkins,Tennessee
Tennessee,Tennessee,Jerry Lee Lewis,Tennessee
Tennessee,Tennessee,Chris LeDoux,Tennessee Stud
Tennessee,Tennessee,Yelawolf,Tennessee Love
Tennessee,Tennessee,Ohio Express,Down in Tennessee
Tennessee,Tennessee,The Everly Brothers,Rocky Top
Tennessee,Tennessee,Dolly Parton,Rocky Top
Tennessee,Tennessee,Charlie Daniels,Tennessee Two Step
Tennessee,Tennessee,Emmylou Harris,Tennessee Waltz
Tennessee,Tennessee,Hank Snow & His Rainbow Ranch Boys,Music Makin' Mama from Memphis
Tennessee,Tennessee,Chris Stapleton,Tennessee Whiskey
Tennessee,Tennessee,Don Henley,Brand New Tennessee Waltz [Bonus Track]
Tennessee,Tennessee,Barbara Mandrell,There's No Love in Tennessee
Tennessee,Tennessee,Dottie West,Rocky Top
Tennessee,Tennessee,Conway Twitty,Rocky Top
Tennessee,Tennessee,Hank Snow,Music Makin' Mama From Memphis
Tennessee,Tennessee,Patti Page,Brand New Tennessee Waltz
Tennessee,Tennessee,Roy Orbison,"Memphis, Tennessee"
Tennessee,Tennessee,Billy Dean,A Fall in Tennessee
Tennessee,Tennessee,Dustin Dixon and the Free Atlantics,Tennessee
Tennessee,Tennessee,Leonard Cohen,Tennessee Waltz [Live]
Tennessee,Tennessee,Osborne Brothers,Tennessee Hound Dog
Tennessee,Tennessee,Shawn Colvin,Tennessee
Tennessee,Tennessee,The Animals,Memphis Tennessee
Tennessee,Tennessee,Dolly Parton,Tennessee Homesick Blues
Tennessee,Tennessee,Bruce Robison,Tennessee Jed
Tennessee,Tennessee,Hank Snow,Music Makin' Mama from Memphis
Tennessee,Tennessee,Buck Owens,Rocky Top
Tennessee,Tennessee,Dwight Yoakam,T For Texas
Tennessee,Tennessee,Johnny Cash,Tennessee [Previously Unreleased Track]
Tennessee,Tennessee,Sweethearts of the Rodeo,The Brand New Tennessee Waltz
Tennessee,Tennessee,Osborne Brothers,Rocky Top
Tennessee,Tennessee,Upchurch,Tennessee Dreamin
Tennessee,Tennessee,Booker T. Jones,Down in Memphis
Tennessee,Tennessee,John Anderson,Down in Tennessee
Tennessee,Tennessee,The Secret Sisters,Tennessee Me
Tennessee,Tennessee,Alan Jackson,Dallas
Tennessee,Tennessee,Patti Page,Tennessee Waltz
Tennessee,Tennessee,Amy Grant,Tennessee Christmas
Tennessee,Tennessee,Roy Acuff,Tennessee Waltz
Tennessee,Tennessee,Sam Cooke,Tennessee Waltz
Tennessee,Tennessee,Dolly Parton,My Tennessee Mountain Home
Tennessee,Tennessee,Alabama,Tennessee Christmas
Tennessee,Tennessee,Anita O'Day,Tennessee Waltz
Tennessee,Tennessee,Bobby Bare,Long Way to Tennessee
Tennessee,Tennessee,Johnny Horton,In My Home in Shelby County
Tennessee,Tennessee,Sam Butera & the Witnesses,Tennessee Waltz
Tennessee,Tennessee,Van Morrison,Wild Children
Tennessee,Tennessee,Ella Fitzgerald,Tennessee Waltz
Tennessee,Tennessee,Patti Page,Tennessee Waltz [DVD]
Tennessee,Tennessee,John Hiatt,Tennessee Plates
Tennessee,Tennessee,Jesse Winchester,The Brand New Tennessee Waltz
Tennessee,Tennessee,Don Gibson,Tennessee Waltz
Tennessee,Tennessee,Jamie Foxx,Extravaganza
Tennessee,Tennessee,Pee Wee King & His Golden West Cowboys,Tennessee Tears
Tennessee,Tennessee,Cold War Kids,Goodnight Tennessee
Tennessee,Tennessee,Nolwenn Leroy,Quelque chose de tennessee
Tennessee,Tennessee,Blanco Brown,Tn Whiskey
Tennessee,Tennessee,Webb Pierce,Tennessee Waltz
Tennessee,Tennessee,Porter Wagoner,Tennessee Christmas
Tennessee,Tennessee,Mark Chesnutt,Down in Tennessee
Tennessee,Tennessee,Billy Vaughn,Tennessee Waltz
Tennessee,Tennessee,Les Paul,Tennessee Waltz
Tennessee,Tennessee,Mose Allison,The Tennessee Waltz
Tennessee,Tennessee,A Thousand Horses,Tennessee Whiskey
Tennessee,Tennessee,Petula Clark,Tennessee Waltz
Tennessee,Tennessee,Norah Jones,Tennessee Waltz
Tennessee,Tennessee,Margo Price,Tennessee Song
Tennessee,Tennessee,Little Rose Little,Tennessee Waltz
Tennessee,Tennessee,Rhiannon Giddens,Come Love Come
Tennessee,Tennessee,Ireen Sheer,Tennessee Waltz
Tennessee,Tennessee,Ireen Sheer,Tennesse Waltz
Tennessee,Tennessee,Dottie West,Tennessee Waltz
Tennessee,Tennessee,Jim Reeves,Tennessee Waltz
Tennessee,Tennessee,The Mills Brothers,Tennessee Waltz
Tennessee,Tennessee,Patti Page,The Tennessee Waltz
Tennessee,Tennessee,David Allan Coe,Tennessee Waltz
Tennessee,Tennessee,Patsy Cline,Tennessee Waltz [Live]
Tennessee,Tennessee,Waylon Jennings,Tennessee
Tennessee,Tennessee,Garth Brooks,This Ain't Tennessee
Tennessee,Tennessee,Alabama,Tennessee River
Tennessee,Tennessee,B.J. Thomas,Tennessee Christmas
Tennessee,Tennessee,The Nitty Gritty Dirt Band,Rocky Top
Tennessee,Tennessee,"Hank Williams, Jr.",Tennessee Waltz [Previously Unreleased Track]
Tennessee,Tennessee,The Everly Brothers,The Brand New Tennessee Waltz
Tennessee,Tennessee,George Jones,"Milwaukee, Here I Come"
Tennessee,Tennessee,John Mellencamp,Peaceful World
Tennessee,Tennessee,Toby Keith,Memphis [Bonus Track]
Tennessee,Tennessee,The Rolling Stones,Memphis Tennessee
Tennessee,Tennessee,Norah Jones,Tennessee Waltz [Encore]
Tennessee,Tennessee,Kevin Rudolf,Tennessee
Tennessee,Tennessee,Joan Baez,The Brand New Tennessee Waltz
Tennessee,Tennessee,Eddy Arnold,Tennessee Waltz
Tennessee,Tennessee,Anne Murray,Tennessee Waltz
Tennessee,Tennessee,Porter Wagoner,Rocky Top
Tennessee,Tennessee,Alabama,Old Alabama
Tennessee,Tennessee,Love Seed Mama Jump,Rocky Top
Tennessee,Tennessee,Dolly Parton,Cowgirl & The Dandy
Tennessee,Tennessee,"Hank Williams, Jr.",Tennessee River
Tennessee,Tennessee,Ernest Tubb,Memphis Tennessee
Tennessee,Tennessee,Charley Pride,Tennessee Girl
Tennessee,Tennessee,George Jones,It Hurts as Much in Texas (As It Did in Tennessee)
Tennessee,Tennessee,Blake Shelton,Oklahoma Christmas
Tennessee,Tennessee,Alabama,Tennessee River [Live]
Tennessee,Tennessee,Sammy Kaye,Tennessee Waltz
Tennessee,Tennessee,Ruth Brown,Tennessee Waltz
Tennessee,Tennessee,Jim Ed Brown,Ginger Is Gentle and Waiting for Me
Tennessee,Tennessee,Billy Ray Cyrus,Back to Tennessee
Tennessee,Tennessee,LaVern Baker,Tennessee Waltz
Tennessee,Tennessee,Steve Wariner,Tennessee Christmas
Tennessee,Tennessee,Sonny Boy Williamson I,T.B. Blues
Tennessee,Tennessee,The Hollies,Memphis
Tennessee,Tennessee,Albert Lee,"Rocky Top, Tennessee"
Tennessee,Tennessee,Darryl Worley,Tennessee River Run
Tennessee,Tennessee,The Ames Brothers,Tennessee Waltz
Tennessee,Tennessee,Margaret Whiting,Tennessee Waltz
Tennessee,Tennessee,Billy Ray Cyrus,Back To Tennessee
Tennessee,Tennessee,Lee Greenwood,Tennessee Christmas
Tennessee,Tennessee,Sugarland,Tennessee
Tennessee,Tennessee,Dolly Parton,Cowgirl and the Dandy
Tennessee,Tennessee,Dallas Wayne,"Coldwater, Tennessee"
Tennessee,Tennessee,"Lee Greenwood, Country Christmas",Tender Tennessee Christmas [Live]
Tennessee,Tennessee,Leon Russell,Tennessee Waltz
Tennessee,Tennessee,Daniel O'Donnell,Tennessee Waltz
Tennessee,Tennessee,River Road,Nickajack
Tennessee,Tennessee,The Walker Brothers,The Brand New Tennessee Waltz
Tennessee,Tennessee,Manfred Mann,Tennessee Waltz
Tennessee,Tennessee,Alabama,Dixieland Delight
Tennessee,Tennessee,Otis Redding,Tennessee Waltz
Tennessee,Tennessee,Waylon Jennings,T for Texas (Blue Yodel No. 1)
Tennessee,Tennessee,John Lee Hooker,I'm Leaving
Tennessee,Tennessee,Chuck Berry,Little Marie
Tennessee,Tennessee,Roy Acuff,Night Train to Memphis
Tennessee,Tennessee,Chuck Berry,Memphis
Tennessee,Tennessee,Bill Monroe,"Roll On Buddy, Roll On"
Tennessee,Tennessee,Chuck Berry,Memphis Tennessee
Tennessee,Tennessee,Faron Young,Memphis
Tennessee,Tennessee,The Everly Brothers,T for Texas (Blue Yodel No. 1)
Tennessee,Tennessee,Elvis Presley,Memphis Tennessee
Tennessee,Tennessee,Bill Monroe & His Bluegrass Boys,Roll on Buddy Roll On
Tennessee,Tennessee,George Strait,All My Ex's Live in Texas
Tennessee,Tennessee,Gil Scott-Heron,New York Is Killing Me
Tennessee,Tennessee,Ronnie Milsap,Carolina Dreams
Tennessee,Tennessee,George Jones,Southern California
Tennessee,Tennessee,Kenny Chesney,Please Come to Boston [Live]
Tennessee,Tennessee,Garth Brooks,Dixie Chicken
Tennessee,Tennessee,Johnny Cash,You and Tennessee
Tennessee,Tennessee,Jerry Lee Lewis,Boogie Woogie Country Man
Tennessee,Tennessee,The Beatles,Memphis
Tennessee,Tennessee,Jerry Lee Lewis,Boogie Woogie Country Man [DVD; Live]
Tennessee,Tennessee,Glen Campbell,Please Come to Boston
Tennessee,Tennessee,Joan Baez,Please Come to Boston
Tennessee,Tennessee,Bobby Bare,Memphis Tennessee
Tennessee,Tennessee,The Beatles,"Memphis, Tennessee"
Tennessee,Tennessee,Bo Diddley,Memphis Tennessee
Tennessee,Tennessee,Lynyrd Skynyrd,T for Texas (Blue Yodel No. 1)
Tennessee,Tennessee,George Strait,All My Exes Live in Texas (as used in the film Cold Comfort Manor)
Tennessee,Tennessee,Kenny Chesney,"Paris, Tennessee"
Tennessee,Tennessee,Pat Boone,Memphis
Tennessee,Tennessee,Tom Jones,Memphis Tennessee
Tennessee,Tennessee,John Lee Hooker,I'm Leavin'
Tennessee,Tennessee,"Robert Earl Keen, Jr.",Leavin' Tennessee
Tennessee,Tennessee,Lacy J. Dalton,Tennessee Waltz
Tennessee,Tennessee,Willie Nelson,Please Come to Boston
Tennessee,Tennessee,"Kenneth ""Babyface"" Edmonds",Please Come to Boston
Tennessee,Tennessee,George Benson,"Memphis, Tennessee"
Tennessee,Tennessee,Manfred Mann,Tennessee Waltz [Bonus Track]
Tennessee,Tennessee,Morgan Wallen,Talkin' Tennessee
Tennessee,Tennessee,Roy Clark,Memphis
Tennessee,Tennessee,Conway Twitty,Memphis Tennessee
Tennessee,Tennessee,Tanya Tucker,Tennessee Woman
Tennessee,Tennessee,Paul Anka,Memphis
Tennessee,Tennessee,Neil Diamond,Tennessee Moon
Tennessee,Tennessee,Lynyrd Skynyrd,T for Texas
Tennessee,Tennessee,James Taylor,Memphis
Tennessee,Tennessee,Bo Diddley,Mona [Live; Bonus Track]
Tennessee,Tennessee,Hendrik Meurkens,Scrapple From the Apple
Tennessee,Tennessee,James Taylor,Memphis Tennessee
Tennessee,Tennessee,Cristy Lane,Tennessee Waltz
Tennessee,Tennessee,Status Quo,Memphis Tennessee
Tennessee,Tennessee,Johnny Rivers,Memphis
Tennessee,Tennessee,Charlie Musselwhite,Tennessee Woman
Tennessee,Tennessee,Mark Collie,Tennessee Plates
Tennessee,Tennessee,Walter Egan,Rain in Tennessee
Tennessee,Tennessee,Connee Boswell,Tennessee Waltz
Tennessee,Tennessee,Jimmy Dean,Rocky Top
Tennessee,Tennessee,Wilson Pickett,Memphis
Tennessee,Tennessee,George Strait,All My Ex's Live in Texas [Live]
Tennessee,Tennessee,Taylor Swift,Dark Blue Tennessee
Tennessee,Tennessee,Lynn Anderson,Rocky Top
Tennessee,Tennessee,Sandy Denny,Memphis
Tennessee,Tennessee,Pickin' On,Tennessee River Run
Tennessee,Tennessee,Johnny Rivers,Memphis '72
Tennessee,Tennessee,柳 ジョージ,Tennessee Waltz
Tennessee,Tennessee,Eva Cassidy,Tennessee Waltz
Tennessee,Tennessee,"Glen Campbell, Kenny Rogers",Please Come to Boston
Tennessee,Tennessee,Glen Campbell,Please Come to Boston [Live]
Tennessee,Tennessee,Joel Harrison,Tennessee Waltz
Tennessee,Tennessee,Joe Strummer,Tennessee Rain
Tennessee,Tennessee,Halfway to Hazard,Welcome to Nashville
Tennessee,Tennessee,The Bosshoss,Tennessee Woman
Tennessee,Tennessee,Amy LaVere,Tennessee Valentine
Tennessee,Tennessee,John Cale,Memphis
Tennessee,Tennessee,Jan & Dean,Tennessee
Tennessee,Tennessee,The Searchers,Memphis Tennessee
Tennessee,Tennessee,The Searchers,Memphis Tennessee [Live]
Tennessee,Tennessee,Dave Dudley,My Sunny Overgrown Country Town
Tennessee,Tennessee,The Marshall Tucker Band,Where a Country Boy Belongs
Tennessee,Tennessee,Mark Burchfield,Tennessee Christmas
Tennessee,Tennessee,Manic Street Preachers,Tennessee
Tennessee,Tennessee,John Prine,Lonesome Friends of Science
Tennessee,Tennessee,The Cadillac Three,Tennessee
Tennessee,Tennessee,Peter & Gordon,Memphis
Tennessee,Tennessee,Todd Snider,Nashville
Tennessee,Tennessee,Rhonda Vincent,Rhythm of the Wheels
Tennessee,Tennessee,Tom T. Hall,Whole Lot of Love
Tennessee,Tennessee,Joe Diffie,Down in a Ditch [Dance Mix]
Tennessee,Tennessee,Tracy Lawrence,"Paris, Tennessee"
Tennessee,Tennessee,Daughtry,Tennessee Line
Tennessee,Tennessee,Bill Gaither,Tennessee Christmas
Tennessee,Tennessee,Hank Williams,Tennessee Border [Previously Unreleased Track]
Tennessee,Tennessee,Mississippi John Hurt,Ain't No Tellin'
Tennessee,Tennessee,"Hank Williams, Jr.",If Heaven Ain't a Lot Like Dixie
Tennessee,Tennessee,Hank Williams,Tennessee Border
Tennessee,Tennessee,"Merle Haggard, Willie Nelson",It's All Going to Pot
Tennessee,Tennessee,Marty Robbins,Tennessee Toddy
Tennessee,Tennessee,Nina Simone,Mississippi Goddam
Tennessee,Tennessee,Hank Snow,The Cremation of Sam McGee
Tennessee,Tennessee,Bing Crosby,Macnamara's Band
Tennessee,Tennessee,Bob Dylan,Tennessee Border
Tennessee,Tennessee,Glen Campbell,Country Boy
Tennessee,Tennessee,Johnny Cash,Tennessee Flat-Top Box
Tennessee,Tennessee,Glen Campbell,Country Boy (You Got Your Feet in L.A.)
Tennessee,Tennessee,Carl Perkins,Perkins Wiggle [*]
Tennessee,Tennessee,Johnny Cash,Tennessee Flat Top Box
Tennessee,Tennessee,Willie Nelson,Graceland
Tennessee,Tennessee,Bing Crosby,MacNamara's Band
Tennessee,Tennessee,Charlie Daniels,Damn Good Cowboy
Tennessee,Tennessee,Roy Rogers,Yellow Rose of Texas
Tennessee,Tennessee,Porter Wagoner,Tennessee Border
Tennessee,Tennessee,Ernest Tubb & The Texas Troubadors,Tennessee Waltz
Tennessee,Tennessee,Hank Snow,Chattin' With a Chick in Chattanooga
Tennessee,Tennessee,The Nitty Gritty Dirt Band,Oh Cumberland
Tennessee,Tennessee,Kitty Wells,Tennessee Waltz
Tennessee,Tennessee,Faron Young,Tennessee Waltz
Tennessee,Tennessee,Rosanne Cash,Mirror Image
Tennessee,Tennessee,Nina Simone,Mississippi Goddam [Live]
Tennessee,Tennessee,Reba McEntire,Please Come to Boston
Tennessee,Tennessee,George Strait,Carrying Your Love with Me
Tennessee,Tennessee,Floyd Cramer,Tennessee Waltz
Tennessee,Tennessee,Keith Urban,Who Wouldn't Wanna Be Me [Multimedia Track]
Tennessee,Tennessee,Nina Simone,"Mississippi Goddam [1964 Live in New York, Stereo; Live]"
Tennessee,Tennessee,"Faces, Rod Stewart",Memphis
Tennessee,Tennessee,John Denver,The Cowboy and the Lady
Tennessee,Tennessee,Kenny Chesney,Noise
Tennessee,Tennessee,Carrie Underwood,Southbound
Tennessee,Tennessee,Rosanne Cash,Tennessee Flat Top Box
Tennessee,Tennessee,.38 Special,Gypsy Belle
Tennessee,Tennessee,Eddy Arnold,Biggest Fool in Tennessee
Tennessee,Tennessee,Roy Clark,Rocky Top
Tennessee,Tennessee,Jim Nabors,Tennessee Waltz
Tennessee,Tennessee,Bing Crosby,"She's Tall, She's Tan, She's Terrific"
Tennessee,Tennessee,Taylor Swift,London Boy
Tennessee,Tennessee,Florida Georgia Line,Colorado
Tennessee,Tennessee,Pam Tillis,Tennessee Nights
