song_city,song_state,song_artist,song_name
Vermont,Vermont,Frank Sinatra,Moonlight in Vermont
Vermont,Vermont,Oscar Peterson,Moonlight in Vermont
Vermont,Vermont,"Harry James, Margaret Whiting",Moonlight in Vermont
Vermont,Vermont,"Sammy Davis, Jr.",Moonlight in Vermont
Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont
Vermont,Vermont,"Chet Baker, Gerry Mulligan",Moonlight in Vermont
Vermont,Vermont,Paul Desmond,Moonlight In Vermont
Vermont,Vermont,"Paul Desmond, Gerry Mulligan",Moonlight in Vermont
Vermont,Vermont,Ella Fitzgerald,Moonlight In Vermont
Vermont,Vermont,"Ella Fitzgerald, Louis Armstrong",Moonlight in Vermont
Vermont,Vermont,"Ella Fitzgerald, Oscar Peterson, Louis Armstrong",Moonlight in Vermont
Vermont,Vermont,Linda Ronstadt,Moonlight in Vermont
Vermont,Vermont,"Nina Simone, Ella Fitzgerald, Louis Armstrong",Moonlight in Vermont
Vermont,Vermont,Ray Brown,Moonlight in Vermont
Vermont,Vermont,Louis Armstrong,Moonlight in Vermont
Vermont,Vermont,Ella Fitzgerald & Her Orchestra,Moonlight In Vermont
Vermont,Vermont,Bob Dylan,Moonlight In Vermont
Vermont,Vermont,"Sammy Davis, Jr.",Moonlight In Vermont
South Burlington,Vermont,GZA,Killah Hills 10304
South Burlington,Vermont,GZA,Hell's Wind Staff
South Burlington,Vermont,Kardinal Offishall,U R Ghetto 2002
Rutland,Vermont,CJ Fly,SHOW YOU
Barre,Vermont,Ronnie Spencer,Barre Baby
Barre,Vermont,6 Coups MC,Barre de fer
Barre,Vermont,"DJ Blass, Tomasa del Real",Barre Con el Pelo
Barre,Vermont,"Lil C, Big Moe",Barre Baby
Barre,Vermont,RK,Callumejo
Barre,Vermont,"Big Moe, Straight From The Streetz Presents",Barre Baby
Barre,Vermont,Sultan,Rapta Tonight
Barre,Vermont,KPoint,Bigo
Barre,Vermont,Maes,Avenue Montaigne
Barre,Vermont,JUL,Le combat
Barre,Vermont,Randy Scruggs,Still da Barre Baby
Barre,Vermont,Guizmo,La raclée
Barre,Vermont,Sisik,Birthday
Barre,Vermont,La Fouine,Basta
Barre,Vermont,Josman,PUFF PUFF PASS
Barre,Vermont,"OBOY, Harley, Moko",KENZO
Barre,Vermont,Zaho,La Roue Tourne
Barre,Vermont,113,Face a la Police
Barre,Vermont,Djadja,Ça va pas
Barre,Vermont,Mister V,Moulin Rouge
Barre,Vermont,"Ghetto Phénomène, DJ Leska, Miya",Fiesta
Barre,Vermont,Naza,Des barres
Barre,Vermont,Hayce Lemsi,Och Bad 2 (Bourbier)
Barre,Vermont,Mister You,C'est quoi les bails
Barre,Vermont,Vincenzo,Le coach
Barre,Vermont,L'Algérino,Tape dans le mille
Barre,Vermont,Big Moe,Freestyle (June 27)
Barre,Vermont,"S.Pri Noir, Still Fresh",ON S'BARRE
Barre,Vermont,Booba,Strass et paillettes
Barre,Vermont,40000 Gang,César
Barre,Vermont,Moha La Squale,Ton poto
Barre,Vermont,Alpha Wann,Saint-Domingue
Barre,Vermont,Panama Bende,Mon squad
Barre,Vermont,"DJ Weedim, Slimka",Noël sous les tropiques
Barre,Vermont,Singuila,Ay mama
Barre,Vermont,"Jarod, MB",Je roule avec
Barre,Vermont,"Ichon, Loveni",Relance
Barre,Vermont,Joe Lucazz,Abou Diaby
Barre,Vermont,OBOY,Nuit
Barre,Vermont,Zazie,Petroleum
Barre,Vermont,La Fouine,Toute La Night
Barre,Vermont,Ma2x,Au soleil
Barre,Vermont,"Dani Faiv, Gianni Bismark",For Real
Barre,Vermont,Singuila,Ma liberté
Barre,Vermont,Ninho,Bob
Barre,Vermont,Mister V,Kungfu
Barre,Vermont,Kekra,Non
Barre,Vermont,"Michel Sardou, Les Petits Chanteurs de Saint-Marc",Le choix du fou
Barre,Vermont,RK,#B7
Barre,Vermont,Mafia K'1 Fry,POUR CEUX
Barre,Vermont,Claude Nougaro,BONHEUR
Barre,Vermont,Take A Mic,Blessure d'amour
