song_city,song_state,song_artist,song_name
Virginia,Virginia,Frank Sinatra,I Went Down to Virginia
Virginia,Virginia,Prism,Virginia
Virginia,Virginia,King Virtue,Virginia
Virginia,Virginia,Waylon Jennings,"Yes, Virginia"
Virginia,Virginia,Rod Stewart,Leave Virginia Alone
Virginia,Virginia,Phil Ochs,Hills of West Virginia
Virginia,Virginia,Gene Vincent,North Carolina Line
Virginia,Virginia,Clipse,Virginia
Virginia,Virginia,The Carter Family,My Clinch Mountain Home
Virginia,Virginia,Old Crow Medicine Show,Carry Me Back to Virginia
Virginia,Virginia,Jimmie's Chicken Shack,Virginia County Line
Virginia,Virginia,Pat Green,Virginia Belle
Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
Virginia,Virginia,Jerry Lee Lewis,Carry Me Back to Old Virginia
Virginia,Virginia,Johnny Cash,Carry Me Back to Old Virginia
Virginia,Virginia,Marty Robbins,Oh Virginia
Virginia,Virginia,Olivia Newton-John,Take Me Home Country Roads
Virginia,Virginia,Old Crow Medicine Show,New Virginia Creeper
Virginia,Virginia,John Denver,"Take Me Home, Country Roads"
Virginia,Virginia,Miranda Lambert,Virginia Bluebell
Virginia,Virginia,The Jeevas,Virginia
Virginia,Virginia,Daniel Johnston,Wild West Virginia
Virginia,Virginia,Big Wreck,West Virginia
Virginia,Virginia,Marissa Nadler,Virginia
Virginia,Virginia,Clutch,Son of Virginia
Virginia,Virginia,Clipse,Famlay Freestyle
Virginia,Virginia,The Rembrandts,Sweet Virginia
Virginia,Virginia,Gin Blossoms,Virginia
Virginia,Virginia,Johnny Reid,Here I Am
Virginia,Virginia,Hermes House Band,Country Roads
Virginia,Virginia,Alan Menken,The Virginia Company
Virginia,Virginia,Graham Parker,Disney's America
Virginia,Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country"
Virginia,Virginia,The Rolling Stones,Sweet Virginia
Virginia,Virginia,Doyle Lawson,The Girl From West Virginia
Virginia,Virginia,Louis Prima,Closest to the Bone
Virginia,Virginia,Rod Stewart,Three Time Loser
Virginia,Virginia,Billy Joel,Only the Good Die Young
Virginia,Virginia,Rod Stewart,Three Time Loser [Alternate Version; Previously Unreleased Track; Bonus Track]
Virginia,Virginia,Foo Fighters,Arlandria
Virginia,Virginia,Louis Prima,The Closer to the Bone (The Sweeter Is the Meat)
Virginia,Virginia,John Linnell,West Virginia
Virginia,Virginia,Foo Fighters,Virginia Moon
Virginia,Virginia,Gomez,Sweet Virginia
Virginia,Virginia,Charlie McCoy,"Take Me Home, Country Roads"
Virginia,Virginia,Blessid Union of Souls,Oh Virginia
Virginia,Virginia,Louis Prima,The When The Saints Go Marching In
Virginia,Virginia,The Statler Brothers,Take Me Home Country Roads
Virginia,Virginia,"Brooks & Dunn, Ronnie Milsap, Willie Nelson, Dolly Parton, Charley Pride, Randy Travis, Martina McBride, Alan Jackson, Keith Urban, Vince Hill, Blake Shelton, Little Big Town, Dierks Bentley, Jason Aldean, Eric Church, Lady A, Artists Of Then, Now & Forever ",Forever Country
Virginia,Virginia,Billy Vaughn,"Take Me Home, Country Roads"
Virginia,Virginia,Iron & Wine,Prison on Route 41
Virginia,Virginia,Hollis Brown,Wait for me Virginia
Virginia,Virginia,Mac Miller,REMember
Virginia,Virginia,Over the Rhine,Paul and Virginia
Virginia,Virginia,glee cast,Only the Good Die Young
Virginia,Virginia,Redman,Rockafella
Virginia,Virginia,Jack Blanchard,Somewhere in Virginia in the Rain
Virginia,Virginia,Trip Shakespeare,Reception
Virginia,Virginia,Train,Meet Virginia
Virginia,Virginia,Guy Clark,Virginia's Real
Virginia,Virginia,The Orlons,Not Me
Virginia,Virginia,Roxx Gang,Virginia [Previously Unreleased Track]
Virginia,Virginia,Kip Moore,Sweet Virginia
Virginia,Virginia,Calexico,Prison on Route 41
Virginia,Virginia,Tori Amos,Virginia
Virginia,Virginia,Mac Miller,REMember [Live]
Virginia,Virginia,Phil Ochs,No Christmas in Kentucky
Virginia,Virginia,Elvis Presley,Promised Land
Virginia,Virginia,The Carter Family,East Virginia Blues
Virginia,Virginia,Elvis Presley,Promised Land [Alternate Take 5]
Virginia,Virginia,Johnny Cash,My Clinch Mountain Home
Virginia,Virginia,Pete Seeger,East Virginia Blues
Virginia,Virginia,Bill Monroe,Linda Lou
Virginia,Virginia,Bobby Bare,West Virginia Woman
Virginia,Virginia,George Strait,Carrying Your Love with Me
Virginia,Virginia,Meat Loaf,The Promised Land
Virginia,Virginia,R. Kelly,Rise Up
Virginia,Virginia,Ryan Skid,"Three Up, Two Up"
Virginia,Virginia,Lady Antebellum,Home Is Where The Heart Is
Virginia,Virginia,Jerry Lee Lewis,Sweet Virginia
Virginia,Virginia,Solomon Burke,Sweet Virginia
Virginia,Virginia,Hollis Brown,Wait For Me Virginia
Virginia,Virginia,Foo Fighters,Summer's End
Virginia,Virginia,"Jump, Little Children",Dancing Virginia
Virginia,Virginia,The Stanley Brothers,East Virginia Blues
Virginia,Virginia,The Weavers,Born in East Virginia
Virginia,Virginia,Ralph Stanley,East Virginia Blues
Virginia,Virginia,小野リサ,Take Me Home Country Roads
Virginia,Virginia,Daniel O'Donnell,Take Me Home Country Roads
Virginia,Virginia,The Feeling,Without You
Virginia,Virginia,George Hamilton IV,East Virginia
Virginia,Virginia,America,Old Virginia
Virginia,Virginia,E-40,Ballaholic
Virginia,Virginia,Jake Owen,Anywhere With You
Virginia,Virginia,Jake Owen,Anywhere with You
Virginia,Virginia,Hank Thompson,Shenandoah Waltz
Virginia,Virginia,9811,West Virginia
Virginia,Virginia,Bruce Robison,Virginia
Virginia,Virginia,David Hasselhoff,Country Roads
Virginia,Virginia,Mountain Man,"Take Me Home, Country Roads"
Virginia,Virginia,Eddie from Ohio,How Far to the Water
Virginia,Virginia,李燕君,Take Home Country Roads
Virginia,Virginia,许冠杰,Take Me Home County Roads
Virginia,Virginia,Rebels No Savage,Stargaze
Virginia,Virginia,"Waxahatchee, Whitney","Take Me Home, Country Roads"
Virginia,Virginia,Mel Tillis,Goodbye Wheeling
Virginia,Virginia,Unlinked Artist,Meet Virginina
Virginia,Virginia,James Brown,Night Train
Virginia,Virginia,Johnny Mercer,Jamboree Jones
Virginia,Virginia,Louis Prima,Rock-A-Bye Your Baby With a Dixie Melody
Virginia,Virginia,Pete Seeger,East Virginia
Virginia,Virginia,Judy Garland,Jamboree Jones
Virginia,Virginia,Grateful Dead,The Promised Land
Virginia,Virginia,The Kinks,Muswell Hillbilly
Virginia,Virginia,Judy Garland,Rock-A-Bye Your Baby (With a Dixie Melody)
Virginia,Virginia,Pete Seeger,John Hardy [Johnny Hard; John Hardy Was a Desperate Little Man; Johnn]
Virginia,Virginia,The Pied Pipers,Jamboree Jones [Bonus Track]
Virginia,Virginia,Alabama,Ride the Train
Virginia,Virginia,Judy Garland,Rockabye Your Baby
Virginia,Virginia,Judy Garland,Rock a Bye Your Baby
Virginia,Virginia,"Hank Williams, Jr.",I've Loved You All Over the World
Virginia,Virginia,Pete Seeger,John Hardy
Virginia,Virginia,Chris Brown,Throwed
Virginia,Virginia,Bing Crosby,Jamboree Jones
Virginia,Virginia,Dave Matthews Band,Virginia In the Rain
Virginia,Virginia,Tift Merritt,"Virginia, No One Can Warn You"
Virginia,Virginia,Piccalo,On My Way
Virginia,Virginia,The Game,Name Me King
Virginia,Virginia,Bill Haley,Promised Land
Virginia,Virginia,Eddie from Ohio,Old Dominion
Virginia,Virginia,Cappadonna,Check for a Nigga
Virginia,Virginia,Mary Duff,Take Me Home Country Roads
Virginia,Virginia,Rissi Palmer,Country Girl
Virginia,Virginia,James Taylor,The Promised Land
Virginia,Virginia,Disney,Dancing in the Street
Virginia,Virginia,Bobby Troup,Jamboree Jones
Virginia,Virginia,Al Jolson,I Was Born in Virginia
Virginia,Virginia,Jackie Wilson,Rock-A-Bye Your Baby With a Dixie Melody
Virginia,Virginia,Juan Gabriel,De Sol a Sol (A Mis Padres)
Virginia,Virginia,Chris Brown,What's My Name
Virginia,Virginia,"Johnny ""Guitar"" Watson",Virginia's Pretty Funky
Virginia,Virginia,Infamous Stringdusters,Starry Night
Virginia,Virginia,Infamous Stringdusters,Poor Boy's Delight
Virginia,Virginia,The Mamas & the Papas,Dancing In The Street
Virginia,Virginia,Cappadonna,Check for a N****
Virginia,Virginia,David Allan Coe,The Punkin Center Barn Dance
Virginia,Virginia,David Allan Coe,Just To Prove My Love For You
Virginia,Virginia,Allan Sherman,Holiday for States
Virginia,Virginia,The Band,Promised Land
Virginia,Virginia,Eddy Arnold,"Take Me Home, Country Roads"
Virginia,Virginia,Chuck Berry,Promised Land [Live]
Virginia,Virginia,Eddie Fisher,Rock-A-Bye Your Baby With a Dixie Melody
Virginia,Virginia,Magoo,Feel It
Virginia,Virginia,Redman,What U Lookin' 4
Virginia,Virginia,Unlinked Artist,Carrying Your Love with Me
Virginia,Virginia,The Morrie Morrison Orchestra ,Virginia Way
Virginia,Virginia,Ringo Starr,Missouri Loves Company
Virginia,Virginia,Steve Earle & the Dukes,John Henry was a Steel Drivin' Man
Virginia,Virginia,Bill Monroe,John Hardy
Virginia,Virginia,Al Jolson,I Wish I Had My Old Gal Back Again
Virginia,Virginia,The Pied Pipers,Jamboree Jones
Virginia,Virginia,The Spinners,Rockin' Roll Baby
Virginia,Virginia,The Carter Family,John Hardy
Virginia,Virginia,Magoo,Baby Bubba
Virginia,Virginia,Timbaland & Magoo,Baby Bubba
Virginia,Virginia,Skillz,VA in the House
Virginia,Virginia,Oddisee,NNGE (Never Not Getting Enough)
Virginia,Virginia,Redman,Doggz II
Virginia,Virginia,Carbon Leaf,Indecision
Virginia,Virginia,Mel Gibson,The Virginia Company (Reprise)
Virginia,Virginia,Timbaland,Can You Feel It
Virginia,Virginia,Kodak Black,Institution
Virginia,Virginia,The Stylistics,Rockin' Roll Baby
Virginia,Virginia,Harry Nilsson,Nobody Cares About the Railroad Anymore
Virginia,Virginia,Dave Edmunds,The Promised Land
Virginia,Virginia,Limbeck,In Ohio on Some Steps
Virginia,Virginia,Canaan Smith,Stuck
Virginia,Virginia,Kathy Mattea,Green Rolling Hills
Virginia,Virginia,Natalie Merchant,Indian Names
Virginia,Virginia,Boz Scaggs,Down In Virginia
Virginia,Virginia,Mayday,Virginia
Virginia,Virginia,Lamb of God,Foot to the Throat
Virginia,Virginia,Nanci Griffith,The Loving Kind
Virginia,Virginia,Timbaland,Break Ya Back
Virginia,Virginia,Kodak Black,Still In The Streets
Virginia,Virginia,Kathy Mattea,Leaving West Virginia
Virginia,Virginia,Chubb Rock,Bring 'Em Home Safely
Virginia,Virginia,Tom T. Hall,Letters
Virginia,Virginia,Brigitte,Le chat
Virginia,Virginia,Bay City Rollers,Sweet Virginia
Virginia,Virginia,"Pusha T, Benny the Butcher",18 Wheeler
Virginia,Virginia,David Wilcox,Roadside Art
Virginia,Virginia,Iron & Wine,Kingdom of the Animals
Virginia,Virginia,Biz Markie,Party to the Break-A-Day
Virginia,Virginia,Pam Tillis,Goodbye Wheeling
Virginia,Virginia,Everclear,Queen of the Air
Virginia,Virginia,King Konga,Virginia
Virginia,Virginia,Kane's River,A Far Cry
Virginia,Virginia,Gregory Alan Isakov,Virginia May
Virginia,Virginia,Balsam Range,East Virginia Blues
Virginia,Virginia,Sundy Best ,Southern Boy
Virginia,Virginia,The Johnson Mountain Boys,Virginia Waltz
Virginia,Virginia,Gavin DeGraw,Best I Ever Had
Virginia,Virginia,Clipse,I'm Serious
Virginia,Virginia,Animaniacs,Wakko's America
Virginia,Virginia,Life Without Buildings,The Leanover
Virginia,Virginia,Hazel Dickens,"West Virginia, My Home"
Virginia,Virginia,Roy Drusky,Thumbin' My Way Home
Virginia,Virginia,Pato Banton,Go Pato
Virginia,Virginia,Linda Davis,He's in Dallas
Virginia,Virginia,Hazel Dickens,The Green Rolling Hills of West Virginia
Virginia,Virginia,The Rentals,Brilliant Boy
Virginia,Virginia,Damien Jurado,East Virginia
Virginia,Virginia,Grant Lee Phillips,Far End of the Night
Virginia,Virginia,Timbaland & Magoo,Feel It
Virginia,Virginia,The Walkmen,Dreamboat
Virginia,Virginia,"August Alsina, Sage the Gemini",Down On Your Luck
Virginia,Virginia,Sage the Gemini,Down on Your Luck
Virginia,Virginia,Sage the Gemini,Down On Your Luck
Virginia,Virginia,The Gaslight Anthem,Red in the Morning
Virginia,Virginia,The Gaslight Anthem,Blue Jeans & White T-Shirts
Virginia,Virginia,Tee Grizzley,Connect
Virginia,Virginia,The Divine Comedy,Victoria Falls
Virginia,Virginia,Whiskey Myers,Virginia
Virginia,Virginia,Kane & Abel,The Possibility
Virginia,Virginia,Kids Learning Tube ,50 States Of America
Virginia,Virginia,Michael Flynn,Greater Charlotte
Virginia,Virginia,Hop Along,I Saw My Twin
Virginia,Virginia,Wolf Parade,Kissing the Beehive
Virginia,Virginia,Steve Earle & the Dukes,The Mine
Virginia,Virginia,Gutterball,Motorcycle Boy
Virginia,Virginia,John Vanderslice,Do You Remember ?
Virginia,Virginia,Shane MacGowan & the Popes,Donegal Express
Virginia,Virginia,Me First and the Gimme Gimmes,Country Roads
Virginia,Virginia,James Brown & His Famous Flames,Night Train [Bonus Track]
Virginia,Virginia,Cap'n Jazz,Bluegrassish
Virginia,Virginia,Cap'n Jazz,Bluegrass
Virginia,Virginia,Maximilian Hecker,My Story
Virginia,Virginia,The Warren Brothers,Southern Baptist Heartbreak
Virginia,Virginia,Hanalei,Beacon in the Distance
Virginia,Virginia,Trent Willmon,Here
Virginia,Virginia,David Bazan,Virginia
Virginia,Virginia,American Minor,Change
Virginia,Virginia,SAINt JHN,Wedding Day
Virginia,Virginia,Ivy,Tireur d’élite
Virginia,Virginia,Pat McGee,Straight Curve
Virginia,Virginia,RiverMaya,Evil Clown
Virginia,Virginia,Myra,Dancing in the Street
Virginia,Virginia,Houndmouth,15 Years
Virginia,Virginia,Snog,"Langley, Virginia"
