song_city,song_state,song_artist,song_name
West Virginia,West Virginia,Phil Ochs,Hills of West Virginia
West Virginia,West Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
West Virginia,West Virginia,Olivia Newton-John,Take Me Home Country Roads
West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads"
West Virginia,West Virginia,Daniel Johnston,Wild West Virginia
West Virginia,West Virginia,Hermes House Band,Country Roads
West Virginia,West Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country"
West Virginia,West Virginia,Doyle Lawson,The Girl From West Virginia
West Virginia,West Virginia,John Linnell,West Virginia
West Virginia,West Virginia,Charlie McCoy,"Take Me Home, Country Roads"
West Virginia,West Virginia,"Brooks & Dunn, Ronnie Milsap, Willie Nelson, Dolly Parton, Charley Pride, Randy Travis, Martina McBride, Alan Jackson, Keith Urban, Vince Hill, Blake Shelton, Little Big Town, Dierks Bentley, Jason Aldean, Eric Church, Lady A, Artists Of Then, Now & Forever ",Forever Country
West Virginia,West Virginia,Billy Vaughn,"Take Me Home, Country Roads"
West Virginia,West Virginia,Mac Miller,REMember
West Virginia,West Virginia,Mac Miller,REMember [Live]
West Virginia,West Virginia,Phil Ochs,No Christmas in Kentucky
West Virginia,West Virginia,Bill Monroe,Linda Lou
West Virginia,West Virginia,Bobby Bare,West Virginia Woman
West Virginia,West Virginia,George Strait,Carrying Your Love with Me
West Virginia,West Virginia,Ryan Skid,"Three Up, Two Up"
West Virginia,West Virginia,Lady Antebellum,Home Is Where The Heart Is
West Virginia,West Virginia,小野リサ,Take Me Home Country Roads
West Virginia,West Virginia,Daniel O'Donnell,Take Me Home Country Roads
West Virginia,West Virginia,Big Wreck,West Virginia
West Virginia,West Virginia,Jake Owen,Anywhere With You
West Virginia,West Virginia,Jake Owen,Anywhere with You
West Virginia,West Virginia,9811,West Virginia
West Virginia,West Virginia,David Hasselhoff,Country Roads
West Virginia,West Virginia,Mountain Man,"Take Me Home, Country Roads"
West Virginia,West Virginia,李燕君,Take Home Country Roads
West Virginia,West Virginia,许冠杰,Take Me Home County Roads
West Virginia,West Virginia,"Waxahatchee, Whitney","Take Me Home, Country Roads"
West Virginia,West Virginia,Mel Tillis,Goodbye Wheeling
West Virginia,West Virginia,C.J. Johnson,"Take Me Home, Country Roads"
West Virginia,West Virginia,The Carter Family,John Hardy Was a Desperate Little Man
West Virginia,West Virginia,Pete Seeger,John Hardy [Johnny Hard; John Hardy Was a Desperate Little Man; Johnn]
West Virginia,West Virginia,Pete Seeger,John Hardy
West Virginia,West Virginia,Emmylou Harris,Green Rolling Hills
West Virginia,West Virginia,Johnny Mercer,Jamboree Jones
West Virginia,West Virginia,Judy Garland,Jamboree Jones
West Virginia,West Virginia,The Kinks,Muswell Hillbilly
West Virginia,West Virginia,The Pied Pipers,Jamboree Jones [Bonus Track]
West Virginia,West Virginia,Bing Crosby,Jamboree Jones
West Virginia,West Virginia,Mary Duff,Take Me Home Country Roads
West Virginia,West Virginia,Rissi Palmer,Country Girl
West Virginia,West Virginia,Bobby Troup,Jamboree Jones
West Virginia,West Virginia,David Allan Coe,Just To Prove My Love For You
West Virginia,West Virginia,Eddy Arnold,"Take Me Home, Country Roads"
West Virginia,West Virginia,Bill Monroe,John Hardy
West Virginia,West Virginia,The Carter Family,John Hardy
West Virginia,West Virginia,Unlinked Artist,Carrying Your Love with Me
West Virginia,West Virginia,Steve Earle & the Dukes,John Henry was a Steel Drivin' Man
West Virginia,West Virginia,The Pied Pipers,Jamboree Jones
West Virginia,West Virginia,The Spinners,Rockin' Roll Baby
West Virginia,West Virginia,The Stylistics,Rockin' Roll Baby
West Virginia,West Virginia,Kathy Mattea,Green Rolling Hills
