state,city,song,artist,uris,duration_ms,popularity,date
Maryland,Aberdeen,I-95,Fountains of Wayne,spotify:track:2mxVcdcGIBCVjBtIgOa42q,188266,27,2007-01-01
Kansas,Abilene,Abilene,George Hamilton IV,spotify:track:5bA26v8eeZrbHJpD4YPKAX,133333,47,1963-12-17
Ohio,Akron,Downtown (Akron),The Pretenders,spotify:track:5Tgw8sksXTMJH3dRQ9aP7y,163093,13,2008-09-23
Ohio,Akron,My City Was Gone,The Pretenders,spotify:track:168afNpNQ4YTff7VSih55v,267186,39,2008-09-23
New Mexico,Albuquerque,Albuquerque,Neil Young,spotify:track:6nsxXdOAjeosqcGGsmPjnN,241175,35,1975-06-01
New Mexico,Albuquerque,Albuquerque,Sons of the Desert,spotify:track:4qtUVRGt8R28Ie7QI5Vn5O,199560,9,2000-01-01
New Mexico,Albuquerque,Albuquerque,"""Weird"" Al Yankovic",spotify:track:2Ec0liSMY2h4XORHyzKCmY,682946,39,1999-06-29
New Mexico,Albuquerque,Blue Bedroom,To Keith,spotify:track:0elXsqvn9hJOoEB7Vr4wsv,210160,21,1999-01-01
New Mexico,Albuquerque,Bring Em Out,T.I.,spotify:track:3CcvahnsiArpTHYQEWV2Au,216706,62,2004-11-29
New Mexico,Albuquerque,By the Time I Get to Phoenix,"Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers",spotify:track:1tZKsxgKebVQX9s6oiojG9,164200,54,1967
New Mexico,Albuquerque,Cowboy Movie,David Cros,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF,491400,45,1971-02-22
New Mexico,Albuquerque,Get Your Kicks on Route 66,Perry Como,spotify:track:0zQ1o6q0QaeMgro248kNGh,223133,41,1999-01-01
New Mexico,Albuquerque,I Hope Your Whole Life Sux,Blackbear,spotify:track:4uVslVnCNW0wkBxUmtqeVn,179186,54,2017-11-27
New Mexico,Albuquerque,Make it Clap,Busta Rhymes,spotify:track:6NM525U7IB4Zhpn8d921uX,243040,46,2002-11-26
New Mexico,Albuquerque,Space Between Us,Sister Hazel,spotify:track:2TXbRtVpJuw05Dx1N59OtA,304000,6,1994-01-01
New Mexico,Albuquerque,The King of Rock 'n' Roll,Prefab Sprout,spotify:track:6QIlvgk2Q2EyalaneqSuqX,262133,49,1988-03-14
New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,Tony Romeo,spotify:track:6aNmG709rGTVRRYsMqDwmb,231840,25,2005-05-03
New Mexico,Albuquerque,The Promised Land,Chuck Berry,spotify:track:4p6j060XRLr7XCeACQLSCe,143373,14,2006-04-18
New Mexico,Albuquerque,Train Kept A Rollin',Stray Cats,spotify:track:6KXWZSsrKUXPdfDCTElPoD,252480,27,2004-11-09
New Mexico,Albuquerque,Wanted Man,"Johnny Cash, Bob Dylan, Nick Cave",spotify:track:2dMkrhsWFVP2rHZmTEKkeh,235106,56,2018-05-04
Pennsylvania,Allentown,Allentown,Billy Joel,spotify:track:59xhCcRskqyMtKzdvLZDfV,230160,52,1982-06-23
Pennsylvania,Allentown,Allentown Jail,Kingston Trio,spotify:track:1LIQZwJmz3ByvUYd5RkQhE,149306,0,1995-08-12
Texas,Amarillo,Amarillo,Gorillaz,spotify:track:6wmcBujtfEfVQr5kQPk7ZE,204466,45,2010
Texas,Amarillo,Amarillo,Emmylou Harris,spotify:track:6IhmShGqk3bTwOtMEyT8t6,181093,24,1975
Texas,Amarillo,Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,202546,60,2005-07-26
Texas,Amarillo,If Hollywood Don't Need You (Honey I Still Do),Don Williams,spotify:track:6qRYfAO5O4z9ZDOlA59rjw,190905,0,2010-11-19
Texas,Amarillo,Is This the Way to Amarillo,Neil Sedaka and Howard Greenfield,spotify:track:358xKpDEPxwDqlHPadJoHk,193146,51,2002-09-02
Alaska,Anchorage,Anchorage,Michelle Shocked,spotify:track:2DCOZWKvk1y8WMNWBqclhl,383720,23,2010-01-19
Virginia,Arlington,Arlandria,Foo Fighters,spotify:track:5TOYgNohZAFEPOtnchPhZS,267560,58,2011-04-12
Virginia,Arlington,Arlington,Trace Adkins,spotify:track:1IdQeHmLig1Flat8nHkGo4,247333,49,2005-01-01
New Jersey,Asbury Park,"Fourth of July, Asbury Park (Sandy)  Bruce Springsteen",,error,247333,49,2005-01-01
New Jersey,Asbury Park,My City of Ruins,Bruce Springsteen,spotify:track:5A2wRK7ch9tg6k5iibUsgT,300000,47,2002-07-30
New Jersey,Atlantic City,Atlantic City,Bruce Springsteen,spotify:track:1Vp8U39YNsDfd6yVuaUq12,236653,56,1982-09-30
Texas,Austin,Amy's Back In Austin,Little Texas,spotify:track:03F9hwZMmzYxUyOSqwC2Bk,276066,36,1994-09-16
Texas,Austin,Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,230333,63,2001-07-31
Texas,Austin,Austin in My Sights,The Bluescasters,spotify:track:5BUutiodaKSRQokkSo9lVE,295413,4,2005-01-01
Texas,Austin,Austin to Ashes,the Turnpike Troubadours,spotify:track:4ftdjgm9p4F7AYavGg2oAl,214000,0,2014-06-27
California,Avalon (Catalina Isl.),Avalon,Lionel Hampton,spotify:track:3AW4FDbBRJGzyo4lK5jbHs,223268,4,2014-08-12
California,Bakersfield,Bakersfield,Social Distortion,spotify:track:6an8qrOsqNuDouAxWMaFIj,384773,39,2011-01-18
California,Bakersfield,Mexicali Blues,Grateful Dead,spotify:track:3Feu20MBV8MREboccRzlj6,229453,32,2013-09-13
California,Bakersfield,Streets of Bakersfield,Dwight Yoakam,spotify:track:5B7f2auRhwkl5OjC2bQ58f,168213,55,1988
Maryland,Baltimore,Baltimore,The Extra Lens,spotify:track:39CyGKIFqMzSuynOR8uilD,278866,65,1978
Maryland,Baltimore,Baltimore,Lyle Lovett,spotify:track:3cPPSqS1lN6LO18LVOxeTA,293173,17,1992-03-31
