state,city,song,artist
 Maryland,Aberdeen,I-95,  Fountains of Wayne
 Kansas,Abilene,Abilene,  George Hamilton IV
 Ohio,Akron,Downtown (Akron),  The Pretenders
 Ohio,Akron,My City Was Gone,  The Pretenders
 New Mexico,Albuquerque,Albuquerque,  Neil Young
 New Mexico,Albuquerque,Albuquerque,  Sons of the Desert
 New Mexico,Albuquerque,Albuquerque,"  ""Weird"" Al Yankovic"
 New Mexico,Albuquerque,Blue Bedroom, To Keith
 New Mexico,Albuquerque,Bring Em Out,  T.I.
 New Mexico,Albuquerque,By the Time I Get to Phoenix," Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers"
 New Mexico,Albuquerque,Cowboy Movie, David Cros
 New Mexico,Albuquerque,Get Your Kicks on Route 66, Perry Como
 New Mexico,Albuquerque,I Hope Your Whole Life Sux, Blackbear
 New Mexico,Albuquerque,Make it Clap, Busta Rhymes
 New Mexico,Albuquerque,Space Between Us, Sister Hazel
 New Mexico,Albuquerque,The King of Rock 'n' Roll,  Prefab Sprout
 New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,  Tony Romeo
 New Mexico,Albuquerque,The Promised Land, Chuck Berry
 New Mexico,Albuquerque,Train Kept A Rollin', Stray Cats
 New Mexico,Albuquerque,Wanted Man," Johnny Cash, Bob Dylan, Nick Cave"
 Pennsylvania,Allentown,Allentown,  Billy Joel
 Pennsylvania,Allentown,Allentown Jail,  Kingston Trio
 Texas,Amarillo,Amarillo,  Gorillaz
 Texas,Amarillo,Amarillo,  Emmylou Harris
 Texas,Amarillo,Amarillo Sky,  Jason Aldean
 Texas,Amarillo,If Hollywood Don't Need You (Honey I Still Do),  Don Williams
 Texas,Amarillo,Is This the Way to Amarillo,  Neil Sedaka and Howard Greenfield
 Alaska,Anchorage,Anchorage,  Michelle Shocked
 Virginia,Arlington,Arlandria,  Foo Fighters
 Virginia,Arlington,Arlington,  Trace Adkins
 New Jersey,Asbury Park,"Fourth of July, Asbury Park (Sandy)  Bruce Springsteen",
 New Jersey,Asbury Park,My City of Ruins,  Bruce Springsteen
 New Jersey,Atlantic City,Atlantic City,  Bruce Springsteen
 Texas,Austin,Amy's Back In Austin,  Little Texas
 Texas,Austin,Austin,  Blake Shelton
 Texas,Austin,Austin in My Sights,  The Bluescasters
 Texas,Austin,Austin to Ashes,  the Turnpike Troubadours
 California,Avalon (Catalina Isl.),Avalon,  Lionel Hampton
 California,Bakersfield,Bakersfield,  Social Distortion
 California,Bakersfield,Mexicali Blues,  Grateful Dead
 California,Bakersfield,Streets of Bakersfield,  Dwight Yoakam
 Maryland,Baltimore,Baltimore,  The Extra Lens
 Maryland,Baltimore,Baltimore,  Lyle Lovett
 Maryland,Baltimore,Baltimore,  Mal Blum
 Maryland,Baltimore,Baltimore,  Prince
 Maryland,Baltimore,Baltimore,"  Randy Newman, Nina Simone"
 Maryland,Baltimore,Baltimore,  Sonny James
 Maryland,Baltimore,Baltimore's Fireflies,  Woodkid
 Maryland,Baltimore,Barefoot in Baltimore,  Strawberry Alarm Clock
 Maryland,Baltimore,Blue Skies Over Dundalk,  Mary Prankster
 Maryland,Baltimore,Engine Engine Number 9,  Roger Miller
 Maryland,Baltimore,The Girl From Baltimore,  The Fleshtones
 Maryland,Baltimore,Good Morning Baltimore, from Hairspray!
 Maryland,Baltimore,Heaven in Baltimore,  Dale Watson
 Maryland,Baltimore,Hungry Heart,  Bruce Springsteen
 Maryland,Baltimore,Moonlight Feels Right,  Starbuck
 Maryland,Baltimore,Raining in Baltimore,  Counting Crows
 Maryland,Baltimore,Streets of Baltimore,  Bob Bare
 Maryland,Baltimore,Willie Jones,  the Charlie Daniels Band
 Maryland,Baltimore,Baltimore To Washington,  Woody Guthrie & Cisco Houston
 Maryland,Baltimore,The Lady Came from Baltimore,  Tim Hardin
 Maryland,Baltimore,For Baltimore,  All Time Low
 Maryland,Baltimore,The Star-Spangled Banner,  Francis Scott Key
 Maine,Bangor,King Of The Road,  Roger Miller
 Louisiana,Baton Rouge,Calling Baton Rouge,  Garth Brooks
 Texas,Beaumont,Beaumont,  Hayes Carll
 Texas,Beaumont,"Pretty Little Lady From Beaumont, Texas",  George Jones
 Texas,Beaumont,The Night's Too Long,  Patty Loveless
 Louisiana,Bossier City,Bossier City,  the Turnpike Troubadours
 Texas,Brownsville,It's All Here in Brownsville,  The Mountain Goats
 New York,Buffalo,Broadway,  The Goo Goo Dolls
 New York,Buffalo,Shuffle Off to Buffalo,  The Stolen Sweets
 New York,Buffalo,Ladies Night in Buffalo,  David Lee Roth
 New York,Buffalo,Rock and Roll Girls  John Fogarty,
 South Carolina,Charleston,Carolina,  Corey Smith
 South Carolina,Charleston,Holy City,  Edwin McCain
 South Carolina,Charleston,You Can Have Charleston,  Darius Rucker
 North Carolina,Charlotte,Gridiron Fight, (about the Panthers)  Paper Tongues
 North Carolina,Charlotte,In Charlotte,  Young Dolph
 North Carolina,Charlotte,Brick,  Ben Folds Five
 Tennessee,Chattanooga,The Chattanooga Shoot Shoot,  Darren Hanlon
 Tennessee,Chattanooga,Chattanooga Sugar Babe,  Johnny Cash
 Tennessee,Chattanooga,Chattanooga Choo Choo,"  The Andrews Sisters, Glenn Miller"
 Wyoming,Cheyenne,I Can Still Make Cheyenne,  George Strait
 Ohio,Cincinnati,Comin' to Your City,  Big & Rich
 Ohio,Cincinnati,Fins,  Jimmy Buffett
 Ohio,Cincinnati,"Jesus, Take the Wheel",  Carrie Underwood
 Ohio,Cincinnati,Lights of Cincinnati,  Scott Walker
 Ohio,Cleveland,Anything But Mine,  Kenny Chesney
 Ohio,Cleveland,Burn On,  Randy Newman
 Ohio,Cleveland,Christmas in Cleveland,  The Raveonettes
 Ohio,Cleveland,Cleveland,  Jewel
 Ohio,Cleveland,Cleveland is the City,  Bone Thugs-N-Harmony
 Ohio,Cleveland,Cleveland,  All-Time Quarterback
 Ohio,Cleveland,Cleveland,  Machine Gun Kelly
 Ohio,Cleveland,Cleveland is the Reason,  Kid Cudi
 Ohio,Cleveland,Cleveland Ohio Blues,  Bull Moose Jackson
 Ohio,Cleveland,Cleveland Rocks,  Ian Hunter
 Ohio,Cleveland,Cuyahoga,  REM
 Ohio,Cleveland,East 1999,  Bone Thugs-N-Harmony
 Ohio,Cleveland,In the Heartland,  the Michael Stanley Band
 Ohio,Cleveland,Let's Get Wrecked,  honeyhoney
 Ohio,Cleveland,Let's Move to Cleveland,  Frank Zappa
 Ohio,Cleveland,"Look Out, Cleveland",  The Band
 Ohio,Cleveland,Mean Night in Cleveland,  Cactus
 Ohio,Cleveland,Missing Cleveland,  Scott Weiland
 Ohio,Cleveland,My Town,  Michael Stanley Band
 Ohio,Cleveland,Ohio (Come Back to Texas),  Bowling for Soup
 Ohio,Cleveland,Pancho and Lefty,"  Townes Van Zandt, covered  Willie Nelson and Merle Haggard"
 Ohio,Cleveland,Precious,  The Pretenders
 Ohio,Cleveland,Skinny Little Boy from Cleveland,  Alex Bevan
 Ohio,Cleveland,Stairway To Cleveland,  Jefferson Starship
 Ohio,Cleveland,Till I Die,  Machine Gun Kelly
 Idaho,Coeur d'Alene,All I Left Behind,  Linda Ronstadt and Emmylou Harris
 Idaho,Coeur d'Alene,Coeur d'Alene,  The Head and the Heart
 Idaho,Coeur d'Alene,Coeur d'Alene,  Alter Bridge
 Idaho,Coeur d'Alene,Coeur d'Alene,  Tyson Motsenbocker
 Ohio,Columbus,Road Outside Columbus,  O.A.R.
 Colorado,Commerce City,Commerce City Sister,  DeVotchKa
 Colorado,Cripple Creek,Up On Cripple Creek,  The Band
 Texas,Dallas,Big D, from The Most Happy Fella
 Texas,Dallas,Dallas,  Alan Jackson
 Texas,Dallas,Dallas,  The Flatlanders
 Texas,Dallas,Dallas,  Holly McNarland
 Texas,Dallas,Dallas,  Silver Jews
 Texas,Dallas,Dallas,  Johnny Winter
 Texas,Dallas,Dallas 1pm,  Saxon
 Texas,Dallas,Dallas After Midnight,  Ray Wylie Hubbard (with Jack Ingram)
 Texas,Dallas,Goin Through The Big D,  Mark Chesnutt
 Texas,Dallas,He's in Dallas,- Reba McEntire
 Texas,Dallas,Hot Night in Dallas,  Moon Martin
 Texas,Dallas,I Drove Her To Dallas,  Ty England
 Texas,Dallas,People In Dallas Got Hair,  Waylon Jennings
 Texas,Dallas,Run,  George Strait
 Texas,Dallas,Truckin',  Grateful Dead
 Texas,Dallas,Trudy,  the Charlie Daniels Band
 Illinois,Decatur,"Decatur, or, Round of Applause for Your Stepmother!",  Sufjan Stevens
 Colorado,Denver,40 Miles from Denver,  Yonder Mountain String Band
 Colorado,Denver,Denver,  Larry Gatlin & The Gatlin Brothers
 Colorado,Denver,Denver,  Willie Nelson
 Colorado,Denver,From Denver to L.A.,  Elton John
 Colorado,Denver,Get Out of Denver,  Bob Seger
 Colorado,Denver,O.D.'d in Denver,  Hank Williams Jr.
 Colorado,Denver,Things to Do in Denver When You're Dead,  Warren Zevon
 Iowa,Des Moines,"Des Moines, Iowa",  The Milk Carton Kids
 Georgia,Doraville,Doraville,  Atlanta Rhythm Section
 Texas,El Paso,All The Way Down To El Paso,  Elton John
 Texas,El Paso,El Paso,  The Gourds
 Texas,El Paso,El Paso,  Marty Robbins
 Texas,El Paso,El Paso,  Old 97's
 Texas,El Paso,El Paso,  Taking Back Sunday
 Texas,El Paso,El Paso City,  Marty Robbins
 Texas,El Paso,Feleena (From El Paso),  Marty Robbins
 Texas,El Paso,Texas Women,  Hank Williams Jr.
 Oregon,Eugene,Eugene,  Sufjan Stevens
 Oregon,Eugene,"Eugene, Oregon",  Dolly Parton
 Michigan,Flint,Flint (For the Unemployed and Underpaid),  Sufjan Stevens
 Florida,Fort Lauderdale,Fort Lauderdale Chamber of Commerce,  Elvis Presley
 Florida,Fort Lauderdale,All Signs Point to Lauderdale,  A Day to Remember
 Texas,Fort Worth,Dallas Days and Fort Worth Nights,  Chris LeDoux
 Texas,Fort Worth,Does Fort Worth Ever Cross Your Mind,  George Strait
 Florida,Gainesville,City of Gainesville,  Less Than Jake
 Florida,Gainesville,Gainesville,  Tom Petty
 Florida,Gainesville,Gainesville Rock City,  Less Than Jake
 Texas,Galveston,Darling I Need You,  John Cale
 Texas,Galveston,Galveston,  Jimmy Webb
 Texas,Galveston,Pecos Promenade,  Tanya Tucker
 California,Garden Grove,Garden Grove,"  Sublime, covered  Camper Van Beethoven"
 California,Garden Grove,Home Again Garden Grove,  The Mountain Goats
 Indiana,Gary,2300 Jackson Street  The Jacksons,
 Indiana,Gary,"Gary, Indiana", from The Music Man
 North Carolina,Greensboro,88 Seconds in Greensboro,  Orchestral Manoeuvres in the Dark
 New Jersey,Hackensack,Hackensack,  Fountains of Wayne
 Michigan,Holland,Holland,  Sufjan Stevens
