,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Alabama,Alabama,Lynyrd Skynyrd,Sweet Home Alabama,spotify:track:7e89621JPkKaeDSTQ3avtg,283800,82,1974-04-15
1,Alabama,Alabama,Grateful Dead,Alabama Getaway,spotify:track:5WVF1Ftv5oxspRac9km99R,216569,48,1980
2,Alabama,Alabama,Kid Rock,All Summer Long,spotify:track:5rX6C5QVvvZB7XckETNych,297586,76,2007-10-09
3,Alabama,Alabama,Stone Temple Pilots,Art School Girl,spotify:track:4jI15xh4txiG1emdIhw2lk,215360,40,1996-03-26
4,Alabama,Alabama,Jerry Reed,Big Daddy,spotify:track:15YA50YBpFhwRAxALIhcmb,409178,0,2010-11-02
5,Alabama,Alabama,The Louvin Brothers,Alabama,spotify:track:4mBYupeEa1e5Ep2HU7xToZ,231883,56,2011-04-12
6,Alabama,Alabama,Neil Young,Oh Susannah,spotify:track:7j55ENuo0ejEmkDark9p6h,302746,23,2012-05-30
7,Alabama,Alabama,Neil Young,Alabama,spotify:track:6PVa4pTYFPv2Sew9wLoyrz,242200,49,1972-02-14
8,Alabama,Alabama,"Neil Young, Stray Gators",Alabama,spotify:track:37Ioc70fLs2bcTK2RE0JdY,230920,28,2019-05-17
9,Alabama,Alabama,Garth Brooks,Sweet Home Alabama,error,error,error,error
10,Alabama,Alabama,The Dead South,Alabama People,spotify:track:48TR8FKE6IDjsGpro65liJ,130360,38,2019-10-11
11,Alabama,Alabama,Dalida,Alabama Song,spotify:track:0Q3x2ethLNH6rhjlZdwZ6p,258466,3,2009-01-01
12,Alabama,Alabama,J.B. Lenoir,Alabama Blues,spotify:track:21EwgINgOx9iiYo7Sj1HCM,194373,41,1979
13,Alabama,Alabama,Alabama,Old Alabama,spotify:track:3OMpIoONQH8rSscaZLozFQ,301800,57,2011-05-23
14,Alabama,Alabama,Drive-By Truckers,The Three Great Alabama Icons,error,error,error,error
15,Alabama,Alabama,Lynyrd Skynyrd,Mississippi Kid,spotify:track:3xdwGhgjAVDJqkJhsVe91z,236066,41,1973
16,Alabama,Alabama,Nina Simone,Mississippi Goddam,spotify:track:2UG2WPDBg6tQ8nhi1cqJRP,296600,41,1964-01-01
17,Alabama,Alabama,Jewel,Sweet Home Alabama,spotify:track:2WXE1WeD6qmD4UnoKqsHcm,221877,7,2006
18,Alabama,Alabama,Nina Simone,Mississippi Goddam [Live],spotify:track:2UG2WPDBg6tQ8nhi1cqJRP,296600,41,1964-01-01
19,Alabama,Alabama,Nina Simone,"Mississippi Goddam [1964 Live in New York, Stereo; Live]",error,error,error,error
20,Alabama,Alabama,The Outlaws,Sweet Home Alabama,spotify:track:2DQo4BKy4d9uE8i1RVhbsG,284533,38,2007-05-01
21,Alabama,Alabama,Charlie Louvin,Alabama,spotify:track:4lP6t5AUHWCPsdRa8vMwIZ,200906,1,2010-09-14
22,Alabama,Alabama,David Bowie,Alabama Song,spotify:track:3lR2II78ulDf3twWEbSuYm,238493,19,2018-04-20
23,Alabama,Alabama,Nina Simone,Mississippi Goddam [DVD],error,error,error,error
24,Alabama,Alabama,Taj Mahal,Oh Susanna,spotify:track:5Xwt2jHN6aAhmGkpWHyp2H,319000,7,1971-06-09
25,Alabama,Alabama,The Byrds,Oh! Susannah,spotify:track:4y3PDG3iZUtyVxwbqpRwEK,183200,22,1965-12-06
26,Alabama,Alabama,Alabama,Alabama Sky,spotify:track:7e89621JPkKaeDSTQ3avtg,283800,82,1974-04-15
27,Alabama,Alabama,Rock Heroes,All Summer Long,spotify:track:33NjqXiOKOKtGX7YkEUhoA,245120,0,2009
28,Alabama,Alabama,Antoine Rocks,Art School Girl,spotify:track:4x9GzY57DaK3JIvNydGpvf,221280,0,2001-09-25
29,Alabama,Alabama,Charlie Daniels,Sweet Home Alabama,spotify:track:5Kpg2OJGbsUzDYTJAlwYAl,309560,10,1981
30,Alabama,Alabama,Lynyrd Skynyrd,Whiskey Rock and Roller,spotify:track:7DijVidS1AM5iv4leBkiDN,261733,7,2008-04-29
31,Alabama,Alabama,"Hank Williams, Jr.",Sweet Home Alabama,spotify:track:5QJsSSILge9xMIUU6qA6gF,133600,20,2016-10-21
32,Alabama,Alabama,Alabama,My Home's In Alabama,spotify:track:63fI8hzSrsXNGl0CMju2DW,386026,44,1980-09-30
33,Alabama,Alabama,Alt-J,Leaving Nara/Lovely Day [Bonus Track],error,error,error,error
34,Alabama,Alabama,Johnny Hallyday,Cartes Postales d'Alabama (Sweet Home Alabama),error,error,error,error
