,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Alaska,Alaska,John Denver,Alaska and Me,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,163800,24,1989-09-29
1,Alaska,Alaska,John Denver,Alaska & Me,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,163800,24,1989-09-29
2,Alaska,Alaska,Shawn Mullins,Talkin' Goin' to Alaska Blues,spotify:track:56VnKcQHHm8rMygMcQYaQP,229986,12,2006-01-01
3,Alaska,Alaska,Hank Snow,When It's Springtime in Alaska (It's Forty Below),error,error,error,error
4,Alaska,Alaska,Johnny Horton,North to Alaska,spotify:track:3JLJ0n5ZFd8oOwvQv7LUEt,169760,45,1961
5,Alaska,Alaska,John Denver,American Child,spotify:track:0q6uOifb5MBpCc0ZItDiXp,172266,16,1993-10-01
6,Alaska,Alaska,John Denver,Postcard from Paris,spotify:track:2E5vFBNSpTDs0VSgJCIlRT,209800,18,1990-09-04
7,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska (It's Forty Below),spotify:track:67IOBVD93KhfMeG3kuFXTv,156640,29,1956
8,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska,spotify:track:67IOBVD93KhfMeG3kuFXTv,156640,29,1956
9,Alaska,Alaska,Lou Reed,Caroline Says II,spotify:track:54JXAkc9TFvlpZDpcgsNAS,253573,40,1973-07-01
10,Alaska,Alaska,The Velvet Underground,Stephanie Says,spotify:track:341b9JIDHZ3oaMVNwS0OsA,169053,51,1985-02-02
11,Alaska,Alaska,Archers of Loaf,Distance Comes in Droves,spotify:track:1MaE7cfSGlYN00JjB3Vk85,329506,8,1996
12,Alaska,Alaska,Casper,Alaska,spotify:track:4jCuoQWUhsDmCgzbIgpsiz,280786,25,2012-07-27
13,Alaska,Alaska,Jerry Lee Lewis,North to Alaska,spotify:track:1Vn8ORBIolpO8UQOz2fE5G,121386,10,1965-01-01
14,Alaska,Alaska,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track],error,error,error,error
15,Alaska,Alaska,Bee Gees,Road to Alaska,spotify:track:1WTjwkPqN5f1CxAAwjsKrB,158960,15,1972-01-01
16,Alaska,Alaska,Johnny Horton,North to Alaska [From North to Alaska],spotify:track:6krgs4kxCTtKWRcConxfPN,171822,0,2013-04-30
17,Alaska,Alaska,Frankie Laine,North To Alaska,spotify:track:4s2IzdJH5DOfQ3wIyQill8,150066,12,1962-11-12
18,Alaska,Alaska,Brenner,Richtung Alaska,spotify:track:6BCMbOwNK2fOuMvTQ4Hv8J,232573,30,2019-03-15
19,Alaska,Alaska,"Hank Williams, Jr.",North to Alaska,spotify:track:17RhSfOOu6ObPqnesBClJG,139920,0,2014-05-16
20,Alaska,Alaska,Johnny Cash,North to Alaska,spotify:track:3JLJ0n5ZFd8oOwvQv7LUEt,169760,45,1961
21,Alaska,Alaska,Dan Bern,Alaska Highway,spotify:track:3ZCp0cA3FwUnQD6Zl9wk8O,245733,7,2001-01-01
22,Alaska,Alaska,Marie Bothmer,Alaska,spotify:track:6KNFZLTLLmDJs9jhpDgwnN,196389,27,2019-02-15
23,Alaska,Alaska,Dwight Yoakam,North to Alaska,spotify:track:6hafDM0JBINOMZCbjE23KK,553640,18,1997-07-03
24,Alaska,Alaska,NRBQ,North to Alaska [Live],error,error,error,error
