,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,American Samoa,American Samoa,Clutch,How to Shake Hands,spotify:track:1GhTjSd0wz87rXtGlfVBr8,231979,32,2018-09-07
1,American Samoa,American Samoa,Jedi Mind Tricks,Shadow Business,spotify:track:5nmnpgLUbwAR1SVPPtUmXc,249733,27,2006-09-19
2,Pago Pago,American Samoa,Jake La Furia,Zombie,spotify:track:4EvrbkyI3vZlWeeg64U0Sd,178774,27,2016-04-22
3,Pago Pago,American Samoa,Santi DJ,"El Cubanito, Pt. 2",error,error,error,error
4,Pago Pago,American Samoa,Santi DJ,El Cubanito,spotify:track:29Shlux51K1PFcEYG23U7I,342990,0,2018-02-05
5,Pago Pago,American Samoa,Banda Corona del Rey,Mañana Te Pago,spotify:track:4UtnFfWdNj0MWHn8bGcT4S,151909,15,2019-06-28
6,Pago Pago,American Samoa,Japanese,Govana,error,error,error,error
7,Pago Pago,American Samoa,Atahualpa Yupanqui,Cantor del Sur,spotify:track:5mupuQ07aes0j7S3gMOPPE,295706,10,2018-07-30
8,Pago Pago,American Samoa,Sharlene,Yo Pago Lo Mío,spotify:track:40DILhbrVofO9KZeosxI3A,172040,31,2018-05-04
9,Pago Pago,American Samoa,Biagio Antonacci,Pago Il Conto,spotify:track:5Lrlo2LKtecH0oZw5F2g0j,285333,4,1996-01-01
10,Pago Pago,American Samoa,Bugo,Che Ci Vuole,spotify:track:57jrZvP48Akce26tY5m1Ag,235786,11,2020-02-07
11,Pago Pago,American Samoa,El Canto del Loco,Fin de Semana,spotify:track:1Qlf3bHrk5OrpLxSL8Q2A8,202960,31,2008
12,Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera de Las Piedras,spotify:track:12pjmRgZr28ZLybF0jDnjU,114826,0,2020-07-24
13,Pago Pago,American Samoa,Alex Sant'Anna,Cansado,spotify:track:5DtMrljbhIUDBz4CtxDbEP,235453,1,2015-10-29
14,Pago Pago,American Samoa,Sofiane,Ça bicrave la mort,spotify:track:2F818Thavp4lVejnTaSCVh,218213,31,2017-01-27
15,Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera De Las Peidras,spotify:track:12pjmRgZr28ZLybF0jDnjU,114826,0,2020-07-24
16,Pago Pago,American Samoa,Marina Noélia,Encontro,spotify:track:2FRODWAJIUli4iEufFM6ge,142000,0,2019-04-26
17,Pago Pago,American Samoa,Trabalhadores do Comércio,Chamem A Polícia,error,error,error,error
18,Pago Pago,American Samoa,"Duki, Khea, C.R.O., Lucho SSJ",Jimmy Fallon [Remix],spotify:track:3oyOEGQXpwXVwLSZb088bJ,242376,68,2020-06-12
19,Pago Pago,American Samoa,Marcelo Nova,Brincando Com A Vida Alheia,spotify:track:5yqQUfYW5eIC0H1VajTea9,251278,20,2020-07-10
20,Pago Pago,American Samoa,"MC Igu, Klyn, Derek",Nicole Bahls,spotify:track:4RJyGUzds4e11hAFJmavOY,236414,53,2018-12-31
21,Pago Pago,American Samoa,Fabrizio De André,Canzone del Padre,spotify:track:4iFi2ly45kSqWzg7zCURJN,315733,29,1973-11-25
22,Pago Pago,American Samoa,Ozuna,Yo Tengo Una Gata,spotify:track:2z1ACAitQVTvo1ynh7EtAd,184733,56,2019-11-29
23,Pago Pago,American Samoa,Grupo Niche,Verdades Que Saben,spotify:track:0C6V2EAGe5WovvcqJ1o9cR,342440,8,1995-01-01
24,Pago Pago,American Samoa,Noyz Narcos,Street Advisor,spotify:track:6uUpssCxQaQWrlx869314b,242600,58,2019-09-12
25,Pago Pago,American Samoa,Salomé Camargo,Karma,spotify:track:1F9oT8AS8mjGEZ8YZZcyzK,175424,15,2019-03-08
26,'Ili'ili,American Samoa,Capercaillie,'s Fhada Leam an Oidhche Gheamhraidh,spotify:track:3hZYzvkdWbvXdaNtThBSSG,114693,10,2017-04-24
27,'Ili'ili,American Samoa,Azra,Mon Ami,spotify:track:0Whsa8BNHQMREmUoHgfBBL,228586,12,2011-04-12
28,'Ili'ili,American Samoa,Azra,Nemir I Strast,spotify:track:5wB5x1nheHdlMFiPZgqfSh,167733,21,1997-01-01
