,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Arizona,Arizona,The Beach Boys,Arizona,spotify:track:16LmskiO3GmVMbRExr2rpe,265040,28,2015-06-16
1,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,188133,40,1970-03-04
2,Arizona,Arizona,Leslie Clio,"Arizona Man [Sing meinen Song, Vol. 5]",error,error,error,error
3,Arizona,Arizona,Hey Monday,Arizona,spotify:track:54jGdUgkPfGNVPVj0wlS3v,216626,30,2008-10-07
4,Arizona,Arizona,"TaiMO, Shadow030",Arizona,error,error,error,error
5,Arizona,Arizona,Rich Brian,Arizona,spotify:track:3q0UN40vV6mI7TT560Ry5l,292381,50,2018-02-02
6,Arizona,Arizona,3 of Hearts,Arizona Rain,spotify:track:6Aq4aOXA6dSeCuh2MzgLdo,229733,2,2001-07-23
7,Arizona,Arizona,Randy Newman,Rider in the Rain,spotify:track:4ufQarTCdYs0vEptNdcSOu,234840,28,1977-09-23
8,Arizona,Arizona,Mano Negra,Indios de Barcelona,spotify:track:1POE9tINTU9O31nByTiIP3,160466,27,1997-01-16
9,Arizona,Arizona,George Strait,Ocean Front Property,spotify:track:4G9eIyEcVwLoG7kYNFpSII,188533,56,1987-01-01
10,Arizona,Arizona,Kota the Friend,Sedona,spotify:track:4gCD2JxcKR0nvbABPzETdb,205482,48,2019-05-15
11,Arizona,Arizona,Eddy Mitchell,Arizona,spotify:track:0uDfUS3kzApvIZugbjodg6,169506,0,1994-01-01
12,Arizona,Arizona,"Robert Earl Keen, Jr.",Furnace Fan,spotify:track:5MGUFWTKMqLlbFILckvDgF,231173,24,2006-07-11
13,Arizona,Arizona,Everclear,Your Arizona Room,spotify:track:3QiX6ScfI4BaaWu98RXDps,567186,8,2006-09-12
14,Arizona,Arizona,Alejandro Escovedo,Arizona,spotify:track:5fQcldPC3Rv1l3yR0wwJfo,291733,10,2006-01-01
15,Arizona,Arizona,"Now, Now",AZ,spotify:track:6UIm5jIjQN7XRYfTHhzD6E,215520,31,2018-05-18
16,Arizona,Arizona,Jamie O'Neal,There Is No Arizona,spotify:track:7Hgcw6qYU1ukRdRGvEkJk3,236106,44,2000-01-01
17,Arizona,Arizona,Steve Martin,King Tut,spotify:track:0MOwFENfV5Q94mUU3F4Nk5,130253,32,1978-04-28
18,Arizona,Arizona,Dr. Demento,King Tut,spotify:track:4NHNTGrLoB2tP8qUXGuaVH,482866,23,2010-06-28
19,Arizona,Arizona,"Steve Winwood, Eric Clapton",Voodoo Chile [Live],spotify:track:5Lswt1DlVfvT9O7In3X3n6,983480,33,2009-05-19
20,Arizona,Arizona,Unlinked Artist,There Is No Arizona,error,error,error,error
21,Arizona,Arizona,Hit Crew,There Is No Arizona,spotify:track:3JhFfYUAo1qWsd64Xd1KO1,235946,0,2007-07-10
22,Arizona,Arizona,Sybersound,There Is No Arizona,error,error,error,error
23,Arizona,Arizona,Eric Slingo,Sweet Arizona,error,error,error,error
24,Arizona,Arizona,The Sidekicks,There Is No Arizona,spotify:track:7Hgcw6qYU1ukRdRGvEkJk3,236106,44,2000-01-01
25,Arizona,Arizona,Rednext Level,Get lit,spotify:track:0gTh3pDRp3jQgXNOGr6gGe,195586,11,2016-04-15
26,Arizona,Arizona,Guy Clark,Arizona Star,spotify:track:3fzEdyXQ1hj2okxBD7aOHV,204786,9,2002
27,Arizona,Arizona,Pusha T,Got 'Em Covered,spotify:track:2dyhNwlwm8Uo0aOvp5hW3K,195773,35,2015-12-18
28,Arizona,Arizona,Dave East,Arizona,spotify:track:5tu9FIoMO6FrCtswUriVYj,196000,24,2015-10-02
29,Arizona,Arizona,Saliva,Here with You,spotify:track:2f3m5uPXwslBffghLa3e8y,246560,20,2007-01-01
30,Arizona,Arizona,MCI Players (1956-60),Arizona Bank 2,error,error,error,error
31,Arizona,Arizona,Megadeth,Coming Home [Bonus Track],error,error,error,error
32,Arizona,Arizona,The Orb,Little Fluffy Clouds,spotify:track:7H8OEVxkCgIvAvWp1MZBxw,267666,37,1991-04-02
33,Arizona,Arizona,Doug Sahm,(Is Anybody Goin' to) San Antone,spotify:track:5jbfC3A4ZfNIxAfWDQV3Vy,189733,36,1973
34,Arizona,Arizona,Steve Wariner,Snowfall on the Sand,spotify:track:6KqdTNNNx3U40WWrj0Thjw,291626,1,2003
35,Arizona,Arizona,Yves Montand,DANS LES PLAINES DU FAR WEST,spotify:track:4h91rUoOOaYsWNkKF9pwEj,131866,7,2001-01-01
36,Arizona,Arizona,Damien Jurado,"Yuma, Az",spotify:track:1G3ju3dppkhLvetFZETB6L,175306,10,1997-01-21
37,Arizona,Arizona,Pere Ubu,Mona,spotify:track:0N9VfgS0RaBqqCcBEAnXhR,186693,28,2013-01-01
38,Arizona,Arizona,Dahaha,Arizona Thursday,spotify:track:3QtT9msRxjI5PFQBx40fZR,407258,0,2017-11-25
39,Arizona,Arizona,French Montana,When I Want,spotify:track:1PZFjsl8dISUn55UYoMoRm,218933,17,2013-01-01
40,Arizona,Arizona,Glenn Hughes,Orion,spotify:track:4AcPM5xoRdMGGhAWPV0BgR,254640,9,2006-05-30
41,Arizona,Arizona,A Rocket to the Moon,Call It All Home [Bonus Track],spotify:track:0n0NGMxAZ41I0bMHU8aNnO,241633,0,2015-04-21
42,Arizona,Arizona,The Orb,Little Fluffy Clouds [Dance Mk 2],error,error,error,error
43,Arizona,Arizona,Bad Books,"Mesa, AZ",spotify:track:1tZM0PxbFxLRZjWEiwTWtT,203746,22,2010-10-19
44,Arizona,Arizona,Chuck Berry,Route 66,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,171413,58,1961-01-01
45,Arizona,Arizona,Marty Robbins,I'm Gonna Be a Cowboy,spotify:track:1vf8sEHJZ0r85M112GSZrR,110440,21,1976
