,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Arkansas,Arkansas,Glen Campbell,"Too Late to Worry, Too Blue to Cry",spotify:track:1Zm98o9F5fTIOGRkj7iqQj,156626,17,2019-06-21
1,Arkansas,Arkansas,Glen Campbell,Arkansas,spotify:track:3Xg8JHpq6YIi4PARURoO1F,211413,21,2017-06-09
2,Arkansas,Arkansas,Roger Miller,Arkansas,spotify:track:56mX6dqd9eYNf2fojfZ99f,244866,14,1985-01-01
3,Arkansas,Arkansas,Don Williams,Where the Arkansas River Leaves Oklahoma,spotify:track:0vzeh0TYMoozxt9xUTgT5g,249853,15,1976-04-05
4,Arkansas,Arkansas,Johnny Cash,Arkansas Lovin' Man,spotify:track:2RcV6Q5HBqnjmSAvd6QKCu,169773,15,1972-04-01
5,Arkansas,Arkansas,"Robert Earl Keen, Jr.",Here in Arkansas,spotify:track:5u4tqIYaitvEqq010Xj8Ww,283600,12,2004-08-10
6,Arkansas,Arkansas,Anne Murray,I Can See Arkansas,spotify:track:5fHrht9bsyelb2XsW8yJX6,251600,5,1991-01-01
7,Arkansas,Arkansas,Damien Jurado,Arkansas,spotify:track:1Q8Y36l005q2EFaw1RrF2m,191613,28,2010-05-25
8,Arkansas,Arkansas,The Tony Rice Unit,Blackberry Blossom,spotify:track:3rGzzWcBktMg6x1yyTiTLA,156932,16,2003-01-01
9,Arkansas,Arkansas,Norman Blake,Blackberry Blossom,spotify:track:3v7UoCL1JYDxXjzcYmB5hv,194506,15,1990-01-01
10,Arkansas,Arkansas,John Linnell,Arkansas,spotify:track:4tJYhkF7y3H7ibTq2V6kpY,207693,5,1999-10-26
11,Arkansas,Arkansas,Jimmy McCracklin,Arkansas,spotify:track:2YepAqQQaPKFCnipHrDRCt,168333,0,1991-06-01
12,Arkansas,Arkansas,Loretta Lynn,We've Come a Long Way Baby,spotify:track:0Z4bxAHeu3r7efMiIzi4dd,118653,3,2010-11-29
13,Arkansas,Arkansas,George Strait,Arkansas Dave,spotify:track:7Lzb3S8At5Dij9ozYDN0ks,231400,29,2014-09-16
14,Arkansas,Arkansas,The String Cheese Incident,Blackberry Blossom,spotify:track:4pq580GX2AGWJuf03OUjn9,469720,13,2014-01-07
15,Arkansas,Arkansas,Waylon Jennings,Up in Arkansas,spotify:track:0l0mM6oGCJ56wkmUCcQsSV,246293,11,1994-09-13
16,Arkansas,Arkansas,Carly Simon,Coming to Get You,spotify:track:17OyS0Oax7gYaa0y28WDEN,169200,5,1979
17,Arkansas,Arkansas,Michelle Shocked,Blackberry Blossom,error,error,error,error
18,Arkansas,Arkansas,The Marshall Tucker Band,24 Hours at a Time,spotify:track:5PxXsVZnFjrRFcgVrGY2kJ,300253,34,2011-01-01
19,Arkansas,Arkansas,Buddy Jewell,Dyess Arkansas,spotify:track:4ae10EWeI3a3pzyBF3bdou,285960,2,2005-04-26
20,Arkansas,Arkansas,Melissa Etheridge,Stranger Road,spotify:track:16S1qkiTIKemJWLpkrYv5Q,205158,9,2014-09-30
21,Arkansas,Arkansas,Bruce Springsteen,Mary Queen of Arkansas,spotify:track:6owaottm8Mrk2B4BSuVBe4,321426,34,1973-01-05
22,Arkansas,Arkansas,Johnny Cash,Joe Bean [Previously Unreleased Track; Bonus Track],error,error,error,error
23,Arkansas,Arkansas,Skip James,Illinois Blues,spotify:track:5SlzbblabrdybDrlWTF772,194666,10,1968
24,Arkansas,Arkansas,Irving Berlin,"I'm a Bad, Bad Man",spotify:track:5RMb2qsdac9HZ6FVrkm7kX,153186,0,2006-01-01
25,Arkansas,Arkansas,Johnny Cash,Joe Bean,spotify:track:6HOvZf3yUwbTl7CBVZ2HmU,149680,24,1968-05-02
26,Arkansas,Arkansas,Harry Belafonte,Cotton Fields,spotify:track:29V8a29TnNSmp3lU4re5Uw,318981,26,1959-06-26
27,Arkansas,Arkansas,Merle Haggard,Grandma Harp,spotify:track:7bsOWLtj0JznmQAkrD50R9,131693,14,1996-01-01
28,Arkansas,Arkansas,Don Gibson,Tennessee Stud,spotify:track:5uQ9V0s9Wd2Aklus6ULaSv,233740,0,2012-01-31
29,Arkansas,Arkansas,Johnny Cash,Tennessee Stud,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,174626,52,1994-01-01
30,Arkansas,Arkansas,Etta James,Really Part 1 [Live],error,error,error,error
31,Arkansas,Arkansas,Porter Wagoner,Tennessee Stud,spotify:track:6slql8dg1Ix6QfkDQQbSa4,164533,0,1969-08-01
32,Arkansas,Arkansas,Hayes Carll,Arkansas Blues,spotify:track:1Iwim3GiZquP9z6qAQod6z,316026,19,2002-06-11
33,Arkansas,Arkansas,Rissi Palmer,Country Girl,spotify:track:0i7YTtOpvKz0EffKp43ws8,224466,12,2008-10-21
34,Arkansas,Arkansas,Arlo Guthrie,Tennessee Stud,error,error,error,error
35,Arkansas,Arkansas,Ramblin' Jack Elliott,Tennessee Stud,spotify:track:7rbAmU1UITKIhDq47HRBwf,291253,14,1968
36,Arkansas,Arkansas,Merle Haggard & the Strangers,Grandma Harp,spotify:track:7bsOWLtj0JznmQAkrD50R9,131693,14,1996-01-01
37,Arkansas,Arkansas,Leadbelly,Cotton Fields,spotify:track:5dpz2KNKUmFjgCoYJxQpC1,126000,24,2015-02-24
38,Arkansas,Arkansas,Alvin Youngblood Hart,Hillbilly Willie's Blues,spotify:track:6qvBsLyCa065wtiZRavwu6,210600,6,1996-04-23
39,Arkansas,Arkansas,glee cast,Home,spotify:track:1ZKuKdo28OiKuFmDShw62S,210600,48,2015-01-06
40,Arkansas,Arkansas,The Nitty Gritty Dirt Band,Tennessee,spotify:track:7y4n6DR00OatQpzp33IZby,290866,32,1972
41,Arkansas,Arkansas,Lucero,Sometimes,spotify:track:7hAAAvDPEQ3v3QyzQwRTOc,293173,16,2012-03-13
42,Arkansas,Arkansas,Cole Deggs & the Lonesome,Out of Alabama,spotify:track:1PlsPge8Uq57kpvc5ocfgU,180666,2,2007-07-10
43,Arkansas,Arkansas,Hot Apple Pie,Annabelle (Arkansas Is Callin' You),spotify:track:0AmrGMQmsal4rlQGhZYvZ7,244400,6,2005-01-01
44,Arkansas,Arkansas,Luther Allison,All the King's Horses,spotify:track:7n6GnisIGgnOx6otQHvb4P,337133,14,2013-08-06
45,Arkansas,Arkansas,Michael Martin Murphey,Tennessee Stud,spotify:track:1JiyMcyM8rnmWXegxzuwRd,251600,8,1997-06-03
46,Arkansas,Arkansas,Punch Brothers,"Hang Me, Oh Hang Me",spotify:track:6vGRVJkkavw3XCuGW94L0M,211031,2,2013-04-24
