,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,California,California,"Young Thug, Future, Problem, Mike WiLL Made It",California Rari,spotify:track:26NxEw6oH3DwwL4o251liP,284913,27,2014-12-16
1,California,California,Slim,California,spotify:track:2fnsG3FcyeKx3KMrAKvd1B,101333,8,2020-02-18
2,California,California,Vampire Weekend,"California English, Pt. 2",spotify:track:2U90b6durzAnQZgIjWdhjP,176906,41,2009-11-17
3,California,California,Bilal,Cali Sunshine,spotify:track:49TrrciRvL6X0VSP4Q3HhA,273173,39,2008-01-01
4,California,California,"Snoop Dogg, Ray J",Hallelujah,spotify:track:2Xbm97YXUHeBWAJbCycSAq,145867,20,2019-08-13
5,California,California,T.I.,California,spotify:track:7KDkjknQAILlnqkPSkR1gC,281902,42,2015-11-06
6,California,California,Tyga,It Neva Rains,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,247413,21,2013-01-01
7,California,California,Joey McIntyre,California,spotify:track:47Up2wCpsh8mNPsXG4JP4h,298493,2,2004-04-27
8,California,California,Chilliwack,California Girl,spotify:track:5tjcihllHWHxtkbCALfKL5,181080,24,1988
9,California,California,Rob Zombie,(Go to) California,spotify:track:19tDq9gNtVcFxzaMa0Kh6L,204960,34,2001-01-01
10,California,California,Rob Zombie,(Go To) California,spotify:track:19tDq9gNtVcFxzaMa0Kh6L,204960,34,2001-01-01
11,California,California,Rob Zombie,Go to California,spotify:track:19tDq9gNtVcFxzaMa0Kh6L,204960,34,2001-01-01
12,California,California,Brian Wilson,California Girls,spotify:track:4mhfc5u2u2e1kRq8kZCgKr,167066,19,2002-01-01
13,California,California,Roy Orbison,California Blue,spotify:track:5yqVF4y7dq6AgnNCHnHZEA,235906,55,1989
14,California,California,Snoop Dogg,California Dreaming,spotify:track:0UIU55mi5GGbfbnfQ7IpM1,232555,17,2017-04-07
15,California,California,Amen,California's Bleeding,spotify:track:58YoOiMPuTRqP2thDZxrWq,158720,3,2004-04-05
16,California,California,Tony! Toni! Toné!,It Never Rains in Southern California,spotify:track:0r4wz91MaRPgI3UtEuU7DF,304240,50,1990-01-01
17,California,California,Cleavage,So California,spotify:track:1yw68OBPOTcscfr2zyQLmj,189379,15,2017-06-02
18,California,California,Tony! Toni! Toné!,It Never Rains (In Southern California),spotify:track:0r4wz91MaRPgI3UtEuU7DF,304240,50,1990-01-01
19,California,California,Lenny Kravitz,Leaves,spotify:track:0u1ZhQxQ5qx8qjaGxdU48j,150792,26,2020-05-30
