,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Colorado,Colorado,"Justin Timberlake, Lil Wayne",Light Up,spotify:track:53WCFRflh8NmR9xCZaMvia,205187,27,2013-10-29
1,Colorado,Colorado,CJ Vana,Colorado,spotify:track:5vo0Q1F5siiFTOGJa6fQ9S,252000,3,2018-01-26
2,Colorado,Colorado,Henri Salvador,COLORADO,spotify:track:6wBRSXd2ZeCKQd4KSsfDVI,120173,1,2020-07-17
3,Colorado,Colorado,Jimmie Dale Gilmore,Another Colorado,spotify:track:1VlBRBtTG9Kjrvo4wBcRSu,213426,13,1993
4,Colorado,Colorado,Tech N9ne,Colorado [Bonus Track],spotify:track:6auKwmkIcf974eq0lRJ8tt,293386,48,2013-07-30
5,Colorado,Colorado,Dierks Bentley,My Religion,spotify:track:7BK6xn13rJRZ4OCbvAszUk,185173,37,2018-06-08
6,Colorado,Colorado,Steve Earle & the Dukes,News From Colorado,spotify:track:5q9sfIxgVR2N0YamWgZHYJ,149800,18,2017-06-16
7,Colorado,Colorado,Mr. Big,Colorado Bulldog,spotify:track:7CqczQ0HGS9C7koT1NMWcb,253480,32,1993-09-17
8,Colorado,Colorado,John Denver,Rocky Mountain High,spotify:track:1ne9wOtDF2jM6Cm8WBkaER,283640,67,1972-09-15
9,Colorado,Colorado,John Denver,I Guess He'd Rather Be in Colorado,spotify:track:1gisi15k1VZkJUH3zej0AC,126506,44,1971
10,Colorado,Colorado,Chris LeDoux,Colorado,spotify:track:5ibs0BDKazWgs4K0bqan5F,192200,16,1971-01-01
11,Colorado,Colorado,Johnny Paycheck,Colorado Cool-Aid,spotify:track:6OLoOFUZjbCkP3e8C586qg,217280,48,1975
12,Colorado,Colorado,Sons of the Desert,Colorado,spotify:track:56Hr7e1w2ftb9MGMY2bPjR,295266,4,1997-04-22
13,Colorado,Colorado,Brett Dennen,Rocky Mountain High,error,error,error,error
14,Colorado,Colorado,Allen Stone,Rocky Mountain High,spotify:track:4X3aK4Bxrgf9fBKWC2lz5S,287426,35,2013-04-02
15,Colorado,Colorado,Mary Chapin Carpenter,I Guess He'd Rather Be in Colorado,spotify:track:4iBHzL9VSEzPcCWq8OZEY3,194733,18,2013-04-02
16,Colorado,Colorado,Stephen Stills,Colorado,spotify:track:6VyuVYEJnZmlEQ5GT9LQvT,172533,44,1972
17,Colorado,Colorado,Merle Haggard,Colorado,spotify:track:0ZnkpXBNYtA7hPWDo29dok,211173,9,1976-01-01
18,Colorado,Colorado,Hank Snow,Colorado Country Morning,error,error,error,error
19,Colorado,Colorado,Judy Collins,The Blizzard,spotify:track:2kHhYWkLbXKZQycUPzTzHA,365661,9,2019-11-29
20,Colorado,Colorado,3OH!3,Colorado Sunrise,spotify:track:7wr313wOAZNv210lS1wJUv,202693,38,2009-01-16
21,Colorado,Colorado,3OH!3,Coloradosunrise,spotify:track:7wr313wOAZNv210lS1wJUv,202693,38,2009-01-16
22,Colorado,Colorado,Mr. Sancho,In My Eyes,spotify:track:6wz1vUw67G0Abk0aVzHOZ7,229026,10,2001-05-22
23,Colorado,Colorado,Linda Ronstadt,Colorado,spotify:track:3ruAtRK7HfwGqrJSCbTvLu,259800,21,1973
24,Colorado,Colorado,Townes Van Zandt,Colorado Girl,spotify:track:4e3DoE0H8nogusqa2OsrPw,198106,42,1969-09
25,Colorado,Colorado,Ray LaMontagne,Rocky Mountain Healin',spotify:track:2D94yEvImYfXTpRcX0yA6x,255693,48,2020-06-26
26,Colorado,Colorado,Mike Manuel,His Colorado,spotify:track:6wULySGlsymHEKODaVIpCT,248424,5,2017-07-01
