,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Connecticut,Connecticut,Gilberto Gil,Pela Internet,spotify:track:3lRndkaQyNhn8ZtZLcNhWv,260954,31,2018-08-17
1,Connecticut,Connecticut,Gilberto Gil,Pela Internet [Ao Vivo No YouTube Space],spotify:track:309Sl9st0zGMZUspMVoNCj,196529,26,2018-07-13
2,Connecticut,Connecticut,Eminem,Ken Kaniff (Skit) [The Slim Shady LP],spotify:track:1A6N0uZ1gp5BGU7fv7PUlu,76293,43,1999-02-23
3,Connecticut,Connecticut,Michael Feinstein,Connecticut,spotify:track:3YimWjRHweeKPNOJS3qfwA,175400,0,1995-09-15
4,Connecticut,Connecticut,Ben Folds,Kylie from Connecticut,spotify:track:4eDRyS17Tr4ITd8BaxYcLB,283266,24,2008-09-29
5,Connecticut,Connecticut,Cyndi Lauper,The Wives Are in Connecticut,error,error,error,error
6,Connecticut,Connecticut,Carly Simon,The Wives Are in Connecticut,spotify:track:7vuQ0oZ6WeJOmQXVisQX99,268746,7,1985-06-01
7,Connecticut,Connecticut,Glambat,Cole Gate (Demo),spotify:track:22DV3UVwBAZcEqCqOaRsR9,205075,1,2018-03-12
8,Connecticut,Connecticut,Allan Sherman,When I Was a Lad,spotify:track:3d0mXOs0zRyAzymH8KTVnA,157866,5,2005-02-08
9,Connecticut,Connecticut,William Daniels,"But, Mr. Adams",spotify:track:67OTdsPKNCLaAkZfrqH6Nz,308826,27,1969
10,Connecticut,Connecticut,Coheed and Cambria,The Camper Velourium II: Backend of Forever,spotify:track:1dqP98znuj0gU9EWoBK43N,332613,37,2003-03-30
11,Connecticut,Connecticut,Jared Morris,Salinger (feat. Rx139),error,error,error,error
12,Connecticut,Connecticut,Missing Joe,Countdown,spotify:track:7sNTM1Xb4BbLFtcEMrevu1,220173,0,2002
13,Connecticut,Connecticut,Chris Webby,Best In The Burbs,spotify:track:3Bi5tXrfjIx5B4i7XHUZBs,195720,44,2019-12-25
14,Connecticut,Connecticut,Eminem,Cum on Everybody,spotify:track:6uXX9OgGchFrr2bq8RgIg6,219240,49,1999-02-23
15,Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still,spotify:track:0XUI6t6FFQCpk8EYUWdvth,172933,20,2001
16,Connecticut,Connecticut,André Previn,I Like the Likes of You,spotify:track:3a1ZdThKdlCoon2JxXYY9a,223616,1,1900-01-29
17,Connecticut,Connecticut,Vic Damone,I Like the Likes of You,spotify:track:0IYZCH6v1eBxAKN4J6HyXV,167346,1,1959-04-01
18,Connecticut,Connecticut,Liza Minnelli,I Like the Likes of You,spotify:track:4unTTJzqJ0qo4836ZzJv0E,136586,0,1965
19,Connecticut,Connecticut,Nicki Minaj,Beez In The Trap,spotify:track:4It00tEYLwpjQtAhqnjCPC,268493,60,2012-01-01
20,Connecticut,Connecticut,Snoop Dogg,What's Ya Point,spotify:track:70tkYwgXIywBpln3TlhQLB,259466,8,1998-10-27
21,Connecticut,Connecticut,Wu-Tang Clan,Incarcerated Scarfaces,spotify:track:2p68nHsBuoVhblkvmAWXVb,282733,23,2008-11-18
22,Connecticut,Connecticut,Jason Derulo,Be Careful,spotify:track:7L8dcmAA5XEjhySEk0JOCM,214040,43,2011-09-16
23,Connecticut,Connecticut,LL Cool J,Fa Ha,spotify:track:63lp5y415qEMYmYMvziBow,295266,9,2002-10-08
