,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Delaware,Delaware,Perry Como,Delaware,spotify:track:7moaXjSX1RHksmk6qanoPY,139400,19,1993-10-25
1,Delaware,Delaware,Kate & Anna McGarrigle,Schooldays,spotify:track:404hgM2P4bhH2QQbri8kER,171000,10,1998
2,Delaware,Delaware,Capital Lights,His Favorite Christmas Story,spotify:track:0zrbISwByqUAWssIhgQwQr,212680,25,2008-01-01
3,Delaware,Delaware,A Tribe Called Quest,Award Tour [LP Version],error,error,error,error
4,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,226440,63,1993-11-09
5,Delaware,Delaware,The Kinks,Kentucky Moon [Bonus Track],error,error,error,error
6,Delaware,Delaware,The Kinks,Kentucky Moon,spotify:track:4l5b9e6Mfp3XHJNWeaki2Y,234306,13,1971-11-24
7,Delaware,Delaware,Red Hot Chili Peppers,We Turn Red,spotify:track:0cv2LgkvEoQiGgFWcZaAMA,200466,54,2016-06-17
8,Delaware,Delaware,Fleetwood Mac,Bermuda Triangle,spotify:track:1yFDvRGGfmCVTI1XjO2nWD,248240,22,1974-09-13
9,Delaware,Delaware,A Tribe Called Quest,Award Tour [Radio Version],error,error,error,error
10,Delaware,Delaware,James McMurtry,Down Across the Delaware,spotify:track:6uKOGMzUT6CQNm2t2i3kpg,313506,15,1995-06-01
11,Delaware,Delaware,Steve Forbert,The Oil Song,spotify:track:2dHrn8LB3xHaVAZ2DweezM,385360,14,2011-01-01
12,Delaware,Delaware,Timbuk 3,The Little Things,spotify:track:4dthURf69pj1Pm2zZICegA,227626,4,1991-01-01
13,Delaware,Delaware,The Promise Ring,Is This Thing On?,spotify:track:5dgyKLZKxfreuDaDQwEj9U,217573,35,1997-10-01
14,Delaware,Delaware,Chuck Berry,Back In The U.S.A.,spotify:track:114gCJP9NGrrs5gjPU8RTi,146893,43,1962-01-01
15,Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba),spotify:track:4xc6ja6BCitKPuRZj8NMva,182973,16,2000-07-11
