,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,District of Columbia,District of Columbia,アメリカ (小西克幸),W・D・C ～World Dancing～,error,error,error,error
1,District of Columbia,District of Columbia,Wale,Chillin',spotify:track:4HYc74wPEfUAhlQFm4fZHa,204533,49,2009-01-01
2,District of Columbia,District of Columbia,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,95800,3,2005-02-08
3,District of Columbia,District of Columbia,Swollen Members,Counterparts,spotify:track:5hMaVhzMWakw3faIvm70CG,274560,2,2009-09-15
4,District of Columbia,District of Columbia,Blackalicious,Passion,spotify:track:1DzoBoEn3Gytug94dfsdtS,234773,25,2002-01-01
5,District of Columbia,District of Columbia,Shy Glizzy,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,176702,73,2017-03-24
6,District of Columbia,District of Columbia,GoldLink,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,176702,73,2017-03-24
7,District of Columbia,District of Columbia,Professor X,Close the Crackhouse,spotify:track:1DAD52MSycCo0se6EnmnCk,554706,2,1993-01-01
8,District of Columbia,District of Columbia,Jay-Z,Tom Ford,spotify:track:1PNGJBI1Lx0h8QCpkHKZLU,189013,53,2013-07-04
9,District of Columbia,District of Columbia,"GoldLink, Gucci Mane, Shy Glizzy, Brent Faiyaz",Crew (Remix),spotify:track:5geeTRRcsIg0MS5TvtBtHU,240375,60,2017-06-22
10,District of Columbia,District of Columbia,GoldLink,Opening Credit,spotify:track:0CN5UmtHPdenaE2yyT7JuZ,67198,32,2017-03-24
11,District of Columbia,District of Columbia,Wale,Right Here,spotify:track:1jtT12YjJchXSnKFiFZRLG,221568,43,2018-09-14
12,Washington,District of Columbia,Woody Guthrie,Lindbergh,spotify:track:3pR2uqtFwrSe0BU11y76eU,192960,21,1999-08-17
13,Washington,District of Columbia,Bay City Rollers,Washington's Birthday,spotify:track:5pI36GI58cD0NOSx7aQYfS,225786,1,1979-04-18
14,Washington,District of Columbia,Woody Guthrie,Baltimore to Washington,spotify:track:5disQl1XhN20HHeRjdoFY6,178373,17,1968-01-01
15,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie,spotify:track:6FjnEJYawydkfLN7CtHWbF,160813,11,1942-01-01
16,Washington,District of Columbia,Christopher Jackson,One Last Time,spotify:track:0Iys022UwQ8xBfxE1g4nWZ,296387,71,2015-09-25
17,Washington,District of Columbia,John Mellencamp,To Washington,spotify:track:14mGXYcuwCNxCrvJuKj1IW,197266,12,2014-07-08
18,Washington,District of Columbia,Lin-Manuel Miranda,Washington On Your Side,spotify:track:3sYYrpL1xd7NrUWr0e66YO,60943,10,2016-12-02
19,Washington,District of Columbia,They Might Be Giants,Violin,spotify:track:7JGjfc9iKa56KCNhOP9F0v,146613,15,2002-06-11
20,Washington,District of Columbia,Grupo Revelde,Violin [DVD; Bonus Track],error,error,error,error
21,Washington,District of Columbia,Counting Crows,Washington Square,spotify:track:2RnlcUG66KojoICSo67Nb8,257106,35,2008
22,Washington,District of Columbia,Bitch & Animal,Feminist Housewives,spotify:track:6ExM4PovY2r7HQjqhMxHru,440546,7,2003-06-10
23,Washington,District of Columbia,The Hooters,Washington's Day,spotify:track:4m6WU2FpaVBGeTb0OueCAj,350693,20,1987
24,Washington,District of Columbia,Guided by Voices,Calling Up Washington,spotify:track:6SsGAE3YWdHWp6vkrJbOec,72426,3,2014-04-10
25,Washington,District of Columbia,Magnetic Fields,"Washington, D.C.",spotify:track:3Qa8X1dC8Tgs4QtGobmvCU,113173,27,1999-09-14
26,Washington,District of Columbia,Johnny Horton,Battle of Bull Run,error,error,error,error
27,Washington,District of Columbia,Kenny Rogers,My Washington Woman,spotify:track:0km0KF9HkYRZL7ZQuuKhuB,206560,12,2000-01-11
28,Washington,District of Columbia,Craig Morgan,Money,spotify:track:38CLlVqaEKlvakDy8EzqNB,157693,13,2003-03-11
