,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Florida,Florida,Animal Collective,FloriDada,spotify:track:26WNKAgxNfg1MkhpBrx8UV,245493,47,2016-02-19
1,Florida,Florida,"T-Pain, Rick Ross, Kodak Black",Florida Boy,spotify:track:07TpaOs25YRFTrdTnOXgTE,312407,46,2018-02-02
2,Florida,Florida,Butthole Surfers,Moving to Florida,spotify:track:5z7dqWmEnfPiYx7v5gPedL,272053,20,1986
3,Florida,Florida,The-Dream,Florida University,spotify:track:3mNG4FQuFZZhETtXiG93VX,327920,18,2010-01-01
4,Florida,Florida,Birdman,No More,spotify:track:3XNULaowhvdStixOq6PYNu,280000,30,2006-01-01
5,Florida,Florida,Chumbawamba,"Celebration, Florida",spotify:track:42xhXnBeZJsv6iT5AnnhT6,193973,5,2000-01-01
6,Florida,Florida,Tom T. Hall,Lost in Florida,spotify:track:1qeZkLGuvZXoF61q4hpebX,196440,3,1996-01-01
7,Florida,Florida,Jaheim,Florida,spotify:track:0PFiQqE8LnH837lp2aYFgn,288613,18,2013-09-03
8,Florida,Florida,Vic Chesnutt,Florida,spotify:track:1gbn2hGnKmKglVBxfjlPkB,268973,7,1990-06-19
9,Florida,Florida,Grandaddy,Florida,spotify:track:33FS7IBkwEGrf0dcEwHvJ5,277640,5,2005-10-18
10,Florida,Florida,Muddy Waters,Deep Down in Florida,spotify:track:7CrTBDJ4PFhJRzwAwaSQth,325800,19,1977
11,Florida,Florida,Eric Clapton,Mainline Florida,spotify:track:2vP0N7LoMnFdbrICEyknX0,244786,32,1974-07-01
12,Florida,Florida,Montgomery Gentry,Your Tears Are Comin',spotify:track:4V5nQ7BSf0LABYXhsB7ci3,243813,17,2006-10-24
13,Florida,Florida,"Pouya, Danny Towers",Florida's Finest,spotify:track:0MEBOwQBMoF6HscO5TydFC,102750,50,2020-03-20
14,Florida,Florida,Van Morrison,Playhouse,spotify:track:0KpVYpoRXc3E7cx7KWkN5i,250533,24,2015-12-04
15,Florida,Florida,Jorge Ben,O Homem da Gravata Florida,spotify:track:09fMrVtgABLxRRuZ2Obx51,185733,44,1974-01-01
16,Florida,Florida,Lynyrd Skynyrd,Sweet Mama,spotify:track:3AikCP4vwEnqs8xECrPceN,239733,20,2003-01-01
17,Florida,Florida,The Rocket Summer,"FL, CA",spotify:track:1IYXjgwE87n3RKUM5MPF9U,229985,17,2016-02-26
18,Florida,Florida,Flor De Sal,Borboletas,spotify:track:6ycSBrwxAeDmK5tveqNhJy,230389,20,2000
19,Florida,Florida,Dar Williams,Closer to Me,spotify:track:2jXTPebe2tujUCv6GuqYaE,220933,13,2010-10-12
20,Florida,Florida,Solange,Almeda,spotify:track:6IAgarq2wDeYzpsY2Kx0Hw,236120,64,2019-03-01
21,Florida,Florida,Less than Jake,The State of Florida,spotify:track:0CKrQALx3eVrmej34Aqujg,135200,17,2008-06-24
22,Florida,Florida,Clay Walker,I'd Say That's Right,spotify:track:00iQ29Q9sF7SuRassUh5F8,171080,18,1997-03-28
23,Florida,Florida,Modest Mouse,Florida,spotify:track:5seoy3lNHpqtnBNnqdYoPF,177826,40,2007-03-20
24,Florida,Florida,Johnny Cash,Orange Blossom Special,spotify:track:1qrtIWJwS62EVVv976tYXh,181813,47,1968-05-01
25,Florida,Florida,Bill Monroe,Orange Blossom Special,spotify:track:62LJqunG21MXeQr4pUf6Pb,176240,21,2016-09-09
26,Florida,Florida,Johnny Cash,Orange Blossom Special [#[],spotify:track:1qrtIWJwS62EVVv976tYXh,181813,47,1968-05-01
27,Florida,Florida,Bill Monroe & His Bluegrass Boys,Orange Blossom Special,spotify:track:0S0F8Luaf7XzG6QbVpE8UJ,162733,31,1977-01-01
28,Florida,Florida,Charlie Daniels,Orange Blossom Special,spotify:track:6DHgMR2rdf7FxE6OgX8liP,326146,40,2005
29,Florida,Florida,Master P,"Bout It, Bout It II",spotify:track:2ohf5urBpT8bieYr8kq3kt,308973,46,1996
30,Florida,Florida,Master P,"I'm Bout It, Bout It",spotify:track:2ohf5urBpT8bieYr8kq3kt,308973,46,1996
31,Florida,Florida,Lana Del Rey,Florida Kilos,spotify:track:0iQPnK3bi7O27c5T2HBTdr,256040,61,2014-01-01
32,Florida,Florida,Dolly Parton,Orange Blossom Special,spotify:track:6iJp2HXjPIN1aByzS4DH3M,102813,12,2004-09-14
33,Florida,Florida,Fat Joe,Go Ahead,spotify:track:2Ad2voAcGEVdqblhA8z6FS,254933,4,2000-10-24
