,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Georgia,Georgia,Jamie Foxx,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,261293,47,2005-01-01
1,Georgia,Georgia,Field Mob,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,261293,47,2005-01-01
2,Georgia,Georgia,Lil Wayne,Georgia... Bush,spotify:track:7yMoQncoHB8IIFIoPqpvRd,446946,29,2014-08-29
3,Georgia,Georgia,Count Basie,Sweet Georgia Brown [DVD],error,error,error,error
4,Georgia,Georgia,The Coasters,Sweet Georgia Brown,spotify:track:2MNxZYRfHgHZsLxmAqUJJ0,165666,10,2007-12-07
5,Georgia,Georgia,Matt Monro,Georgia on My Mind,spotify:track:6vqkGNRdAMBUYQBNHJlCe4,273973,11,2011-02-07
6,Georgia,Georgia,Blind Willie McTell,Georgia Rag,spotify:track:20n6du8b5EF2q0pW587VSG,185547,14,1990
7,Georgia,Georgia,Louie Bellson,Sweet Georgia Brown,spotify:track:2omiknZlfFpoN3oU1xSBDM,236864,5,1960-04-30
8,Georgia,Georgia,Ray Charles,Georgia on My Mind,spotify:track:4Mckv604NWFSw11g4iCgG0,257040,51,2018-05-18
9,Georgia,Georgia,Têtes Raides,Georgia,spotify:track:1wY1Itl0JlM6b85pR9p9Sj,100386,6,2013-04-15
10,Georgia,Georgia,Pearl Bailey,Sweet Georgia Brown,spotify:track:5IuQgiIAmbinSTyd7zJfFZ,171493,1,2020-03-30
11,Georgia,Georgia,Maxine Sullivan,Sweet Georgia Brown,spotify:track:1zmqSYYrcMyWP8OoIE2bDs,249106,0,1998
12,Georgia,Georgia,Lil Wayne,Outro,spotify:track:6xzV1SAarFrTCYMzWjxy97,232666,41,2011-01-01
13,Georgia,Georgia,Alberta Hunter,Sweet Georgia Brown,spotify:track:0QGibgogZe5Wu1D9HsdhGv,249706,26,1978
14,Georgia,Georgia,Big K.R.I.T.,Miss Georgia Fornia,spotify:track:28qOm0MgUE3hJfO6i84Jls,360666,35,2017-10-27
15,Georgia,Georgia,Georgia Bill,Georgia Rag,spotify:track:1999xlVlPOGob8FLJEmoUm,182093,1,1994-05-10
16,Georgia,Georgia,Louis Armstrong,Georgia Grind,spotify:track:3mWcoPBHsrmcs1lj6uBfvz,151600,5,1925
17,Georgia,Georgia,Louis Armstrong,Georgia on My Mind,spotify:track:1Vkab3Yn1NjKBMtXHgfimR,202106,26,1999-10-19
18,Georgia,Georgia,Frankie Laine,Georgia on My Mind,spotify:track:5ai4t8H4PW88DffT9G0buN,176906,10,2007-05-09
19,Georgia,Georgia,Dean Martin,Georgia on My Mind,spotify:track:0wPsNowg8sXsPWrrhEAEWw,182453,15,2006-01-01
20,Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia,spotify:track:34e1mfaKrX6Z1HiusQM3lf,261320,42,2014-10-17
21,Georgia,Georgia,Glenn Miller,Georgia on My Mind,spotify:track:5SilVP4XGqxwAcjkgagQwX,165600,10,2006-01-01
22,Georgia,Georgia,Michael Bolton,Georgia on My Mind,spotify:track:49kdc9KAqm4N28Y01g8SuS,298133,40,1989-06-27
23,Georgia,Georgia,Kasey Chambers,Georgia Brown,spotify:track:3RoSNMnYFijNTnCQusGxrY,105293,9,2011-01-01
24,Georgia,Georgia,Anita O'Day,Sweet Georgia Brown,spotify:track:3yiGYoUZOU5GEKsnz2HZrz,256133,17,1956-01-01
25,Georgia,Georgia,Mel Tormé,Sweet Georgia Brown,spotify:track:4jhJOsH470O9OccrPS4wSk,183040,1,2004-01-01
26,Georgia,Georgia,Nat King Cole,Sweet Georgia Brown,spotify:track:0nQxQoos6INmLOfibeKSa7,138226,14,1992-01-01
27,Georgia,Georgia,Willie Nelson,Georgia on My Mind,spotify:track:4Mckv604NWFSw11g4iCgG0,257040,51,2018-05-18
28,Georgia,Georgia,Louis Armstrong,Sweet Georgia Brown,spotify:track:0Io1zXqH3wnmh5kchndxM6,265000,7,1957-01-01
