,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Guam,Guam,Grey Daze,B12,spotify:track:2NVrALq8HUj3Y0NKC4AjGw,213680,55,2020-06-26
1,Guam,Guam,Jerry Jeff Walker,Wingin' It Home to Texas,spotify:track:0oIsebhFnjaQx9biiY9aBz,231360,9,2012-07-31
2,Guam,Guam,B-Legit,So International,spotify:track:2qadk7jnNzJSfkkY7apjyY,214640,33,2002-09-24
3,Guam,Guam,Laurie Anderson,Word of Mouth,spotify:track:5QpcAfKDx24CjOeRhYTCrQ,289666,5,1995
4,Guam,Guam,Bad Religion,World War III,spotify:track:0nS9c64XEahWi9qtPyey0H,54742,23,1982
5,Guam,Guam,Tee Grizzley,No Effort,spotify:track:6iF5JgF1GNUQwlnsgnMzUu,193019,59,2017-04-07
6,Guam,Guam,Tee Grizzley,Country,spotify:track:3eQPJYfhgcW3T1ypwIZN7n,173511,47,2017-04-07
7,Guam,Guam,Animaniacs,Yakko's World,spotify:track:4SMxjek0kCThUdebOZBji0,102909,25,2020-07-01
8,Guam,Guam,Animaniacs,The Ballad of Magellan,error,error,error,error
9,Guam,Guam,Hieroglyphics,Soweto,spotify:track:4gPcPRx8JXs4WuhszmxQZs,235320,32,2011-01-04
10,Guam,Guam,雨音,肯定就是你,spotify:track:4gPcPRx8JXs4WuhszmxQZs,235320,32,2011-01-04
11,Guam,Guam,许慧欣,肯定就是你,spotify:track:2w5cjA20p4d9Vild9waPNH,271213,2,2004-01-01
12,Guam,Guam,Daby Touré,Khone,spotify:track:3oOHhnddpk8bPFBo7c6tYs,159653,5,2015-09-18
13,Guam,Guam,Mariah,Perreito [Remix],spotify:track:3TTragde5roTvwS2caAQOc,210360,68,2019-09-27
14,Guam,Guam,DPR LIVE,To Whoever,spotify:track:18HrITEEanBOqwHqiibNMQ,153986,42,2020-03-03
15,Guam,Guam,"billy woods, Kenny Segal",spongebob,spotify:track:1OPeLwCz1MqeRITVzNy2Qw,232946,44,2019-03-29
16,Guam,Guam,ユニコーン,ハヴァナイスデー,spotify:track:4zXiSGnyHUh6Q5oH4ysUQ9,171946,2,2018-06-27
17,Guam,Guam,Uncle Jim,Where's the Turkey,spotify:track:712RWdr8MVQGxFYa0jpnpw,374920,0,2002-01-01
18,Guam,Guam,Suburban Legends,Don Juan,spotify:track:0niqRTESSSLWPiMZSzdwhB,188880,18,2001-01-01
19,Guam,Guam,Vinnie Paz,Writings On Disobedience And Democracy,spotify:track:48U7HrXAy4d24m2hRAGOqK,429967,28,2016-10-28
