,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Hawaii,Hawaii,The Beach Boys,Hawaii,spotify:track:2coG8jl7JVo7hg0XNAay4a,122000,33,1963-09-16
1,Hawaii,Hawaii,The Queers,Hawaii,spotify:track:1jpNcapYk21W4spk2mZNmG,115146,7,1995
2,Hawaii,Hawaii,Luciano,Hawaii,error,error,error,error
3,Hawaii,Hawaii,The Strokes,Hawaii,spotify:track:3UUwbJd2j4RORlalTUhaDk,113893,50,1969
4,Hawaii,Hawaii,Böri W 232,Hawaii Gömleğim,spotify:track:2e7Ocowfy0CV284vSElvng,272307,2,2020-06-20
5,Hawaii,Hawaii,The Beach Boys,Kona Coast,spotify:track:0Ssa0ARgI7geS93afHwySv,153240,14,1978-10-02
6,Hawaii,Hawaii,The Beach Boys,Melekalikimaka [Previously Unreleased Track],error,error,error,error
7,Hawaii,Hawaii,Elvis Presley,"Paradise, Hawaiian Style",spotify:track:2JmQ5hKHB057YAM6OiFgIE,159773,21,1966-06-01
8,Hawaii,Hawaii,Elvis Presley,Paradise,spotify:track:2JmQ5hKHB057YAM6OiFgIE,159773,21,1966-06-01
9,Hawaii,Hawaii,Bing Crosby,Hawaiian Paradise,spotify:track:4XX6dh71QovW20nZetzcrt,159813,5,1956-01-01
10,Hawaii,Hawaii,Bing Crosby,Mele Kalikimaka [2:57],error,error,error,error
11,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka [Merry Christmas],spotify:track:04vLj9QUXoKdRlsp3gkURo,175333,45,1945-01-01
12,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka [2:53],error,error,error,error
13,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka,spotify:track:04vLj9QUXoKdRlsp3gkURo,175333,45,1945-01-01
14,Hawaii,Hawaii,Ziggy Marley,Beach In Hawaii,spotify:track:7nCQ6Q6HJeHnwDHydc7x05,224413,55,2006-07-02
15,Hawaii,Hawaii,Katy Perry,Harleys in Hawaii,spotify:track:5nCthAh3jt4xKuLJAifAaR,185815,72,2019-10-16
16,Hawaii,Hawaii,Jake Owen,Mele Kalikimaka,spotify:track:0Ni5W9CIR6nfffwDaRyBrw,172853,6,2014-10-27
17,Hawaii,Hawaii,Zooey Deschanel,Mele Kalikimaka,spotify:track:04mhhxg9fNzKSY1yNWr5FZ,183943,25,2019-11-29
