,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Idaho,Idaho,The B-52's,Private Idaho,spotify:track:1y5V5qja332UyMeUurFhDS,216360,54,1980
1,Idaho,Idaho,"Pato Fu, Giramundo",Private Idaho [Ao Vivo],spotify:track:61WP8rUdi3Mp3onFW6BZWm,217754,8,2019-10-11
2,Idaho,Idaho,Josh Ritter,Idaho,spotify:track:28UFQkhYkOJHJr4pyUtoNa,231784,30,2006
3,Idaho,Idaho,Eddy Arnold,Idaho,error,error,error,error
4,Idaho,Idaho,Rednex,Get the Truck Loaded,spotify:track:7apMQe42MqjAi7xOPf6leu,224840,18,2000
5,Idaho,Idaho,Gorillaz,Idaho,spotify:track:5r8c96Zn0ZNHRecVKpFf23,222200,51,2018-06-29
6,Idaho,Idaho,Train,Idaho,spotify:track:08uYvQObaBMLu2MtPxZL1T,296133,22,1998-02-24
7,Idaho,Idaho,Nerina Pallot,Idaho,error,error,error,error
8,Idaho,Idaho,Feeder,Idaho,spotify:track:5DLWJhqzYCatwDcSykFGjy,208871,17,2012
9,Idaho,Idaho,Félix Dyotte,Stop Idaho,spotify:track:0J4U8he0QBeseSIFCvARrf,235120,4,2018-10-12
10,Idaho,Idaho,Bryan Lanning,Idaho,spotify:track:626HjUIv4UcJ4IKQ279lNn,208281,24,2016-10-21
11,Idaho,Idaho,Hannah Fury,Idaho,spotify:track:7cr1QQ8ufnBaBbRWG4fwah,225760,5,1998-01-01
12,Idaho,Idaho,Dick Haymes,Idaho,spotify:track:7J084PxtZe6TZYiykaFYHm,180493,23,1998-06-12
13,Idaho,Idaho,June Christy,Idaho,spotify:track:7LU38v2UIDr1IZbx02E6Ag,76706,0,2019-11-01
14,Idaho,Idaho,Benny Goodman,Idaho,spotify:track:7J084PxtZe6TZYiykaFYHm,180493,23,1998-06-12
15,Idaho,Idaho,John Linnell,Idaho,spotify:track:6JCMoLjXRuBlzXOq6Qn9nF,158400,6,1999-10-26
16,Idaho,Idaho,Brenn Hill,Lady Idaho,spotify:track:0wMU1zBKYCd379zRk1pGrl,199082,5,2018-01-12
17,Idaho,Idaho,Merle Haggard,Amber Waves of Grain,spotify:track:1WlHD30ILQB8qgox4W0EAq,228666,6,1985
18,Idaho,Idaho,Foo Fighters,Danny Says,spotify:track:0TxxdiZgO92Q6L7M19PVWe,177800,33,2002-10-22
19,Idaho,Idaho,Grant Lee Buffalo,Halloween,spotify:track:13i0ZUnTZAKIVfmqNPPRaO,255426,13,2001-10-23
20,Idaho,Idaho,Benny Goodman & His Orchestra,Idaho,spotify:track:7J084PxtZe6TZYiykaFYHm,180493,23,1998-06-12
21,Boise,Idaho,The Refreshments,Interstate,spotify:track:6KrSQbsr9Ytl00WrnA3wSH,339000,25,1996-01-01
22,Boise,Idaho,Audio Push,Planet Earth Is Live,spotify:track:2e45muQ5ctfRURTOsdDp6y,250026,7,2017-09-01
23,Boise,Idaho,Lynyrd Skynyrd,What's Your Name,spotify:track:0uZs7p6cbEUNwGMdfNj9Kk,213266,55,1977-10-17
24,Boise,Idaho,Lynyrd Skynyrd,What's Your Name?,spotify:track:0uZs7p6cbEUNwGMdfNj9Kk,213266,55,1977-10-17
25,Boise,Idaho,Weird Al Yankovic,Couch Potato,spotify:track:44Ji9MPhi1FL1hwZibSHAS,261253,38,2003-05-20
26,Boise,Idaho,Lynyrd Skynyrd,What's Your Name [Live; Previously Unreleased Track],error,error,error,error
27,Boise,Idaho,Lynyrd Skynyrd,What's Your Name [Live at the Selland Arena],spotify:track:7vwytrUQmhldHvCFSKwRCx,208560,9,1977-10-17
28,Boise,Idaho,Lynyrd Skynyrd,"What's Your Name [Live (1987/Reunion Arena, Dallas)]",spotify:track:0j0H7BEm3fJb5UMhxQ8IWX,239333,7,1988-01-01
29,Boise,Idaho,Lynyrd Skynyrd,T for Texas,spotify:track:1cOdzF3cSE9VFWVI9BCY6X,554960,40,1976
30,Boise,Idaho,Bobby Bare,New York City Snow,spotify:track:7C7yLbfMSwJsEL52YgGRF0,193800,15,1971-06-29
31,Boise,Idaho,Lil Wayne,The Real Her,spotify:track:74atKkOasLOVzvqB6mYgga,321080,57,2011-11-15
32,Boise,Idaho,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,48,2018-09-28
33,Boise,Idaho,Storm Large,Under You,spotify:track:4JUTNbzO6UjZrJEACGgJdE,255853,8,2015-09-01
34,Boise,Idaho,Goldmine,Heartbreak Suzie,error,error,error,error
35,Boise,Idaho,Wale,88,spotify:track:753D9SeE7XSwsEIk7Qn11j,282066,28,2013-06-25
36,Boise,Idaho,E-40,Lieutenant Roast a Botch,spotify:track:2zkLaLFUHbrpxO9J8ZwLcr,280960,23,1994
