,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Illinois,Illinois,Skip James,Illinois Blues,spotify:track:5SlzbblabrdybDrlWTF772,194666,10,1968
1,Illinois,Illinois,Frank Zappa,The Illinois Enema Bandit [Incomplete Take],error,error,error,error
2,Illinois,Illinois,Brett Eldredge,Illinois,spotify:track:3udnqwkBjLfvrOscdutqPe,202493,36,2015-09-11
3,Illinois,Illinois,Alvin Youngblood Hart,Illinois Blues,spotify:track:7ilAYukCyLtxmZ3KtAlvIo,259173,16,1998
4,Illinois,Illinois,Dan Fogelberg,Illinois,spotify:track:0U3MoAWudpBuqnGgqMDVCR,252960,32,1974
5,Illinois,Illinois,Wesley Willis,Illinois State Police,error,error,error,error
6,Illinois,Illinois,Vermont,"These Dudes, They Got a Band",spotify:track:1k10coug6R5FEVCa2McKDk,370280,1,1999
7,Illinois,Illinois,John Hartford,Long Hot Summer Days,spotify:track:3b2Ph5pbTDpzafQ4Ol8N0m,288760,24,1976-01-01
8,Illinois,Illinois,Old 97's,"Champaign, Illinois",spotify:track:5Ed2crPH1EuxwI1iUKZlnD,205386,44,2010-10-12
9,Illinois,Illinois,Lupe Fiasco,Made In The USA,spotify:track:41Erh93gsSvqdE9H1DciEr,210714,31,2017-02-10
10,Illinois,Illinois,REO Speedwagon,Ballad of the Illinois Opry,error,error,error,error
11,Illinois,Illinois,Luke Combs,Blue Collar Boys,spotify:track:0wovagMoJqtU8LUvDQnewu,219920,66,2019-11-08
12,Illinois,Illinois,Lil B,Cowboy Riding Horses in Illinois,spotify:track:08P7Q12AFqWdqDEr4nUjTR,145414,10,2019-04-14
13,Illinois,Illinois,Sara Watkins,Long Hot Summer Days,spotify:track:4exoMhOJHJs8rwOFpmx4pq,195573,33,2019-08-09
14,Illinois,Illinois,Andrew Bird,First Song,spotify:track:3iIIxEGDaHADVybw9029Jk,259880,18,2003-06-10
15,Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door,spotify:track:3RTUfvRgq3pYTf7XY0FIcS,152453,68,1970-07-25
16,Illinois,Illinois,The Doobie Brothers,Long Train Runnin',spotify:track:4nXkbcTj3nyww1cHkw5RAP,207266,72,1973
17,Illinois,Illinois,Doris Day,Just Blew in from the Windy City,spotify:track:6g6IumW57HO2qaxZ2mt8Vo,128666,31,1953-11-09
18,Illinois,Illinois,Perry Como,Route 66,spotify:track:2OoEgzwoCVJ4LP4x86eBdG,296594,0,2011-12-02
19,Illinois,Illinois,Richie Havens,Long Train Running,spotify:track:2uA2PmmuDyPh22K6LRRFbk,227893,19,2004-01-01
20,Illinois,Illinois,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,430426,48,2018-09-28
21,Illinois,Illinois,Jim Croce,"Box, No. 10",error,error,error,error
22,Illinois,Illinois,Jim Croce,Box #10,spotify:track:7xZJ5jmPtITfHtgT3L4tfK,144733,42,1972-04-01
23,Illinois,Illinois,Mary Chapin Carpenter,John Doe No. 24,spotify:track:4N4h0dri4UqMjZ9WkKy5I9,344933,20,1994-05-04
24,Illinois,Illinois,"Rich Homie Quan, Rocko",Driveway,spotify:track:3zGBdxaWaC1l8L02XSmoJZ,222560,18,2019-11-08
25,Illinois,Illinois,Haddie Jane,Windy City Boy,spotify:track:7eJkIYI79O1wXj3vMF4T5O,229639,0,2018-01-26
26,Illinois,Illinois,ชาตรี ศรีชล,จดหมายจากผัวฝรั่ง,spotify:track:5IpGgmswfgGqJRk6RVOmKu,203598,1,2005-03-01
27,Illinois,Illinois,Slobberbone,"Springfield, IL",spotify:track:1yMiSRifdKp2rz6FQRF0Rx,278160,11,2002-09-24
28,Illinois,Illinois,Creedence Clearwater Revival,Looking out My Back Door,spotify:track:4GVlkVqpMh9ZlARycSrFY3,150662,37,2019-10-04
29,Illinois,Illinois,Creedence Clearwater Revival,Looking' Out My Back Door,spotify:track:4GVlkVqpMh9ZlARycSrFY3,150662,37,2019-10-04
30,Illinois,Illinois,The Lumineers,Sleep On The Floor,spotify:track:5MMZJtHOiH1RmQSSe3DJdg,211851,65,2016-04-08
31,Illinois,Illinois,Clem Snide,I Got High,spotify:track:7FcGlEXjBhUnQZBgHMwqio,261079,10,2010-02-23
32,Illinois,Illinois,Stray Cats,Looking out My Back Door,error,error,error,error
33,Illinois,Illinois,Gretchen Wilson,Pocahontas Proud,spotify:track:1jyfmoHqbXChQDmBtPt7UX,316066,28,2004-05-11
34,Illinois,Illinois,John Fogerty,Lookin' Out My Back Door,spotify:track:5e5CbyPItN2gyhcFToi1y9,168240,37,2006-01-01
