,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana,spotify:track:52U8yCfWVAg3O5nkVzv2D4,210533,34,1970-09-08
1,Indiana,Indiana,Lyle Lovett,Up in Indiana,spotify:track:0dTogMkdAvh8KKNr4Ceysn,275760,15,2007-10-02
2,Indiana,Indiana,Hombres G,Indiana,spotify:track:6JqDuynlvAlI4QYvXqhY8P,173560,48,2006-03-06
3,Indiana,Indiana,Sawyer Brown,Going Back to Indiana,spotify:track:4RyZipXzR8JMDmG5pyza0z,184560,5,1985
4,Indiana,Indiana,Hombres G,Indiana [En Vivo],spotify:track:65k02uDdK15jHqfMzcrW0Y,170826,35,2018-06-15
5,Indiana,Indiana,Straight No Chaser,Indiana Christmas,spotify:track:4MJ9OdEgljnKsYlQ1EQ3xJ,205240,20,2008-10-27
6,Indiana,Indiana,James Last,Indiana Wants Me,error,error,error,error
7,Indiana,Indiana,Meg & Dia,Indiana,spotify:track:0OA0gO2MrQSLzC8GQDOkCq,167826,25,2006
8,Indiana,Indiana,Joe Simon,Indiana Wants Me,spotify:track:0mdCqEToI0WLCP2vnhMCej,183431,1,2008-07-07
9,Indiana,Indiana,Eddy Arnold,(Back Home Again In) Indiana,spotify:track:1GEzA1KO5Gk6UesO7dMxeg,167178,0,1973-12-05
10,Indiana,Indiana,The Frampton Brothers,Indiana Wants Me,spotify:track:1zgV5ZYh7uYJXbK7yjuyj8,215146,34,2008-06-27
11,Indiana,Indiana,R. Dean Taylor,Indiana Wants Me,spotify:track:1zgV5ZYh7uYJXbK7yjuyj8,215146,34,2008-06-27
12,Indiana,Indiana,Brantley Gilbert,Indiana's Angel,spotify:track:4CSELhX7NI90r2tPcuJ2jw,218093,28,2009-01-01
13,Indiana,Indiana,Melissa Etheridge,Indiana,spotify:track:1QeR6QAiNl15yIsQmcM1wC,327666,11,2010-01-01
14,Indiana,Indiana,Nat King Cole,Indiana,spotify:track:5h452wG4vgmd36iIvjwLqu,152000,17,2018-08-11
15,Indiana,Indiana,Lester Young,Indiana,spotify:track:2tippNEKLc7cUYLTxcMLsR,420133,23,1959-06-02
16,Indiana,Indiana,Oscar Peterson,Indiana,spotify:track:2tippNEKLc7cUYLTxcMLsR,420133,23,1959-06-02
17,Indiana,Indiana,Tom Waits,Gun Street Girl,spotify:track:7yCjbDSiIKptXfpvI2Mmut,277293,40,1985-09-30
18,Indiana,Indiana,Johnny Mercer,Indiana,spotify:track:0iQApVvQkQKkDBYEOkyrtF,160853,8,2005-07-26
19,Indiana,Indiana,John Mellencamp,Peaceful World,spotify:track:44Tj7ZB93HGDmJEQ1rAP6e,244040,38,2001-10-16
20,Indiana,Indiana,Count Basie,Indiana (#1),spotify:track:4rpmkzvXipRriv1Sz1nDgy,30310,11,2020-06-06
21,Indiana,Indiana,Bobby Darin,Indiana,spotify:track:0iQApVvQkQKkDBYEOkyrtF,160853,8,2005-07-26
22,Indiana,Indiana,Okkervil River,Comes Indiana Through The Smoke,error,error,error,error
23,Indiana,Indiana,Jennifer Kimball,East of Indiana,spotify:track:2mD79ldfMe1zVY4MDocMhe,360320,0,2006-01-24
24,Indiana,Indiana,Miles Davis,Indiana,spotify:track:2M2vi7kY8cgPCZ2aLJJ932,454973,0,0000
25,Indiana,Indiana,MC Lan,"Fila Indiana Sentou, Próxima Ih Fora",spotify:track:2uQtb9B0rDZ1jxXRHuaAON,254839,33,2017-03-20
26,Indiana,Indiana,Phil Ochs,Jim Dean of Indiana,spotify:track:5UjScEU8nBD9dp7l2QmZQc,305546,9,1970-01-01
27,Indiana,Indiana,The Hi-Lo's,Indiana (Back Home Again In Indiana),spotify:track:2ZP4irXgPCJUANEd2JtOAI,140066,2,1958
28,Indiana,Indiana,Kate Smith,Can't get Indiana off my mind,error,error,error,error
29,Indiana,Indiana,Bill Crosby,Can't Get Indiana Off My Mind,spotify:track:1T0CQ6wSlIN0fsSWflgIlb,237453,0,2010-01-06
30,Indiana,Indiana,The Samples,Indiana [Live],spotify:track:3fRCnfjIFUFp41PiBvTfYK,335333,5,2002-08-13
31,Indiana,Indiana,David Mead,Indiana,spotify:track:6TK1KSYex0af7qjLG2TDVw,236293,34,2004-05-04
32,Indiana,Indiana,Bing Crosby,Can't Get Indiana off My Mind,error,error,error,error
33,Indiana,Indiana,The Samples,Indiana,spotify:track:3X9Rn4oZPDZNXt9k1vFepA,228093,25,1997-09-30
34,Indiana,Indiana,Kate Smith,Can't Get Indiana off My Mind,error,error,error,error
35,Indiana,Indiana,Lee Wiley,Indiana [Flawed-Take 3],spotify:track:0H447aTwdUBFmmGfINPckw,179826,0,2008-07-10
36,Indiana,Indiana,Fred Eaglesmith,Indiana Road,spotify:track:5qJ7ofsPy6kmnmLWgGSaf0,495080,6,1987-01-01
37,Indiana,Indiana,Jeff Healey,Indiana,spotify:track:0VXDmD4tIBOCWLKEmoz1VH,401026,3,2006-09-19
38,Indiana,Indiana,X Ambassadors,Hang On,spotify:track:2rqsruRbgKVkTIXNGPJULX,180333,38,2015-06-30
39,Indiana,Indiana,m.o.v.e,Extasy ～In My Dream～,error,error,error,error
40,Indiana,Indiana,Tom Petty,Mary Jane's Last Dance,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,273600,73,2008-05-20
41,Indiana,Indiana,Johnny Cash,Michigan City Howdy Do,spotify:track:23jsLqshv5eG1Cr0yzF0YQ,147440,20,1976-05-01
42,Indiana,Indiana,Lost Mary,"Laney, Indiana",spotify:track:3sbw2050771Ree0zrtKlRX,247868,2,2018-04-14
43,Indiana,Indiana,Rich Mullins,First Family,spotify:track:6xljIcQESawySbfLKl4yg5,186640,18,1989
44,Indiana,Indiana,Chief Keef,Racist,spotify:track:6W7aJrXJr4hnz8Sp6CAmmn,257142,25,2015-09-18
45,Indiana,Indiana,Heart,Mary,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,273600,73,2008-05-20
46,Indiana,Indiana,Rockapella,Indiana,error,error,error,error
47,Indiana,Indiana,Naughty by Nature,Work,spotify:track:4QRQqqSBseVwi5kRXePRD3,200133,20,1999-04-27
