,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Kentucky,Kentucky,Dolly Parton,Kentucky Gambler,spotify:track:6XzMG9UYFMKeRlUGhmXI5x,158040,22,1975-02-17
1,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler,spotify:track:1r717VaFVWg0GpgMGwWssL,162533,19,1975
2,Kentucky,Kentucky,Bill Monroe,I'm Going Back to Old Kentucky,spotify:track:7KsoEeRB8aq6C9omTarim3,176466,14,1946
3,Kentucky,Kentucky,Deep Purple,Kentucky Woman [30th Anniversary Remaster; Version],error,error,error,error
4,Kentucky,Kentucky,Fast Food Rockers,Fast Food Song [Festive Version],spotify:track:6BzbyMQpk3cwVyoI0cwBds,189626,4,2003
5,Kentucky,Kentucky,The Move,Kentucky Woman,spotify:track:6qgTa1576okxuCV35oRoGe,145466,47,1968
6,Kentucky,Kentucky,Bing Crosby,My Old Kentucky Home,spotify:track:1Lw0CX9cgXeuzw9Fg4OfrN,177720,1,2010-01-01
7,Kentucky,Kentucky,Elvis Presley,Kentucky Rain [Bonus Track],error,error,error,error
8,Kentucky,Kentucky,Elvis Presley,Kentucky Rain,spotify:track:2jZ0RcOfjdhoyvylgqNrvh,197880,41,2007
9,Kentucky,Kentucky,Glen Campbell,Bowling Green,spotify:track:3e5RDTUrPhbPDh3zpd1xQW,140360,19,1967
10,Kentucky,Kentucky,The Everly Brothers,Bowling Green [Bonus Track],error,error,error,error
11,Kentucky,Kentucky,Michael W. Smith,Kentucky Rose,spotify:track:1EzhwepPg0lTMEsZjP77xR,326160,21,1993
12,Kentucky,Kentucky,The Everly Brothers,Bowling Green [Demo Version],error,error,error,error
13,Kentucky,Kentucky,Sarah Brightman,Bowling Green,spotify:track:1tQDlktiMZow8o0YB2ADHs,195000,9,1990-01-01
14,Kentucky,Kentucky,Johnny Cash,Kentucky Straight,spotify:track:01gBhafS1Di36NcFC1hsqk,126773,15,1973-01-05
15,Kentucky,Kentucky,The Kingston Trio,Old Kentucky Land,spotify:track:4hfOXONRreg1YihRsGIWS5,120106,0,1995-08-12
16,Kentucky,Kentucky,Dolly Parton,"Blackie, Kentucky",spotify:track:1MProcn8DDfWYqpr51DWPj,208946,16,1974-09-16
17,Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live],spotify:track:5MnycQXf6Sn1GmtumxNLkT,111626,28,1973-03-03
18,Kentucky,Kentucky,Waylon Jennings,Kentucky Woman,spotify:track:4DnZTgLdTBsTbzjIPyAtnb,141386,12,1968-06-24
19,Kentucky,Kentucky,Neil Diamond,Kentucky Woman,spotify:track:6qgTa1576okxuCV35oRoGe,145466,47,1968
20,Kentucky,Kentucky,John Prine,"My Old Kentucky Home, Goodnight",spotify:track:0jo2BDAxfgNrL5VplFuulx,225906,40,2019-05-01
21,Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live; Bonus Track],error,error,error,error
22,Kentucky,Kentucky,Deep Purple,Kentucky Woman,spotify:track:4KncOqIAEYnAM90go8Ielw,284533,35,1968-10-01
23,Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version],error,error,error,error
24,Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version; Version],error,error,error,error
25,Kentucky,Kentucky,Del McCoury,I'm Going Back to Old Kentucky,spotify:track:6LkuS2sAN5F1VU6qzAV9zy,92173,3,1999-04-20
26,Kentucky,Kentucky,Kate Smith,My Old Kentucky Home,spotify:track:11XwkdL6G1HMgoJ1yAfrUc,156400,5,2014-11-04
27,Kentucky,Kentucky,The Everly Brothers,Kentucky,spotify:track:1jpZXGUmE8dS7skuh5obV5,191426,14,1958
28,Kentucky,Kentucky,Bill Monroe,Blue Moon of Kentucky,spotify:track:3x95FfMhVfB3ZNIufQ1IF3,180893,41,1945
29,Kentucky,Kentucky,Elvis Presley,Blue Moon of Kentucky,spotify:track:2Ips4yH0buWXoqISU4y2if,122680,39,1959-07-24
30,Kentucky,Kentucky,Patsy Cline,Blue Moon of Kentucky,spotify:track:6rdDgfXHDv7LMoHInLXzAI,111426,35,2012-01-01
31,Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,Blue Moon of Kentucky,spotify:track:3x95FfMhVfB3ZNIufQ1IF3,180893,41,1945
32,Kentucky,Kentucky,Johnny Cash,New Cut Road,spotify:track:2dYeoUXV3w2iv2HekA3sdC,215613,17,1983-09-01
33,Kentucky,Kentucky,Johnny Cash,My Old Kentucky Home (Turpentine and Dandelion Wine),spotify:track:1G9Zji13IlCad7EL8Hs0AM,168493,27,1975-03-01
34,Kentucky,Kentucky,Paul McCartney,Blue Moon of Kentucky,spotify:track:6UHY2GxRzsTOX02oiDCJN6,117420,0,2006
