,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Louisiana,Louisiana,George Strait,Down Louisiana Way,spotify:track:71itu2Uuh5JqmgVfXQ2Sz1,258240,21,1994-01-01
1,Louisiana,Louisiana,Dave Matthews Band,Louisiana Bayou,spotify:track:2X3TEe0xD8cZvYGmJivR7t,336120,41,2005-05-10
2,Louisiana,Louisiana,Dave Matthews,Louisiana Bayou,spotify:track:2X3TEe0xD8cZvYGmJivR7t,336120,41,2005-05-10
3,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man",spotify:track:02sENi9ULQ36x9mKo5B7XW,151731,58,1973-01-01
4,Louisiana,Louisiana,Conway Twitty,"Louisiana Woman, Mississippi Man",spotify:track:02sENi9ULQ36x9mKo5B7XW,151731,58,1973-01-01
5,Louisiana,Louisiana,New Riders of the Purple Sage,Louisiana Lady,spotify:track:4ZwlmpWJAdE7wZ4ZR3EskM,184933,21,1971
6,Louisiana,Louisiana,Alabama,Louisiana Moon,spotify:track:1YbicKJYPUv4Ca18xjPff0,186013,11,1985
7,Louisiana,Louisiana,Diane Schuur,Louisiana Sunday Afternoon,spotify:track:65XSHqQ03czkojwjodBjfU,293600,34,1989-01-01
8,Louisiana,Louisiana,Chuck Berry,Oh Louisiana,spotify:track:0j4srnVsqW8qXpZ5zlwzoI,270293,47,1971-01-01
9,Louisiana,Louisiana,Charlie Daniels,Sweet Louisiana,spotify:track:700ZDZd9x4aqo0cZI75fVQ,282586,34,2017-02-24
10,Louisiana,Louisiana,Johnny Cash,Louisiana Man [Previously Unreleased Track],error,error,error,error
11,Louisiana,Louisiana,The Seekers,Louisiana Man,spotify:track:62qHgpVkJt40QPp6xZO0eq,151133,17,1999-03-29
12,Louisiana,Louisiana,Doug Kershaw,Louisiana Man,spotify:track:2HG6e2D6FcgLHr1ABKbDfO,152120,22,2013-04-16
13,Louisiana,Louisiana,Bobbie Gentry,Louisiana Man,spotify:track:4l4CZeKh4CkbVi9FlMRSkr,159613,16,1968
14,Louisiana,Louisiana,Jerry Reed,Amos Moses,spotify:track:7zVZF0OgDJkFJohnlKwEpa,139226,55,1970-12-01
15,Louisiana,Louisiana,Martina McBride,"Louisiana Woman, Mississippi Man",spotify:track:1us6oZFgV57a0aPSZt69ZL,180600,23,2012-10-23
16,Louisiana,Louisiana,Donovan,Lazy Daze,error,error,error,error
17,Louisiana,Louisiana,Willie Nelson,Louisiana,spotify:track:6oNDRdSUViU0EwaP7Y40Me,203480,9,2008-01-01
18,Louisiana,Louisiana,Porter Wagoner,Louisiana Saturday Night,spotify:track:35I6jgedmRqi7PhUXBwchn,222733,3,2007-10-25
19,Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain [2018 Remaster],error,error,error,error
20,Louisiana,Louisiana,Tom Petty,Louisiana Rain,spotify:track:5dfg1Piej2rQ0jwmwxo3kF,352413,43,1979-10-19
21,Louisiana,Louisiana,Randy Newman,Louisiana 1927,spotify:track:7qLEaxMiR8WUsCG1uOBsuO,176000,32,1974
22,Louisiana,Louisiana,Connie Smith,Louisiana Man,spotify:track:3fdt6kBr9XeETxtaU27vvm,147706,16,2015-05-19
23,Louisiana,Louisiana,Aaron Neville,Louisiana Christmas Day,spotify:track:16e0kiWHIm2tIwB0CkfUOY,220400,11,1993-01-01
24,Louisiana,Louisiana,Aaron Neville,Louisiana 1927,spotify:track:5Q0KO8kd0l3t4W0dNoHtA7,185626,30,1991-01-01
25,Louisiana,Louisiana,George Jones,Louisiana Mama,error,error,error,error
26,Louisiana,Louisiana,"Hank Williams, Jr.",Amos Moses,spotify:track:5xl9DZN8RzQcU3Z63BmEA9,264800,24,2003-11-18
27,Louisiana,Louisiana,Conway Twitty,Amos Moses,error,error,error,error
28,Louisiana,Louisiana,Neville Brothers,Louisiana 1927,spotify:track:5Q0KO8kd0l3t4W0dNoHtA7,185626,30,1991-01-01
29,Louisiana,Louisiana,Sammy Kershaw,Louisiana Hot Sauce,spotify:track:7qIYCemhzUQmXUZbn3NtzE,245640,29,2013-11-11
30,Louisiana,Louisiana,Delbert McClinton,Heartbreak Radio,spotify:track:0jVfmfNKRlMdfsKx1R5Bjz,205173,8,1999-01-01
31,Louisiana,Louisiana,Gene Pitney,Louisiana Mama,spotify:track:37hf7geJG4HdzzM1fo5Ltn,137906,16,2019-11-08
32,Louisiana,Louisiana,Delbert McClinton,Going Back to Louisiana,spotify:track:4eHL2BJnEdrKarXui1JRFi,225933,26,1989
33,Louisiana,Louisiana,Marcia Ball,Louisiana 1927,spotify:track:0h3hLzb8yfs0SVTK1ZPlYY,422946,8,2001
34,Louisiana,Louisiana,The Church,Louisiana,spotify:track:6WCgKsl3rMVLuhtoRbe4GN,364400,9,1998-09-08
35,Louisiana,Louisiana,Creedence Clearwater Revival,Cotton Fields,spotify:track:3vO2BbrhKNV2PDl276BUIZ,177266,65,1969-11-02
36,Louisiana,Louisiana,Rodney Crowell,Leaving Louisiana in the Broad Daylight,spotify:track:2x6SVa9w6zNhkVZkMsb7Qo,204840,38,1989
37,Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain,spotify:track:6Rm28z7AFfrcZGuLSLFRuN,270120,3,1979
38,Louisiana,Louisiana,Rick Nelson,Louisiana Man,spotify:track:7v1SDo4iX06IwGjiNHBryV,232400,4,1970-01-01
39,Louisiana,Louisiana,Harry Belafonte,Cotton Fields [Live],spotify:track:4gjBLqfNOUM8TDIvtAVl58,257013,13,1959-07-01
40,Louisiana,Louisiana,Joe Dassin,Louisiana,spotify:track:4FuitsXD8S0L0gqlf6eHqk,164266,7,1972-08-18
41,Louisiana,Louisiana,Dave Dudley,Louisiana Saturday Night,error,error,error,error
42,Louisiana,Louisiana,Steven Tyler,Sweet Louisiana,spotify:track:5pMNVwBmwQ7GfaVKfzuPzo,182000,25,2016-07-15
43,Louisiana,Louisiana,Primus,Amos Moses,spotify:track:6Nxg2YTR3WK1FOJ6DFIWSs,190466,36,1998-07-28
44,Louisiana,Louisiana,Lou Rawls,Cotton Fields,spotify:track:6ykT8Z626988jXhHYDsk9E,130253,6,1964-01-01
45,Louisiana,Louisiana,Martin Simpson,Louisiana 1927,spotify:track:0STfOmjQskCQj1YuF4aWyw,261413,11,2007-07-30
46,Louisiana,Louisiana,Eddy Arnold,Cotton Fields,error,error,error,error
47,Louisiana,Louisiana,Hurricane Chris,New Fashion,spotify:track:0YgaVeZT0lLJdDyCA6gXfQ,221693,12,2007-10-16
48,Louisiana,Louisiana,Tim Russ,Louisiana 1927,spotify:track:7c2GxGpLlaMTDCABGDctQj,211765,0,2011-04-01
49,Louisiana,Louisiana,Dr. Bekken,Louisiana 1927,spotify:track:1xx00MWqz4UJlp5d2fyAZY,211826,0,2006-01-01
50,Louisiana,Louisiana,Waylon Jennings,Louisiana Women,spotify:track:43KjLpMIwoqgj7tBtyQ3pc,226760,21,1976-12-01
51,Louisiana,Louisiana,The Beach Boys,Cotton Fields (The Cotton Song),spotify:track:1eWNOjGCs73yOIE53Te5W6,195813,32,2012-01-01
52,Louisiana,Louisiana,Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),spotify:track:4lDHpM8kYUjVScfD8nfQ7A,212666,60,1980
53,Louisiana,Louisiana,Bill Haley,Cotton Fields,spotify:track:4GgQrbr1hydOfsLgpH8hQ8,182373,0,2019-01-07
54,Louisiana,Louisiana,Randy Houser,Evangeline,spotify:track:4OXAWUidkL7Y3kEl2Tzry8,234226,34,2019-01-11
55,Louisiana,Louisiana,Emmylou Harris,Leaving Louisiana in the Broad Daylight,spotify:track:4uRMqqD2Q2Nm5bu2VodPsO,259600,36,1978
56,Louisiana,Louisiana,The Oak Ridge Boys,Leaving Louisiana in the Broad Daylight,spotify:track:6BjA6FWovt4T2T5ZIW1XJQ,179533,53,1979-01-01
57,Louisiana,Louisiana,Johnny Cash,My Cowboy's Last Ride,spotify:track:6dL6N9lbLmrjGnEIZm6yIc,151000,13,1977-07-01
58,Louisiana,Louisiana,Don Williams,Louisiana Saturday Night,spotify:track:0m43DtaDP8IXzpeKxEOXlN,143240,28,1992-01-01
59,Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band) [Live],spotify:track:6AfAtqqsT1LYVlC66jUzxU,220080,34,1980
60,Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band),spotify:track:4lDHpM8kYUjVScfD8nfQ7A,212666,60,1980
61,Louisiana,Louisiana,Litfiba,Louisiana,spotify:track:27P896skiAj3rhscZWu832,332773,25,2013-09-17
62,Louisiana,Louisiana,Kyle Park,Louisiana Boy,spotify:track:4YPP9fQhR3flVL3S9ug6TS,264013,13,2005-11-25
63,Louisiana,Louisiana,Gary Brown,Louisiana 1927,spotify:track:77rh6VOiA4aWEh1jlpZt9X,208080,0,2006-01-01
64,Louisiana,Louisiana,Dave Holt,Louisiana 1927,error,error,error,error
65,Louisiana,Louisiana,Connie Guy,Louisiana 1927,error,error,error,error
66,Louisiana,Louisiana,Kenny Sara,Louisiana 1927,error,error,error,error
67,Louisiana,Louisiana,Cross Canadian Ragweed,Amos Moses,spotify:track:0x8L13FpCBOtMWTFFHfjYN,227560,33,2001
68,Louisiana,Louisiana,OK Go,Louisiana Land,spotify:track:5DeaMy0SmDT477CbGpater,218506,16,2010-11-02
69,Louisiana,Louisiana,The Manhattan Transfer,Rosianna,spotify:track:2jPc3MnW6BzUnHv8AjD4zi,192586,2,1971
70,Louisiana,Louisiana,Steve Earle,Telephone Road,spotify:track:1rjvVnu5bMrKKGKLTJOYrJ,222866,40,1997-09-26
71,Louisiana,Louisiana,Leadbelly,Cotton Fields,spotify:track:5dpz2KNKUmFjgCoYJxQpC1,126000,24,2015-02-24
72,Louisiana,Louisiana,Marie Osmond,Louisiana Bayou,spotify:track:04bDK5JgpVHoo3pbP1IPkq,229866,0,2006-02-08
73,Louisiana,Louisiana,Jerry Garcia,Mississippi Moon,spotify:track:72K3PCAwHvQiktM3hlzlTU,189293,19,1974-06-15
74,Louisiana,Louisiana,Radney Foster,Louisiana Blue,spotify:track:6w9NJTFQfXddhkLRZvh9OE,204253,17,1992-09-29
75,Louisiana,Louisiana,Scatman John,Everybody Jam!,spotify:track:1sn23HbHazh5hLMzA1SJmQ,211400,34,2006-01-01
76,Louisiana,Louisiana,Black Oak Arkansas,Flying Horse of Louisiana,spotify:track:1zmbi6zvJfcbRu0nA6cB0u,238373,0,2007-12-18
77,Louisiana,Louisiana,David Kersh,Louisiana Country Mile,spotify:track:5uF555PpM5ghit2TMhQvE3,190360,11,1996-10-01
78,Louisiana,Louisiana,Hank Williams III,Louisiana Stripes,spotify:track:6MKMAatWrXttAFDVNiTa0S,208040,31,2006-02-28
79,Louisiana,Louisiana,Ani DiFranco,J,spotify:track:498PnsqLjAa8OgekQUktTi,266720,27,1997-04-01
80,Louisiana,Louisiana,Foghat,Louisiana Blues,spotify:track:5Q0AEjqnCep72dyhVlmQ8k,283640,29,2010
81,Louisiana,Louisiana,Buck Owens,Louisiana Man,spotify:track:4s10PJkYdzrUNIKZ2gILx8,169266,25,1995-05-17
82,Louisiana,Louisiana,The Beach Boys,Cotton Fields (The Cotton Song) [45 Version],error,error,error,error
83,Louisiana,Louisiana,The Beach Boys,Cotton Fields,spotify:track:1eWNOjGCs73yOIE53Te5W6,195813,32,2012-01-01
84,Louisiana,Louisiana,Harry Belafonte,Cotton Fields,spotify:track:29V8a29TnNSmp3lU4re5Uw,318981,26,1959-06-26
85,Louisiana,Louisiana,Charley Pride,Louisiana Man,spotify:track:1oXfmRIJFFnRrTjLucQgub,158613,27,1969-06-01
86,Louisiana,Louisiana,The Beach Boys,Cottonfields (The Cotton Song),spotify:track:1eWNOjGCs73yOIE53Te5W6,195813,32,2012-01-01
87,Louisiana,Louisiana,Keith Sykes,It Don't Matter,spotify:track:6jWX42jPhN9vixRV4DMNQW,220466,1,2004-11-02
88,Louisiana,Louisiana,Garth Brooks,Amos Moses,error,error,error,error
89,Louisiana,Louisiana,Jimmy Buffett,L' Air de la Louisiane,spotify:track:4LcOWxWUwvaD6TbV14Aek5,181400,17,1988-01-01
90,Louisiana,Louisiana,Boxcar Willie,Louisiana Saturday Night,error,error,error,error
91,Louisiana,Louisiana,Virginia Coalition,Atchafalaya,error,error,error,error
92,Louisiana,Louisiana,Jerry Jeff Walker,It Don't Matter,spotify:track:6GfYpL6YD0qSX93pHZtWTO,223720,4,2006-07-06
93,Louisiana,Louisiana,Porter Wagoner,Where the Old Red River Flows,error,error,error,error
94,Louisiana,Louisiana,Conway Twitty,Lovin' What Your Lovin' Does to Me,spotify:track:032m3gbqX3BBt8gLC2TQoZ,157013,31,2005-01-01
95,Louisiana,Louisiana,Wayne Hancock,Louisiana Blues,spotify:track:3bitPxqFypQg2T9J3q9NBi,210440,12,2003-08-19
96,Louisiana,Louisiana,Dierks Bentley,The South,spotify:track:0GprdmOqisROSOLNT9qwFf,276906,51,2016-08-04
97,Louisiana,Louisiana,Lucinda Williams,Lake Charles,spotify:track:6LuuWFnifadkxqKkWRn4GW,327826,31,2006-01-01
98,Louisiana,Louisiana,Trent Willmon,Louisiana Rain,spotify:track:185mphlbhPGMbxdZjaRkIM,231653,20,2006-06-13
99,Louisiana,Louisiana,Webb Wilder,Lousiana Hannah,spotify:track:61hjgFE8PXBN37P8j59epr,238466,2,1989-01-01
100,Louisiana,Louisiana,The Hollies,Louisiana Man,spotify:track:62qHgpVkJt40QPp6xZO0eq,151133,17,1999-03-29
101,Louisiana,Louisiana,Lucinda Williams,Lake Charles [DVD],error,error,error,error
102,Louisiana,Louisiana,Savoy Brown,Louisiana Blues [Live],spotify:track:4WWpfaZQefHwYcSatrl9Ha,538173,10,2002-01-01
103,Louisiana,Louisiana,Mel McDaniel,Louisiana Saturday Night,spotify:track:50PU05RTGva8laKDwxED9Y,144186,65,1980-11-10
104,Louisiana,Louisiana,Savoy Brown,Louisiana Blues,spotify:track:4WWpfaZQefHwYcSatrl9Ha,538173,10,2002-01-01
105,Louisiana,Louisiana,The Countdown Kids,Polly Wolly Doodle,spotify:track:62HvxQWSMnIwJk0FMygEeJ,103782,43,2001-01-01
106,Louisiana,Louisiana,T. Graham Brown,Louisiana Saturday Night,error,error,error,error
