,song_city,song_state,song_artist,song_name,uris,duration_ms,popularity,date
0,Maine,Maine,"Asha Bhosle, Anand Bakshi",Maine Kitne Dil Liye,spotify:track:0tQmNwP8kR27k6aLOHQE7f,380626,0,1988-01-01
1,Maine,Maine,"Anjaan, Alisha Chinai, Vijay Benedict",Maine Maine Tujhe Tujhe,spotify:track:23IwYbQN37fHS3FshEj4Wn,454573,6,1988-04-06
2,Maine,Maine,"Asha Bhosle, Anjaan",Ghungroo Bandh Liye,spotify:track:36FfSNzq8k02x6BCGriVlB,471360,2,1989-05-27
3,Maine,Maine,"Kishore Kumar, Asha Bhosle, Anand Bakshi",Wo To Maine Jhooth Bola Tha,spotify:track:6qTp9uJJ3fH6c5EQ3ThMbV,387680,0,1985-11-18
4,Maine,Maine,"Lata Mangeshkar, Suresh Wadkar, Anand Bakshi",Na Tum Ne Kiya,spotify:track:0V6SF51T3cKNaraYw985cq,376520,0,1986-03-10
5,Maine,Maine,"Sonu Nigam, Alka Yagnik",Jaana Nahin Tha,spotify:track:5gqcfUV7zbNPcwU9wi2sti,345480,13,2004-12-18
6,Maine,Maine,Himesh Reshammiya,Jaana Nahin Tha,spotify:track:1uH18WN0qkq6tKlQtZzDkD,345266,2,2004-12-18
7,Maine,Maine,"Shreya Ghoshal, Udit Narayan, Sameer",Maine Chun Liya,spotify:track:66IupEvHAS5KhRtXAe59Iv,324146,22,2004-11-17
8,Maine,Maine,Priyanka Chopra,Exotic,spotify:track:4Wu7e6GnhlIpysk2bgRMzn,246066,43,2013-01-01
9,Maine,Maine,"Abhijeet, Shreya Ghoshal",Tumhe Jo Maine Dekha,spotify:track:0pPGUL7171TRGgI6wyP8wP,341146,47,2004-02-27
10,Maine,Maine,"Nasir Nizami, Raja Mushtaq",Aankh Lagaee,spotify:track:0rk3JqQvo3su6eGYXg4KPJ,265450,0,2010-03-24
11,Maine,Maine,"Asha Bhosle, Majrooh Sultanpuri, Shabbir Kumar",Ghunghat Mera Jane Kya Hua,spotify:track:45Mxo6mJZsOGWL3qmamoyh,512066,0,1991-04-25
12,Maine,Maine,"Suresh Wadkar, Asha Bhosle, Anand Bakshi",Maine Kaha Tumne Suna,spotify:track:3WHLTlMfi4RZLBzz7TRZYl,396493,1,1986-09-28
13,Maine,Maine,"Anuradha Paudwal, Anand Bakshi",Tu Kya Pyar Karega,spotify:track:12lb24NUdgtqy01aOdXNbH,327866,4,1991-05-25
14,Maine,Maine,"Sonu Nigam, Anuradha Paudwal, Sameer",Woh Ho Tum,spotify:track:698U7p4fKXEU5YgetZFcfu,405324,17,2003-12-20
15,Maine,Maine,"Anuradha Paudwal, Udit Narayan, Anand Bakshi, Mohammed Aziz",Na Na Karte,spotify:track:66fjAUFmPWZRHHXhBZGUCw,418273,0,2020-07-15
16,Maine,Maine,"Vishal Dadlani, Rochak Kohli, Shivi",Lalla Lalla Lori,spotify:track:22WubMzx5mkCAHZHvInkpH,257049,41,2015-04-29
17,Maine,Maine,Raghav,Teri Baaton (Your Words),spotify:track:2ScBZ1yQDCIWSIND3ebWgZ,246066,26,2004-01-01
18,Maine,Maine,"Lata Mangeshkar, Anand Bakshi",Mehboob Mere,spotify:track:1PtBRluZrfpwkzy9OY4p2G,288101,16,1967-12-01
19,Maine,Maine,Mohammed Rafi,Maine Poochha Chand Se,spotify:track:04J2Dr9eCcyFeMUAq3YnFg,307373,24,2013-01-01
20,Maine,Maine,Tim McGraw,"Portland, Maine",spotify:track:6CZ4Wrj6TquFPjabvRwlew,221586,32,2014-01-01
21,Maine,Maine,"Shreya Ghoshal, Abhijeet, Javed Akhtar",Tumhe Jo Maine Dekha,spotify:track:0pPGUL7171TRGgI6wyP8wP,341146,47,2004-02-27
22,Maine,Maine,Rudy Vallée,The Stein Song,spotify:track:2pmzwjhnaFLjG2SLSTWDyK,199373,6,2009-01-01
23,Maine,Maine,Rudy Vallée,Stein Song (University of Maine),spotify:track:2pmzwjhnaFLjG2SLSTWDyK,199373,6,2009-01-01
24,Maine,Maine,"Lata Mangeshkar, Anand Bakshi, Mohammed Aziz",Bali Umar Ne Mera Haal,spotify:track:7uHQJzWrv45Vhxb8ouTrLW,432600,18,1987-10-17
25,Maine,Maine,"K.K., Suzanne, Shakeel Azmi",Tum Ho Mera Pyar,spotify:track:2EN5aTDtX8852Ih3ss8Rih,305500,36,2011-04-13
26,Maine,Maine,"Ali Khan, Rahat Fateh",Tum Jo Aaye Zindagi Mein,error,error,error,error
27,Maine,Maine,Pitbull,Exotic [Aylen Remix],spotify:track:1nieMgm7NVfeB7z76geTR0,175400,2,2013-01-01
28,Maine,Maine,Pitbull,Exotic [Popeska Remix],spotify:track:5PBeQqCWmgQm4yNTR8Zswp,276546,15,2013-01-01
29,Maine,Maine,Jet Life,No Sleep,spotify:track:7dQTSraXR0vxBUo4fzKVWJ,322066,16,2012-11-20
30,Maine,Maine,John Linnell,Maine,spotify:track:1ZeAYNGL1ghWWPNxt8rc6g,127160,9,1999-10-26
31,Maine,Maine,"Ronkini Gupta, Santanu Ghatak",Rafu,spotify:track:4VWgxa91nrs6bQzsT1Da3V,256845,25,2017-11-04
32,Maine,Maine,"Asha Bhosle, Prem Dhawan, S.P. Balasubrahmanyam",Woh To Bana Apna,spotify:track:0L9ryEzluulVe2TLCeYCWo,275706,5,1990-06-02
